ID;Instellingen;Bedrijfsomvang;Perioden;TotaalUitgavenEigenRD_1;Totaal_2;BrutoLoonkosten_3;OverigeExploitatiekosten_4;Totaal_5;Gebouwen_6;OverigeInvesteringen_7;Totaal_8;Onderzoekers_9;Assistenten_10;OverigPersoneel_11;TotaalVrouwen_12;Onderzoekers_13;Assistenten_14;OverigPersoneel_15;ArbeidsjarenTotaal_16;Onderzoekers_17;Assistenten_18;OverigPersoneel_19;InstellingenMetEigenRD_20
0;Totaal instellingen;Totaal (10 en meer) werkzame personen;2002;1164.0;1070.0;748.0;322.0;93.0;26.0;67.0;14917.0;7821.0;4271.0;2825.0;;;;;13721.0;7292.0;3893.0;2536.0;76.0
1;Totaal instellingen;Totaal (10 en meer) werkzame personen;2003;1216.0;1131.0;810.0;321.0;85.0;27.0;58.0;15957.0;8627.0;4385.0;2945.0;4214.0;2138.0;1073.0;1003.0;14292.0;7672.0;4095.0;2525.0;103.0
2;Totaal instellingen;Totaal (10 en meer) werkzame personen;2004;1253.0;1171.0;826.0;344.0;83.0;29.0;54.0;15137.0;8532.0;3984.0;2621.0;4702.0;2490.0;1162.0;1051.0;13578.0;7752.0;3698.0;2129.0;131.0
3;Totaal instellingen;Totaal (10 en meer) werkzame personen;2005;1216.0;1141.0;805.0;336.0;75.0;21.0;54.0;14133.0;7800.0;3941.0;2392.0;4533.0;2293.0;1206.0;1034.0;12706.0;7028.0;3584.0;2093.0;129.0
4;Totaal instellingen;Totaal (10 en meer) werkzame personen;2006;1260.0;;;;;;;14627.0;8084.0;3953.0;2590.0;5005.0;2363.0;1515.0;1127.0;12765.0;7131.0;3468.0;2165.0;112.0
5;Totaal instellingen;Totaal (10 en meer) werkzame personen;2007;1259.0;1135.0;815.0;320.0;125.0;59.0;66.0;14126.0;8044.0;3815.0;2267.0;4876.0;2425.0;1329.0;1122.0;12140.0;6976.0;3341.0;1822.0;106.0
6;Totaal instellingen;Totaal (10 en meer) werkzame personen;2008;1259.0;;;;;;;13848.0;7803.0;3655.0;2390.0;;;;;12182.0;7000.0;3153.0;2028.0;111.0
7;Totaal instellingen;Totaal (10 en meer) werkzame personen;2009;1327.0;1184.0;827.0;357.0;143.0;92.0;51.0;13116.0;7736.0;3171.0;2212.0;4244.0;2353.0;1010.0;883.0;11416.0;6820.0;2846.0;1751.0;82.0
8;Totaal instellingen;Totaal (10 en meer) werkzame personen;2010;1279.0;;;;;;;13388.0;7900.0;3176.0;2312.0;4390.0;2376.0;1025.0;989.0;11424.0;6959.0;2726.0;1740.0;76.0
9;Totaal instellingen;Totaal (10 en meer) werkzame personen;2011;1319.0;1199.0;822.0;376.0;121.0;70.0;50.0;13447.0;8101.0;3408.0;1939.0;4833.0;2719.0;1235.0;880.0;11228.0;6761.0;2843.0;1623.0;85.0
10;Totaal instellingen;Totaal (10 en meer) werkzame personen;2012;1367.0;1241.0;877.0;364.0;126.0;58.0;68.0;13861.0;8924.0;;4937.0;5957.0;3590.0;;2368.0;12074.0;7791.0;;4282.0;86.0
11;Totaal instellingen;10 tot 50 werkzame personen;2002;;;;;;;;;;;;;;;;;;;;
12;Totaal instellingen;10 tot 50 werkzame personen;2003;;;;;;;;;;;;;;;;;;;;
13;Totaal instellingen;10 tot 50 werkzame personen;2004;30.0;29.0;21.0;8.0;1.0;0.0;1.0;;;;;;;;;;;;;38.0
14;Totaal instellingen;10 tot 50 werkzame personen;2005;28.0;27.0;20.0;7.0;1.0;0.0;1.0;537.0;310.0;92.0;135.0;262.0;129.0;53.0;80.0;374.0;220.0;70.0;85.0;34.0
15;Totaal instellingen;10 tot 50 werkzame personen;2006;45.0;;;;;;;707.0;423.0;132.0;152.0;291.0;139.0;65.0;87.0;489.0;285.0;94.0;109.0;38.0
16;Totaal instellingen;10 tot 50 werkzame personen;2007;30.0;29.0;20.0;9.0;2.0;0.0;2.0;528.0;331.0;55.0;142.0;261.0;135.0;22.0;104.0;363.0;243.0;34.0;85.0;31.0
17;Totaal instellingen;10 tot 50 werkzame personen;2008;29.0;;;;;;;601.0;361.0;102.0;138.0;;;;;388.0;251.0;56.0;81.0;37.0
18;Totaal instellingen;10 tot 50 werkzame personen;2009;21.0;19.0;14.0;5.0;2.0;1.0;1.0;309.0;184.0;59.0;66.0;129.0;60.0;33.0;36.0;219.0;133.0;40.0;45.0;26.0
19;Totaal instellingen;10 tot 50 werkzame personen;2010;19.0;;;;;;;308.0;218.0;37.0;53.0;132.0;69.0;22.0;41.0;213.0;147.0;29.0;37.0;21.0
20;Totaal instellingen;10 tot 50 werkzame personen;2011;14.0;14.0;11.0;3.0;0.0;0.0;0.0;182.0;117.0;26.0;39.0;67.0;25.0;12.0;30.0;150.0;96.0;23.0;32.0;14.0
21;Totaal instellingen;10 tot 50 werkzame personen;2012;14.0;13.0;11.0;3.0;1.0;0.0;0.0;132.0;100.0;;33.0;29.0;13.0;;16.0;118.0;89.0;;28.0;10.0
22;Totaal instellingen;50 tot 250 werkzame personen;2002;;;;;;;;;;;;;;;;;;;;
23;Totaal instellingen;50 tot 250 werkzame personen;2003;;;;;;;;;;;;;;;;;;;;
24;Totaal instellingen;50 tot 250 werkzame personen;2004;341.0;318.0;200.0;118.0;23.0;14.0;9.0;;;;;;;;;;;;;32.0
25;Totaal instellingen;50 tot 250 werkzame personen;2005;128.0;119.0;83.0;36.0;9.0;3.0;6.0;1938.0;1112.0;349.0;477.0;786.0;415.0;140.0;231.0;1543.0;873.0;277.0;393.0;50.0
26;Totaal instellingen;50 tot 250 werkzame personen;2006;120.0;;;;;;;1978.0;1123.0;393.0;462.0;783.0;381.0;189.0;213.0;1578.0;902.0;283.0;393.0;28.0
27;Totaal instellingen;50 tot 250 werkzame personen;2007;77.0;74.0;54.0;20.0;3.0;1.0;2.0;1296.0;778.0;173.0;345.0;540.0;289.0;91.0;160.0;914.0;617.0;104.0;193.0;25.0
28;Totaal instellingen;50 tot 250 werkzame personen;2008;95.0;;;;;;;1268.0;692.0;273.0;303.0;;;;;1052.0;600.0;198.0;254.0;30.0
29;Totaal instellingen;50 tot 250 werkzame personen;2009;135.0;109.0;75.0;35.0;26.0;20.0;6.0;1504.0;938.0;223.0;343.0;631.0;363.0;94.0;174.0;1151.0;720.0;174.0;257.0;21.0
30;Totaal instellingen;50 tot 250 werkzame personen;2010;119.0;;;;;;;1652.0;983.0;315.0;354.0;678.0;352.0;149.0;177.0;1321.0;814.0;234.0;274.0;20.0
31;Totaal instellingen;50 tot 250 werkzame personen;2011;125.0;119.0;86.0;33.0;7.0;2.0;5.0;1678.0;1017.0;411.0;249.0;783.0;440.0;197.0;146.0;1244.0;751.0;295.0;197.0;30.0
32;Totaal instellingen;50 tot 250 werkzame personen;2012;168.0;162.0;119.0;43.0;7.0;3.0;4.0;2079.0;1479.0;;600.0;1142.0;771.0;;371.0;1625.0;1185.0;;440.0;31.0
33;Totaal instellingen;250 en meer werkzame personen;2002;;;;;;;;;;;;;;;;;;;;
34;Totaal instellingen;250 en meer werkzame personen;2003;;;;;;;;;;;;;;;;;;;;
35;Totaal instellingen;250 en meer werkzame personen;2004;883.0;824.0;605.0;219.0;59.0;15.0;44.0;10678.0;6257.0;2788.0;1633.0;3091.0;1690.0;752.0;649.0;9660.0;5678.0;2582.0;1400.0;61.0
