ID;Vervoerstroom;Goederensoort;Perioden;VervoerdLadinggewicht_1
0;Totaal;Totaal;2012;371588
1;Totaal;Totaal;2013;381660
2;Totaal;Totaal;2014;355999
3;Totaal;Totaal;2015;340185
4;Totaal;Totaal;2016;346557
5;Totaal;Totaal;2017;343263
6;Totaal;Totaal;2018;329170
7;Totaal;Totaal;2019;326375
8;Totaal;Totaal;2020;290013
9;Totaal;Totaal;2021;299599
10;Totaal;Totaal;2022;294910
11;Totaal;Totaal;2023;280714
12;Totaal;Ruwe aardolie en aardolieproducten;2012;151571
13;Totaal;Ruwe aardolie en aardolieproducten;2013;138759
14;Totaal;Ruwe aardolie en aardolieproducten;2014;148831
15;Totaal;Ruwe aardolie en aardolieproducten;2015;155382
16;Totaal;Ruwe aardolie en aardolieproducten;2016;155101
17;Totaal;Ruwe aardolie en aardolieproducten;2017;159180
18;Totaal;Ruwe aardolie en aardolieproducten;2018;151114
19;Totaal;Ruwe aardolie en aardolieproducten;2019;164607
20;Totaal;Ruwe aardolie en aardolieproducten;2020;149213
21;Totaal;Ruwe aardolie en aardolieproducten;2021;160029
22;Totaal;Ruwe aardolie en aardolieproducten;2022;151682
23;Totaal;Ruwe aardolie en aardolieproducten;2023;163968
24;Totaal;Aardgas;2012;213551
25;Totaal;Aardgas;2013;235540
26;Totaal;Aardgas;2014;199840
27;Totaal;Aardgas;2015;177143
28;Totaal;Aardgas;2016;184010
29;Totaal;Aardgas;2017;176294
30;Totaal;Aardgas;2018;169275
31;Totaal;Aardgas;2019;153287
32;Totaal;Aardgas;2020;133528
33;Totaal;Aardgas;2021;131734
34;Totaal;Aardgas;2022;136766
35;Totaal;Aardgas;2023;110538
36;Totaal;Chemische producten;2012;6467
37;Totaal;Chemische producten;2013;7363
38;Totaal;Chemische producten;2014;7328
39;Totaal;Chemische producten;2015;7660
40;Totaal;Chemische producten;2016;7447
41;Totaal;Chemische producten;2017;7789
42;Totaal;Chemische producten;2018;8782
43;Totaal;Chemische producten;2019;8480
44;Totaal;Chemische producten;2020;7272
45;Totaal;Chemische producten;2021;7836
46;Totaal;Chemische producten;2022;6461
47;Totaal;Chemische producten;2023;6209
48;Binnenlands;Totaal;2012;247450
49;Binnenlands;Totaal;2013;252303
50;Binnenlands;Totaal;2014;228838
51;Binnenlands;Totaal;2015;214313
52;Binnenlands;Totaal;2016;213730
53;Binnenlands;Totaal;2017;209662
54;Binnenlands;Totaal;2018;195470
55;Binnenlands;Totaal;2019;201726
56;Binnenlands;Totaal;2020;176653
57;Binnenlands;Totaal;2021;179368
58;Binnenlands;Totaal;2022;162379
59;Binnenlands;Totaal;2023;158195
60;Binnenlands;Ruwe aardolie en aardolieproducten;2012;94409
61;Binnenlands;Ruwe aardolie en aardolieproducten;2013;85183
62;Binnenlands;Ruwe aardolie en aardolieproducten;2014;90601
63;Binnenlands;Ruwe aardolie en aardolieproducten;2015;96010
64;Binnenlands;Ruwe aardolie en aardolieproducten;2016;96398
65;Binnenlands;Ruwe aardolie en aardolieproducten;2017;100211
66;Binnenlands;Ruwe aardolie en aardolieproducten;2018;94773
