ID;InstitutionalSectors;AssetsAndLiabilities;FinancialInstruments;StocksAndFlows;Periods;FinancialTransactionsAndBalanceSheet_1
0;General government;Assets;AF Total financial instruments;Opening balance sheet;1995;157044
1;General government;Assets;AF Total financial instruments;Opening balance sheet;1996;138642
2;General government;Assets;AF Total financial instruments;Opening balance sheet;1997;142063
3;General government;Assets;AF Total financial instruments;Opening balance sheet;1998;142825
4;General government;Assets;AF Total financial instruments;Opening balance sheet;1999 1st quarter;149393
5;General government;Assets;AF Total financial instruments;Opening balance sheet;1999 2nd quarter;149511
6;General government;Assets;AF Total financial instruments;Opening balance sheet;1999 3rd quarter;150647
7;General government;Assets;AF Total financial instruments;Opening balance sheet;1999 4th quarter;152626
8;General government;Assets;AF Total financial instruments;Opening balance sheet;1999;149393
9;General government;Assets;AF Total financial instruments;Opening balance sheet;2000 1st quarter;166115
10;General government;Assets;AF Total financial instruments;Opening balance sheet;2000 2nd quarter;175832
11;General government;Assets;AF Total financial instruments;Opening balance sheet;2000 3rd quarter;165432
12;General government;Assets;AF Total financial instruments;Opening balance sheet;2000 4th quarter;160297
13;General government;Assets;AF Total financial instruments;Opening balance sheet;2000;166115
14;General government;Assets;AF Total financial instruments;Opening balance sheet;2001 1st quarter;153421
15;General government;Assets;AF Total financial instruments;Opening balance sheet;2001 2nd quarter;153469
16;General government;Assets;AF Total financial instruments;Opening balance sheet;2001 3rd quarter;156065
17;General government;Assets;AF Total financial instruments;Opening balance sheet;2001 4th quarter;145741
18;General government;Assets;AF Total financial instruments;Opening balance sheet;2001;153421
19;General government;Assets;AF Total financial instruments;Opening balance sheet;2002 1st quarter;145145
20;General government;Assets;AF Total financial instruments;Opening balance sheet;2002 2nd quarter;149423
21;General government;Assets;AF Total financial instruments;Opening balance sheet;2002 3rd quarter;146815
22;General government;Assets;AF Total financial instruments;Opening balance sheet;2002 4th quarter;139622
23;General government;Assets;AF Total financial instruments;Opening balance sheet;2002;145145
24;General government;Assets;AF Total financial instruments;Opening balance sheet;2003 1st quarter;135780
25;General government;Assets;AF Total financial instruments;Opening balance sheet;2003 2nd quarter;138502
26;General government;Assets;AF Total financial instruments;Opening balance sheet;2003 3rd quarter;137516
27;General government;Assets;AF Total financial instruments;Opening balance sheet;2003 4th quarter;139855
28;General government;Assets;AF Total financial instruments;Opening balance sheet;2003;135780
29;General government;Assets;AF Total financial instruments;Opening balance sheet;2004 1st quarter;136813
30;General government;Assets;AF Total financial instruments;Opening balance sheet;2004 2nd quarter;141300
31;General government;Assets;AF Total financial instruments;Opening balance sheet;2004 3rd quarter;146492
32;General government;Assets;AF Total financial instruments;Opening balance sheet;2004 4th quarter;144859
33;General government;Assets;AF Total financial instruments;Opening balance sheet;2004;136813
34;General government;Assets;AF Total financial instruments;Opening balance sheet;2005 1st quarter;137405
35;General government;Assets;AF Total financial instruments;Opening balance sheet;2005 2nd quarter;142051
36;General government;Assets;AF Total financial instruments;Opening balance sheet;2005 3rd quarter;156703
37;General government;Assets;AF Total financial instruments;Opening balance sheet;2005 4th quarter;152690
38;General government;Assets;AF Total financial instruments;Opening balance sheet;2005;137405
39;General government;Assets;AF Total financial instruments;Opening balance sheet;2006 1st quarter;152576
40;General government;Assets;AF Total financial instruments;Opening balance sheet;2006 2nd quarter;148708
41;General government;Assets;AF Total financial instruments;Opening balance sheet;2006 3rd quarter;150382
42;General government;Assets;AF Total financial instruments;Opening balance sheet;2006 4th quarter;143380
43;General government;Assets;AF Total financial instruments;Opening balance sheet;2006;152576
44;General government;Assets;AF Total financial instruments;Opening balance sheet;2007 1st quarter;141130
45;General government;Assets;AF Total financial instruments;Opening balance sheet;2007 2nd quarter;145788
46;General government;Assets;AF Total financial instruments;Opening balance sheet;2007 3rd quarter;150338
47;General government;Assets;AF Total financial instruments;Opening balance sheet;2007 4th quarter;148743
48;General government;Assets;AF Total financial instruments;Opening balance sheet;2007;141130
49;General government;Assets;AF Total financial instruments;Opening balance sheet;2008 1st quarter;153347
50;General government;Assets;AF Total financial instruments;Opening balance sheet;2008 2nd quarter;168452
51;General government;Assets;AF Total financial instruments;Opening balance sheet;2008 3rd quarter;182350
52;General government;Assets;AF Total financial instruments;Opening balance sheet;2008 4th quarter;181684
53;General government;Assets;AF Total financial instruments;Opening balance sheet;2008;153347
54;General government;Assets;AF Total financial instruments;Opening balance sheet;2009 1st quarter;242072
55;General government;Assets;AF Total financial instruments;Opening balance sheet;2009 2nd quarter;248641
56;General government;Assets;AF Total financial instruments;Opening balance sheet;2009 3rd quarter;231605
57;General government;Assets;AF Total financial instruments;Opening balance sheet;2009 4th quarter;244492
58;General government;Assets;AF Total financial instruments;Opening balance sheet;2009;242072
59;General government;Assets;AF Total financial instruments;Opening balance sheet;2010 1st quarter;222802
60;General government;Assets;AF Total financial instruments;Opening balance sheet;2010 2nd quarter;227163
61;General government;Assets;AF Total financial instruments;Opening balance sheet;2010 3rd quarter;232707
62;General government;Assets;AF Total financial instruments;Opening balance sheet;2010 4th quarter;221359
63;General government;Assets;AF Total financial instruments;Opening balance sheet;2010;222802
64;General government;Assets;AF Total financial instruments;Opening balance sheet;2011 1st quarter;223019
65;General government;Assets;AF Total financial instruments;Opening balance sheet;2011 2nd quarter;223156
