ID;Bedrijfsklasse;Jaren;AantalBedrijven_1;WerkzamePersonen_2;Totaal_3;InnameAfvalEnReststoffen_4;Milieudienstverlening_5;TeruggewonnenStoffen_6;EnergieEnRestproducten_7;Nevenactiviteiten_8;VoorraadmutatiesGereedProduct_9;OverigeBedrijfsopbrengsten_10;OntvangenRente_11;VrijvalVoorzieningen_12;BuitengewoneBaten_13;Totaal_14;InkopenIngenomenAfvalEnReststoffen_15;GrondEnHulpstoffen_16;UitbestedeWerkzaamheden_17;InkoopwaardeHandelsactiviteiten_18;VoorraadmutatiesInkopen_19;Personeelskosten_20;Energieverbruik_21;Afschrijvingen_22;Autokosten_23;OverigeBedrijfskosten_24;BetaaldeRente_25;ToevoegingenAanVoorzieningen_26;BuitengewoneLasten_27;ResultaatVoorBelastingen_28;Totaal_29;GrondEnTerreinen_30;Bedrijfsruimten_31;GWWWerken_32;VervoermiddelenExternTransport_33;MiddelenVoorInternTransport_34;OverigeMachinesApparatenEnInstall_35;OverigeMaterieleVasteActiva_36;ImmaterieleActiva_37
19;Voorb. tot recycl. van overig afval;1996;97.0;1634.0;269.0;94.0;;142.0;;28.0;1.0;1.0;0.0;0.0;2.0;254.0;62.0;4.0;43.0;4.0;0.0;49.0;6.0;21.0;14.0;41.0;8.0;1.0;1.0;15.0;39.0;4.0;11.0;0.0;4.0;1.0;13.0;3.0;3.0
20;Milieudienstverlening;1993;430.0;9754.0;1610.0;;1405.0;;32.0;57.0;;34.0;34.0;35.0;13.0;1453.0;;35.0;476.0;11.0;;298.0;15.0;158.0;80.0;226.0;56.0;91.0;8.0;157.0;530.0;69.0;69.0;25.0;29.0;9.0;303.0;28.0;
21;Milieudienstverlening;1994;458.0;10480.0;1770.0;;1589.0;;39.0;44.0;;24.0;27.0;29.0;17.0;1601.0;;38.0;540.0;6.0;;321.0;19.0;190.0;84.0;235.0;60.0;93.0;15.0;168.0;383.0;15.0;49.0;15.0;34.0;4.0;242.0;25.0;
22;Milieudienstverlening;1995;502.0;11830.0;2016.0;;1828.0;;44.0;48.0;;28.0;30.0;23.0;17.0;1821.0;;52.0;612.0;7.0;;376.0;25.0;193.0;91.0;281.0;82.0;87.0;17.0;195.0;860.0;49.0;74.0;34.0;38.0;5.0;624.0;32.0;5.0
23;Milieudienstverlening;1996;1352.0;12737.0;2250.0;;1996.0;;66.0;51.0;;32.0;30.0;20.0;54.0;2058.0;;57.0;667.0;2.0;;403.0;28.0;236.0;101.0;335.0;122.0;88.0;21.0;191.0;683.0;12.0;116.0;23.0;41.0;5.0;367.0;115.0;5.0
24;Milieudienstverl., <20 werknemers;1993;340.0;2639.0;518.0;;453.0;;6.0;30.0;;6.0;14.0;7.0;2.0;456.0;;15.0;177.0;5.0;;72.0;4.0;43.0;23.0;63.0;19.0;34.0;1.0;63.0;;;;;;;;;
25;Milieudienstverl., <20 werknemers;1994;354.0;2479.0;495.0;;449.0;;4.0;15.0;;6.0;12.0;7.0;2.0;442.0;;12.0;163.0;3.0;;68.0;3.0;48.0;20.0;59.0;19.0;45.0;2.0;53.0;;;;;;;;;
26;Milieudienstverl., <20 werknemers;1995;388.0;2868.0;571.0;;520.0;;7.0;20.0;;6.0;10.0;4.0;5.0;526.0;;22.0;186.0;2.0;;84.0;5.0;56.0;20.0;79.0;27.0;41.0;3.0;44.0;;;;;;;;;
27;Milieudienstverl., <20 werknemers;1996;404.0;2505.0;490.0;;445.0;;11.0;17.0;;5.0;4.0;5.0;2.0;456.0;;26.0;169.0;1.0;;70.0;5.0;46.0;19.0;79.0;20.0;15.0;7.0;34.0;;;;;;;;;
28;Milieudienstverl., >=20 werknemers;1993;90.0;7115.0;1092.0;;952.0;;26.0;27.0;;28.0;21.0;28.0;11.0;998.0;;20.0;299.0;6.0;;226.0;11.0;114.0;57.0;164.0;37.0;57.0;6.0;94.0;;;;;;;;;
