ID;SIC2008PrivateFirmsGovernment;Periods;VacanciesSeasonallyAdjusted_1
0;A-U All economic activities;1997 1st quarter;83.8
1;A-U All economic activities;1997 2nd quarter;86.2
2;A-U All economic activities;1997 3rd quarter;107.6
3;A-U All economic activities;1997 4th quarter;122.9
4;A-U All economic activities;1998 1st quarter;128.0
5;A-U All economic activities;1998 2nd quarter;136.9
6;A-U All economic activities;1998 3rd quarter;145.3
7;A-U All economic activities;1998 4th quarter;144.7
8;A-U All economic activities;1999 1st quarter;152.1
9;A-U All economic activities;1999 2nd quarter;179.4
10;A-U All economic activities;1999 3rd quarter;187.7
11;A-U All economic activities;1999 4th quarter;192.1
12;A-U All economic activities;2000 1st quarter;209.3
13;A-U All economic activities;2000 2nd quarter;201.0
14;A-U All economic activities;2000 3rd quarter;201.2
15;A-U All economic activities;2000 4th quarter;213.9
16;A-U All economic activities;2001 1st quarter;209.7
17;A-U All economic activities;2001 2nd quarter;202.4
18;A-U All economic activities;2001 3rd quarter;187.8
19;A-U All economic activities;2001 4th quarter;173.7
20;A-U All economic activities;2002 1st quarter;172.3
21;A-U All economic activities;2002 2nd quarter;148.0
22;A-U All economic activities;2002 3rd quarter;129.8
23;A-U All economic activities;2002 4th quarter;129.8
24;A-U All economic activities;2003 1st quarter;117.9
25;A-U All economic activities;2003 2nd quarter;112.1
26;A-U All economic activities;2003 3rd quarter;94.0
27;A-U All economic activities;2003 4th quarter;102.4
28;A-U All economic activities;2004 1st quarter;115.8
29;A-U All economic activities;2004 2nd quarter;122.9
30;A-U All economic activities;2004 3rd quarter;120.9
31;A-U All economic activities;2004 4th quarter;128.4
32;A-U All economic activities;2005 1st quarter;148.8
33;A-U All economic activities;2005 2nd quarter;141.3
34;A-U All economic activities;2005 3rd quarter;163.7
35;A-U All economic activities;2005 4th quarter;165.3
36;A-U All economic activities;2006 1st quarter;187.3
37;A-U All economic activities;2006 2nd quarter;209.7
38;A-U All economic activities;2006 3rd quarter;230.1
39;A-U All economic activities;2006 4th quarter;230.3
40;A-U All economic activities;2007 1st quarter;234.9
41;A-U All economic activities;2007 2nd quarter;238.3
42;A-U All economic activities;2007 3rd quarter;246.8
43;A-U All economic activities;2007 4th quarter;249.3
44;A-U All economic activities;2008 1st quarter;247.0
45;A-U All economic activities;2008 2nd quarter;244.9
46;A-U All economic activities;2008 3rd quarter;246.7
47;A-U All economic activities;2008 4th quarter;197.4
48;A-U All economic activities;2009 1st quarter;153.9
49;A-U All economic activities;2009 2nd quarter;128.4
50;A-U All economic activities;2009 3rd quarter;130.7
51;A-U All economic activities;2009 4th quarter;125.4
52;A-U All economic activities;2010 1st quarter;115.6
53;A-U All economic activities;2010 2nd quarter;117.5
54;A-U All economic activities;2010 3rd quarter;125.3
55;A-U All economic activities;2010 4th quarter;128.3
56;A-U All economic activities;2011 1st quarter;135.1
57;A-U All economic activities;2011 2nd quarter;134.7
58;A-U All economic activities;2011 3rd quarter;134.1
59;A-U All economic activities;2011 4th quarter;122.7
60;A-U All economic activities;2012 1st quarter;117.4
61;A-U All economic activities;2012 2nd quarter;109.3
62;A-U All economic activities;2012 3rd quarter;106.6
63;A-U All economic activities;2012 4th quarter;101.7
64;A-U All economic activities;2013 1st quarter;96.3
65;A-U All economic activities;2013 2nd quarter;91.3
66;A-U All economic activities;2013 3rd quarter;95.1
67;A-U All economic activities;2013 4th quarter;96.5
68;A-U All economic activities;2014 1st quarter;104.1
69;A-U All economic activities;2014 2nd quarter;107.5
70;A-U All economic activities;2014 3rd quarter;113.4
71;A-U All economic activities;2014 4th quarter;118.8
72;A-U All economic activities;2015 1st quarter;124.9
73;A-U All economic activities;2015 2nd quarter;130.3
74;A-U All economic activities;2015 3rd quarter;132.9
75;A-U All economic activities;2015 4th quarter;142.7
76;A-U All economic activities;2016 1st quarter;149.5
77;A-U All economic activities;2016 2nd quarter;154.8
78;A-U All economic activities;2016 3rd quarter;162.0
79;A-U All economic activities;2016 4th quarter;171.2
80;A-U All economic activities;2017 1st quarter;185.7
81;A-U All economic activities;2017 2nd quarter;204.7
82;A-U All economic activities;2017 3rd quarter;213.7
83;A-U All economic activities;2017 4th quarter;226.5
84;A-U All economic activities;2018 1st quarter;236.3
85;A-U All economic activities;2018 2nd quarter;250.8
86;A-U All economic activities;2018 3rd quarter;260.8
87;A-U All economic activities;2018 4th quarter;264.0
88;A-U All economic activities;2019 1st quarter;280.9
89;A-U All economic activities;2019 2nd quarter;282.3
90;A-U All economic activities;2019 3rd quarter;284.4
91;A-U All economic activities;2019 4th quarter;285.7
92;A-U All economic activities;2020 1st quarter;217.6
93;A-U All economic activities;2020 2nd quarter;198.2
94;A-U All economic activities;2020 3rd quarter;216.8
95;A-U All economic activities;2020 4th quarter;218.7
96;A-U All economic activities;2021 1st quarter;248.7
97;A-U All economic activities;2021 2nd quarter;324.3
98;A-U All economic activities;2021 3rd quarter;370.0
99;A-U All economic activities;2021 4th quarter;391.8
100;A-U All economic activities;2022 1st quarter;452.8
101;A-U All economic activities;2022 2nd quarter;463.7
102;A-U All economic activities;2022 3rd quarter;445.3
103;A-U All economic activities;2022 4th quarter;437.1
104;A-U All economic activities;2023 1st quarter;432.2
105;A-U All economic activities;2023 2nd quarter;422.2
106;A-U All economic activities;2023 3rd quarter;415.3
107;A-U All economic activities;2023 4th quarter;410.4
108;A-U All economic activities;2024 1st quarter;410.8
109;A-U All economic activities;2024 2nd quarter;401.1
110;A-U All economic activities;2024 3rd quarter;396.5
111;A-U All economic activities;2024 4th quarter;403.7
112;A Agriculture, forestry and fishing;1997 1st quarter;0.5
113;A Agriculture, forestry and fishing;1997 2nd quarter;1.0
114;A Agriculture, forestry and fishing;1997 3rd quarter;1.5
115;A Agriculture, forestry and fishing;1997 4th quarter;1.4
116;A Agriculture, forestry and fishing;1998 1st quarter;1.6
117;A Agriculture, forestry and fishing;1998 2nd quarter;0.9
118;A Agriculture, forestry and fishing;1998 3rd quarter;1.8
119;A Agriculture, forestry and fishing;1998 4th quarter;1.8
120;A Agriculture, forestry and fishing;1999 1st quarter;1.7
121;A Agriculture, forestry and fishing;1999 2nd quarter;1.9
122;A Agriculture, forestry and fishing;1999 3rd quarter;2.0
123;A Agriculture, forestry and fishing;1999 4th quarter;2.2
124;A Agriculture, forestry and fishing;2000 1st quarter;2.2
125;A Agriculture, forestry and fishing;2000 2nd quarter;2.5
126;A Agriculture, forestry and fishing;2000 3rd quarter;2.5
127;A Agriculture, forestry and fishing;2000 4th quarter;3.1
128;A Agriculture, forestry and fishing;2001 1st quarter;2.7
129;A Agriculture, forestry and fishing;2001 2nd quarter;2.0
130;A Agriculture, forestry and fishing;2001 3rd quarter;2.5
131;A Agriculture, forestry and fishing;2001 4th quarter;2.3
132;A Agriculture, forestry and fishing;2002 1st quarter;2.8
133;A Agriculture, forestry and fishing;2002 2nd quarter;2.4
134;A Agriculture, forestry and fishing;2002 3rd quarter;1.4
135;A Agriculture, forestry and fishing;2002 4th quarter;1.9
136;A Agriculture, forestry and fishing;2003 1st quarter;1.5
137;A Agriculture, forestry and fishing;2003 2nd quarter;1.5
138;A Agriculture, forestry and fishing;2003 3rd quarter;1.3
139;A Agriculture, forestry and fishing;2003 4th quarter;1.7
140;A Agriculture, forestry and fishing;2004 1st quarter;2.3
