ID;Regio;Huishoudens_1
0;Nederland;1739157
1;Groningen (provincie);91369
2;Friesland;94491
3;Drenthe;45943
4;Overijssel;109144
5;Gelderland;172490
6;Utrecht (provincie);89803
7;Noord-Holland;357948
8;Zuid-Holland;443555
9;Zeeland;58330
10;Noord-Brabant;171517
11;Limburg;104567
12;Gemeenten met meer dan 100000 inwoners;515276
13;Gemeenten met 50001 - 100000 inwoners;172981
14;Gemeenten met 20001 - 50000 inwoners;200010
15;Gemeenten met 10001 - 20000 inwoners;251035
16;Gemeenten met 5001 - 10000 inwoners;248828
17;Gemeenten met 2001 - 5000 inwoners;252600
18;Gemeenten met 1001 - 2000 inwoners;72794
19;Gemeenten met 501 - 1000 inwoners;23136
20;Gemeenten met 500 of minder inwoners;2497
21;Amsterdam;183994
22;Rotterdam;138053
23;'s-Gravenhage;104171
24;Utrecht;35356
25;Haarlem;28924
26;Groningen;24778
27;Eindhoven;18161
28;Nijmegen;17417
29;Tilburg;16144
30;Arnhem;17887
31;Leiden;15810
32;Maastricht;13121
33;Apeldoorn;13458
34;Hilversum;13332
35;Dordrecht;13243
36;Schiedam;11819
37;Enschede;11624
38;Delft;10965
39;Leeuwarden;11732
40;Heerlen;9285
41;Breda;9557
42;'s-Hertogenbosch;8242
43;Velsen;9449
44;Emmen;7935
45;Zwolle;9434
46;Amersfoort;8414
47;Kerkrade;7572
48;Deventer;8438
49;Hengelo (O.);7762
50;Zaandam;8232
51;Almelo;7320
52;Lonneker;6647
53;Ede;6529
54;Helder (Den);7410
55;Gouda;6717
56;Alkmaar;6852
57;Vlaardingen;6080
58;Haarlemmermeer;5591
59;Helmond;4882
60;Bussum;5739
61;Zeist;5471
62;Rheden;5665
63;Venlo;4807
64;Roosendaal en Nispen;4456
65;Vlissingen;5385
66;Bergen op Zoom;4407
