ID;BedrijfstakkenBranchesSBI2008;Perioden;IndexcijfersOmzet_1;OmzetontwikkelingTOVEenJaarEerder_2
0;H Vervoer en opslag;2005 1e kwartaal;86.6;
1;H Vervoer en opslag;2005 2e kwartaal;95.8;
2;H Vervoer en opslag;2005 3e kwartaal;96.8;
3;H Vervoer en opslag;2005 4e kwartaal;102.2;
4;H Vervoer en opslag;2005;95.3;
5;H Vervoer en opslag;2006 1e kwartaal;93.5;7.9
6;H Vervoer en opslag;2006 2e kwartaal;100.6;5.0
7;H Vervoer en opslag;2006 3e kwartaal;99.8;3.1
8;H Vervoer en opslag;2006 4e kwartaal;105.2;2.9
9;H Vervoer en opslag;2006;99.8;4.6
10;H Vervoer en opslag;2007 1e kwartaal;99.4;6.2
11;H Vervoer en opslag;2007 2e kwartaal;108.4;7.7
12;H Vervoer en opslag;2007 3e kwartaal;109.5;9.7
13;H Vervoer en opslag;2007 4e kwartaal;114.0;8.4
14;H Vervoer en opslag;2007;107.8;8.1
15;H Vervoer en opslag;2008 1e kwartaal;104.8;5.4
16;H Vervoer en opslag;2008 2e kwartaal;114.0;5.2
17;H Vervoer en opslag;2008 3e kwartaal;113.6;3.7
18;H Vervoer en opslag;2008 4e kwartaal;114.2;0.1
19;H Vervoer en opslag;2008;111.6;3.6
20;H Vervoer en opslag;2009 1e kwartaal;93.2;-11.0
21;H Vervoer en opslag;2009 2e kwartaal;97.7;-14.3
22;H Vervoer en opslag;2009 3e kwartaal;98.0;-13.7
23;H Vervoer en opslag;2009 4e kwartaal;100.9;-11.6
24;H Vervoer en opslag;2009;97.5;-12.7
25;H Vervoer en opslag;2010 1e kwartaal;91.3;-2.1
26;H Vervoer en opslag;2010 2e kwartaal;99.8;2.1
27;H Vervoer en opslag;2010 3e kwartaal;103.1;5.2
28;H Vervoer en opslag;2010 4e kwartaal;105.9;4.9
29;H Vervoer en opslag;2010;100.0;2.6
30;H Vervoer en opslag;2011 1e kwartaal;96.9;6.2
31;H Vervoer en opslag;2011 2e kwartaal;105.7;5.9
32;H Vervoer en opslag;2011 3e kwartaal;106.3;3.1
33;H Vervoer en opslag;2011 4e kwartaal;108.3;2.3
34;H Vervoer en opslag;2011;104.3;4.3
35;H Vervoer en opslag;2012 1e kwartaal;100.7;3.9
36;H Vervoer en opslag;2012 2e kwartaal;109.3;3.4
37;H Vervoer en opslag;2012 3e kwartaal;109.6;3.1
38;H Vervoer en opslag;2012 4e kwartaal;110.5;2.0
39;H Vervoer en opslag;2012;107.5;3.1
40;H Vervoer en opslag;2013 1e kwartaal;100.8;0.1
41;H Vervoer en opslag;2013 2e kwartaal;109.2;0.0
42;H Vervoer en opslag;2013 3e kwartaal;110.9;1.2
43;H Vervoer en opslag;2013 4e kwartaal;112.0;1.4
44;H Vervoer en opslag;2013;108.2;0.7
45;H Vervoer en opslag;2014 1e kwartaal;102.4;1.6
46;H Vervoer en opslag;2014 2e kwartaal;111.9;2.5
47;H Vervoer en opslag;2014 3e kwartaal;114.0;2.8
48;H Vervoer en opslag;2014 4e kwartaal;114.3;2.1
49;H Vervoer en opslag;2014;110.7;2.2
50;H Vervoer en opslag;2015 1e kwartaal;104.9;2.4
51;H Vervoer en opslag;2015 2e kwartaal;114.3;2.2
52;H Vervoer en opslag;2015 3e kwartaal;116.3;2.0
53;H Vervoer en opslag;2015 4e kwartaal;118.1;3.3
54;H Vervoer en opslag;2015;113.4;2.5
55;H Vervoer en opslag;2016 1e kwartaal;105.8;0.9
56;H Vervoer en opslag;2016 2e kwartaal;113.6;-0.6
57;H Vervoer en opslag;2016 3e kwartaal;114.3;-1.7
58;H Vervoer en opslag;2016 4e kwartaal;118.3;0.2
59;H Vervoer en opslag;2016;113.0;-0.3
60;H Vervoer en opslag;2017 1e kwartaal;111.4;5.3
61;H Vervoer en opslag;2017 2e kwartaal;119.0;4.7
62;H Vervoer en opslag;2017 3e kwartaal;119.9;4.8
63;H Vervoer en opslag;2017 4e kwartaal;123.5;4.4
64;H Vervoer en opslag;2017;118.4;4.8
65;49 Vervoer over land;2005 1e kwartaal;77.8;
66;49 Vervoer over land;2005 2e kwartaal;87.4;
67;49 Vervoer over land;2005 3e kwartaal;85.2;
68;49 Vervoer over land;2005 4e kwartaal;96.2;
69;49 Vervoer over land;2005;86.6;
70;49 Vervoer over land;2006 1e kwartaal;85.6;10.1
71;49 Vervoer over land;2006 2e kwartaal;96.5;10.4
72;49 Vervoer over land;2006 3e kwartaal;93.5;9.7
73;49 Vervoer over land;2006 4e kwartaal;103.6;7.7
74;49 Vervoer over land;2006;94.8;9.4
75;49 Vervoer over land;2007 1e kwartaal;93.5;9.3
76;49 Vervoer over land;2007 2e kwartaal;103.7;7.5
77;49 Vervoer over land;2007 3e kwartaal;100.5;7.5
78;49 Vervoer over land;2007 4e kwartaal;109.3;5.5
79;49 Vervoer over land;2007;101.8;7.4
80;49 Vervoer over land;2008 1e kwartaal;99.3;6.2
81;49 Vervoer over land;2008 2e kwartaal;109.4;5.5
82;49 Vervoer over land;2008 3e kwartaal;106.5;6.0
83;49 Vervoer over land;2008 4e kwartaal;111.0;1.5
84;49 Vervoer over land;2008;106.5;4.7
85;49 Vervoer over land;2009 1e kwartaal;91.8;-7.5
86;49 Vervoer over land;2009 2e kwartaal;99.5;-9.0
87;49 Vervoer over land;2009 3e kwartaal;95.6;-10.3
88;49 Vervoer over land;2009 4e kwartaal;103.8;-6.5
89;49 Vervoer over land;2009;97.7;-8.3
90;49 Vervoer over land;2010 1e kwartaal;89.8;-2.1
91;49 Vervoer over land;2010 2e kwartaal;101.0;1.5
92;49 Vervoer over land;2010 3e kwartaal;99.2;3.8
93;49 Vervoer over land;2010 4e kwartaal;110.0;6.0
94;49 Vervoer over land;2010;100.0;2.4
95;49 Vervoer over land;2011 1e kwartaal;97.6;8.6
96;49 Vervoer over land;2011 2e kwartaal;106.5;5.5
97;49 Vervoer over land;2011 3e kwartaal;102.5;3.3
98;49 Vervoer over land;2011 4e kwartaal;109.2;-0.7
99;49 Vervoer over land;2011;104.0;4.0
100;49 Vervoer over land;2012 1e kwartaal;99.3;1.8
101;49 Vervoer over land;2012 2e kwartaal;109.5;2.8
102;49 Vervoer over land;2012 3e kwartaal;104.7;2.2
103;49 Vervoer over land;2012 4e kwartaal;110.7;1.3
104;49 Vervoer over land;2012;106.0;2.0
105;49 Vervoer over land;2013 1e kwartaal;98.1;-1.3
106;49 Vervoer over land;2013 2e kwartaal;106.5;-2.7
107;49 Vervoer over land;2013 3e kwartaal;103.0;-1.6
108;49 Vervoer over land;2013 4e kwartaal;113.3;2.3
109;49 Vervoer over land;2013;105.2;-0.8
110;49 Vervoer over land;2014 1e kwartaal;100.1;2.0
111;49 Vervoer over land;2014 2e kwartaal;109.7;3.0
112;49 Vervoer over land;2014 3e kwartaal;107.6;4.4
113;49 Vervoer over land;2014 4e kwartaal;114.3;0.9
114;49 Vervoer over land;2014;107.9;2.6
115;49 Vervoer over land;2015 1e kwartaal;102.8;2.8
116;49 Vervoer over land;2015 2e kwartaal;112.7;2.8
117;49 Vervoer over land;2015 3e kwartaal;109.2;1.5
118;49 Vervoer over land;2015 4e kwartaal;119.1;4.1
119;49 Vervoer over land;2015;111.0;2.8
120;49 Vervoer over land;2016 1e kwartaal;106.3;3.4
121;49 Vervoer over land;2016 2e kwartaal;115.6;2.6
122;49 Vervoer over land;2016 3e kwartaal;111.5;2.1
