ID;Geslacht;Persoonskenmerken;GeboortelandOuders;Herkomstland;RegioS;Perioden;BeroepsEnNietBeroepsbevolking_1;WerkzameBeroepsbevolking_2;NettoArbeidsparticipatie_3;Werknemer_4;WerknemerMetVasteArbeidsrelatie_5;WerknemerMetFlexibeleArbeidsrelatie_6;Zelfstandige_7
0;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Nederland;2021;13140640.0;9106970.0;69.0;83.0;56.0;27.0;17.0
1;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Nederland (LD);2021;1293870.0;869440.0;67.0;84.0;56.0;28.0;16.0
2;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Oost-Nederland (LD);2021;2759920.0;1943890.0;70.0;84.0;57.0;28.0;16.0
3;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;West-Nederland (LD);2021;6301900.0;4366020.0;69.0;83.0;55.0;27.0;17.0
4;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zuid-Nederland (LD);2021;2784920.0;1927600.0;69.0;84.0;58.0;27.0;16.0
5;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Groningen (PV);2021;448960.0;292650.0;65.0;85.0;54.0;31.0;15.0
6;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Fryslân (PV);2021;480740.0;330530.0;69.0;82.0;56.0;27.0;18.0
7;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Drenthe (PV);2021;364180.0;246270.0;68.0;84.0;58.0;26.0;16.0
8;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Overijssel (PV);2021;867890.0;614300.0;71.0;85.0;57.0;28.0;15.0
9;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Flevoland (PV);2021;324620.0;229320.0;71.0;85.0;55.0;30.0;15.0
10;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Gelderland (PV);2021;1567410.0;1100280.0;70.0;83.0;56.0;27.0;17.0
11;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Utrecht (PV);2021;1019990.0;737070.0;72.0;83.0;56.0;27.0;17.0
12;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Holland (PV);2021;2195690.0;1522690.0;69.0;81.0;54.0;28.0;19.0
13;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zuid-Holland (PV);2021;2802950.0;1911330.0;68.0;84.0;56.0;28.0;16.0
14;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zeeland (PV);2021;283270.0;194920.0;69.0;82.0;58.0;25.0;18.0
15;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Brabant (PV);2021;1942460.0;1377490.0;71.0;84.0;57.0;27.0;16.0
16;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Limburg (PV);2021;842460.0;550110.0;65.0;85.0;59.0;27.0;15.0
17;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Oost-Groningen (CR);2021;99570.0;62620.0;63.0;85.0;59.0;27.0;15.0
18;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Delfzijl en omgeving (CR);2021;33310.0;20960.0;63.0;86.0;59.0;27.0;14.0
19;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Overig Groningen (CR);2021;316080.0;209070.0;66.0;85.0;53.0;33.0;15.0
20;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Friesland (CR);2021;239680.0;162610.0;68.0;83.0;55.0;28.0;17.0
21;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zuidwest-Friesland (CR);2021;103620.0;73150.0;71.0;79.0;54.0;25.0;21.0
22;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zuidoost-Friesland (CR);2021;137440.0;94770.0;69.0;83.0;57.0;26.0;17.0
23;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Drenthe (CR);2021;140430.0;96490.0;69.0;84.0;59.0;25.0;16.0
24;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zuidoost-Drenthe (CR);2021;125490.0;81140.0;65.0;85.0;57.0;28.0;15.0
25;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zuidwest-Drenthe (CR);2021;98250.0;68640.0;70.0;83.0;56.0;26.0;17.0
26;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Overijssel (CR);2021;278580.0;205360.0;74.0;85.0;57.0;28.0;15.0
