ID;Voertuigtype;Perioden;VoorSloopVrijgekomenVoertuigen_1;Benzine_2;Diesel_3;LPG_4;Overige_5
0;Totaal motorvoertuigen;2000;327709;272937;36711;18060;1
1;Totaal motorvoertuigen;2001;322523;267241;38014;17267;1
2;Totaal motorvoertuigen;2002;313309;259877;37478;15953;1
3;Totaal motorvoertuigen;2003;309811;260091;35055;14658;7
4;Totaal motorvoertuigen;2004;292864;247316;33598;11935;15
5;Totaal motorvoertuigen;2005;251464;212388;30381;8687;8
6;Totaal motorvoertuigen;2006;241018;207235;25876;7894;13
7;Totaal motorvoertuigen;2007;213149;184080;22236;6827;6
8;Totaal motorvoertuigen;2008;210476;179884;24145;6436;11
9;Totaal motorvoertuigen;2009;262610;220646;34163;7782;19
10;Totaal motorvoertuigen;2010;245838;201948;35263;8603;24
11;Totaal motorvoertuigen;2011;251010;206317;34865;9786;42
12;Totaal motorvoertuigen;2012;238092;195368;34029;8641;54
13;Totaal motorvoertuigen;2013;233765;190127;34648;8912;78
14;Totaal motorvoertuigen;2014;227039;181295;36497;9141;106
15;Totaal motorvoertuigen;2015;201644;163361;31583;6556;144
16;Totaal motorvoertuigen;2016;206393;169709;30482;5982;220
17;Totaal motorvoertuigen;2017;226700;188898;31564;6012;226
18;Totaal motorvoertuigen;2018;242238;201120;35099;5713;306
19;Totaal motorvoertuigen;2019;229734;189324;35066;4943;401
20;Totaal motorvoertuigen;2020;223767;182507;36257;4555;448
21;Totaal motorvoertuigen;2021;220026;186361;28915;4172;578
22;Personenauto;2000;310323;267287;25853;17183;0
23;Personenauto;2001;303866;261731;25676;16459;0
24;Personenauto;2002;294637;254889;24643;15104;1
25;Personenauto;2003;292023;255933;22311;13776;3
26;Personenauto;2004;274573;243295;20262;11013;3
27;Personenauto;2005;231627;208914;15115;7593;5
28;Personenauto;2006;225760;204452;14217;7085;6
29;Personenauto;2007;200836;181978;12731;6123;4
30;Personenauto;2008;198272;178156;14224;5883;9
31;Personenauto;2009;246759;218929;20619;7196;15
32;Personenauto;2010;229629;200503;21056;8048;22
33;Personenauto;2011;235852;205101;21492;9220;39
34;Personenauto;2012;224102;194412;21456;8184;50
35;Personenauto;2013;219836;189245;22058;8460;73
36;Personenauto;2014;213045;180545;23761;8641;98
37;Personenauto;2015;188961;162981;19510;6335;135
38;Personenauto;2016;192967;169374;17592;5794;207
39;Personenauto;2017;211845;188582;17207;5855;201
40;Personenauto;2018;225492;200784;18853;5573;282
41;Personenauto;2019;213530;189029;19334;4807;360
42;Personenauto;2020;207145;182245;20048;4435;417
43;Personenauto;2021;206228;186082;15547;4070;529
44;Totaal bedrijfsmotorvoertuigen;2000;17386;5650;10858;877;1
45;Totaal bedrijfsmotorvoertuigen;2001;18657;5510;12338;808;1
46;Totaal bedrijfsmotorvoertuigen;2002;18672;4988;12835;849;0
47;Totaal bedrijfsmotorvoertuigen;2003;17788;4158;12744;882;4
48;Totaal bedrijfsmotorvoertuigen;2004;18291;4021;13336;922;12
49;Totaal bedrijfsmotorvoertuigen;2005;19837;3474;15266;1094;3
50;Totaal bedrijfsmotorvoertuigen;2006;15258;2783;11659;809;7
51;Totaal bedrijfsmotorvoertuigen;2007;12313;2102;9505;704;2
52;Totaal bedrijfsmotorvoertuigen;2008;12204;1728;9921;553;2
53;Totaal bedrijfsmotorvoertuigen;2009;15851;1717;13544;586;4
54;Totaal bedrijfsmotorvoertuigen;2010;16209;1445;14207;555;2
55;Totaal bedrijfsmotorvoertuigen;2011;15158;1216;13373;566;3
56;Totaal bedrijfsmotorvoertuigen;2012;13990;956;12573;457;4
57;Totaal bedrijfsmotorvoertuigen;2013;13929;882;12590;452;5
58;Totaal bedrijfsmotorvoertuigen;2014;13994;750;12736;500;8
59;Totaal bedrijfsmotorvoertuigen;2015;12683;380;12073;221;9
60;Totaal bedrijfsmotorvoertuigen;2016;13426;335;12890;188;13
61;Totaal bedrijfsmotorvoertuigen;2017;14855;316;14357;157;25
62;Totaal bedrijfsmotorvoertuigen;2018;16746;336;16246;140;24
63;Totaal bedrijfsmotorvoertuigen;2019;16204;295;15732;136;41
64;Totaal bedrijfsmotorvoertuigen;2020;16622;262;16209;120;31
65;Totaal bedrijfsmotorvoertuigen;2021;13798;279;13368;102;49
66;Bestelauto;2000;15181;5489;8847;844;1
