ID;GewassenEnSectoren;MechanischeBestrijding;Perioden;AantalBedrijvenMetToepassing_1;PercentageBedrijvenMetGebruik_2;GrootteOppervlakteMetToepassing_3;PercentageOppervlakteMetToepassing_4;OppervlakteMetToepassing_5;PercentageOppervlakteMetToepassing_6;Januari_7;Februari_8;Maart_9;April_10;Mei_11;Juni_12;Juli_13;Augustus_14;September_15;Oktober_16;November_17;December_18
0;Teeltsector akkerbouw;Machinale onkruidbestrijding;1995;23369.0;22.2;167868.0;23.5;;;0.4;;;3.2;10.6;10.1;0.9;0.1;0.1;0.1;;
1;Teeltsector akkerbouw;Machinale onkruidbestrijding;1998;21628.0;21.4;162792.0;22.1;;;0.7;;;1.0;14.8;7.1;3.5;0.3;0.2;0.0;;
2;Teeltsector akkerbouw;Machinale onkruidbestrijding;2000;38563.0;42.7;273586.0;38.0;;;0.3;;;1.9;15.7;11.3;1.9;0.5;0.4;0.2;;
3;Teeltsector akkerbouw;Machinale onkruidbestrijding;2004;33156.0;39.3;275281.0;37.4;0.6;-1.7;1.5;0.0;0.0;3.7;17.3;9.8;1.7;0.2;0.0;0.1;0.0;0.0
4;Teeltsector akkerbouw;Handmatige onkruidbestrijding;1995;6245.0;5.9;21606.0;3.0;;;0.0;;;0.2;0.9;1.7;1.8;0.7;0.0;0.0;;
5;Teeltsector akkerbouw;Handmatige onkruidbestrijding;1998;6193.0;6.1;35266.0;4.8;;;0.2;;;0.1;0.6;2.7;2.9;1.5;0.1;0.1;;
6;Teeltsector akkerbouw;Handmatige onkruidbestrijding;2000;7390.0;8.2;37764.0;5.2;;;0.0;;;0.7;0.8;4.0;2.8;1.3;0.2;0.1;;
7;Teeltsector akkerbouw;Handmatige onkruidbestrijding;2004;3281.0;3.9;20073.0;2.7;-46.8;-48.1;0.0;0.0;0.0;0.1;1.1;1.2;1.4;0.7;0.0;0.1;0.0;0.0
8;Teeltsector akkerbouw;Ov.niet-chem. onkruidbestrijding;1995;6083.0;5.8;60421.0;8.4;;;0.0;;;0.1;1.1;10.3;1.6;0.0;0.0;0.0;;
9;Teeltsector akkerbouw;Ov.niet-chem. onkruidbestrijding;1998;5823.0;5.8;56477.0;7.7;;;0.0;;;0.1;5.4;3.0;0.9;0.0;0.0;0.0;;
