ID;TypeAccommodatie;BelangrijksteActiviteit;Perioden;Gasten_1
0;Totaal accommodaties;Totaal belangrijkste activiteit;2005/'06;100
1;Totaal accommodaties;Zaken;2005/'06;30
2;Totaal accommodaties;Attracties en bezienswaardigheden;2005/'06;24
3;Totaal accommodaties;Natuur;2005/'06;20
4;Totaal accommodaties;Overig;2005/'06;26
5;Hotel en pension;Totaal belangrijkste activiteit;2005/'06;100
6;Hotel en pension;Zaken;2005/'06;37
7;Hotel en pension;Attracties en bezienswaardigheden;2005/'06;25
8;Hotel en pension;Natuur;2005/'06;12
9;Hotel en pension;Overig;2005/'06;26
10;Andere accommodaties;Totaal belangrijkste activiteit;2005/'06;100
11;Andere accommodaties;Zaken;2005/'06;3
12;Andere accommodaties;Attracties en bezienswaardigheden;2005/'06;16
13;Andere accommodaties;Natuur;2005/'06;54
14;Andere accommodaties;Overig;2005/'06;28
