ID;Geslacht;Leeftijd;Herkomstgroepering;Uitkeringsduur;Perioden;PersonenMetEenWerkloosheidsuitkering_1
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;0;2005 september;251320
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;0;2006 september;214600
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;0;2007 september;164510
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;1;2005 september;76520
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;1;2006 september;67600
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;1;2007 september;52730
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2;2005 september;53500
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2;2006 september;41010
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2;2007 september;27880
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;3;2005 september;30190
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;3;2006 september;25510
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;3;2007 september;18630
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;4;2005 september;23480
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;4;2006 september;20230
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;4;2007 september;16040
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;6;2005 september;38620
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;6;2006 september;24480
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;6;2007 september;19940
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;8;2005 september;23760
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;8;2006 september;30870
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;8;2007 september;23220
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;5 jaar of langer;2005 september;5260
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;5 jaar of langer;2006 september;4910
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;5 jaar of langer;2007 september;6070
24;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;0;2005 september;186320
25;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;0;2006 september;161390
26;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;0;2007 september;124370
27;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;1;2005 september;55100
28;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;1;2006 september;48280
29;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;1;2007 september;37550
30;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2;2005 september;39190
31;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2;2006 september;30270
32;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2;2007 september;20290
33;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;3;2005 september;22240
