ID;BuildingTypesServicesSector;FloorareaSize;ConstructionPeriod;AverageConsumptionOfNaturalGas_1;AverageConsumptionOfElectricity_2
0;Retail with cooling;0 to 250 m2;To 1921;19.8;219.7
1;Retail with cooling;0 to 250 m2;1922 to 1976;20.2;232.0
2;Retail with cooling;0 to 250 m2;1977 to 1993;16.4;243.2
3;Retail with cooling;0 to 250 m2;From1994;14.4;233.9
4;Retail with cooling;250 to 500 m2;To 1921;18.6;186.8
5;Retail with cooling;250 to 500 m2;1922 to 1976;17.8;179.8
6;Retail with cooling;250 to 500 m2;1977 to 1993;17.9;169.2
7;Retail with cooling;250 to 500 m2;From1994;12.5;148.9
8;Retail with cooling;500 to 1 000 m2;To 1921;16.5;224.1
9;Retail with cooling;500 to 1 000 m2;1922 to 1976;15.7;252.2
10;Retail with cooling;500 to 1 000 m2;1977 to 1993;12.6;256.7
11;Retail with cooling;500 to 1 000 m2;From1994;9.9;221.1
12;Retail with cooling;1 000 to 2 500 m2;To 1921;12.0;237.2
13;Retail with cooling;1 000 to 2 500 m2;1922 to 1976;12.0;289.3
14;Retail with cooling;1 000 to 2 500 m2;1977 to 1993;12.0;293.8
15;Retail with cooling;1 000 to 2 500 m2;From1994;9.3;265.3
16;Retail with cooling;2 500 to 5 000 m2;To 1921;;
17;Retail with cooling;2 500 to 5 000 m2;1922 to 1976;;217.9
18;Retail with cooling;2 500 to 5 000 m2;1977 to 1993;;
19;Retail with cooling;2 500 to 5 000 m2;From1994;5.9;196.9
20;Retail without cooling;0 to 250 m2;To 1921;17.8;98.7
21;Retail without cooling;0 to 250 m2;1922 to 1976;18.1;101.4
22;Retail without cooling;0 to 250 m2;1977 to 1993;14.9;119.9
23;Retail without cooling;0 to 250 m2;From1994;12.8;116.4
24;Retail without cooling;250 to 500 m2;To 1921;12.8;80.1
25;Retail without cooling;250 to 500 m2;1922 to 1976;12.6;82.2
26;Retail without cooling;250 to 500 m2;1977 to 1993;10.7;90.1
27;Retail without cooling;250 to 500 m2;From1994;8.8;94.7
28;Retail without cooling;500 to 1 000 m2;To 1921;9.7;70.3
29;Retail without cooling;500 to 1 000 m2;1922 to 1976;9.4;67.7
30;Retail without cooling;500 to 1 000 m2;1977 to 1993;8.6;72.0
31;Retail without cooling;500 to 1 000 m2;From1994;6.9;74.6
