ID;Vervoersrichting;Perioden;TotaalVervoerdGewicht_1;DoorNederlandseSchepen_2;AlleSchepen_3;NederlandseSchepen_4;TotaalGelost_5;LandbouwproductenDieren_6;VoedingsproductenVeevoeder_7;VasteBrandstoffen_8;AardolieenAardolieproducten_9;ErtsenEnMetaalresiduen_10;MetalenMetalenHalffabrikaten_11;RuweMineralenEnBouwmaterialen_12;Meststoffen_13;ChemischeProducten_14;OverigeGoederenEnFabrikaten_15;AlleSchepen_16;NederlandseSchepen_17;TotaalGeladen_18;LandbouwproductenDieren_19;VoedingsproductenVeevoeder_20;VasteBrandstoffen_21;AardolieenAardolieproducten_22;ErtsenEnMetaalresiduen_23;MetalenMetalenHalffabrikaten_24;RuweMineralenEnBouwmaterialen_25;Meststoffen_26;ChemischeProducten_27;OverigeGoederenEnFabrikaten_28;AlleSchepen_29;NederlandseSchepen_30;TotaleLadingtonkilometer_31;WOInNederland_32;TotaleLadingtonkilometer_33;WOInNederland_34
0;Alle vervoersrichtingen;1996 januari;16116;10617;3636;2644;3636;505;251;90;358;170;123;1257;65;423;394;10041;6613;10041;125;687;976;2566;2912;131;991;342;534;776;2439;1361;6243;2258;3995;1488
1;Alle vervoersrichtingen;1996 februari;13546;8761;3030;2112;3030;311;193;96;359;128;187;923;25;406;402;8464;5522;8464;74;485;753;2514;2399;110;810;230;570;518;2053;1128;4802;1856;3008;1199
2;Alle vervoersrichtingen;1996 maart;17952;12100;4716;3599;4716;381;237;99;444;218;199;2057;68;546;466;10240;6774;10240;154;600;1057;2323;2899;146;1414;361;629;656;2996;1727;6610;2612;4260;1752
3;Alle vervoersrichtingen;1996 1e kwartaal;47614;31478;11382;8355;11382;1197;681;285;1161;516;509;4237;158;1375;1262;28745;18909;28745;353;1772;2786;7403;8210;387;3215;933;1733;1950;7488;4216;17655;6726;11263;4439
4;Alle vervoersrichtingen;1996 april;17236;11723;4621;3533;4621;350;222;102;355;155;212;2233;60;380;553;9877;6635;9877;120;667;934;2296;2739;146;1469;241;574;691;2738;1554;6524;2472;4253;1685
5;Alle vervoersrichtingen;1996 mei;17844;11976;4489;3296;4489;306;208;77;306;174;203;2309;63;364;479;10477;7052;10477;165;535;1239;2471;2843;135;1598;221;590;679;2878;1628;6804;2559;4360;1724
6;Alle vervoersrichtingen;1996 juni;17323;11434;4320;3209;4320;325;179;97;290;159;167;2261;70;285;487;10357;6789;10357;119;596;1012;2330;3042;129;1669;284;525;652;2645;1436;6685;2482;4189;1647
7;Alle vervoersrichtingen;1996 2e kwartaal;52403;35133;13430;10038;13430;981;609;276;951;488;582;6803;193;1029;1519;30711;20476;30711;404;1798;3185;7097;8624;410;4736;746;1689;2022;8261;4618;20013;7513;12802;5056
8;Alle vervoersrichtingen;1996 juli;16845;11097;3608;2661;3608;295;136;56;271;189;120;1624;82;342;492;10367;6903;10367;97;604;1180;2573;2822;133;1355;340;608;654;2870;1532;6794;2440;4277;1606
9;Alle vervoersrichtingen;1996 augustus;16513;10826;3934;2942;3934;331;219;55;268;139;189;1809;47;385;492;9831;6315;9831;97;506;1276;2401;2387;109;1504;246;502;805;2748;1569;6538;2382;4155;1579
10;Alle vervoersrichtingen;1996 september;16345;10931;4128;2999;4128;336;211;35;286;149;203;2018;89;315;485;9880;6553;9880;77;614;823;2552;2507;122;1548;278;565;793;2337;1379;6084;2317;3844;1558
11;Alle vervoersrichtingen;1996 3e kwartaal;49703;32854;11670;8602;11670;962;566;146;825;477;512;5451;218;1042;1469;30078;19771;30078;271;1724;3279;7526;7716;364;4407;864;1675;2252;7955;4480;19416;7139;12276;4743
12;Alle vervoersrichtingen;1996 oktober;17736;11968;4280;3186;4280;367;221;54;317;94;188;2163;62;372;443;10833;7267;10833;94;686;1346;2553;2756;128;1586;206;626;852;2623;1514;6504;2535;4210;1719
13;Alle vervoersrichtingen;1996 november;17964;12019;4189;3156;4189;395;256;45;303;110;148;2142;54;296;440;11162;7382;11162;104;644;1111;2956;3169;153;1331;246;608;840;2613;1481;6879;2561;4420;1715
14;Alle vervoersrichtingen;1996 december;15714;10315;3227;2313;3227;316;212;45;359;103;119;1235;44;348;446;10378;6851;10378;99;636;1284;2967;2550;130;994;222;544;952;2109;1151;5919;2204;3748;1461
15;Alle vervoersrichtingen;1996 4e kwartaal;51414;34302;11696;8655;11696;1078;689;144;979;307;455;5540;160;1016;1329;32373;21500;32373;297;1966;3741;8476;8475;411;3911;674;1778;2644;7345;4146;19302;7300;12378;4895
16;Alle vervoersrichtingen;1996;201135;133767;48179;35651;48179;4219;2546;851;3916;1789;2057;22030;730;4463;5578;121906;80657;121906;1325;7262;12991;30502;33024;1573;16268;3217;6876;8869;31050;17459;76387;28678;48720;19134
17;Alle vervoersrichtingen;1997 januari;15865;9840;2463;1654;2463;260;171;73;178;119;110;667;43;281;561;11302;7048;11302;155;711;1245;3607;2296;122;1185;275;780;927;2100;1138;5827;2213;3612;1378
18;Alle vervoersrichtingen;1997 februari;17594;11114;4021;2869;4021;406;208;75;285;222;222;1604;66;305;627;10827;6645;10827;90;616;1059;2687;3003;114;1336;427;596;899;2745;1599;6719;2567;4262;1642
19;Alle vervoersrichtingen;1997 maart;19222;12186;4652;3398;4652;355;189;67;292;348;225;1952;82;356;785;11697;7147;11697;76;753;1723;2088;3252;165;1660;369;602;1009;2873;1641;7539;2812;4764;1802
20;Alle vervoersrichtingen;1997 1e kwartaal;52681;33140;11136;7921;11136;1021;568;215;755;689;557;4223;191;942;1973;33826;20840;33826;321;2080;4027;8382;8551;401;4181;1071;1978;2835;7718;4378;20085;7592;12638;4822
21;Alle vervoersrichtingen;1997 april;18909;12104;4642;3402;4642;340;243;61;268;246;201;2121;60;291;811;11340;7060;11340;103;665;1711;1984;2783;214;1818;461;637;964;2927;1642;7250;2757;4590;1780
22;Alle vervoersrichtingen;1997 mei;20865;13117;4797;3521;4797;412;264;26;250;253;183;2180;75;337;817;13018;7874;13018;127;727;1684;3270;3265;154;1704;311;670;1104;3050;1722;8408;3053;5224;1936
23;Alle vervoersrichtingen;1997 juni;21179;13220;5053;3806;5053;329;219;46;333;253;194;2558;46;361;714;12925;7647;12925;113;633;1827;3204;3058;185;1898;368;679;960;3202;1767;8320;3098;5115;1948
24;Alle vervoersrichtingen;1997 2e kwartaal;60953;38441;14492;10729;14492;1081;726;133;851;752;578;6859;181;989;2342;37283;22581;37283;343;2025;5222;8458;9106;553;5420;1140;1986;3028;9179;5131;23978;8908;14929;5664
25;Alle vervoersrichtingen;1997 juli;19992;12352;4231;3109;4231;354;209;68;305;145;180;1823;54;332;761;12402;7347;12402;131;599;1555;2953;3197;145;1468;388;806;1159;3360;1896;7767;2926;4743;1823
26;Alle vervoersrichtingen;1997 augustus;18792;11664;4547;3271;4547;443;301;72;233;307;234;1800;55;357;746;11079;6647;11079;67;539;1352;2366;2963;144;1635;309;687;1017;3166;1746;7274;2795;4469;1751
27;Alle vervoersrichtingen;1997 september;19063;12326;4824;3661;4824;302;257;53;283;187;248;2375;50;351;717;11323;6953;11323;77;635;1196;2745;2828;152;1633;308;674;1075;2916;1711;7134;2790;4482;1825
28;Alle vervoersrichtingen;1997 3e kwartaal;57847;36342;13602;10041;13602;1099;767;193;821;639;662;5998;159;1040;2224;34804;20947;34804;275;1773;4103;8064;8988;441;4736;1005;2167;3251;9442;5353;22175;8511;13694;5399
29;Alle vervoersrichtingen;1997 oktober;19217;12293;4581;3447;4581;416;287;45;245;150;227;2101;41;352;716;11902;7276;11902;64;700;1228;3093;2921;154;1734;277;666;1064;2735;1571;6985;2803;4358;1816
30;Alle vervoersrichtingen;1997 november;17299;11174;4233;3136;4233;371;299;50;228;90;184;1944;49;276;741;10406;6501;10406;83;632;1075;2275;2732;167;1422;311;666;1043;2661;1537;6198;2521;3949;1656
31;Alle vervoersrichtingen;1997 december;16553;10154;3526;2575;3526;307;297;41;186;97;171;1330;46;384;667;10415;6197;10415;53;608;1131;2174;3184;142;1242;255;775;852;2611;1381;6036;2400;3585;1491
32;Alle vervoersrichtingen;1997 4e kwartaal;53069;33621;12340;9158;12340;1094;883;136;659;337;582;5375;136;1012;2124;32723;19974;32723;200;1940;3434;7542;8837;463;4398;843;2107;2959;8007;4489;19219;7724;11892;4963
33;Alle vervoersrichtingen;1997;224549;141545;51569;37850;51569;4294;2943;677;3087;2418;2379;22455;668;3983;8664;138636;84344;138636;1138;7817;16787;32446;35481;1859;18737;4059;8238;12074;34344;19351;85457;32736;53153;20848
34;Alle vervoersrichtingen;1998 januari;18901;11914;4050;2903;4050;340;218;83;269;95;299;1633;59;421;634;11662;7151;11662;85;598;1477;2503;3567;263;1261;301;615;991;3189;1859;7157;2759;4424;1743
35;Alle vervoersrichtingen;1998 februari;16869;10586;4010;2921;4010;349;201;56;273;113;277;1618;56;398;669;10134;6084;10134;66;505;1404;2181;2893;243;1096;365;534;848;2724;1581;6034;2443;3720;1544
