ID;LeeftijdReferentiepersoon;Perioden;TotaalParen_1;GeenKinderen_2;k_1Kind_3;k_2Kinderen_4;k_3OfMeerKinderen_5;TotaalEenouderhuishoudens_6;k_1Kind_7;k_2Kinderen_8;k_3OfMeerKinderen_9
0;Totaal;2019;4267598;2245977;759905;908430;353286;580438;357599;169805;53034
1;Totaal;2020;4285676;2265493;763809;905536;350838;586991;362366;171389;53236
2;Totaal;2021;4301212;2282589;766958;902963;348702;592288;366328;172612;53348
3;Totaal;2022;4314242;2296906;769679;900754;346903;596496;369562;173523;53411
4;Totaal;2023;4326257;2309320;771736;899366;345835;599875;372305;174113;53457
5;Totaal;2024;4337422;2320189;772711;898867;345655;602775;374472;174720;53583
6;Totaal;2025;4347405;2330201;772801;898722;345681;604930;376140;175104;53686
7;Totaal;2026;4356341;2338308;771966;899695;346372;606618;377356;175472;53790
8;Totaal;2027;4364019;2344802;769752;901854;347611;607988;378148;175914;53926
9;Totaal;2028;4370367;2348958;767040;904996;349373;609235;378810;176312;54113
10;Totaal;2029;4375291;2350066;763825;909578;351822;610733;379396;176976;54361
11;Totaal;2030;4378834;2348441;760881;914883;354629;612494;380103;177709;54682
12;Totaal;2031;4381108;2345119;757600;920728;357661;614286;380736;178508;55042
13;Totaal;2032;4382132;2340317;753711;927146;360958;616194;381386;179427;55381
14;Totaal;2033;4382009;2335319;749241;933377;364072;617695;381753;180262;55680
15;Totaal;2034;4380791;2327918;744953;940376;367544;620035;382456;181446;56133
16;Totaal;2035;4378306;2319861;740714;946963;370768;622205;383079;182625;56501
17;Totaal;2036;4374851;2310261;737636;953342;373612;624822;384042;183909;56871
18;Totaal;2037;4370491;2300048;735327;959125;375991;627610;385208;185216;57186
19;Totaal;2038;4365358;2288757;733924;964532;378145;630784;386802;186528;57454
20;Totaal;2039;4359593;2276728;733404;969531;379930;634204;388483;187970;57751
21;Totaal;2040;4353384;2264247;734095;973762;381280;637751;390448;189302;58001
22;Totaal;2041;4346876;2252379;735585;976885;382027;641097;392516;190427;58154
23;Totaal;2042;4340292;2241201;737896;978955;382240;644226;394709;191293;58224
24;Totaal;2043;4333808;2230536;740878;980255;382139;647157;396898;192014;58245
25;Totaal;2044;4327633;2220509;744329;980952;381843;650008;399108;192680;58220
26;Totaal;2045;4322006;2211474;748105;981078;381349;652576;401156;193245;58175
27;Totaal;2046;4316983;2203608;752389;980498;380488;654860;403165;193627;58068
28;Totaal;2047;4312729;2197118;756755;979446;379410;656800;404974;193865;57961
29;Totaal;2048;4309353;2192015;761013;978108;378217;658400;406527;194016;57857
30;Totaal;2049;4306899;2188391;765265;976436;376807;659591;407933;194001;57657
31;Totaal;2050;4305386;2186033;769376;974630;375347;660360;408997;193894;57469
32;Totaal;2051;4304855;2184959;773459;972670;373767;660728;409904;193599;57225
33;Totaal;2052;4305270;2184983;777221;970797;372269;660648;410389;193242;57017
34;Totaal;2053;4306620;2185900;780469;969258;370993;660306;410509;192937;56860
35;Totaal;2054;4308861;2187596;783539;967870;369856;659694;410473;192545;56676
36;Totaal;2055;4311987;2189938;786227;966810;369012;658910;410248;192138;56524
37;Totaal;2056;4315985;2192850;788804;966005;368326;657962;409930;191659;56373
38;Totaal;2057;4320803;2196264;790834;965711;367994;656982;409438;191262;56282
39;Totaal;2058;4326450;2200181;792157;966020;368092;655934;408705;190962;56267
40;Totaal;2059;4332876;2204545;793089;966733;368509;654917;407974;190652;56291
41;Totaal;2060;4340005;2209292;793667;967854;369192;653952;407236;190401;56315
42;15 tot 20 jaar;2019;2338;2154;122;38;24;582;551;31;0
43;15 tot 20 jaar;2020;2243;2051;127;40;25;647;612;35;0
44;15 tot 20 jaar;2021;2135;1944;126;40;25;653;618;35;0
45;15 tot 20 jaar;2022;2052;1860;127;40;25;654;619;35;0
46;15 tot 20 jaar;2023;1973;1781;127;40;25;641;607;34;0
47;15 tot 20 jaar;2024;1888;1700;125;39;24;627;594;33;0
48;15 tot 20 jaar;2025;1834;1648;124;38;24;614;581;33;0
49;15 tot 20 jaar;2026;1805;1620;123;38;24;611;579;32;0
50;15 tot 20 jaar;2027;1781;1596;123;38;24;608;576;32;0
51;15 tot 20 jaar;2028;1800;1613;124;39;24;610;578;32;0
52;15 tot 20 jaar;2029;1783;1595;125;39;24;608;575;33;0
53;15 tot 20 jaar;2030;1751;1563;125;39;24;601;569;32;0
54;15 tot 20 jaar;2031;1714;1528;123;39;24;591;560;31;0
55;15 tot 20 jaar;2032;1675;1490;122;39;24;585;554;31;0
56;15 tot 20 jaar;2033;1647;1463;121;39;24;580;549;31;0
57;15 tot 20 jaar;2034;1655;1470;121;39;25;583;552;31;0
58;15 tot 20 jaar;2035;1625;1441;120;39;25;575;544;31;0
59;15 tot 20 jaar;2036;1630;1446;120;39;25;575;545;30;0
60;15 tot 20 jaar;2037;1607;1424;119;39;25;573;543;30;0
61;15 tot 20 jaar;2038;1606;1423;119;39;25;576;546;30;0
62;15 tot 20 jaar;2039;1628;1443;120;40;25;584;553;31;0
63;15 tot 20 jaar;2040;1653;1464;122;41;26;593;562;31;0
64;15 tot 20 jaar;2041;1685;1495;123;41;26;601;569;32;0
65;15 tot 20 jaar;2042;1719;1526;125;42;26;609;577;32;0
66;15 tot 20 jaar;2043;1758;1564;126;42;26;617;584;33;0
67;15 tot 20 jaar;2044;1798;1602;128;42;26;624;591;33;0
68;15 tot 20 jaar;2045;1835;1636;130;43;26;631;598;33;0
69;15 tot 20 jaar;2046;1868;1666;133;43;26;636;602;34;0
70;15 tot 20 jaar;2047;1896;1693;134;43;26;638;604;34;0
71;15 tot 20 jaar;2048;1920;1715;136;43;26;642;608;34;0
72;15 tot 20 jaar;2049;1940;1734;137;43;26;644;610;34;0
73;15 tot 20 jaar;2050;1956;1748;139;43;26;644;610;34;0
74;15 tot 20 jaar;2051;1966;1760;139;42;25;643;609;34;0
75;15 tot 20 jaar;2052;1972;1765;140;42;25;642;608;34;0
76;15 tot 20 jaar;2053;1976;1768;141;42;25;642;608;34;0
77;15 tot 20 jaar;2054;1975;1767;141;42;25;639;605;34;0
78;15 tot 20 jaar;2055;1972;1763;142;42;25;637;603;34;0
79;15 tot 20 jaar;2056;1966;1760;141;41;24;635;601;34;0
80;15 tot 20 jaar;2057;1954;1747;142;41;24;632;598;34;0
81;15 tot 20 jaar;2058;1944;1737;142;41;24;629;596;33;0
82;15 tot 20 jaar;2059;1931;1725;141;41;24;624;591;33;0
83;15 tot 20 jaar;2060;1919;1715;140;40;24;622;589;33;0
84;20 tot 25 jaar;2019;51203;45318;4432;1164;289;7712;6049;1460;203
85;20 tot 25 jaar;2020;50470;44599;4416;1167;288;7513;5893;1424;196
86;20 tot 25 jaar;2021;50225;44292;4459;1185;289;7421;5809;1422;190
87;20 tot 25 jaar;2022;50090;44021;4555;1219;295;7542;5903;1452;187
88;20 tot 25 jaar;2023;50372;44191;4630;1248;303;7622;5966;1468;188
89;20 tot 25 jaar;2024;50137;43897;4665;1267;308;7643;5977;1478;188
90;20 tot 25 jaar;2025;49782;43519;4670;1281;312;7648;5980;1479;189
91;20 tot 25 jaar;2026;48955;42701;4651;1288;315;7532;5887;1459;186
92;20 tot 25 jaar;2027;48217;41997;4613;1290;317;7444;5819;1442;183
93;20 tot 25 jaar;2028;47295;41125;4563;1288;319;7329;5733;1416;180
94;20 tot 25 jaar;2029;46143;40031;4510;1283;319;7187;5627;1384;176
95;20 tot 25 jaar;2030;45385;39311;4474;1280;320;7089;5552;1364;173
96;20 tot 25 jaar;2031;45016;38960;4452;1282;322;7058;5527;1359;172
97;20 tot 25 jaar;2032;44715;38673;4433;1285;324;7044;5512;1360;172
98;20 tot 25 jaar;2033;44812;38778;4416;1290;328;7045;5510;1362;173
99;20 tot 25 jaar;2034;44383;38379;4383;1291;330;6995;5471;1352;172
100;20 tot 25 jaar;2035;43814;37855;4339;1289;331;6927;5421;1336;170
101;20 tot 25 jaar;2036;43104;37193;4296;1284;331;6820;5339;1314;167
102;20 tot 25 jaar;2037;42546;36679;4258;1278;331;6758;5292;1301;165
103;20 tot 25 jaar;2038;42201;36360;4236;1275;330;6711;5253;1294;164
104;20 tot 25 jaar;2039;42195;36366;4221;1276;332;6724;5267;1293;164
105;20 tot 25 jaar;2040;41930;36115;4211;1273;331;6674;5229;1282;163
106;20 tot 25 jaar;2041;42044;36225;4215;1273;331;6693;5248;1282;163
107;20 tot 25 jaar;2042;42037;36208;4228;1272;329;6703;5259;1282;162
108;20 tot 25 jaar;2043;42470;36602;4263;1276;329;6771;5312;1295;164
109;20 tot 25 jaar;2044;43201;37278;4310;1283;330;6855;5377;1312;166
110;20 tot 25 jaar;2045;44030;38042;4366;1292;330;6948;5449;1331;168
111;20 tot 25 jaar;2046;44917;38857;4428;1301;331;7053;5531;1351;171
112;20 tot 25 jaar;2047;45778;39644;4491;1311;332;7147;5604;1370;173
113;20 tot 25 jaar;2048;46631;40424;4552;1322;333;7240;5675;1389;176
114;20 tot 25 jaar;2049;47414;41140;4609;1331;334;7321;5737;1406;178
115;20 tot 25 jaar;2050;48076;41742;4660;1339;335;7390;5790;1420;180
116;20 tot 25 jaar;2051;48625;42241;4702;1346;336;7441;5830;1430;181
117;20 tot 25 jaar;2052;49053;42626;4739;1352;336;7483;5862;1439;182
118;20 tot 25 jaar;2053;49379;42919;4766;1357;337;7512;5884;1445;183
119;20 tot 25 jaar;2054;49602;43117;4787;1361;337;7529;5897;1449;183
120;20 tot 25 jaar;2055;49732;43233;4798;1363;338;7534;5901;1450;183
121;20 tot 25 jaar;2056;49781;43277;4803;1363;338;7527;5896;1448;183
122;20 tot 25 jaar;2057;49758;43253;4804;1363;338;7515;5887;1445;183
123;20 tot 25 jaar;2058;49686;43187;4800;1361;338;7501;5877;1441;183
