ID;Perioden;IndexcijfersOmzet_1;OmzetontwikkelingTOVEenJaarEerder_2
0;2005 januari;93.6;-14.5
1;2005 februari;103.5;3.0
2;2005 maart;127.0;-1.7
3;2005 1e kwartaal;108.0;-4.4
4;2005 april;117.5;5.5
5;2005 mei;111.5;4.8
6;2005 juni;137.6;5.3
7;2005 2e kwartaal;122.2;5.2
8;2005 juli;103.2;-3.4
9;2005 augustus;86.9;1.2
10;2005 september;124.4;10.0
11;2005 3e kwartaal;104.8;2.9
12;2005 oktober;113.6;-3.2
13;2005 november;101.6;-2.2
14;2005 december;148.5;1.8
15;2005 4e kwartaal;121.2;-0.9
16;2005;114.1;0.6
17;2006 januari;108.3;15.7
18;2006 februari;117.2;13.2
19;2006 maart;128.7;1.3
20;2006 1e kwartaal;118.0;9.3
21;2006 april;116.5;-0.9
22;2006 mei;131.7;18.1
23;2006 juni;139.9;1.7
24;2006 2e kwartaal;129.4;5.8
25;2006 juli;107.4;4.0
26;2006 augustus;96.1;10.6
27;2006 september;126.5;1.7
28;2006 3e kwartaal;110.0;4.9
29;2006 oktober;116.4;2.5
30;2006 november;109.8;8.1
31;2006 december;148.0;-0.3
32;2006 4e kwartaal;124.7;2.9
33;2006;120.5;5.7
34;2007 januari;111.4;2.9
35;2007 februari;117.0;-0.2
36;2007 maart;141.7;10.1
37;2007 1e kwartaal;123.4;4.5
38;2007 april;120.0;3.0
39;2007 mei;132.1;0.3
40;2007 juni;146.7;4.9
41;2007 2e kwartaal;133.0;2.8
42;2007 juli;122.5;14.1
43;2007 augustus;99.6;3.7
44;2007 september;122.7;-3.0
45;2007 3e kwartaal;115.0;4.5
46;2007 oktober;139.0;19.4
47;2007 november;117.8;7.3
48;2007 december;125.5;-15.2
49;2007 4e kwartaal;127.5;2.2
50;2007;124.7;3.4
51;2008 januari;134.5;20.7
52;2008 februari;121.3;3.7
53;2008 maart;126.7;-10.6
54;2008 1e kwartaal;127.5;3.3
55;2008 april;117.7;-1.9
56;2008 mei;123.0;-6.9
57;2008 juni;132.1;-9.9
58;2008 2e kwartaal;124.3;-6.5
59;2008 juli;113.1;-7.7
60;2008 augustus;89.2;-10.4
61;2008 september;121.7;-0.8
62;2008 3e kwartaal;108.0;-6.0
63;2008 oktober;105.3;-24.3
64;2008 november;85.3;-27.6
65;2008 december;105.3;-16.1
66;2008 4e kwartaal;98.6;-22.6
67;2008;114.6;-8.1
68;2009 januari;72.2;-46.3
69;2009 februari;92.1;-24.1
70;2009 maart;97.2;-23.3
71;2009 1e kwartaal;87.1;-31.6
72;2009 april;78.6;-33.2
73;2009 mei;78.1;-36.5
74;2009 juni;93.0;-29.6
75;2009 2e kwartaal;83.2;-33.0
76;2009 juli;81.0;-28.4
77;2009 augustus;65.9;-26.1
78;2009 september;88.6;-27.2
79;2009 3e kwartaal;78.5;-27.3
80;2009 oktober;85.7;-18.6
81;2009 november;76.3;-10.6
82;2009 december;96.8;-8.0
83;2009 4e kwartaal;86.3;-12.5
84;2009;83.8;-26.9
85;2010 januari;76.8;6.4
86;2010 februari;85.6;-7.0
87;2010 maart;119.2;22.6
88;2010 1e kwartaal;93.9;7.7
89;2010 april;91.4;16.3
90;2010 mei;95.7;22.5
91;2010 juni;112.3;20.8
92;2010 2e kwartaal;99.8;19.9
93;2010 juli;95.2;17.6
94;2010 augustus;82.8;25.6
95;2010 september;111.3;25.6
96;2010 3e kwartaal;96.5;22.9
97;2010 oktober;108.2;26.3
98;2010 november;97.0;27.1
99;2010 december;124.4;28.5
100;2010 4e kwartaal;109.9;27.3
101;2010;100.0;19.3
102;2011 januari;99.3;29.3
103;2011 februari;117.6;37.4
104;2011 maart;131.5;10.3
105;2011 1e kwartaal;116.1;23.7
106;2011 april;114.2;24.9
107;2011 mei;116.8;22.0
108;2011 juni;116.5;3.7
109;2011 2e kwartaal;115.8;16.0
110;2011 juli;105.4;10.7
111;2011 augustus;89.2;7.6
112;2011 september;115.8;4.0
113;2011 3e kwartaal;103.5;7.3
114;2011 oktober;111.4;3.0
115;2011 november;106.4;9.7
116;2011 december;128.4;3.2
117;2011 4e kwartaal;115.4;5.0
118;2011;112.7;12.7
119;2012 januari;107.7;8.5
120;2012 februari;111.0;-5.6
121;2012 maart;129.8;-1.3
122;2012 1e kwartaal;116.2;0.0
123;2012 april;130.5;14.3
124;2012 mei;142.9;22.3
125;2012 juni;159.9;37.3
126;2012 2e kwartaal;144.4;24.7
127;2012 juli;84.1;-20.2
128;2012 augustus;75.0;-15.9
129;2012 september;100.7;-13.0
130;2012 3e kwartaal;86.6;-16.3
131;2012 oktober;106.8;-4.2
132;2012 november;97.4;-8.5
133;2012 december;113.0;-12.0
134;2012 4e kwartaal;105.7;-8.4
135;2012;113.2;0.5
136;2013 januari;76.9;-28.6
137;2013 februari;87.3;-21.4
138;2013 maart;103.7;-20.1
139;2013 1e kwartaal;89.3;-23.1
140;2013 april;92.1;-29.4
141;2013 mei;92.9;-35.0
142;2013 juni;112.2;-29.8
143;2013 2e kwartaal;99.0;-31.4
144;2013 juli;88.7;5.5
145;2013 augustus;74.6;-0.5
146;2013 september;101.5;0.7
147;2013 3e kwartaal;88.3;1.9
148;2013 oktober;119.7;12.1
149;2013 november;120.7;23.9
150;2013 december ;153.5;35.9
151;2013 4e kwartaal ;131.3;24.2
152;2013;102.0;-9.9
153;2014 januari;76.0;-1.1
154;2014 februari;89.3;2.3
155;2014 maart;105.3;1.5
156;2014 1e kwartaal;90.2;1.0
157;2014 april;97.7;6.1
158;2014 mei;94.4;1.6
159;2014 juni;103.5;-7.7
160;2014 2e kwartaal;98.5;-0.5
161;2014 juli;89.2;0.5
162;2014 augustus;69.7;-6.6
163;2014 september;103.0;1.6
164;2014 3e kwartaal;87.3;-1.1
165;2014 oktober;107.6;-10.1
166;2014 november;101.1;-16.2
167;2014 december;145.5;-5.2
168;2014 4e kwartaal;118.1;-10.1
169;2014;98.5;-3.4
170;2015 januari;75.3;-1.0
171;2015 februari;83.0;-7.1
172;2015 maart;105.8;0.5
173;2015 1e kwartaal;88.0;-2.4
174;2015 april;94.7;-3.1
175;2015 mei;101.2;7.2
176;2015 juni;124.8;20.6
177;2015 2e kwartaal;106.9;8.5
178;2015 juli;108.9;22.1
179;2015 augustus;82.8;18.8
180;2015 september;129.3;25.4
181;2015 3e kwartaal;107.0;22.5
182;2015 oktober;140.4;30.5
183;2015 november;158.1;56.3
184;2015 december;199.2;36.9
185;2015 4e kwartaal;165.9;40.5
186;2015;116.9;18.7
187;2016 januari;75.8;0.7
188;2016 februari;96.1;15.9
189;2016 maart;114.4;8.2
190;2016 1e kwartaal;95.5;8.5
191;2016 april;100.7;6.4
192;2016 mei;102.9;1.7
193;2016 juni;131.0;4.9
194;2016 2e kwartaal;111.5;4.3
195;2016 juli;87.3;-19.8
196;2016 augustus;82.4;-0.4
197;2016 september;120.9;-6.4
198;2016 3e kwartaal;96.9;-9.4
199;2016 oktober;111.4;-20.6
200;2016 november;123.8;-21.7
201;2016 december;182.5;-8.4
202;2016 4e kwartaal;139.2;-16.1
203;2016;110.8;-5.3
204;2017 januari;78.9;4.1
205;2017 februari;106.6;10.8
206;2017 maart;124.6;8.9
207;2017 1e kwartaal;103.4;8.3
208;2017 april;102.7;2.0
209;2017 mei;124.3;20.8
210;2017 juni;142.0;8.4
211;2017 2e kwartaal;123.0;10.3
212;2017 juli;99.3;13.7
213;2017 augustus;92.2;11.8
214;2017 september;119.4;-1.3
215;2017 3e kwartaal;103.6;6.9
216;2017 oktober;126.1;13.2
217;2017 november;128.0;3.4
218;2017 december;166.1;-9.0
219;2017 4e kwartaal;140.1;0.6
220;2017;117.5;6.1
