ID;Kwartielen;SBI93;Perioden;AantalOndernemingen_1;ToegevoegdeWaardeInNettoOmzet_2;LonenSalarissenInVanNettoOmzet_3;BrutoBedrijfsresultaatInNettoOmzet_4;NettoBedrijfsresultaatInNettoOmzet_5;FinancieelResultaatInNettoOmzet_6;VoorradenInNettoOmzet_7;RenteLastenInNettoOmzet_8;AantalOndernemingen_9;ResVoorBelastingInEigenVermogen_10;NettoresultaatInEigenVermogen_11;AantalOndernemingen_12;NettoResultaatInTotaalVermogen_13;FinanVasteActivaInTotaalVermogen_14;MaterVasteActivaInTotaalVermogen_15;VlottendeMiddelenInTotaalVermogen_16;NettoOmzetInTotaalVermogen_17;EigenVermogenInTotaalVermogen_18;VoorzieningenInTotaalVermogen_19;SchuldenLangInTotaalVermogen_20;SchuldenKortInTotaalVermogen_21;AantalOndernemingen_22;FinResultaatInBrutoBedrijfsresult_23;AantalOndernemingen_24;RenteLastenInBrutoBedrijfsresult_25
0;Kwartiel 1;A0 Landbouw, jacht en bosbouw;1999;3581;24.28;7.81;2.94;-5.53;-6.69;0.0;0.37;2787;-4.89;-1.84;3705;-2.72;0.0;1.98;16.95;14.74;0.3;0.0;0.0;7.66;2808;-34.57;2827;2.86
1;Kwartiel 1;A0 Landbouw, jacht en bosbouw;2000;4604;23.4;7.58;2.31;-6.55;-5.76;0.0;0.31;3542;-3.65;0.0;4701;-2.57;0.0;3.63;18.77;16.62;0.45;0.0;0.0;8.77;3623;-31.25;3623;2.33
2;Kwartiel 1;A0 Landbouw, jacht en bosbouw;2001;3605;24.02;7.68;2.77;-5.72;-6.68;0.0;0.36;3115;-5.0;-2.25;4156;-3.13;0.0;0.0;15.87;6.63;0.0;0.0;0.0;6.22;2826;-34.57;2845;2.83
3;Kwartiel 1;A0 Landbouw, jacht en bosbouw;2002;2510;22.58;7.96;2.15;-6.21;-6.32;0.0;0.33;1947;-7.41;-4.0;2644;-3.43;0.0;1.42;15.85;13.43;-1.24;0.0;0.0;7.13;1950;-36.72;1960;3.47
4;Kwartiel 1;B0 Visserij;1999;224;35.45;5.67;1.42;-5.73;-6.84;0.0;0.0;165;-6.32;-6.05;226;-1.75;0.04;0.0;7.01;12.66;-4.0;0.0;0.0;6.27;171;-36.44;171;1.56
5;Kwartiel 1;B0 Visserij;2000;270;28.14;5.7;-0.93;-10.67;-6.09;0.0;0.0;193;-6.72;-4.05;268;-3.19;0.07;0.0;7.07;13.82;-5.26;0.0;0.0;8.26;199;-35.83;199;0.44
6;Kwartiel 1;B0 Visserij;2001;225;35.43;6.14;2.96;-5.45;-6.59;0.0;0.0;192;-5.31;-4.9;259;-1.76;0.0;0.0;7.59;5.83;-2.32;0.0;0.0;5.15;175;-36.44;175;1.62
7;Kwartiel 1;B0 Visserij;2002;142;32.14;5.0;-5.56;-17.35;-7.47;0.0;0.0;106;-9.24;-9.82;143;-3.64;0.0;0.0;5.29;9.47;-6.58;0.0;0.0;5.58;101;-42.11;102;0.0
8;Kwartiel 1;CA Energiehoudende delfstoffenwinning;1999;22;15.13;0.0;7.62;2.52;-2.17;0.0;0.12;19;17.91;12.29;24;-0.39;0.0;0.0;56.76;53.64;3.98;0.0;0.0;35.64;20;-12.53;20;0.36
9;Kwartiel 1;CA Energiehoudende delfstoffenwinning;2000;59;10.1;0.0;0.75;-7.27;-1.15;0.0;0.0;45;-0.49;-2.03;60;-2.28;0.0;0.76;30.32;30.48;0.01;0.0;0.0;10.31;45;-7.04;45;0.0
