ID;Energieverbruikers;Perioden;Energie_1;SteenkoolEnBruinkool_2;Steenkoolcokes_3;Cokesovengas_4;Hoogovengas_5;OverigeSteenkoolderivaten_6;RuweAardolie_7;Aardgascondensaat_8;OverigeAardoliegrondstoffen_9;Lpg_10;Nafta_11;Benzine_12;Kerosine_13;GasolieEnLichteStookolie_14;Autodiesel_15;Stookolie_16;Restgas_17;Smeermiddelen_18;Bitumen_19;OverigeOlieproducten_20;Aardgas_21;HernieuwbareEnergie_22;Elektriciteit_23;StoomEnOfWarmWater_24;AnderePrimaireEnergiebronnen_25;OmzettingVerliezen_26
41;A-U Alle economische activiteiten;2009;2803.0;18.0;31.0;6.0;9.0;4.0;;100.0;;66.0;190.0;26.0;169.0;89.0;238.0;54.0;163.0;6.0;11.0;48.0;512.0;7.0;321.0;218.0;17.0;501.0
42;A-U Alle economische activiteiten;2010;2963.0;19.0;35.0;7.0;10.0;7.0;;101.0;8.0;64.0;220.0;26.0;171.0;80.0;238.0;56.0;166.0;6.0;9.0;55.0;594.0;5.0;330.0;230.0;16.0;511.0
43;A-U Alle economische activiteiten;2011;2815.0;24.0;37.0;7.0;10.0;7.0;;104.0;10.0;73.0;162.0;26.0;180.0;87.0;241.0;49.0;162.0;6.0;9.0;53.0;515.0;5.0;336.0;226.0;16.0;471.0
44;A Landbouw, bosbouw en visserij;1990;167.0;;;;;;;;;2.0;;0.0;0.0;24.0;2.0;1.0;;0.0;;;118.0;;13.0;8.0;;
45;A Landbouw, bosbouw en visserij;1991;189.0;;;;;;;;;2.0;;0.0;0.0;25.0;2.0;1.0;;0.0;;;134.0;;14.0;9.0;;2.0
46;A Landbouw, bosbouw en visserij;1992;186.0;;;;;;;;;2.0;;0.0;0.0;24.0;2.0;1.0;;0.0;;;130.0;;14.0;10.0;;2.0
47;A Landbouw, bosbouw en visserij;1993;196.0;;;;;;;;;2.0;;0.0;0.0;25.0;2.0;1.0;;0.0;;;138.0;;14.0;11.0;;2.0
48;A Landbouw, bosbouw en visserij;1994;187.0;;;;;;;;;2.0;;0.0;0.0;25.0;1.0;1.0;;0.0;;;128.0;0.0;15.0;12.0;;2.0
49;A Landbouw, bosbouw en visserij;1995;190.0;;;;;;;;;3.0;;0.0;0.0;26.0;1.0;1.0;;0.0;;;129.0;0.0;14.0;14.0;;2.0
50;A Landbouw, bosbouw en visserij;1996;208.0;;;;;;;;;3.0;;0.0;0.0;24.0;2.0;1.0;;0.0;;;144.0;0.0;15.0;17.0;;2.0
51;A Landbouw, bosbouw en visserij;1997;187.0;;;;;;;;;2.0;;0.0;0.0;24.0;1.0;1.0;;0.0;;;120.0;0.0;15.0;20.0;;2.0
52;A Landbouw, bosbouw en visserij;1998;188.0;;;;;;;;;3.0;;0.0;0.0;24.0;2.0;1.0;;0.0;;;118.0;0.0;15.0;22.0;;2.0
53;A Landbouw, bosbouw en visserij;1999;184.0;;;;;;;;;3.0;;0.0;0.0;25.0;2.0;2.0;;0.0;;;110.0;0.0;17.0;22.0;;3.0
54;A Landbouw, bosbouw en visserij;2000;188.0;;;;;;;;;4.0;;0.0;0.0;25.0;2.0;2.0;;0.0;;;114.0;0.0;17.0;22.0;;3.0
55;A Landbouw, bosbouw en visserij;2001;183.0;;;;;;;;;3.0;;0.0;0.0;24.0;2.0;2.0;;0.0;;;110.0;0.0;18.0;21.0;;3.0
56;A Landbouw, bosbouw en visserij;2002;176.0;;;;;;;;;4.0;;0.0;0.0;24.0;2.0;2.0;;0.0;;;103.0;0.0;19.0;20.0;;3.0
57;A Landbouw, bosbouw en visserij;2003;173.0;;;;;;;;;3.0;;0.0;0.0;23.0;2.0;2.0;;0.0;;;100.0;0.0;19.0;20.0;;3.0
58;A Landbouw, bosbouw en visserij;2004;174.0;;;;;;;;;3.0;;0.0;0.0;22.0;2.0;2.0;;0.0;;;100.0;0.0;21.0;20.0;;4.0
59;A Landbouw, bosbouw en visserij;2005;171.0;;;;;;;;;3.0;;0.0;0.0;22.0;2.0;2.0;;0.0;;;97.0;0.0;20.0;22.0;;4.0
60;A Landbouw, bosbouw en visserij;2006;154.0;;;;;;;;;4.0;;0.0;0.0;21.0;2.0;1.0;;0.0;;;75.0;0.0;18.0;27.0;;5.0
61;A Landbouw, bosbouw en visserij;2007;154.0;;;;;;;;;2.0;;0.0;0.0;21.0;2.0;2.0;;0.0;;;48.0;1.0;25.0;40.0;;14.0
62;A Landbouw, bosbouw en visserij;2008;153.0;;;;;;;;;2.0;;0.0;0.0;20.0;2.0;2.0;;0.0;;;27.0;1.0;27.0;54.0;;18.0
63;A Landbouw, bosbouw en visserij;2009;158.0;;;;;;;;;4.0;;0.0;0.0;19.0;2.0;2.0;;0.0;;;23.0;1.0;33.0;55.0;;19.0
64;A Landbouw, bosbouw en visserij;2010;172.0;;;;;;;;;4.0;;0.0;0.0;19.0;2.0;2.0;;0.0;;;35.0;1.0;30.0;57.0;;21.0
65;A Landbouw, bosbouw en visserij;2011;152.0;;;;;;;;;4.0;;0.0;0.0;19.0;2.0;2.0;;0.0;;;16.0;1.0;29.0;58.0;;20.0
66;B-E Nijverheid (geen bouw) en energie;1990;1574.0;33.0;38.0;10.0;8.0;;;;;84.0;93.0;3.0;1.0;10.0;14.0;28.0;149.0;2.0;;69.0;336.0;3.0;142.0;156.0;4.0;394.0
67;B-E Nijverheid (geen bouw) en energie;1991;1577.0;28.0;35.0;10.0;6.0;;;;;82.0;81.0;3.0;0.0;9.0;14.0;31.0;136.0;3.0;;71.0;350.0;4.0;144.0;158.0;4.0;408.0
68;B-E Nijverheid (geen bouw) en energie;1992;1590.0;25.0;31.0;10.0;8.0;;;;;75.0;115.0;3.0;0.0;6.0;15.0;30.0;125.0;3.0;;59.0;342.0;4.0;145.0;166.0;4.0;423.0
69;B-E Nijverheid (geen bouw) en energie;1993;1566.0;28.0;33.0;11.0;10.0;;;;;63.0;88.0;3.0;0.0;3.0;16.0;30.0;136.0;3.0;;70.0;342.0;4.0;145.0;160.0;4.0;419.0
70;B-E Nijverheid (geen bouw) en energie;1994;1599.0;20.0;42.0;11.0;9.0;;;;;49.0;97.0;3.0;0.0;3.0;17.0;31.0;132.0;3.0;;93.0;340.0;3.0;150.0;172.0;4.0;421.0
71;B-E Nijverheid (geen bouw) en energie;1995;1618.0;18.0;46.0;11.0;10.0;;;;0.0;51.0;120.0;2.0;0.0;2.0;17.0;29.0;130.0;2.0;;70.0;345.0;5.0;151.0;174.0;4.0;430.0
72;B-E Nijverheid (geen bouw) en energie;1996;1618.0;21.0;43.0;10.0;10.0;;;;1.0;44.0;108.0;3.0;0.0;2.0;18.0;29.0;131.0;2.0;;66.0;353.0;5.0;155.0;181.0;4.0;431.0
73;B-E Nijverheid (geen bouw) en energie;1997;1630.0;26.0;43.0;11.0;9.0;;;;;59.0;98.0;2.0;0.0;2.0;15.0;17.0;120.0;2.0;;83.0;356.0;5.0;160.0;179.0;5.0;438.0
74;B-E Nijverheid (geen bouw) en energie;1998;1650.0;25.0;39.0;9.0;9.0;;;;0.0;62.0;100.0;2.0;0.0;2.0;14.0;16.0;114.0;3.0;;80.0;357.0;5.0;164.0;184.0;5.0;461.0
75;B-E Nijverheid (geen bouw) en energie;1999;1649.0;25.0;38.0;7.0;8.0;3.0;;;0.0;60.0;115.0;2.0;0.0;3.0;15.0;15.0;119.0;3.0;;86.0;353.0;5.0;166.0;194.0;4.0;428.0
76;B-E Nijverheid (geen bouw) en energie;2000;1696.0;21.0;35.0;6.0;9.0;2.0;;;0.0;65.0;131.0;2.0;1.0;2.0;16.0;13.0;122.0;2.0;;96.0;345.0;5.0;170.0;192.0;4.0;455.0
77;B-E Nijverheid (geen bouw) en energie;2001;1741.0;24.0;36.0;6.0;9.0;2.0;;;0.0;59.0;147.0;2.0;0.0;2.0;16.0;15.0;129.0;2.0;;91.0;322.0;5.0;174.0;195.0;4.0;498.0
78;B-E Nijverheid (geen bouw) en energie;2002;1756.0;25.0;37.0;6.0;10.0;2.0;;;1.0;66.0;144.0;2.0;0.0;3.0;17.0;11.0;142.0;2.0;;85.0;319.0;5.0;179.0;194.0;5.0;503.0
79;B-E Nijverheid (geen bouw) en energie;2003;1816.0;26.0;39.0;6.0;10.0;3.0;;;1.0;68.0;179.0;2.0;0.0;3.0;17.0;10.0;154.0;2.0;;94.0;311.0;5.0;179.0;197.0;5.0;506.0
80;B-E Nijverheid (geen bouw) en energie;2004;1865.0;27.0;38.0;8.0;11.0;2.0;;;3.0;77.0;173.0;3.0;0.0;3.0;15.0;8.0;158.0;2.0;;105.0;315.0;6.0;183.0;203.0;7.0;518.0
81;B-E Nijverheid (geen bouw) en energie;2005;1898.0;29.0;36.0;8.0;11.0;2.0;;;1.0;68.0;212.0;3.0;0.0;3.0;16.0;8.0;151.0;3.0;;139.0;318.0;6.0;184.0;202.0;10.0;490.0
82;B-E Nijverheid (geen bouw) en energie;2006;1792.0;25.0;33.0;8.0;11.0;2.0;;;2.0;54.0;150.0;3.0;1.0;3.0;17.0;8.0;167.0;3.0;;164.0;301.0;6.0;184.0;170.0;11.0;471.0
83;B-E Nijverheid (geen bouw) en energie;2007;1886.0;30.0;37.0;8.0;11.0;3.0;;103.0;;59.0;219.0;4.0;3.0;3.0;17.0;8.0;183.0;2.0;;46.0;303.0;6.0;187.0;169.0;12.0;474.0
84;B-E Nijverheid (geen bouw) en energie;2008;1801.0;24.0;36.0;8.0;12.0;3.0;;109.0;0.0;64.0;168.0;4.0;3.0;2.0;16.0;8.0;165.0;3.0;;50.0;290.0;6.0;186.0;166.0;14.0;466.0
85;B-E Nijverheid (geen bouw) en energie;2009;1755.0;18.0;31.0;6.0;9.0;3.0;;100.0;;60.0;190.0;4.0;4.0;2.0;14.0;3.0;163.0;2.0;;48.0;277.0;6.0;166.0;150.0;15.0;483.0
86;B-E Nijverheid (geen bouw) en energie;2010;1872.0;19.0;35.0;7.0;10.0;3.0;;101.0;8.0;58.0;220.0;3.0;3.0;1.0;15.0;7.0;166.0;2.0;;55.0;314.0;4.0;177.0;157.0;14.0;491.0
87;B-E Nijverheid (geen bouw) en energie;2011;1772.0;24.0;37.0;7.0;10.0;3.0;;104.0;10.0;67.0;162.0;3.0;2.0;2.0;16.0;1.0;162.0;2.0;;53.0;313.0;4.0;175.0;152.0;14.0;448.0
88;B Delfstoffenwinning;1990;30.0;;;;;;;;;;;0.0;;0.0;1.0;;;0.0;;;26.0;;1.0;1.0;;0.0
89;B Delfstoffenwinning;1991;33.0;;;;;;;;;;;0.0;;0.0;1.0;;;0.0;;;29.0;;1.0;0.0;;0.0
90;B Delfstoffenwinning;1992;36.0;;;;;;;;;;;0.0;;0.0;1.0;;;0.0;;;32.0;;1.0;1.0;;0.0
91;B Delfstoffenwinning;1993;36.0;;;;;;;;;;;0.0;;0.0;2.0;;;0.0;;;30.0;;1.0;2.0;;0.0
92;B Delfstoffenwinning;1994;33.0;;;;;;;;;;;0.0;;0.0;2.0;;;0.0;;;28.0;;1.0;2.0;;0.0
93;B Delfstoffenwinning;1995;31.0;0.0;;;;;;;;;;0.0;;0.0;2.0;;;;;;27.0;;1.0;1.0;;0.0
94;B Delfstoffenwinning;1996;37.0;0.0;;;;;;;;;;0.0;;0.0;2.0;;;;;;33.0;;1.0;1.0;;0.0
95;B Delfstoffenwinning;1997;37.0;0.0;;;;;;;;0.0;;0.0;;0.0;1.0;;;;;;32.0;;1.0;2.0;;0.0
96;B Delfstoffenwinning;1998;46.0;0.0;;;;;;;;;;0.0;;1.0;1.0;;;;;;39.0;;1.0;3.0;;0.0
97;B Delfstoffenwinning;1999;42.0;0.0;;;;;;;;;;0.0;;0.0;1.0;;;;;;36.0;;2.0;3.0;;0.0
98;B Delfstoffenwinning;2000;51.0;0.0;;;;;;;;;;0.0;;0.0;1.0;;;;;;36.0;;3.0;10.0;;0.0
99;B Delfstoffenwinning;2001;53.0;0.0;;;;;;;;;;0.0;;0.0;1.0;;;;;;38.0;;5.0;8.0;;0.0
100;B Delfstoffenwinning;2002;55.0;0.0;;;;;;;;;;0.0;;1.0;1.0;;;;;;36.0;;8.0;8.0;;1.0
101;B Delfstoffenwinning;2003;57.0;0.0;;;;;;;;;;0.0;;2.0;1.0;;;;;;34.0;;10.0;9.0;;1.0
102;B Delfstoffenwinning;2004;58.0;0.0;;;;;;;;;;0.0;;2.0;1.0;;;;;;34.0;;11.0;9.0;;1.0
103;B Delfstoffenwinning;2005;56.0;0.0;;;;;;;;;;0.0;;1.0;1.0;;;;;;32.0;;11.0;10.0;;1.0
104;B Delfstoffenwinning;2006;51.0;0.0;;;;;;;;;;0.0;;1.0;1.0;;;;;;29.0;;11.0;9.0;;0.0
105;B Delfstoffenwinning;2007;48.0;0.0;;;;;;;;;;0.0;;1.0;1.0;;;;;;26.0;;10.0;9.0;;0.0
106;B Delfstoffenwinning;2008;45.0;0.0;;;;;;;;;;0.0;;1.0;1.0;;;;;;27.0;;11.0;5.0;;0.0
107;B Delfstoffenwinning;2009;44.0;0.0;;;;;;;;;;0.0;;1.0;1.0;;;;;;28.0;;9.0;4.0;;0.0
108;B Delfstoffenwinning;2010;48.0;0.0;;;;;;;;;;0.0;;0.0;1.0;;;;;;31.0;;11.0;4.0;;0.0
109;B Delfstoffenwinning;2011;49.0;0.0;;;;;;;;;;0.0;;1.0;1.0;;;;;;30.0;;11.0;6.0;;0.0
110;C Industrie;1990;1197.0;33.0;38.0;10.0;8.0;;;;;83.0;93.0;2.0;1.0;10.0;12.0;28.0;149.0;2.0;;69.0;306.0;3.0;126.0;151.0;3.0;73.0
111;C Industrie;1991;1181.0;28.0;35.0;10.0;6.0;;;;;81.0;81.0;2.0;0.0;8.0;13.0;31.0;136.0;3.0;;71.0;318.0;3.0;125.0;153.0;3.0;74.0
112;C Industrie;1992;1180.0;25.0;31.0;10.0;8.0;;;;;74.0;115.0;3.0;0.0;5.0;13.0;30.0;125.0;3.0;;59.0;308.0;2.0;126.0;159.0;3.0;80.0
113;C Industrie;1993;1156.0;28.0;33.0;11.0;10.0;;;;;62.0;88.0;2.0;0.0;2.0;14.0;30.0;136.0;3.0;;70.0;307.0;2.0;126.0;151.0;3.0;77.0
114;C Industrie;1994;1181.0;20.0;42.0;11.0;9.0;;;;;48.0;97.0;2.0;0.0;3.0;14.0;31.0;132.0;3.0;;93.0;309.0;2.0;130.0;163.0;3.0;70.0
115;C Industrie;1995;1209.0;18.0;46.0;11.0;10.0;;;;0.0;51.0;120.0;2.0;0.0;2.0;14.0;29.0;130.0;2.0;;70.0;316.0;3.0;134.0;168.0;4.0;80.0
116;C Industrie;1996;1197.0;21.0;43.0;10.0;10.0;;;;1.0;43.0;108.0;2.0;0.0;2.0;15.0;29.0;131.0;2.0;;66.0;318.0;3.0;137.0;174.0;4.0;78.0
117;C Industrie;1997;1219.0;26.0;43.0;11.0;9.0;;;;;58.0;98.0;2.0;0.0;1.0;13.0;17.0;120.0;2.0;;83.0;322.0;3.0;140.0;171.0;4.0;94.0
118;C Industrie;1998;1218.0;25.0;39.0;9.0;9.0;;;;0.0;61.0;100.0;2.0;0.0;2.0;13.0;16.0;114.0;3.0;;80.0;315.0;3.0;144.0;175.0;4.0;105.0
119;C Industrie;1999;1241.0;25.0;38.0;7.0;8.0;3.0;;;0.0;60.0;115.0;2.0;0.0;2.0;14.0;15.0;119.0;3.0;;86.0;314.0;3.0;146.0;186.0;3.0;93.0
120;C Industrie;2000;1267.0;21.0;35.0;6.0;9.0;2.0;;;0.0;65.0;131.0;2.0;1.0;2.0;14.0;13.0;122.0;2.0;;96.0;307.0;3.0;148.0;176.0;3.0;108.0
121;C Industrie;2001;1276.0;24.0;36.0;6.0;9.0;2.0;;;0.0;59.0;147.0;2.0;0.0;2.0;14.0;15.0;129.0;2.0;;91.0;282.0;3.0;149.0;181.0;2.0;119.0
122;C Industrie;2002;1276.0;25.0;37.0;6.0;10.0;2.0;;;1.0;66.0;144.0;2.0;0.0;1.0;15.0;11.0;142.0;2.0;;85.0;280.0;3.0;151.0;180.0;3.0;112.0
123;C Industrie;2003;1331.0;26.0;39.0;6.0;10.0;3.0;;;1.0;67.0;179.0;2.0;0.0;1.0;15.0;10.0;154.0;2.0;;94.0;274.0;3.0;148.0;182.0;3.0;112.0
124;C Industrie;2004;1367.0;27.0;38.0;8.0;11.0;2.0;;;3.0;77.0;173.0;3.0;0.0;1.0;13.0;8.0;158.0;2.0;;105.0;278.0;4.0;151.0;188.0;3.0;114.0
125;C Industrie;2005;1410.0;29.0;36.0;8.0;11.0;2.0;;;1.0;68.0;212.0;3.0;0.0;1.0;14.0;8.0;151.0;3.0;;139.0;283.0;4.0;152.0;186.0;4.0;95.0
126;C Industrie;2006;1335.0;25.0;33.0;8.0;11.0;2.0;;;2.0;54.0;150.0;3.0;1.0;2.0;15.0;8.0;167.0;3.0;;164.0;270.0;4.0;152.0;155.0;3.0;105.0
127;C Industrie;2007;1417.0;30.0;37.0;8.0;11.0;3.0;;103.0;;59.0;219.0;3.0;3.0;1.0;15.0;8.0;183.0;2.0;;46.0;275.0;4.0;155.0;155.0;3.0;93.0
128;C Industrie;2008;1322.0;24.0;36.0;8.0;12.0;3.0;;109.0;0.0;64.0;168.0;3.0;3.0;1.0;14.0;8.0;165.0;3.0;;50.0;259.0;4.0;154.0;156.0;3.0;76.0
129;C Industrie;2009;1261.0;18.0;31.0;6.0;9.0;3.0;;100.0;;60.0;190.0;4.0;4.0;1.0;12.0;3.0;163.0;2.0;;48.0;246.0;4.0;135.0;141.0;3.0;78.0
