ID;SIC2008;Periods;AutumnSurveyT1_1;SpringSurveyT_2;AutumnSurveyT_3;AutumnSurveyT1_4;AutumnSurveyT_5;AutumnSurveyT1_6;AutumnSurveyT_7;AutumnSurveyT1_8;AutumnSurveyT_9;AutumnSurveyT1_10;AutumnSurveyT_11
0;C Manufacturing;2010;;;-21.0;;38.0;;32.0;;14.0;;17.0
1;C Manufacturing;2011;24.0;25.0;26.0;40.0;37.0;34.0;35.0;16.0;17.0;10.0;11.0
2;C Manufacturing;2012;5.0;7.0;5.0;43.0;36.0;32.0;34.0;14.0;19.0;10.0;11.0
3;C Manufacturing;2013;1.0;7.0;-3.0;37.0;39.0;32.0;28.0;20.0;19.0;11.0;15.0
4;C Manufacturing;2014;2.0;9.0;1.0;42.0;44.0;30.0;30.0;19.0;18.0;10.0;9.0
5;C Manufacturing;2015;15.0;16.0;9.0;44.0;40.0;30.0;33.0;18.0;16.0;8.0;11.0
6;C Manufacturing;2016;4.0;-3.0;4.0;40.0;43.0;34.0;33.0;17.0;15.0;10.0;10.0
7;C Manufacturing;2017;13.0;15.0;19.0;42.0;40.0;32.0;35.0;16.0;15.0;10.0;10.0
8;C Manufacturing;2018;16.0;25.0;44.0;35.0;33.0;43.0;41.0;14.0;16.0;8.0;10.0
9;C Manufacturing;2019;-7.0;8.0;3.0;36.0;35.0;33.0;42.0;19.0;13.0;12.0;9.0
10;C Manufacturing;2020;-2.0;-11.0;-11.0;40.0;36.0;32.0;34.0;14.0;17.0;13.0;12.0
11;C Manufacturing;2021;-3.0;6.0;;39.0;;31.0;;17.0;;14.0;
12;10-12 Manufacture of food and beverages;2010;;;-24.0;;37.0;;35.0;;18.0;;10.0
13;10-12 Manufacture of food and beverages;2011;15.0;8.0;13.0;32.0;35.0;43.0;37.0;15.0;18.0;9.0;10.0
14;10-12 Manufacture of food and beverages;2012;13.0;23.0;20.0;36.0;35.0;34.0;33.0;19.0;20.0;11.0;12.0
15;10-12 Manufacture of food and beverages;2013;24.0;21.0;21.0;32.0;32.0;39.0;33.0;20.0;22.0;9.0;12.0
16;10-12 Manufacture of food and beverages;2014;8.0;8.0;-15.0;29.0;35.0;37.0;34.0;23.0;20.0;11.0;11.0
17;10-12 Manufacture of food and beverages;2015;13.0;8.0;4.0;34.0;39.0;34.0;32.0;19.0;19.0;12.0;10.0
18;10-12 Manufacture of food and beverages;2016;3.0;2.0;13.0;38.0;38.0;32.0;34.0;20.0;18.0;11.0;10.0
19;10-12 Manufacture of food and beverages;2017;-3.0;1.0;7.0;34.0;42.0;35.0;34.0;20.0;15.0;11.0;9.0
