ID;Landen;Perioden;Inflatie_1;Langetermijnrente_2;SaldoOverheidsfinancien_3;Staatsschuld_4;Werkloosheid_5;OpenheidVanDeEconomie_6;GoederenhandelMetNietEULanden_7;Import_8;Export_9;Import_10;Export_11
0;Australië;1990;;13.18;-2.0;21.6;6.87;31.7;24.9;;;;
1;Australië;1991;;10.69;-4.7;22.9;9.52;32.5;25.3;;;;
2;Australië;1992;;9.22;-5.5;27.2;10.72;34.8;26.4;;;;
3;Australië;1993;;7.28;-4.9;30.3;10.82;35.9;27.8;;;;
4;Australië;1994;;8.89;-4.7;39.6;9.68;37.3;28.0;;;;
5;Australië;1995;;9.21;-3.9;41.3;8.44;37.9;29.5;;;;
6;Australië;1996;;8.21;-2.6;38.6;8.49;37.7;29.3;;;;
7;Australië;1997;0.3;6.95;-1.0;37.0;8.39;39.7;29.9;;;;
8;Australië;1998;0.9;5.49;0.8;32.0;7.67;38.8;31.5;;;;
9;Australië;1999;1.5;6.01;1.2;27.6;6.89;40.7;30.0;;;;
10;Australië;2000;4.5;6.31;1.4;25.0;6.24;43.8;33.5;;;;
11;Australië;2001;4.4;5.62;0.1;22.1;6.71;41.0;33.2;;;;
12;Australië;2002;3.0;5.84;1.3;20.1;6.33;39.7;32.4;;;;
13;Australië;2003;2.8;5.37;2.0;18.6;5.91;36.5;29.2;;;;
14;Australië;2004;2.3;5.59;1.8;16.8;5.37;38.6;29.4;;;;
15;Australië;2005;2.7;5.34;2.0;16.3;5.02;40.6;31.0;;;;
16;Australië;2006;3.5;5.59;2.3;15.6;4.76;40.7;32.7;1120.0;930.0;8.0;9.0
17;Australië;2007;2.3;5.99;1.8;14.5;4.36;41.6;31.9;1120.0;930.0;8.0;9.0
18;Australië;2008;4.4;5.82;-0.8;13.8;4.23;45.0;37.5;1120.0;930.0;8.0;9.0
19;Australië;2009;1.8;5.04;-4.5;19.4;5.56;39.9;33.0;1239.0;1200.0;8.0;9.0
20;Australië;2010;2.8;5.37;-4.7;23.5;5.21;47.8;39.2;1119.0;1060.0;8.0;9.0
21;Australië;2011;3.4;4.88;-3.9;26.6;5.07;53.3;41.1;1119.0;1060.0;8.0;9.0
22;Australië;2012;;;;;;;;1119.0;1060.0;8.0;9.0
23;België;1990;;10.06;-7.1;;6.55;132.5;25.2;;;;
24;België;1991;;9.31;-7.8;;6.44;129.4;25.1;;;;
25;België;1992;2.3;8.66;-8.4;;7.09;125.5;22.6;;;;
26;België;1993;2.5;7.22;-7.5;;8.63;118.9;25.7;;;;
27;België;1994;2.4;7.7;-5.0;;9.76;123.5;33.1;;;;
28;België;1995;1.3;7.38;-4.5;130.4;9.69;127.0;31.5;;;;
29;België;1996;1.8;6.3;-4.0;127.3;9.55;128.3;30.2;;;;
30;België;1997;1.5;5.59;-2.3;122.7;9.23;136.0;41.6;;;;
31;België;1998;0.9;4.7;-0.9;117.4;9.34;135.8;39.3;;;;
32;België;1999;1.1;4.71;-0.6;113.7;8.47;135.9;33.0;;;;
33;België;2000;2.7;5.57;0.0;107.8;6.87;153.4;41.0;;;;
34;België;2001;2.4;5.06;0.4;106.5;6.57;152.1;39.6;;;;
35;België;2002;1.6;4.89;-0.1;103.4;7.54;147.6;42.1;;;;
36;België;2003;1.5;4.15;-0.1;98.4;8.17;142.5;38.6;;;;
37;België;2004;1.9;4.06;-0.1;94.0;8.39;147.0;40.9;;;;
38;België;2005;2.5;3.37;-2.5;92.0;8.48;153.5;44.2;;;;
39;België;2006;2.3;3.81;0.4;88.0;8.24;157.8;46.7;1600.0;1410.0;9.0;8.0
40;België;2007;1.8;4.33;-0.1;84.1;7.47;161.3;48.7;1600.0;1410.0;9.0;8.0
41;België;2008;4.5;4.4;-1.0;89.3;7.02;168.3;49.0;1600.0;1410.0;9.0;8.0
42;België;2009;0.0;3.82;-5.6;95.8;7.88;142.0;40.7;1600.0;1429.0;9.0;8.0
43;België;2010;2.3;3.35;-3.8;96.0;8.27;157.3;49.2;1600.0;1429.0;9.0;8.0
44;België;2011;3.5;4.18;-3.7;98.0;7.18;167.6;54.4;1600.0;1429.0;9.0;8.0
45;België;2012;;;;;;;;1600.0;1429.0;8.0;8.0
46;Canada;1990;;10.73;-5.8;75.2;8.15;51.5;44.3;;;;
47;Canada;1991;;9.46;-8.4;82.3;10.3;50.8;43.2;;;;
48;Canada;1992;;8.06;-9.1;90.2;11.22;54.6;46.7;;;;
49;Canada;1993;;7.24;-8.7;96.3;11.39;60.4;51.3;;;;
50;Canada;1994;;8.36;-6.7;98.0;10.39;66.8;58.1;;;;
51;Canada;1995;;8.16;-5.3;101.6;9.47;71.5;62.6;;;;
52;Canada;1996;;7.24;-2.8;101.7;9.63;72.7;63.1;;;;
53;Canada;1997;1.6;6.14;0.2;96.3;9.09;77.0;67.1;;;;
54;Canada;1998;1.0;5.28;0.1;95.2;8.28;80.9;69.9;;;;
55;Canada;1999;1.7;5.54;1.6;91.4;7.56;82.7;71.5;;;;
56;Canada;2000;2.7;5.93;3.0;82.4;6.84;85.4;74.2;;;;
57;Canada;2001;2.5;5.48;0.7;82.9;7.27;81.3;70.5;;;;
58;Canada;2002;2.3;5.3;-0.1;80.8;7.66;78.7;67.6;;;;
59;Canada;2003;2.8;4.8;-0.1;76.8;7.59;72.5;61.7;;;;
60;Canada;2004;1.9;4.58;0.9;72.8;7.17;72.5;61.9;;;;
61;Canada;2005;2.2;4.07;1.5;71.8;6.75;71.9;62.4;;;;
62;Canada;2006;2.0;4.21;1.6;70.4;6.31;69.8;60.5;1425.0;1385.0;11.0;7.0
63;Canada;2007;2.1;4.27;1.4;66.7;6.05;68.0;58.7;1425.0;1385.0;11.0;7.0
64;Canada;2008;2.4;3.6;-0.4;71.2;6.15;68.7;59.9;1425.0;1385.0;11.0;7.0
65;Canada;2009;0.3;3.23;-4.9;82.4;8.28;59.2;49.7;1785.0;1660.0;11.0;7.0
66;Canada;2010;1.8;3.24;-5.6;84.0;7.99;60.7;51.8;1660.0;1610.0;11.0;7.0
67;Canada;2011;2.9;2.79;-4.5;83.8;7.45;58.8;50.1;1660.0;1610.0;11.0;7.0
68;Canada;2012;;;;;;;;1660.0;1610.0;11.0;7.0
69;Denemarken;1990;2.5;10.63;;;7.18;69.7;13.6;;;;
70;Denemarken;1991;2.2;9.26;;;7.89;71.7;13.9;;;;
71;Denemarken;1992;1.9;8.99;-2.6;;8.68;69.5;16.2;;;;
72;Denemarken;1993;0.9;7.3;-3.8;;9.54;68.0;13.4;;;;
73;Denemarken;1994;1.8;7.83;-3.3;;7.57;70.1;13.6;;;;
74;Denemarken;1995;2.0;8.27;-2.9;72.6;6.7;71.0;13.3;;;;
75;Denemarken;1996;2.1;7.19;-2.0;69.4;6.29;70.8;13.2;;;;
76;Denemarken;1997;2.0;6.26;-0.6;65.4;5.22;73.8;17.5;;;;
77;Denemarken;1998;1.3;5.04;0.0;61.4;4.81;74.2;17.4;;;;
78;Denemarken;1999;2.1;4.92;1.3;58.1;5.01;76.3;15.4;;;;
79;Denemarken;2000;2.7;5.66;2.3;52.4;4.24;87.0;17.3;;;;
80;Denemarken;2001;2.3;5.09;1.5;49.6;4.46;87.7;17.5;;;;
81;Denemarken;2002;2.4;5.06;0.4;49.5;4.5;88.5;17.2;;;;
82;Denemarken;2003;2.0;4.31;0.1;47.2;5.35;84.4;16.5;;;;
83;Denemarken;2004;0.9;4.3;2.1;45.1;5.51;85.8;17.3;;;;
84;Denemarken;2005;1.7;3.4;5.2;37.8;4.79;93.1;18.2;;;;
85;Denemarken;2006;1.9;3.81;5.2;32.1;3.87;101.0;18.4;603.0;603.0;5.0;5.0
86;Denemarken;2007;1.7;4.29;4.8;27.1;3.67;102.2;18.5;603.0;603.0;5.0;5.0
87;Denemarken;2008;3.6;4.28;3.2;33.4;3.33;106.3;19.2;603.0;603.0;5.0;5.0
88;Denemarken;2009;1.1;3.59;-2.7;40.6;5.87;91.4;17.8;744.0;744.0;5.0;5.0
89;Denemarken;2010;2.2;2.93;-2.5;42.9;7.25;95.4;18.7;744.0;744.0;5.0;5.0
90;Denemarken;2011;2.7;2.73;-1.8;46.5;7.38;101.9;20.1;744.0;744.0;5.0;5.0
91;Denemarken;2012;;;;;;;;744.0;744.0;5.0;5.0
92;Duitsland;1990;;;;;;;;;;;
93;Duitsland;1991;;8.46;-2.9;;;51.9;16.3;;;;
94;Duitsland;1992;;7.85;-2.5;;6.27;48.6;15.0;;;;
95;Duitsland;1993;;6.52;-3.0;;7.52;44.6;14.9;;;;
