ID;WaterBoardLevies;WaterBoards;Periods;Budget_1;Actual_2
0;Gross water board levies;The Netherlands;2015;2643.0;2656.0
1;Gross water board levies;The Netherlands;2016;2694.0;2716.0
2;Gross water board levies;The Netherlands;2017;2742.0;2776.0
3;Gross water board levies;The Netherlands;2018;2812.0;2861.0
4;Gross water board levies;The Netherlands;2019;2903.0;2952.0
5;Gross water board levies;The Netherlands;2020;3037.0;3053.0
6;Gross water board levies;The Netherlands;2021;3138.0;3163.0
7;Gross water board levies;The Netherlands;2022;3248.0;3279.0
8;Gross water board levies;The Netherlands;2023;3514.0;3549.0
9;Gross water board levies;The Netherlands;2024;3950.0;
10;Gross water board levies;The Netherlands;2025;4270.0;
11;Gross water board levies;Waterschap Groot Salland (WS);2015;66.0;66.0
12;Gross water board levies;Waterschap Groot Salland (WS);2016;;
13;Gross water board levies;Waterschap Groot Salland (WS);2017;;
14;Gross water board levies;Waterschap Groot Salland (WS);2018;;
15;Gross water board levies;Waterschap Groot Salland (WS);2019;;
16;Gross water board levies;Waterschap Groot Salland (WS);2020;;
17;Gross water board levies;Waterschap Groot Salland (WS);2021;;
18;Gross water board levies;Waterschap Groot Salland (WS);2022;;
19;Gross water board levies;Waterschap Groot Salland (WS);2023;;
20;Gross water board levies;Waterschap Groot Salland (WS);2024;;
21;Gross water board levies;Waterschap Groot Salland (WS);2025;;
22;Gross water board levies;Waterschap Rijn en IJssel (WS);2015;81.0;81.0
23;Gross water board levies;Waterschap Rijn en IJssel (WS);2016;82.0;85.0
24;Gross water board levies;Waterschap Rijn en IJssel (WS);2017;86.0;86.0
25;Gross water board levies;Waterschap Rijn en IJssel (WS);2018;92.0;92.0
26;Gross water board levies;Waterschap Rijn en IJssel (WS);2019;98.0;100.0
27;Gross water board levies;Waterschap Rijn en IJssel (WS);2020;103.0;99.0
28;Gross water board levies;Waterschap Rijn en IJssel (WS);2021;107.0;107.0
29;Gross water board levies;Waterschap Rijn en IJssel (WS);2022;113.0;116.0
30;Gross water board levies;Waterschap Rijn en IJssel (WS);2023;124.0;130.0
31;Gross water board levies;Waterschap Rijn en IJssel (WS);2024;135.0;
32;Gross water board levies;Waterschap Rijn en IJssel (WS);2025;142.0;
33;Gross water board levies;Hhs Amstel, Gooi en Vecht (WS);2015;184.0;184.0
34;Gross water board levies;Hhs Amstel, Gooi en Vecht (WS);2016;186.0;188.0
35;Gross water board levies;Hhs Amstel, Gooi en Vecht (WS);2017;;
36;Gross water board levies;Hhs Amstel, Gooi en Vecht (WS);2018;;
37;Gross water board levies;Hhs Amstel, Gooi en Vecht (WS);2019;;
38;Gross water board levies;Hhs Amstel, Gooi en Vecht (WS);2020;;
39;Gross water board levies;Hhs Amstel, Gooi en Vecht (WS);2021;;
40;Gross water board levies;Hhs Amstel, Gooi en Vecht (WS);2022;;
41;Gross water board levies;Hhs Amstel, Gooi en Vecht (WS);2023;;
42;Gross water board levies;Hhs Amstel, Gooi en Vecht (WS);2024;;
43;Gross water board levies;Hhs Amstel, Gooi en Vecht (WS);2025;;
44;Gross water board levies;Hoogheemraadschap van Delfland (WS);2015;227.0;232.0
45;Gross water board levies;Hoogheemraadschap van Delfland (WS);2016;231.0;234.0
46;Gross water board levies;Hoogheemraadschap van Delfland (WS);2017;235.0;234.0
47;Gross water board levies;Hoogheemraadschap van Delfland (WS);2018;238.0;241.0
48;Gross water board levies;Hoogheemraadschap van Delfland (WS);2019;241.0;245.0
49;Gross water board levies;Hoogheemraadschap van Delfland (WS);2020;244.0;249.0
50;Gross water board levies;Hoogheemraadschap van Delfland (WS);2021;247.0;244.0
51;Gross water board levies;Hoogheemraadschap van Delfland (WS);2022;250.0;251.0
52;Gross water board levies;Hoogheemraadschap van Delfland (WS);2023;275.0;277.0
53;Gross water board levies;Hoogheemraadschap van Delfland (WS);2024;298.0;
54;Gross water board levies;Hoogheemraadschap van Delfland (WS);2025;310.0;
55;Gross water board levies;Waterschap De Dommel (WS);2015;95.0;97.0
56;Gross water board levies;Waterschap De Dommel (WS);2016;98.0;99.0
57;Gross water board levies;Waterschap De Dommel (WS);2017;99.0;100.0
58;Gross water board levies;Waterschap De Dommel (WS);2018;103.0;106.0
59;Gross water board levies;Waterschap De Dommel (WS);2019;108.0;110.0
60;Gross water board levies;Waterschap De Dommel (WS);2020;113.0;110.0
61;Gross water board levies;Waterschap De Dommel (WS);2021;117.0;115.0
62;Gross water board levies;Waterschap De Dommel (WS);2022;122.0;123.0
63;Gross water board levies;Waterschap De Dommel (WS);2023;131.0;131.0
64;Gross water board levies;Waterschap De Dommel (WS);2024;147.0;
65;Gross water board levies;Waterschap De Dommel (WS);2025;160.0;
66;Gross water board levies;Waterschap Roer en Overmaas (WS);2015;79.0;80.0
67;Gross water board levies;Waterschap Roer en Overmaas (WS);2016;79.0;79.0
68;Gross water board levies;Waterschap Roer en Overmaas (WS);2017;;
69;Gross water board levies;Waterschap Roer en Overmaas (WS);2018;;
70;Gross water board levies;Waterschap Roer en Overmaas (WS);2019;;
71;Gross water board levies;Waterschap Roer en Overmaas (WS);2020;;
72;Gross water board levies;Waterschap Roer en Overmaas (WS);2021;;
73;Gross water board levies;Waterschap Roer en Overmaas (WS);2022;;
74;Gross water board levies;Waterschap Roer en Overmaas (WS);2023;;
75;Gross water board levies;Waterschap Roer en Overmaas (WS);2024;;
76;Gross water board levies;Waterschap Roer en Overmaas (WS);2025;;
77;Gross water board levies;Hoogheemraadschap van Rijnland (WS);2015;178.0;176.0
78;Gross water board levies;Hoogheemraadschap van Rijnland (WS);2016;187.0;188.0
79;Gross water board levies;Hoogheemraadschap van Rijnland (WS);2017;196.0;199.0
80;Gross water board levies;Hoogheemraadschap van Rijnland (WS);2018;200.0;204.0
81;Gross water board levies;Hoogheemraadschap van Rijnland (WS);2019;204.0;211.0
82;Gross water board levies;Hoogheemraadschap van Rijnland (WS);2020;213.0;213.0
83;Gross water board levies;Hoogheemraadschap van Rijnland (WS);2021;224.0;227.0
84;Gross water board levies;Hoogheemraadschap van Rijnland (WS);2022;228.0;230.0
85;Gross water board levies;Hoogheemraadschap van Rijnland (WS);2023;239.0;243.0
86;Gross water board levies;Hoogheemraadschap van Rijnland (WS);2024;273.0;
87;Gross water board levies;Hoogheemraadschap van Rijnland (WS);2025;314.0;
88;Gross water board levies;Waterschap Rivierenland (WS);2015;159.0;161.0
89;Gross water board levies;Waterschap Rivierenland (WS);2016;164.0;166.0
90;Gross water board levies;Waterschap Rivierenland (WS);2017;168.0;170.0
91;Gross water board levies;Waterschap Rivierenland (WS);2018;174.0;177.0
92;Gross water board levies;Waterschap Rivierenland (WS);2019;183.0;182.0
93;Gross water board levies;Waterschap Rivierenland (WS);2020;193.0;196.0
94;Gross water board levies;Waterschap Rivierenland (WS);2021;201.0;204.0
95;Gross water board levies;Waterschap Rivierenland (WS);2022;211.0;215.0
96;Gross water board levies;Waterschap Rivierenland (WS);2023;227.0;232.0
