ID;InstitutioneleBeleggers;Perioden;TotaalBeleggingen_1;TotaalLanglopendeBeleggingen_2;TotaalZakelijkeWaarden_3;TotaalDirectVastgoed_4;Woningen_5;KantoorEnWinkelgebouwen_6;LandelijkeEigendommen_7;Overig_8;Buitenland_9;NietTeSpecificerenDirectVastgoed_10;TotaalAandelenEnDeelnemingen_11;TotaalAandelen_12;AandelenVastgoed_13;AandelenOverig_14;TotaalDeelnemingenInConcernverband_15;DeelnemingInConcernverbandVastgoed_16;DeelnemingInConcernverbandOverig_17;TotaalOverigeDeelnemingen_18;DeelnemingenOverigVastgoed_19;DeelnemingenOverig_20;TotaalVastrentendeWaarden_21;Hypotheken_22;ObligatiesEnPandbrieven_23;FinancieleDerivaten_24;LeningenOpLangeTermijn_25;OverigVastrentendeWaarden_26;TotaalKortlopendeBeleggingen_27;LeningenOpKorteTermijn_28;WaardepapierenOpKorteTermijn_29;DepositoS_30;ChartaalEnGiraalGeld_31;OverigeKortlopendeBeleggingen_32
0;Totaal Institutionele beleggers;1950;3459;3159;384;161;;;;;;;223;;;;;;;;;;2775;341;1252;0;1177;4.0;300;71;158;30;41;0.0
1;Totaal Institutionele beleggers;1951;3814;3672;445;182;;;;;;;263;;;;;;;;;;3227;403;1333;0;1485;6.0;142;63;5;29;46;0.0
2;Totaal Institutionele beleggers;1952;4159;4015;474;194;;;;;;;280;;;;;;;;;;3541;436;1409;0;1690;5.0;144;69;0;27;48;0.0
3;Totaal Institutionele beleggers;1953;4628;4467;540;213;;;;;;;327;;;;;;;;;;3927;478;1523;0;1921;5.0;161;80;0;26;55;0.0
4;Totaal Institutionele beleggers;1954;5207;5064;673;250;;;;;;;423;;;;;;;;;;4391;563;1616;0;2207;5.0;143;58;0;28;57;0.0
5;Totaal Institutionele beleggers;1955;5831;5688;787;287;;;;;;;500;;;;;;;;;;4901;685;1772;0;2433;11.0;143;52;0;33;57;0.0
6;Totaal Institutionele beleggers;1956;6389;6237;874;338;;;;;;;536;;;;;;;;;;5363;808;1819;0;2710;25.0;152;45;0;36;70;0.0
7;Totaal Institutionele beleggers;1957;7070;6867;891;391;;;;;;;500;;;;;;;;;;5975;909;1836;0;3195;36.0;203;114;0;35;53;0.0
8;Totaal Institutionele beleggers;1958;8173;7979;1177;450;;;;;;;726;;;;;;;;;;6802;1011;1984;0;3723;85.0;194;90;2;38;63;0.0
9;Totaal Institutionele beleggers;1959;9190;8983;1534;505;;;;;;;1028;;;;;;;;;;7449;1097;2158;0;4126;68.0;206;107;0;50;46;3.0
10;Totaal Institutionele beleggers;1960;10133;9877;1711;569;;;;;;;1142;;;;;;;;;;8167;1226;2364;0;4507;69.0;256;120;1;81;49;5.0
11;Totaal Institutionele beleggers;1961;11414;11138;2087;663;;;;;;;1424;;;;;;;;;;9051;1408;2475;0;5088;80.0;276;138;0;75;51;13.0
12;Totaal Institutionele beleggers;1962;12777;12444;2326;783;;;;;;;1543;;;;;;;;;;10118;1656;2613;0;5747;101.0;334;186;0;76;54;17.0
13;Totaal Institutionele beleggers;1963;14305;13897;2812;924;;;;;;;1888;;;;;;;;;;11085;1918;2737;0;6342;87.0;408;226;0;103;58;21.0
14;Totaal Institutionele beleggers;1964;16019;15557;3296;1092;;;;;;;2204;;;;;;;;;;12261;2216;2681;0;7286;79.0;463;254;0;115;69;25.0
15;Totaal Institutionele beleggers;1965;17704;17158;3655;1291;;;;;;;2364;;;;;;;;;;13504;2470;2672;0;8277;85.0;546;288;0;150;79;29.0
16;Totaal Institutionele beleggers;1966;19546;19048;3911;1511;;;;;;;2401;;;;;;;;;;15137;2715;2731;0;9673;18.0;498;197;0;184;91;26.0
17;Totaal Institutionele beleggers;1967;22031;21571;4794;1742;;;;;;;3052;;;;;;;;;;16777;2886;2815;0;11054;22.0;460;179;0;166;93;22.0
18;Totaal Institutionele beleggers;1968;25597;24832;6310;2145;;;;;;;4164;;;;;;;;;;18522;3103;3033;0;12379;6.0;766;374;0;194;162;35.0
19;Totaal Institutionele beleggers;1969;28577;27498;7098;2435;;;;;;;4663;;;;;;;;;;20400;3389;3152;0;13855;4.0;1079;523;0;351;171;34.0
20;Totaal Institutionele beleggers;1970;31507;30167;7646;2718;;;;;;;4928;;;;;;;;;;22521;3607;3339;0;15571;5.0;1340;719;0;361;214;45.0
21;Totaal Institutionele beleggers;1971;36387;34728;9160;3098;;;;;;;6063;;;;;;;;;;25568;3808;3506;0;18251;4.0;1659;1072;0;230;245;112.0
22;Totaal Institutionele beleggers;1972;42306;40689;11542;3637;;;;;;;7906;;;;;;;;;;29147;4056;3824;0;21262;4.0;1617;956;0;271;276;114.0
23;Totaal Institutionele beleggers;1973;45957;43973;11610;4090;;;;;;;7520;;;;;;;;;;32363;4357;4181;0;23822;3.0;1983;1054;0;520;273;137.0
24;Totaal Institutionele beleggers;1974;51039;48799;11499;4688;;;;;;;6811;;;;;;;;;;37300;4820;4522;0;27955;3.0;2241;1339;0;498;294;111.0
25;Totaal Institutionele beleggers;1975;61045;58609;15011;5286;;;;;;;9725;;;;;;;;;;43598;5299;5273;0;33026;0.0;2436;1134;0;756;425;121.0
26;Totaal Institutionele beleggers;1976;70057;66742;16017;6129;;;;;;;9888;;;;;;;;;;50725;5872;6029;0;38823;1.0;3315;1431;0;1005;589;291.0
27;Totaal Institutionele beleggers;1977;79517;76190;16649;6962;;;;;;;9686;;;;;;;;;;59541;7026;6895;0;45619;2.0;3327;869;2;1591;539;327.0
28;Totaal Institutionele beleggers;1978;90612;87025;18207;7922;;;;;;;10285;;;;;;;;;;68818;8033;7772;0;53006;6.0;3587;1037;0;1752;445;353.0
29;Totaal Institutionele beleggers;1979;101142;97362;20118;9082;;;;;;;11036;;;;;;;;;;77244;8963;7666;0;60607;8.0;3780;1146;2;1807;436;389.0
30;Totaal Institutionele beleggers;1980-I;114079;110380;22454;10371;;;;;;;12083;;;;;;;;;;87926;9998;8496;0;69422;10.0;3700;1759;0;1279;519;142.0
31;Totaal Institutionele beleggers;1980-II;116683;114175;24191;12610;6795.0;3434.0;185.0;508.0;1688.0;;11581;8443.0;382.0;8061.0;2933.0;627.0;2306.0;205.0;0.0;205.0;89984;11824;9544;0;68617;;2508;170;153;1655;530;
32;Totaal Institutionele beleggers;1981;130398;127311;26925;13918;7306.0;3964.0;192.0;569.0;1887.0;;13006;8892.0;366.0;8526.0;3958.0;868.0;3090.0;156.0;0.0;156.0;100386;12731;11307;0;76349;;3088;225;201;2098;564;
33;Totaal Institutionele beleggers;1982;146236;143175;29745;15229;8005.0;4277.0;192.0;611.0;2144.0;;14516;9881.0;535.0;9345.0;4488.0;1253.0;3235.0;147.0;2.0;145.0;113431;13712;15535;0;84183;;3061;220;231;1921;688;
34;Totaal Institutionele beleggers;1983;165744;162467;36529;16642;8453.0;4786.0;207.0;567.0;2630.0;;19886;15013.0;810.0;14203.0;4682.0;1356.0;3326.0;191.0;28.0;163.0;125939;14435;19996;0;91508;;3276;205;298;2084;690;
35;Totaal Institutionele beleggers;1984;184640;180871;40813;17883;8881.0;5120.0;193.0;640.0;3048.0;;22929;17420.0;1208.0;16213.0;5259.0;1544.0;3715.0;250.0;64.0;186.0;140059;14850;27182;0;98027;;3769;246;266;2204;1052;
36;Totaal Institutionele beleggers;1985;204562;199807;46046;18923;9460.0;5435.0;216.0;645.0;3166.0;;27124;21950.0;1364.0;20586.0;4784.0;1548.0;3235.0;390.0;112.0;278.0;153760;16489;32439;0;104832;;4756;192;341;3105;1118;
37;Totaal Institutionele beleggers;1986;224144;219746;52323;20408;10028.0;5601.0;227.0;733.0;3819.0;;31914;26677.0;1618.0;25059.0;4759.0;1419.0;3339.0;479.0;187.0;292.0;167424;17549;36916;0;112959;;4398;242;314;2545;1297;
38;Totaal Institutionele beleggers;1987;235051;229152;52803;22568;10444.0;6279.0;268.0;943.0;4634.0;;30235;24958.0;1841.0;23117.0;4729.0;1361.0;3368.0;548.0;284.0;264.0;176349;19354;38588;0;118407;;5899;262;297;3835;1504;
39;Totaal Institutionele beleggers;1988;262682;254364;64621;25338;10592.0;7356.0;274.0;1177.0;5939.0;;39284;34628.0;2626.0;32001.0;4002.0;1744.0;2258.0;654.0;352.0;302.0;189743;21604;44029;0;124110;;8317;288;369;5579;2081;
40;Totaal Institutionele beleggers;1989;283996;275299;77377;27187;10900.0;7451.0;283.0;1150.0;7404.0;;50190;44824.0;3291.0;41532.0;4753.0;2384.0;2370.0;614.0;351.0;263.0;197922;23623;45702;0;128596;;8696;360;478;5777;2081;
41;Totaal Institutionele beleggers;1990;290111;279576;75583;28508;11276.0;8129.0;264.0;1307.0;7533.0;;47074;40719.0;2788.0;37930.0;5611.0;2810.0;2802.0;744.0;409.0;335.0;203994;24716;49926;-713;130065;;10535;620;392;7100;2423;
42;Totaal Institutionele beleggers;1991-I;317306;305518;87354;29908;11580.0;9093.0;319.0;1375.0;7540.0;;57446;49636.0;3144.0;46492.0;6835.0;3429.0;3406.0;975.0;413.0;562.0;218164;26925;61414;-531;130356;;11788;501;384;8288;2615;
43;Totaal Institutionele beleggers;1991-II;323536;309577;86969;33129;10368.0;12674.0;302.0;873.0;8913.0;;53840;50868.0;4059.0;46809.0;;;;2972.0;1163.0;1809.0;222608;27010;59773;-531;136356;;13959;1255;719;9700;2285;
44;Totaal Institutionele beleggers;1992;351865;334738;94166;33604;10706.0;13407.0;307.0;836.0;8348.0;;60561;57478.0;5187.0;52291.0;;;;3083.0;1187.0;1897.0;240572;28735;77101;-400;135136;;17127;1973;693;11746;2716;
45;Totaal Institutionele beleggers;1993;409698;385763;123052;35205;11186.0;14370.0;286.0;874.0;8490.0;;87847;85048.0;6162.0;78886.0;;;;2799.0;1311.0;1488.0;262710;29012;97779;-179;136098;;23936;2640;1104;16090;4103;
46;Totaal Institutionele beleggers;1994;419253;394880;126581;36244;11252.0;14927.0;310.0;976.0;8779.0;;90337;87474.0;4743.0;82731.0;;;;2863.0;1680.0;1183.0;268299;31480;101061;83;135675;;24372;2420;1192;16730;4030;
47;Totaal Institutionele beleggers;1995;466825;439792;148642;37233;11348.0;15508.0;356.0;1045.0;8977.0;;111409;108517.0;5617.0;102900.0;;;;2892.0;1703.0;1190.0;291150;31931;124094;321;134804;;27033;3132;1610;17262;5029;
