ID;TransportModes;GoodsClassificationSITC;CaribbeanNetherlands;Periods;TotalImportsAndExports_1;Imports_2;Exports_3
0;Total maritime and air transport;Total goods;Caribbean Netherlands;2013;221670;104460;117200
1;Total maritime and air transport;Total goods;Caribbean Netherlands;2014;222530;120660;101860
2;Total maritime and air transport;Total goods;Caribbean Netherlands;2015;247600;163350;84260
3;Total maritime and air transport;Total goods;Caribbean Netherlands;2016;192640;167430;25210
4;Total maritime and air transport;Total goods;Caribbean Netherlands;2017;338690;203200;135490
5;Total maritime and air transport;Total goods;Caribbean Netherlands;2018;291590;225990;65590
6;Total maritime and air transport;Total goods;Bonaire;2013;199830;83510;116330
7;Total maritime and air transport;Total goods;Bonaire;2014;204710;103050;101650
8;Total maritime and air transport;Total goods;Bonaire;2015;223520;139440;84080
9;Total maritime and air transport;Total goods;Bonaire;2016;177550;152470;25080
10;Total maritime and air transport;Total goods;Bonaire;2017;313070;178050;135030
11;Total maritime and air transport;Total goods;Bonaire;2018;270810;205980;64830
12;Total maritime and air transport;Total goods;St. Eustatius;2013;15810;14950;850
13;Total maritime and air transport;Total goods;St. Eustatius;2014;11470;11280;190
14;Total maritime and air transport;Total goods;St. Eustatius;2015;15890;15760;130
15;Total maritime and air transport;Total goods;St. Eustatius;2016;10370;10280;90
16;Total maritime and air transport;Total goods;St. Eustatius;2017;19950;19560;390
17;Total maritime and air transport;Total goods;St. Eustatius;2018;15280;14630;650
18;Total maritime and air transport;Total goods;Saba;2013;6030;6000;20
19;Total maritime and air transport;Total goods;Saba;2014;6350;6330;20
20;Total maritime and air transport;Total goods;Saba;2015;8190;8150;50
21;Total maritime and air transport;Total goods;Saba;2016;4720;4680;40
22;Total maritime and air transport;Total goods;Saba;2017;5660;5600;70
23;Total maritime and air transport;Total goods;Saba;2018;5510;5390;120
24;Total maritime and air transport;0 Food and live animals;Caribbean Netherlands;2013;12370;12350;20
25;Total maritime and air transport;0 Food and live animals;Caribbean Netherlands;2014;13950;13940;10
26;Total maritime and air transport;0 Food and live animals;Caribbean Netherlands;2015;16630;16620;10
27;Total maritime and air transport;0 Food and live animals;Caribbean Netherlands;2016;17410;17410;0
28;Total maritime and air transport;0 Food and live animals;Caribbean Netherlands;2017;17030;17030;0
29;Total maritime and air transport;0 Food and live animals;Caribbean Netherlands;2018;16910;16900;10
30;Total maritime and air transport;0 Food and live animals;Bonaire;2013;11600;11580;20
31;Total maritime and air transport;0 Food and live animals;Bonaire;2014;13020;13010;10
32;Total maritime and air transport;0 Food and live animals;Bonaire;2015;15550;15540;10
33;Total maritime and air transport;0 Food and live animals;Bonaire;2016;16160;16160;0
34;Total maritime and air transport;0 Food and live animals;Bonaire;2017;16010;16010;0
35;Total maritime and air transport;0 Food and live animals;Bonaire;2018;16370;16360;10
36;Total maritime and air transport;0 Food and live animals;St. Eustatius;2013;180;180;0
37;Total maritime and air transport;0 Food and live animals;St. Eustatius;2014;200;200;0
38;Total maritime and air transport;0 Food and live animals;St. Eustatius;2015;270;270;0
39;Total maritime and air transport;0 Food and live animals;St. Eustatius;2016;240;240;0
40;Total maritime and air transport;0 Food and live animals;St. Eustatius;2017;500;500;0
41;Total maritime and air transport;0 Food and live animals;St. Eustatius;2018;510;510;0
42;Total maritime and air transport;0 Food and live animals;Saba;2013;590;590;0
43;Total maritime and air transport;0 Food and live animals;Saba;2014;730;730;0
44;Total maritime and air transport;0 Food and live animals;Saba;2015;810;810;0
45;Total maritime and air transport;0 Food and live animals;Saba;2016;1010;1010;0
46;Total maritime and air transport;0 Food and live animals;Saba;2017;530;530;0
47;Total maritime and air transport;0 Food and live animals;Saba;2018;40;40;0
48;Total maritime and air transport;1 Beverages and tobacco;Caribbean Netherlands;2013;5790;5790;0
49;Total maritime and air transport;1 Beverages and tobacco;Caribbean Netherlands;2014;6160;6040;120
50;Total maritime and air transport;1 Beverages and tobacco;Caribbean Netherlands;2015;7660;7590;60
