ID;SBI93;Perioden;Bedrijven_1;TotaalNettoOmzetUitHoofdactiviteit_2;VerzorgenFinancieleAdministraties_3;AdviseringExclusiefBelastingadvies_4;Accountantscontrolewerkzaamheden_5;VerzorgenNietFinancieleAdministraties_6;BelastingAdviesWerkzaamheden_7;OverigeDienstverleningNietElders_8;Bedrijven_9;TotaalNettoOmzetUitHoofdactiviteit_10;OndernemingsstrategieEnOrganisatie_11;FinancieelBeleidEnAdministratief_12;HumanResources_13;DistributieManagementVanDiensten_14;MarketingEnCorporateCommunication_15;InformatietechnologieEnSystemen_16;ProjectManagement_17;EconomischeEnMilieustudies_18;MarktEnOpinieonderzoek_19;PublicRelations_20;OverigEconomischOnderzoekEnAdvies_21;OverigeDienstverleningNietElders_22;TotaalNettoOmzetUitOverigeActiv_23;VerkopenVanZelfvervaardigdeProducten_24;Handel_25;OverigeDienstverleningNietElders_26;Bedrijven_27;TotaalNettoOmzetUitHoofdactiviteit_28;BurgerlijkeEnUtiliteitsbouw_29;StedebouwVerkeerskundePlanologie_30;GrondWegEnWaterbouw_31;ElektroInstallatietechniekEnTel_32;WerktuigMachineEnApparatenbouw_33;Procestechniek_34;MilieutechniekEnAdvies_35;OverigTechnischOntwerpNietElders_36;OverigeDienstverleningNietElders_37;Bedrijven_38;TotaalNettoOmzetUitHoofdactiviteit_39;KeuringEnControleVanAgrarischeP_40;KeuringEnControleVanMachinesAp_41;OverigeKeuringEnControleNietEld_42;OverigeDienstverleningNietElders_43;TotaalNettoOmzetUitOverigeActiv_44;VerkopenVanZelfvervaardigdeProducten_45;Handel_46;OverigeDienstverleningNietElders_47;Bedrijven_48;TotaalNettoOmzetUitHoofdactiviteit_49;ReclamedienstenTenBehoeveVanPers_50;ReclamedienstenTbvVanRadioEnTe_51;Buitenreclame_52;Bioscoopreclame_53;ReclamedienstenTbvOverigeMedia_54;CreatiefWerkMbtReclame_55;ReproductiematerialenMbtReclame_56;Reclamedrukwerk_57;VerspreidenVanReclamedrukwerk_58;FeesTenBehoeveVanReclame_59;PromotieactiviteitenEnCampagnes_60;VerzorgenVanShowroomsEnStands_61;OverigeReclamediensten_62;OverigeDienstverleningNietElders_63;Bedrijven_64;TotaleOmzetUitBeveiligingsactiviteit_65;Persoonsbeveiliging_66;BedrijfsbeveiligingWinkel_67;BedrijfsbeveiligingToegangscontrole_68;BedrijfsbeveiligingSurveillance_69;BedrijfsbeveiligingOverig_70;OrdedienstenBijOpenbareEvenementen_71;Brandwachtdiensten_72;Sleutelbewaring_73;BeveiligingParkeerplaatsenEnGarages_74;OverigeBeveiligingsactiviteiten_75;Bedrijven_76;TotaalNettoOmzetUitHoofdactiviteit_77;ReinigingInterieurVanGebouwen_78;Glazenwassen_79;BrandEnRoetreiniging_80;Gevelreiniging_81;Schoorsteenreiniging_82;ReinigingTransportmiddelenExclusi_83;IndustrieelSchoonmakenExclLevensm_84;IndustrieelSchoonmakenLevensmiddel_85;ReinigingsactiviteitenGezondheidszorg_86;Asbestsanering_87;OverigeReinigingsEnSchoonmaakact_88;OverigeDienstverleningNietElders_89;Bedrijven_90;TotaalNettoOmzetUitHoofdactiviteit_91;NatwassenVanKledingEnTextiel_92;OppersenStrijkenVanKledingTextiel_93;SteriliserenVanKledingEnLinnen_94;Tapijtreiniging_95;VerhuurVanLinnenEnBedrijfskleding_96;ChemischReinigen_97;OppersenEnVerven_98;DepothoudenEnOfWasverzenden_99;WasserettesWassalons_100;OverigeDienstverleningNietElders_101;TotaalNettoOmzetOverigeActiviteiten_102;Handel_103;OverigeDienstverleningNietElders_104
0;7412 Accountants, boekhoudbureaus, ..;2002;12620.0;6682.0;2362.0;598.0;1840.0;121.0;1096.0;665.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7412 Accountants, boekhoudbureaus, ..;2003;12635.0;6837.0;2479.0;599.0;1767.0;169.0;1200.0;623.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;7412 Accountants, boekhoudbureaus, ..;2004;13095.0;6999.0;2449.0;736.0;1847.0;211.0;1214.0;542.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;7412 Accountants, boekhoudbureaus, ..;2005;13480.0;7126.0;2565.0;709.0;1795.0;235.0;1259.0;563.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;7413 Markt- en opinie-onderzoekbureaus;2002;;;;;;;;;2790.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;7413 Markt- en opinie-onderzoekbureaus;2003;;;;;;;;;2795.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;7413 Markt- en opinie-onderzoekbureaus;2004;;;;;;;;;2715.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;7413 Markt- en opinie-onderzoekbureaus;2005;;;;;;;;;2890.0;1396.0;21.0;8.0;1.0;49.0;329.0;61.0;45.0;0.0;479.0;10.0;66.0;326.0;4.0;0.0;0.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;7414 Economische onderzoek-, advies- ..;2002;;;;;;;;;25895.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;7414 Economische onderzoek-, advies- ..;2003;;;;;;;;;27350.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;7414 Economische onderzoek-, advies- ..;2004;;;;;;;;;28985.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;7414 Economische onderzoek-, advies- ..;2005;;;;;;;;;31210.0;7825.0;1247.0;566.0;504.0;340.0;517.0;390.0;1568.0;44.0;64.0;140.0;690.0;1754.0;63.0;1.0;30.0;31.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;7413a Economische adviesverlening en ..;2002;;;;;;;;;28685.0;8020.0;;;;;;;;;;;;;325.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;7413a Economische adviesverlening en ..;2003;;;;;;;;;30145.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;7413a Economische adviesverlening en ..;2004;;;;;;;;;31700.0;8230.0;1405.0;606.0;502.0;341.0;668.0;373.0;1209.0;50.0;452.0;138.0;704.0;1781.0;67.0;1.0;11.0;56.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;7413a Economische adviesverlening en ..;2005;;;;;;;;;34100.0;9221.0;1268.0;574.0;505.0;389.0;846.0;451.0;1613.0;44.0;544.0;150.0;757.0;2080.0;67.0;1.0;31.0;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
