ID;AangebodenDiensten;SoortCijfers;Perioden;TotaalAanbod_1;TotaalBedrijven_2;TotaalHorecabedrijven_3;Accommodatiebedrijven_4;RestaurantsEnCafes_5;TotaalVervoersbedrijven_6;Vervoersbedrijven_7;ReisbureausED_8;TotaalCultuurSportEnRecreatie_9;CultureleInstellingen_10;OverigeRecreatiebedrijven_11;OverigeBedrijven_12;AanbodViaInvoer_13;AanbodViaProductgebBelEnSubs_14;AanbodViaHandelsVervoersmarges_15
33;Tot. aanbod karakteristieke diensten;Lopende prijzen;2001;19779;20598;10195;3248;6947;5556;4712;844;4519;2204;2315;328;0;-819;0
34;Tot. aanbod karakteristieke diensten;Lopende prijzen;2002;20559;21409;10465;3390;7075;5873;4984;889;4761;2316;2446;310;0;-850;0
35;Tot. aanbod karakteristieke diensten;Lopende prijzen;2003;20340;21247;10140;3329;6811;5815;4870;945;4944;2401;2543;348;0;-907;0
36;Tot. aanbod karakteristieke diensten;Lopende prijzen;2004;20822;21714;10266;3428;6838;6014;5057;957;5045;2487;2558;389;0;-892;0
37;Tot. aanbod karakteristieke diensten;Lopende prijzen;2005;21523;22413;10513;3551;6962;6350;5388;962;5152;2548;2604;398;0;-890;0
38;Tot. aanbod karakteristieke diensten;Lopende prijzen;2006;22649;23576;11009;3731;7278;6705;5725;980;5456;2717;2739;406;0;-927;0
39;Tot. aanbod karakteristieke diensten;Lopende prijzen;2007;23842;24773;11604;3999;7605;7054;6002;1052;5702;2832;2870;413;0;-931;0
40;Tot. aanbod karakteristieke diensten;Lopende prijzen;2008;24579;25336;11627;4060;7567;7422;6320;1102;5861;2934;2927;426;0;-757;0
41;Tot. aanbod karakteristieke diensten;Lopende prijzen;2009;23349;24141;11060;3826;7234;6708;5629;1079;5942;2982;2960;431;0;-792;0
42;Tot. aanbod karakteristieke diensten;Lopende prijzen;2010;23495;24433;11021;3808;7213;6943;5846;1097;6026;3026;3000;443;0;-938;0
43;Tot. aanbod karakteristieke diensten;Lopende prijzen;2011;24335;25232;11442;3962;7480;7253;6100;1153;6085;3050;3035;452;0;-897;0
44;Totaal aanbod horecadiensten;Prijsniveau 2005;2001;12075;12074;11207;3513;7703;4;4;0;651;226;425;211;0;0;0
45;Totaal aanbod horecadiensten;Prijsniveau 2005;2002;11613;11613;10776;3438;7344;4;4;0;632;219;412;200;0;0;0
46;Totaal aanbod horecadiensten;Prijsniveau 2005;2003;11060;11060;10186;3309;6880;3;3;0;653;232;420;218;0;0;0
47;Totaal aanbod horecadiensten;Prijsniveau 2005;2004;11032;11032;10157;3376;6782;2;2;0;655;242;412;218;0;0;0
48;Totaal aanbod horecadiensten;Prijsniveau 2005;2005;11094;11094;10228;3463;6765;3;3;0;657;247;410;206;0;0;0
49;Totaal aanbod horecadiensten;Prijsniveau 2005;2006;11383;11383;10496;3566;6929;3;3;0;678;257;420;206;0;0;0
50;Totaal aanbod horecadiensten;Prijsniveau 2005;2007;11629;11632;10723;3705;7016;4;4;0;694;267;426;211;0;0;0
51;Totaal aanbod horecadiensten;Prijsniveau 2005;2008;11268;11271;10350;3624;6724;4;4;0;703;270;432;215;0;0;0
52;Totaal aanbod horecadiensten;Prijsniveau 2005;2009;10512;10515;9614;3386;6226;4;4;0;689;265;424;209;0;0;0
