ID;Perioden;Totaal1eEn2eGeneratie_1;k_1eGeneratie_2;k_2eGeneratie_3;Totaal1eEn2eGeneratie_4;k_1eGeneratie_5;k_2eGeneratie_6;Totaal1eEn2eGeneratie_7;k_1eGeneratie_8;k_2eGeneratie_9;KindNietWestersAllochtoon_10;KindWestersAllochtoon_11;NietWesterseAllochtonen_12;WesterseAllochtonen_13;NietWesterseAllochtonen_14;WesterseAllochtonen_15;NietWesterseAllochtonen_16;WesterseAllochtonen_17
0;2010;;;;;;;;;;30407;13643;48926;69069;32006;44872;16920;24197
1;2011;3424545.0;1731562.0;1692983.0;1899135.0;1068692.0;830443.0;1525410.0;662870.0;862540.0;29756;13893;48340;69114;32265;45667;16075;23447
2;2012;3488146.0;1761572.0;1726575.0;1939098.0;1081082.0;858016.0;1549049.0;680490.0;868559.0;29287;14169;48043;69222;32387;46229;15657;22993
3;2013;3549620.0;1790486.0;1759134.0;1977402.0;1092873.0;884529.0;1572218.0;697613.0;874605.0;28819;14460;48814;69298;32317;47201;16497;22097
4;2014;3609164.0;1819102.0;1790062.0;2014956.0;1105314.0;909642.0;1594208.0;713788.0;880420.0;28348;14723;49492;69191;32585;47948;16907;21244
5;2015;3665868.0;1847017.0;1818851.0;2051153.0;1117964.0;933189.0;1614715.0;729053.0;885662.0;27890;14975;49982;68876;32894;48433;17088;20444
6;2016;3721500.0;1874038.0;1847462.0;2087038.0;1130584.0;956454.0;1634463.0;743454.0;891009.0;27445;15196;50508;68491;33311;48707;17197;19784
7;2017;3775738.0;1900220.0;1875517.0;2122265.0;1143092.0;979174.0;1653473.0;757129.0;896344.0;27052;15410;51026;68054;33647;48851;17379;19203
8;2018;3828818.0;1925700.0;1903118.0;2156977.0;1155549.0;1001428.0;1671841.0;770150.0;901690.0;26694;15610;51532;67565;33968;48879;17564;18686
9;2019;3880817.0;1950529.0;1930288.0;2191170.0;1167949.0;1023221.0;1689647.0;782580.0;907067.0;26356;15787;51960;67044;34280;48818;17680;18226
10;2020;3931784.0;1974680.0;1957104.0;2224869.0;1180211.0;1044658.0;1706916.0;794470.0;912446.0;26046;15936;52337;66478;34560;48686;17777;17792
11;2021;3981650.0;1998139.0;1983511.0;2258023.0;1192302.0;1065722.0;1723627.0;805837.0;917789.0;25792;16070;52659;65895;34663;48547;17996;17348
12;2022;4030579.0;2020999.0;2009580.0;2290850.0;1204333.0;1086517.0;1739729.0;816667.0;923063.0;25603;16191;52974;65275;34743;48365;18231;16910
13;2023;4078596.0;2043263.0;2035333.0;2323395.0;1216307.0;1107088.0;1755201.0;826956.0;928245.0;25460;16293;53287;64678;34821;48140;18466;16538
14;2024;4125809.0;2064979.0;2060830.0;2355730.0;1228214.0;1127517.0;1770079.0;836765.0;933314.0;25375;16373;53588;64071;34887;47884;18701;16187
15;2025;4172239.0;2086149.0;2086090.0;2387873.0;1240042.0;1147831.0;1784366.0;846107.0;938259.0;25357;16443;53878;63472;34970;47594;18908;15878
16;2026;4217934.0;2106770.0;2111164.0;2419853.0;1251753.0;1168100.0;1798081.0;855017.0;943065.0;25372;16495;54181;62898;35056;47279;19125;15619
17;2027;4262904.0;2126885.0;2136020.0;2451648.0;1263349.0;1188299.0;1811257.0;863535.0;947721.0;25419;16542;54451;62347;35122;46946;19329;15401
18;2028;4307193.0;2146504.0;2160689.0;2483269.0;1274807.0;1208463.0;1823923.0;871697.0;952227.0;25474;16576;54721;61835;35182;46604;19539;15232
19;2029;4350847.0;2165669.0;2185178.0;2514726.0;1286125.0;1228602.0;1836121.0;879544.0;956577.0;25541;16612;54971;61362;35234;46258;19737;15104
20;2030;4393944.0;2184402.0;2209542.0;2546044.0;1297286.0;1248758.0;1847900.0;887116.0;960784.0;25619;16639;55222;60958;35294;45919;19929;15039
21;2031;4436505.0;2202752.0;2233753.0;2577178.0;1308276.0;1268902.0;1859326.0;894475.0;964851.0;25673;16659;55446;60597;35348;45594;20099;15004
22;2032;4478514.0;2220729.0;2257785.0;2608078.0;1319072.0;1289006.0;1870436.0;901657.0;968779.0;25724;16681;55661;60323;35402;45290;20259;15033
23;2033;4520041.0;2238391.0;2281650.0;2638734.0;1329659.0;1309074.0;1881308.0;908732.0;972576.0;25768;16699;55882;60123;35472;45016;20410;15107
24;2034;4561113.0;2255779.0;2305333.0;2669103.0;1340027.0;1329076.0;1892009.0;915752.0;976257.0;25810;16722;56070;60018;35562;44780;20508;15238
25;2035;4601735.0;2272901.0;2328834.0;2699131.0;1350119.0;1349013.0;1902603.0;922783.0;979821.0;25842;16753;56249;60013;35668;44589;20581;15424
26;2036;4641965.0;2289790.0;2352175.0;2728796.0;1359906.0;1368890.0;1913169.0;929884.0;983285.0;25870;16786;56402;60053;35777;44446;20625;15607
27;2037;4681762.0;2306416.0;2375346.0;2758038.0;1369358.0;1388680.0;1923724.0;937058.0;986667.0;25889;16826;56548;60089;35885;44343;20663;15746
28;2038;4721076.0;2322730.0;2398347.0;2786830.0;1378466.0;1408365.0;1934246.0;944264.0;989982.0;25904;16871;56682;60128;35991;44267;20691;15861
29;2039;4759878.0;2338696.0;2421181.0;2815153.0;1387213.0;1427940.0;1944725.0;951483.0;993242.0;25915;16929;56796;60158;36080;44210;20716;15948
30;2040;4798181.0;2354289.0;2443892.0;2843004.0;1395593.0;1447411.0;1955177.0;958696.0;996480.0;25921;16987;56893;60181;36164;44168;20729;16013
31;2041;4835959.0;2369481.0;2466478.0;2870356.0;1403588.0;1466768.0;1965603.0;965893.0;999710.0;25928;17044;56961;60203;36250;44135;20712;16068
32;2042;4873149.0;2384238.0;2488912.0;2897149.0;1411164.0;1485985.0;1976001.0;973074.0;1002927.0;25936;17106;57011;60223;36335;44111;20676;16112
33;2043;4909768.0;2398537.0;2511231.0;2923378.0;1418295.0;1505083.0;1986390.0;980242.0;1006148.0;25942;17173;57051;60233;36419;44092;20632;16141
