ID;Geslacht;Migratieachtergrond;Startjaar;BrugklastypeStartjaar;Peilmoment;OnderwijspositiePeilmoment;TotaalLeerlingenStartjaar_1;ZonderVertraging_2;TotaalMetVertraging_3;VertraagdBinnenGelijkNiveau_4;VertraagdNaarHogerNiveau_5;VertraagdNaarLagerNiveau_6;VertraagdNaarHogerEnLagerNiveau_7;VertraagdNiveauveranderingOnbekend_8;VertragingOnbekend_9;ZonderVertraging_10;TotaalMetVertraging_11;VertraagdBinnenGelijkNiveau_12;VertraagdNaarHogerNiveau_13;VertraagdNaarLagerNiveau_14;VertraagdNaarHogerEnLagerNiveau_15;VertraagdNiveauveranderingOnbekend_16;VertragingOnbekend_17
5333;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Totaal brugklas vmbo;7 jaar na startjaar;Leerlingen uit vo op peilmoment;15647.0;10929.0;4042.0;2627.0;827.0;411.0;143.0;34.0;676.0;70.0;26.0;17.0;5.0;3.0;1.0;0.0;4.0
5334;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-basis-kader;1 jaar na startjaar;Totaal;7385.0;6745.0;316.0;299.0;12.0;5.0;;;324.0;91.0;4.0;4.0;0.0;0.0;;;4.0
5335;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-basis-kader;1 jaar na startjaar;Leerlingen in vo op peilmoment;7138.0;6745.0;316.0;299.0;12.0;5.0;;;77.0;94.0;4.0;4.0;0.0;0.0;;;1.0
5336;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-basis-kader;1 jaar na startjaar;Leerlingen uit vo op peilmoment;247.0;0.0;0.0;0.0;0.0;0.0;;;247.0;0.0;0.0;0.0;0.0;0.0;;;100.0
5337;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-basis-kader;2 jaar na startjaar;Totaal;7385.0;6476.0;611.0;535.0;38.0;17.0;5.0;16.0;298.0;88.0;8.0;7.0;1.0;0.0;0.0;0.0;4.0
5338;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-basis-kader;2 jaar na startjaar;Leerlingen in vo op peilmoment;6876.0;6252.0;553.0;480.0;36.0;16.0;5.0;16.0;71.0;91.0;8.0;7.0;1.0;0.0;0.0;0.0;1.0
5339;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-basis-kader;2 jaar na startjaar;Leerlingen uit vo op peilmoment;509.0;224.0;58.0;55.0;2.0;1.0;0.0;0.0;227.0;44.0;11.0;11.0;0.0;0.0;0.0;0.0;45.0
5340;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-basis-kader;3 jaar na startjaar;Totaal;7385.0;6109.0;988.0;797.0;94.0;44.0;37.0;16.0;288.0;83.0;13.0;11.0;1.0;1.0;1.0;0.0;4.0
5341;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-basis-kader;3 jaar na startjaar;Leerlingen in vo op peilmoment;6535.0;5657.0;812.0;643.0;84.0;42.0;36.0;7.0;66.0;87.0;12.0;10.0;1.0;1.0;1.0;0.0;1.0
5342;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-basis-kader;3 jaar na startjaar;Leerlingen uit vo op peilmoment;850.0;452.0;176.0;154.0;10.0;2.0;1.0;9.0;222.0;53.0;21.0;18.0;1.0;0.0;0.0;1.0;26.0
5343;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-basis-kader;4 jaar na startjaar;Totaal;7385.0;5664.0;1439.0;981.0;286.0;84.0;71.0;17.0;282.0;77.0;19.0;13.0;4.0;1.0;1.0;0.0;4.0
5344;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-basis-kader;4 jaar na startjaar;Leerlingen in vo op peilmoment;1156.0;65.0;1039.0;640.0;259.0;66.0;69.0;5.0;52.0;6.0;90.0;55.0;22.0;6.0;6.0;0.0;4.0
5345;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-basis-kader;4 jaar na startjaar;Leerlingen uit vo op peilmoment;6229.0;5599.0;400.0;341.0;27.0;18.0;2.0;12.0;230.0;90.0;6.0;5.0;0.0;0.0;0.0;0.0;4.0
5346;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-basis-kader;5 jaar na startjaar;Totaal;7385.0;5653.0;1450.0;980.0;296.0;85.0;73.0;16.0;282.0;77.0;20.0;13.0;4.0;1.0;1.0;0.0;4.0
