ID;Regio;Bevolkingsdichtheid_1
0;Nederland;243.68
1;Groningen (provincie);171.0
2;Friesland;123.44
3;Drenthe;83.53
4;Overijssel;154.64
5;Gelderland;165.02
6;Utrecht (provincie);298.74
7;Noord-Holland;550.68
8;Zuid-Holland;669.25
9;Zeeland;138.64
10;Noord-Brabant;180.69
11;Limburg;251.43
12;Gemeenten met meer dan 100000 inwoners;5823.5
13;Gemeenten met 50001 - 100000 inwoners;1083.68
14;Gemeenten met 20001 - 50000 inwoners;563.28
15;Gemeenten met 10001 - 20000 inwoners;198.34
16;Gemeenten met 5001 - 10000 inwoners;138.43
17;Gemeenten met 2001 - 5000 inwoners;119.12
18;Gemeenten met 1001 - 2000 inwoners;130.98
19;Gemeenten met 501 - 1000 inwoners;79.48
20;Gemeenten met 500 of minder inwoners;46.5
21;Aagtekerke;90.05
22;Aalsmeer;345.58
23;Aalten;135.8
24;Aardenburg;126.93
25;Aarle-Rixtel;182.33
26;Abbekerk;98.21
27;Abbenbroek;72.58
28;Abcoude-Baambrugge;88.71
29;Abcoude-Proosdij;107.08
30;Achtkarspelen;144.82
31;Achttienhoven (U.);63.96
32;Adorp;63.88
33;Aduard;66.57
34;Aengwirden;115.99
35;Akersloot;93.95
36;Alblas (Oud-);91.83
37;Alblasserdam;671.99
38;Alem, Maren en Kessel;47.24
39;Alkemade;252.72
40;Alkmaar;1956.12
41;Almelo;835.62
42;Almkerk;118.67
43;Alphen aan den Rijn;295.55
44;Alphen en Riel;45.73
45;Ambij;342.15
46;Ameide;340.23
47;Ameland;33.74
48;Amerongen;90.04
49;Amersfoort;1642.48
50;Ammerstol;1685.0
51;Ammerzoden;206.44
52;Amstenrade;487.15
53;Amsterdam;5056.99
54;Andel;167.44
55;Andijk;270.79
56;Angerlo;78.73
57;Ankeveen;129.22
58;Anlo;56.73
59;Anna Paulowna;105.42
60;Annaland (St.);181.84
61;Apeldoorn;178.02
62;Appeltern;95.89
63;Appingedam;261.3
64;Arcen en Velden;82.0
65;Arkel;140.64
66;Arnemuiden;131.4
67;Arnhem;1162.64
68;Asperen;502.4
69;Assen;320.03
70;Assendelft;155.58
71;Asten;81.58
72;Avenhorn;160.23
73;Avereest;130.74
74;Axel;139.66
75;Baarderadeel;70.83
76;Baarland;68.47
77;Baarle-Nassau;43.11
78;Baarn;368.13
79;Baexem;101.87
80;Baflo;82.23
81;Bakel en Milheeze;40.91
82;Barendrecht;236.58
83;Barneveld;78.13
84;Barradeel;130.69
85;Barsingerhorn;104.26
86;Barwoutswaarder;232.45
87;Batenburg;71.65
88;Bathmen;68.59
89;Bedum;116.96
90;Beegden;82.79
91;Beek (L.);272.05
92;Beek en Donk;190.33
93;Beemster;71.85
94;Beers;76.6
95;Beerta;83.73
96;Beesd;75.66
97;Beesel;147.15
98;Beets;79.76
99;Beijerland (Nieuw-);128.81
100;Beijerland (Oud-);357.69
101;Beijerland (Zuid-);72.77
102;Beilen;48.75
103;Belfeld;140.52
104;Bellingwolde;77.94
105;Bemelen;69.1
106;Bemmel;181.83
107;Bennebroek;1232.57
108;Benschop;82.51
109;Benthuizen;84.09
110;Berg en Terblijt;257.88
111;Bergambacht;131.21
112;Bergeijk;57.74
