ID;Technieken;Perioden;Locaties_1;TotaalVerbruik_2;VoorOmzettingInElektriciteitWarmte_3;VoorToevoegingAanHetAardgasnet_4;FinaalVerbruik_5;BrutoElektriciteitsproductieInKWh_6;BrutoElektriciteitsproductieInTJ_7;WarmteproductieUitOmzettingen_8;AardgasproductieDoorToevoegenBiogas_9
0;Totaal biomassa;1990;;30597.0;14802.0;101.0;15694.0;665.0;2394.0;2543.0;101.0
1;Totaal biomassa;1991;;30813.0;14868.0;171.0;15774.0;742.0;2672.0;2740.0;171.0
2;Totaal biomassa;1992;;31445.0;15022.0;486.0;15937.0;726.0;2614.0;2809.0;486.0
3;Totaal biomassa;1993;;33731.0;17049.0;462.0;16220.0;839.0;3022.0;2670.0;462.0
4;Totaal biomassa;1994;;33629.0;16732.0;407.0;16490.0;918.0;3303.0;2293.0;407.0
5;Totaal biomassa;1995;;36150.0;18977.0;399.0;16774.0;998.0;3592.0;2519.0;399.0
6;Totaal biomassa;1996;;41233.0;23525.0;392.0;17317.0;1297.0;4668.0;2925.0;392.0
7;Totaal biomassa;1997;;44658.0;26809.0;376.0;17473.0;1446.0;5205.0;4680.0;376.0
8;Totaal biomassa;1998;;46715.0;28777.0;425.0;17513.0;1572.0;5660.0;4616.0;425.0
9;Totaal biomassa;1999;;49060.0;30967.0;513.0;17580.0;1768.0;6366.0;4660.0;513.0
10;Totaal biomassa;2000;;52050.0;33916.0;549.0;17585.0;1999.0;7198.0;4551.0;549.0
11;Totaal biomassa;2001;;55122.0;37139.0;482.0;17500.0;2355.0;8478.0;4641.0;482.0
12;Totaal biomassa;2002;;60437.0;42537.0;414.0;17486.0;2908.0;10468.0;5363.0;414.0
13;Totaal biomassa;2003;;57761.0;39078.0;316.0;18367.0;2552.0;9187.0;5151.0;316.0
14;Totaal biomassa;2004;;67289.0;46841.0;436.0;20012.0;3315.0;11933.0;5659.0;436.0
15;Totaal biomassa;2005;;85670.0;64233.0;446.0;20991.0;5262.0;18943.0;6170.0;446.0
16;Totaal biomassa;2006;;89277.0;64077.0;445.0;24755.0;5173.0;18624.0;6527.0;445.0
17;Totaal biomassa;2007;;90234.0;53399.0;417.0;36419.0;4001.0;14403.0;6981.0;417.0
