ID;PersoonsEnBuurtkenmerken;Cijfersoort;Perioden;Inbraakalarm_1;ExtraHangEnSluitwerk_2;ExtraBuitenverlichting_3;LuikenVoorRamenDeuren_4;PolitiekeurmerkVoorVeiligWonen_5;InbraakpreventieSchaalscore_6;FietsVerzekerdTegenDiefstal_7;FietsMetDiefstalpreventiechip_8;AlarminstallatieStartonderbreker_9;ZelfAangebrachteInstallatie_10;MobieleTelefoonMetPincode_11;PCMetWachtwoord_12
0;110;Waarde;2005;11.8;82.4;78.9;14.9;14.6;4.1;46.9;10.0;56.2;6.7;86.7;62.4
1;110;Waarde;2006;10.9;82.6;77.7;15.1;15.3;4.0;45.2;10.4;56.5;6.0;86.7;63.1
2;110;Waarde;2007;11.5;82.8;80.1;15.7;16.0;4.1;46.3;11.3;57.1;5.0;87.1;65.4
3;110;Waarde;2008;12.2;83.6;80.8;16.6;16.4;4.2;46.9;11.1;57.4;4.2;86.5;66.8
4;110;Betrouwbaarheidsmarge;2005;0.9;1.0;1.1;1.0;1.0;0.1;1.4;0.9;1.7;1.1;1.0;1.3
5;110;Betrouwbaarheidsmarge;2006;0.5;0.5;0.6;0.5;0.5;0.0;0.8;0.5;0.9;0.5;0.5;0.8
6;110;Betrouwbaarheidsmarge;2007;0.5;0.5;0.6;0.6;0.6;0.0;0.8;0.5;0.9;0.5;0.5;0.8
7;110;Betrouwbaarheidsmarge;2008;0.5;0.5;0.6;0.6;0.6;0.0;0.8;0.5;0.9;0.5;0.5;0.8
8;100;Waarde;2005;14.6;87.1;86.1;21.5;16.4;4.5;48.7;10.9;;;92.2;56.8
9;100;Waarde;2006;18.1;87.6;82.4;21.3;15.5;4.5;43.5;8.8;;;93.3;60.0
10;100;Waarde;2007;14.5;84.0;84.3;26.2;14.2;4.5;46.9;10.0;;;93.9;60.0
11;100;Waarde;2008;19.9;84.4;86.8;26.7;11.1;4.6;44.8;7.9;;;95.0;62.4
12;100;Betrouwbaarheidsmarge;2005;3.7;3.4;4.1;4.4;4.4;0.2;5.2;3.3;;;2.9;5.2
13;100;Betrouwbaarheidsmarge;2006;2.3;2.1;3.0;2.5;2.3;0.1;2.9;1.7;;;1.6;2.9
14;100;Betrouwbaarheidsmarge;2007;2.1;2.6;2.8;2.9;2.3;0.1;3.0;1.8;;;1.5;3.0
15;100;Betrouwbaarheidsmarge;2008;2.6;2.9;2.4;2.8;1.8;0.1;2.9;1.6;;;1.3;2.9
16;101;Waarde;2005;8.8;73.9;69.5;14.2;9.1;3.5;28.5;3.9;38.1;8.9;93.6;58.9
17;101;Waarde;2006;7.6;74.2;70.8;14.2;9.3;3.5;31.5;5.6;43.6;6.6;92.8;55.6
18;101;Waarde;2007;7.1;71.8;70.1;15.0;9.9;3.5;31.2;5.7;46.6;7.5;93.5;57.1
19;101;Waarde;2008;8.7;75.2;71.0;15.6;9.6;3.6;31.0;5.1;46.5;3.2;93.5;62.7
20;101;Betrouwbaarheidsmarge;2005;2.6;4.9;5.1;3.1;2.4;0.2;3.8;1.6;6.4;6.2;2.0;4.2
21;101;Betrouwbaarheidsmarge;2006;1.3;2.8;3.0;1.9;1.4;0.1;2.1;1.0;3.4;2.7;1.2;2.3
22;101;Betrouwbaarheidsmarge;2007;1.3;3.0;3.0;1.8;1.7;0.1;2.2;1.1;3.8;2.9;1.1;2.4
23;101;Betrouwbaarheidsmarge;2008;1.3;2.6;2.7;1.9;1.4;0.1;2.2;1.0;3.6;1.8;1.1;2.2
24;102;Waarde;2005;7.8;81.0;74.0;10.7;12.0;3.7;35.2;7.0;49.1;7.7;88.1;57.1
25;102;Waarde;2006;6.8;81.3;72.8;12.5;14.8;3.8;33.9;8.0;56.4;6.0;89.9;57.7
26;102;Waarde;2007;8.1;80.8;74.2;11.6;14.9;3.8;34.8;8.4;55.3;5.0;91.1;60.4
27;102;Waarde;2008;6.3;78.3;72.7;12.5;14.6;3.7;33.7;8.7;55.6;5.3;89.3;60.8
28;102;Betrouwbaarheidsmarge;2005;1.8;3.1;3.5;2.0;2.0;0.1;3.3;1.7;3.9;3.1;2.2;3.5
29;102;Betrouwbaarheidsmarge;2006;0.9;1.8;2.0;1.2;1.3;0.1;1.7;0.9;2.0;1.5;1.1;1.8
30;102;Betrouwbaarheidsmarge;2007;1.1;1.7;2.0;1.1;1.4;0.1;1.8;1.0;2.1;1.2;1.1;1.9
31;102;Betrouwbaarheidsmarge;2008;0.9;1.8;2.0;1.2;1.3;0.1;1.8;1.1;2.1;1.5;1.2;1.9
32;103;Waarde;2005;11.2;83.5;79.7;15.3;17.5;4.1;49.2;10.3;56.6;7.6;90.8;66.2
33;103;Waarde;2006;12.1;82.8;78.1;15.6;15.3;4.1;44.7;9.6;58.8;6.3;89.3;66.4
34;103;Waarde;2007;11.7;84.0;80.8;16.7;16.2;4.2;45.0;11.0;59.9;3.9;90.3;67.7
35;103;Waarde;2008;12.7;86.2;81.5;17.9;17.2;4.3;44.7;10.1;60.0;3.8;89.5;69.2
36;103;Betrouwbaarheidsmarge;2005;1.8;2.5;2.9;2.0;2.4;0.1;2.9;1.7;3.1;2.4;1.6;2.7
37;103;Betrouwbaarheidsmarge;2006;1.0;1.4;1.6;1.1;1.1;0.1;1.5;0.8;1.6;1.2;1.0;1.4
38;103;Betrouwbaarheidsmarge;2007;1.0;1.4;1.6;1.2;1.2;0.1;1.6;1.0;1.7;0.9;0.9;1.5
39;103;Betrouwbaarheidsmarge;2008;1.1;1.3;1.5;1.2;1.2;0.1;1.5;0.9;1.7;0.9;0.9;1.4
40;104;Waarde;2005;11.4;83.8;81.4;14.6;14.8;4.1;52.2;12.6;62.1;5.8;88.4;67.2
41;104;Waarde;2006;10.1;84.0;77.7;14.9;16.2;4.1;52.3;12.9;58.4;6.8;87.6;67.6
42;104;Waarde;2007;12.1;84.0;81.0;15.9;15.5;4.2;53.6;14.4;58.5;5.2;88.8;70.7
43;104;Waarde;2008;12.5;84.3;81.9;17.9;15.8;4.2;53.5;13.8;58.5;5.4;88.1;71.7
44;104;Betrouwbaarheidsmarge;2005;2.1;2.6;3.1;2.3;2.4;0.1;3.0;1.9;3.2;2.1;2.1;2.8
45;104;Betrouwbaarheidsmarge;2006;0.9;1.5;1.9;1.2;1.3;0.1;1.6;1.0;1.7;1.2;1.1;1.5
46;104;Betrouwbaarheidsmarge;2007;1.1;1.5;1.7;1.2;1.3;0.1;1.6;1.1;1.7;1.1;1.0;1.5
47;104;Betrouwbaarheidsmarge;2008;1.2;1.4;1.6;1.3;1.3;0.1;1.6;1.1;1.7;1.1;1.1;1.4
48;105;Waarde;2005;12.6;82.7;82.4;18.1;15.1;4.2;56.5;11.9;63.3;5.3;83.1;63.6
49;105;Waarde;2006;11.5;85.5;82.8;16.8;17.6;4.3;53.9;14.1;59.9;4.5;83.9;67.8
50;105;Waarde;2007;11.4;86.2;85.4;17.9;18.0;4.4;54.3;14.0;61.3;4.8;83.9;69.6
51;105;Waarde;2008;12.3;87.3;85.8;17.8;18.6;4.4;57.5;14.3;60.2;2.8;85.3;70.8
52;105;Betrouwbaarheidsmarge;2005;2.1;2.7;2.9;2.4;2.3;0.1;3.2;2.0;3.5;2.2;2.5;3.4
53;105;Betrouwbaarheidsmarge;2006;1.1;1.4;1.7;1.3;1.3;0.1;1.7;1.2;1.9;1.0;1.4;1.7
54;105;Betrouwbaarheidsmarge;2007;1.1;1.3;1.5;1.3;1.4;0.1;1.7;1.1;1.8;1.1;1.3;1.6
55;105;Betrouwbaarheidsmarge;2008;1.1;1.2;1.4;1.3;1.4;0.1;1.6;1.1;1.8;0.8;1.2;1.6
56;106;Waarde;2005;14.5;87.1;84.7;17.1;14.9;4.4;52.7;13.0;58.7;6.5;72.2;57.8
57;106;Waarde;2006;12.4;84.5;81.3;16.4;17.8;4.2;52.5;12.5;54.5;5.7;74.8;60.7
58;106;Waarde;2007;12.4;85.4;84.8;17.2;19.8;4.4;53.0;13.5;54.2;5.8;73.2;66.2
59;106;Waarde;2008;13.7;86.1;85.8;17.6;18.1;4.4;54.1;14.4;58.2;3.7;73.8;63.3
60;106;Betrouwbaarheidsmarge;2005;3.3;2.8;3.3;3.1;3.0;0.2;4.3;2.8;4.9;3.1;4.2;5.7
61;106;Betrouwbaarheidsmarge;2006;1.5;1.7;2.1;1.6;1.7;0.1;2.2;1.4;2.6;1.7;2.0;2.7
62;106;Betrouwbaarheidsmarge;2007;1.5;1.7;1.8;1.6;1.8;0.1;2.2;1.5;2.5;1.7;2.0;2.5
63;106;Betrouwbaarheidsmarge;2008;1.4;1.6;1.8;1.6;1.7;0.1;2.1;1.5;2.4;1.2;2.0;2.4
64;107;Waarde;2005;18.7;79.8;76.3;13.6;16.0;4.1;50.0;8.2;45.6;8.5;63.2;61.7
65;107;Waarde;2006;15.4;80.9;78.4;14.2;13.6;4.0;45.0;8.2;44.2;7.5;63.7;54.5
66;107;Waarde;2007;18.6;82.2;80.7;12.3;15.9;4.2;50.8;8.3;44.8;5.9;61.6;57.7
67;107;Waarde;2008;19.2;83.5;82.7;13.1;19.7;4.4;51.2;9.3;45.5;4.7;61.6;59.5
68;107;Betrouwbaarheidsmarge;2005;4.5;4.7;5.2;4.2;4.2;0.2;6.7;3.5;7.9;7.4;7.4;10.9
69;107;Betrouwbaarheidsmarge;2006;2.0;2.3;2.4;1.9;1.9;0.1;3.1;1.7;3.9;3.7;3.4;5.1
70;107;Betrouwbaarheidsmarge;2007;2.3;2.3;2.4;1.8;2.1;0.1;3.2;1.7;3.8;2.9;3.4;4.8
71;107;Betrouwbaarheidsmarge;2008;2.2;2.1;2.1;1.8;2.2;0.1;3.2;1.8;3.7;2.4;3.2;4.3
72;108;Waarde;2005;12.3;81.9;78.8;15.5;14.4;4.1;42.5;9.1;64.8;6.3;87.6;61.1
73;108;Waarde;2006;11.3;82.3;77.1;15.0;15.4;4.0;40.8;9.8;64.0;6.3;87.3;61.3
74;108;Waarde;2007;12.0;83.2;79.5;16.0;16.3;4.1;40.9;10.1;65.4;4.8;87.4;63.1
75;108;Waarde;2008;12.3;83.8;80.5;16.9;16.3;4.2;42.4;10.6;65.6;4.0;87.5;64.6
76;108;Betrouwbaarheidsmarge;2005;1.3;1.8;1.9;1.4;1.4;0.1;1.9;1.0;2.0;1.3;1.3;1.9
77;108;Betrouwbaarheidsmarge;2006;0.6;1.0;1.1;0.7;0.8;0.0;1.0;0.6;1.1;0.7;0.7;1.0
78;108;Betrouwbaarheidsmarge;2007;0.7;0.9;1.0;0.7;0.8;0.0;1.0;0.6;1.1;0.6;0.7;1.0
79;108;Betrouwbaarheidsmarge;2008;0.7;0.9;1.0;0.8;0.8;0.0;1.0;0.6;1.1;0.6;0.7;1.0
