ID;Perioden;ObligatiesAlgemeen_1;StaatsleningenAlgemeen_2;StaatsleningenVasteLooptijd_3;StaatsleningenVasteLooptijd03Jaar_4;StaatsleningenVasteLooptijd35Jaar_5;StaatsleningenVasteLooptijd58Jaar_6;StaatsleningenVasteLooptijd8Jaar_7;GewoneObligaties_8;AchtergesteldeObligaties_9
0;1984 januari;;;4.19;;;;;;
1;1984 februari;;;4.23;;;;;;
2;1984 maart;;;4.16;;;;;;
3;1984 april;;;4.16;;;;;;
4;1984 mei;;;4.13;;;;;;
5;1984 juni;;;4.13;;;;;;
6;1984 juli;;;4.05;;;;;;
7;1984 augustus;;;4.03;;;;;;
8;1984 september;;;4.03;;;;;;
9;1984 oktober;;;4.02;;;;;;
10;1984 november;;;3.95;;;;;;
11;1984 december;;;3.88;;;;;;
12;1985 januari;;;3.82;;;;;;
13;1985 februari;;;3.76;;;;;;
14;1985 maart;;;3.87;;;;;;
15;1985 april;;;3.89;;;;;;
16;1985 mei;;;4.04;;;;;;
17;1985 juni;;;4.03;;;;;;
18;1985 juli;;;4.07;;;;;;
19;1985 augustus;;;4.03;;;;;;
20;1985 september;;;3.97;;;;;;
21;1985 oktober;;;4.0;;;;;;
22;1985 november;;;3.95;;;;;;
23;1985 december;;;3.88;;;;;;
24;1986 januari;;;3.94;;;;;;
25;1986 februari;;;4.0;;;;;;
26;1986 maart;;;3.98;;;;;;
27;1986 april;;;4.11;;;;;;
28;1986 mei;;;4.08;;;;;;
29;1986 juni;;;4.1;;;;;;
30;1986 juli;;;4.04;;;;;;
31;1986 augustus;;;4.15;;;;;;
32;1986 september;;;4.08;;;;;;
33;1986 oktober;;;4.03;;;;;;
34;1986 november;;;3.97;;;;;;
35;1986 december;;;3.88;;;;;;
36;1987 januari;;;3.97;;;;;;
37;1987 februari;;;4.05;;;;;;
38;1987 maart;;;4.01;;;;;;
39;1987 april;;;4.07;;;;;;
40;1987 mei;;;4.11;;;;;;
41;1987 juni;;;4.11;;;;;;
42;1987 juli;;;4.06;;;;;;
43;1987 augustus;;;4.04;;;;;;
44;1987 september;;;3.95;;;;;;
45;1987 oktober;;;3.96;;;;;;
46;1987 november;;;3.94;;;;;;
47;1987 december;;;3.91;;;;;;
48;1988 januari;;;3.95;;;;;;
49;1988 februari;;;3.94;;;;;;
50;1988 maart;;;3.96;;;;;;
51;1988 april;;;3.99;;;;;;
52;1988 mei;;;4.0;;;;;;
53;1988 juni;;;3.96;;;;;;
54;1988 juli;;;4.01;;;;;;
55;1988 augustus;;;4.0;;;;;;
56;1988 september;;;3.95;;;;;;
57;1988 oktober;;;4.02;;;;;;
58;1988 november;;;3.95;;;;;;
59;1988 december;;;3.88;;;;;;
60;1989 januari;;;3.91;;;;;;
61;1989 februari;;;3.97;;;;;;
62;1989 maart;;;4.0;;;;;;
63;1989 april;;;4.01;;;;;;
64;1989 mei;;;4.04;;;;;;
65;1989 juni;;;4.15;;;;;;
66;1989 juli;;;4.2;;;;;;
67;1989 augustus;;;4.12;;;;;;
68;1989 september;;;4.06;;;;;;
69;1989 oktober;;;4.02;;;;;;
70;1989 november;;;3.95;;;;;;
71;1989 december;;;3.88;;;;;;
72;1990 januari;;;4.02;;;;;;
73;1990 februari;;;4.1;;;;;;
74;1990 maart;;;4.1;;;;;;
75;1990 april;;;4.05;;;;;;
76;1990 mei;;;4.18;;;;;;
77;1990 juni;;;4.23;;;;;;
78;1990 juli;;;4.27;;;;;;
