ID;TypeGefailleerde;Leeftijden;Perioden;UitgesprokenFaillissementen_1
0;Natuurlijke personen;Totaal;2013 januari;370
1;Natuurlijke personen;Totaal;2013 februari;303
2;Natuurlijke personen;Totaal;2013 maart;389
3;Natuurlijke personen;Totaal;2013 1e kwartaal;1062
4;Natuurlijke personen;Totaal;2013 april;341
5;Natuurlijke personen;Totaal;2013 mei;385
6;Natuurlijke personen;Totaal;2013 juni;335
7;Natuurlijke personen;Totaal;2013 2e kwartaal;1061
8;Natuurlijke personen;Totaal;2013 juli;373
9;Natuurlijke personen;Totaal;2013 augustus;268
10;Natuurlijke personen;Totaal;2013 september;283
11;Natuurlijke personen;Totaal;2013 3e kwartaal;924
12;Natuurlijke personen;Totaal;2013 oktober;385
13;Natuurlijke personen;Totaal;2013 november;339
14;Natuurlijke personen;Totaal;2013 december;302
15;Natuurlijke personen;Totaal;2013 4e kwartaal;1026
16;Natuurlijke personen;Totaal;2013;4073
17;Natuurlijke personen;Totaal;2014 januari;340
18;Natuurlijke personen;Totaal;2014 februari;291
19;Natuurlijke personen;Totaal;2014 maart;255
20;Natuurlijke personen;Totaal;2014 1e kwartaal;886
21;Natuurlijke personen;Totaal;2014 april;324
22;Natuurlijke personen;Totaal;2014 mei;240
23;Natuurlijke personen;Totaal;2014 juni;189
24;Natuurlijke personen;Totaal;2014 2e kwartaal;753
25;Natuurlijke personen;Totaal;2014 juli;235
26;Natuurlijke personen;Totaal;2014 augustus;214
27;Natuurlijke personen;Totaal;2014 september;260
28;Natuurlijke personen;Totaal;2014 3e kwartaal;709
29;Natuurlijke personen;Totaal;2014 oktober;223
30;Natuurlijke personen;Totaal;2014 november;211
31;Natuurlijke personen;Totaal;2014 december;242
32;Natuurlijke personen;Totaal;2014 4e kwartaal;676
33;Natuurlijke personen;Totaal;2014;3024
34;Natuurlijke personen;Totaal;2015 januari;194
35;Natuurlijke personen;Totaal;2015 februari;199
36;Natuurlijke personen;Totaal;2015 maart;217
37;Natuurlijke personen;Totaal;2015 1e kwartaal;610
38;Natuurlijke personen;Totaal;2015 april;169
39;Natuurlijke personen;Totaal;2015 mei;137
40;Natuurlijke personen;Totaal;2015 juni;173
41;Natuurlijke personen;Totaal;2015 2e kwartaal;479
42;Natuurlijke personen;Totaal;2015 juli;159
43;Natuurlijke personen;Totaal;2015 augustus;128
44;Natuurlijke personen;Totaal;2015 september;181
45;Natuurlijke personen;Totaal;2015 3e kwartaal;468
46;Natuurlijke personen;Totaal;2015 oktober;164
47;Natuurlijke personen;Totaal;2015 november;135
48;Natuurlijke personen;Totaal;2015 december;211
49;Natuurlijke personen;Totaal;2015 4e kwartaal;510
50;Natuurlijke personen;Totaal;2015;2067
51;Natuurlijke personen;Totaal;2016 januari;126
52;Natuurlijke personen;Totaal;2016 februari;134
53;Natuurlijke personen;Totaal;2016 maart;191
54;Natuurlijke personen;Totaal;2016 1e kwartaal;451
55;Natuurlijke personen;Totaal;2016 april;136
56;Natuurlijke personen;Totaal;2016 mei;148
57;Natuurlijke personen;Totaal;2016 juni;131
58;Natuurlijke personen;Totaal;2016 2e kwartaal;415
59;Natuurlijke personen;Totaal;2016 juli;117
60;Natuurlijke personen;Totaal;2016 augustus;135
61;Natuurlijke personen;Totaal;2016 september;112
62;Natuurlijke personen;Totaal;2016 3e kwartaal;364
63;Natuurlijke personen;Totaal;2016 oktober;108
64;Natuurlijke personen;Totaal;2016 november;117
65;Natuurlijke personen;Totaal;2016 december;98
66;Natuurlijke personen;Totaal;2016 4e kwartaal;323
67;Natuurlijke personen;Totaal;2016;1553
68;Natuurlijke personen;Totaal;2017 januari;131
69;Natuurlijke personen;Totaal;2017 februari;110
70;Natuurlijke personen;Totaal;2017 maart;119
71;Natuurlijke personen;Totaal;2017 1e kwartaal;360
72;Natuurlijke personen;Totaal;2017 april;115
73;Natuurlijke personen;Totaal;2017 mei;138
74;Natuurlijke personen;Totaal;2017 juni;98
75;Natuurlijke personen;Totaal;2017 2e kwartaal;351
76;Natuurlijke personen;Totaal;2017 juli;95
77;Natuurlijke personen;Totaal;2017 augustus;122
78;Natuurlijke personen;Totaal;2017 september;112
79;Natuurlijke personen;Totaal;2017 3e kwartaal;329
80;Natuurlijke personen;Totaal;2017 oktober;115
81;Natuurlijke personen;Totaal;2017 november;102
82;Natuurlijke personen;Totaal;2017 december;72
83;Natuurlijke personen;Totaal;2017 4e kwartaal;289
84;Natuurlijke personen;Totaal;2017;1329
85;Natuurlijke personen;Totaal;2018 januari;110
86;Natuurlijke personen;Totaal;2018 februari;81
87;Natuurlijke personen;Totaal;2018 maart;109
88;Natuurlijke personen;Totaal;2018 1e kwartaal;300
89;Natuurlijke personen;Totaal;2018 april;84
90;Natuurlijke personen;Totaal;2018 mei;92
