ID;RegioS;Perioden;OntvangenMeldingenTotaal_1;k_1eMeldingGeenBetrokkenenBekendVT_2;Totaal_3;MeerdereBetrokkenenAlBekendBijVT_4;EenBetrokkeneAlBekendBijVT_5;Totaal_6;TijdensVeiligheidsbeoordeling_7;NaVeiligheidsbeoordeling_8;TijdensMonitoringDoorVT_9;MeldingNietIngedeeld_10;OntvangenMeldingenTotaal_11;k_1eMeldingGeenBetrokkenenBekendVT_12;Totaal_13;MeerdereBetrokkenenAlBekendBijVT_14;EenBetrokkeneAlBekendBijVT_15;Totaal_16;TijdensVeiligheidsbeoordeling_17;NaVeiligheidsbeoordeling_18;TijdensMonitoring_19;MeldingNietIngedeeld_20
0;Nederland;1e halfjaar 2022;60040.0;20370.0;22870.0;20285.0;2585.0;16245.0;6600.0;6260.0;3390.0;555.0;100.0;33.9;38.1;33.8;4.3;27.1;11.0;10.4;5.6;0.9
1;Nederland;2e halfjaar 2022;62970.0;20400.0;24355.0;21530.0;2825.0;17395.0;7355.0;6390.0;3650.0;820.0;100.0;32.4;38.7;34.2;4.5;27.6;11.7;10.1;5.8;1.3
2;Nederland;2022;123010.0;40795.0;47260.0;41845.0;5420.0;33640.0;13955.0;12680.0;7005.0;1310.0;100.0;33.2;38.4;34.0;4.4;27.3;11.3;10.3;5.7;1.1
3;Nederland;1e halfjaar 2023;64470.0;21315.0;24080.0;21370.0;2710.0;18185.0;8280.0;6580.0;3325.0;885.0;100.0;33.1;37.4;33.1;4.2;28.2;12.8;10.2;5.2;1.4
4;Nederland;2e halfjaar 2023;62925.0;19245.0;24380.0;21635.0;2745.0;18160.0;8615.0;6315.0;3230.0;1135.0;100.0;30.6;38.7;34.4;4.4;28.9;13.7;10.0;5.1;1.8
5;Nederland;2023;127390.0;40630.0;48555.0;43080.0;5475.0;36370.0;16910.0;12955.0;6510.0;1835.0;100.0;31.9;38.1;33.8;4.3;28.6;13.3;10.2;5.1;1.4
6;Nederland;1e halfjaar 2024;63800.0;20115.0;24025.0;21330.0;2695.0;18400.0;8875.0;6235.0;3290.0;1260.0;100.0;31.5;37.7;33.4;4.2;28.8;13.9;9.8;5.2;2.0
7;Noord-Nederland (LD);1e halfjaar 2022;5165.0;1850.0;2045.0;1775.0;270.0;1145.0;585.0;370.0;190.0;125.0;100.0;35.8;39.6;34.4;5.2;22.2;11.3;7.2;3.7;2.4
8;Noord-Nederland (LD);2e halfjaar 2022;5175.0;1700.0;2130.0;1810.0;320.0;1125.0;520.0;370.0;235.0;220.0;100.0;32.8;41.2;35.0;6.1;21.7;10.0;7.2;4.5;4.3
9;Noord-Nederland (LD);2022;10340.0;3550.0;4180.0;3590.0;585.0;2270.0;1105.0;740.0;425.0;345.0;100.0;34.3;40.4;34.7;5.7;21.9;10.7;7.2;4.1;3.3
