ID;LandVanHerkomst;BelangrijksteActiviteit;Perioden;Gasten_1
0;Totaal land van herkomst;Totaal belangrijkste activiteit;2005/'06;100
1;Totaal land van herkomst;Zaken;2005/'06;30
2;Totaal land van herkomst;Attracties en bezienswaardigheden;2005/'06;24
3;Totaal land van herkomst;Natuur;2005/'06;20
4;Totaal land van herkomst;Overig;2005/'06;26
5;België;Totaal belangrijkste activiteit;2005/'06;100
6;België;Zaken;2005/'06;21
7;België;Attracties en bezienswaardigheden;2005/'06;14
8;België;Natuur;2005/'06;34
9;België;Overig;2005/'06;30
10;Duitsland;Totaal belangrijkste activiteit;2005/'06;100
11;Duitsland;Zaken;2005/'06;20
12;Duitsland;Attracties en bezienswaardigheden;2005/'06;16
13;Duitsland;Natuur;2005/'06;39
14;Duitsland;Overig;2005/'06;25
15;Frankrijk;Totaal belangrijkste activiteit;2005/'06;100
16;Frankrijk;Zaken;2005/'06;24
17;Frankrijk;Attracties en bezienswaardigheden;2005/'06;33
18;Frankrijk;Natuur;2005/'06;12
19;Frankrijk;Overig;2005/'06;30
20;Groot-Brittannië;Totaal belangrijkste activiteit;2005/'06;100
21;Groot-Brittannië;Zaken;2005/'06;31
22;Groot-Brittannië;Attracties en bezienswaardigheden;2005/'06;24
23;Groot-Brittannië;Natuur;2005/'06;8
24;Groot-Brittannië;Overig;2005/'06;36
25;Italië en Spanje;Totaal belangrijkste activiteit;2005/'06;100
26;Italië en Spanje;Zaken;2005/'06;39
27;Italië en Spanje;Attracties en bezienswaardigheden;2005/'06;33
28;Italië en Spanje;Natuur;2005/'06;14
29;Italië en Spanje;Overig;2005/'06;14
30;Overige landen in Europa;Totaal belangrijkste activiteit;2005/'06;100
31;Overige landen in Europa;Zaken;2005/'06;30
32;Overige landen in Europa;Attracties en bezienswaardigheden;2005/'06;21
33;Overige landen in Europa;Natuur;2005/'06;14
34;Overige landen in Europa;Overig;2005/'06;34
35;Verenigde Staten;Totaal belangrijkste activiteit;2005/'06;100
36;Verenigde Staten;Zaken;2005/'06;45
37;Verenigde Staten;Attracties en bezienswaardigheden;2005/'06;28
38;Verenigde Staten;Natuur;2005/'06;11
39;Verenigde Staten;Overig;2005/'06;15
40;Overige landen;Totaal belangrijkste activiteit;2005/'06;100
41;Overige landen;Zaken;2005/'06;45
42;Overige landen;Attracties en bezienswaardigheden;2005/'06;34
43;Overige landen;Natuur;2005/'06;5
44;Overige landen;Overig;2005/'06;17
