ID;BedrijfstakkenBranchesSBI2008;Perioden;BeloningVanWerknemers_1;BeloningSeizoengecorrigeerd_2;Lonen_3;LonenSeizoengecorrigeerd_4;SocialePremiesTLVWerkgevers_5;SocialePremiesSeizoengecorrigeerd_6;Loonkosten_7;BeloningVanWerknemers_8;Lonen_9;Loonkosten_10;BeloningPerArbeidsjaar_11;LonenPerArbeidsjaar_12;LoonkostenPerArbeidsjaar_13;BeloningPerGewerktUur_14;LonenPerGewerktUur_15;LoonkostenPerGewerktUur_16;BeloningPerArbeidsjaar_17;LonenPerArbeidsjaar_18;LoonkostenPerArbeidsjaar_19;BeloningPerGewerktUur_20;LonenPerGewerktUur_21;LoonkostenPerGewerktUur_22;Arbeidsjaren_23;GewerkteUren_24;Arbeidsjaren_25;GewerkteUren_26;Totaal_27;Mannen_28;Vrouwen_29;Totaal_30;Mannen_31;Vrouwen_32
0;A-U Alle economische activiteiten;1995 1e kwartaal;38409.0;40327.0;31871.0;33803.0;6538.0;6525.0;38359.0;;;;7.9;6.5;7.9;17.9;14.8;17.8;;;;;;;4883;2149;;;6168;3613;2554;;;
1;A-U Alle economische activiteiten;1995 2e kwartaal;46122.0;41137.0;39430.0;34604.0;6692.0;6534.0;46028.0;;;;9.3;7.9;9.2;22.8;19.5;22.7;;;;;;;4985;2023;;;6309;3690;2619;;;
2;A-U Alle economische activiteiten;1995 3e kwartaal;39254.0;41683.0;32771.0;35079.0;6483.0;6604.0;39186.0;;;;7.8;6.5;7.8;19.8;16.5;19.7;;;;;;;5055;1987;;;6403;3739;2664;;;
3;A-U Alle economische activiteiten;1995 4e kwartaal;41700.0;42425.0;35069.0;35726.0;6631.0;6699.0;41590.0;;;;8.3;7.0;8.2;17.6;14.8;17.6;;;;;;;5042;2369;;;6380;3724;2656;;;
4;A-U Alle economische activiteiten;1995;165485.0;;139141.0;;26344.0;;165163.0;;;;33.2;27.9;33.1;19.4;16.3;19.4;;;;;;;4992;8529;;;6316;3692;2623;;;
5;A-U Alle economische activiteiten;1996 1e kwartaal;40164.0;42079.0;33331.0;35271.0;6833.0;6808.0;39949.0;4.6;4.6;4.1;8.0;6.7;8.0;18.2;15.1;18.1;2.3;2.3;1.9;1.6;1.6;1.2;4992;2212;2.2;2.9;6323;3707;2617;2.5;2.6;2.5
6;A-U Alle economische activiteiten;1996 2e kwartaal;47949.0;42764.0;40944.0;35930.0;7005.0;6835.0;47685.0;4.0;3.8;3.6;9.4;8.0;9.3;23.0;19.6;22.9;1.5;1.4;1.2;0.8;0.7;0.5;5105;2086;2.4;3.1;6484;3796;2688;2.8;2.9;2.6
7;A-U Alle economische activiteiten;1996 3e kwartaal;40711.0;43266.0;33957.0;36394.0;6754.0;6872.0;40482.0;3.7;3.6;3.3;7.9;6.6;7.8;19.9;16.6;19.8;1.4;1.3;1.0;0.7;0.6;0.3;5171;2046;2.3;3.0;6574;3843;2731;2.7;2.8;2.5
8;A-U Alle economische activiteiten;1996 4e kwartaal;43081.0;43911.0;36225.0;36967.0;6856.0;6944.0;42792.0;3.3;3.3;2.9;8.4;7.0;8.3;17.7;14.9;17.6;1.2;1.2;0.8;0.5;0.5;0.1;5146;2435;2.1;2.8;6532;3819;2713;2.4;2.5;2.2
9;A-U Alle economische activiteiten;1996;171905.0;;144457.0;;27448.0;;170908.0;3.9;3.8;3.5;33.7;28.3;33.5;19.6;16.5;19.5;1.6;1.5;1.2;0.9;0.8;0.5;5104;8780;2.2;2.9;6479;3791;2688;2.6;2.7;2.4
10;A-U Alle economische activiteiten;1997 1e kwartaal;42554.0;44418.0;35626.0;37563.0;6928.0;6855.0;42212.0;6.0;6.9;5.7;8.3;6.9;8.2;18.8;15.8;18.7;2.9;3.9;2.7;3.8;4.7;3.5;5138;2259;2.9;2.1;6504;3806;2698;2.9;2.7;3.1
11;A-U Alle economische activiteiten;1997 2e kwartaal;50501.0;45030.0;43450.0;38094.0;7051.0;6937.0;50102.0;5.3;6.1;5.1;9.6;8.3;9.5;22.9;19.7;22.7;2.2;2.9;1.9;-0.6;0.2;-0.8;5263;2210;3.1;5.9;6681;3902;2779;3.0;2.8;3.4
12;A-U Alle economische activiteiten;1997 3e kwartaal;42903.0;45652.0;36069.0;38739.0;6834.0;6913.0;42545.0;5.4;6.2;5.1;8.0;6.7;8.0;20.4;17.2;20.2;1.9;2.7;1.6;2.6;3.5;2.4;5348;2101;3.4;2.7;6800;3966;2834;3.4;3.2;3.8
13;A-U Alle economische activiteiten;1997 4e kwartaal;45594.0;46602.0;38611.0;39514.0;6983.0;7088.0;45168.0;5.8;6.6;5.6;8.6;7.2;8.5;18.8;15.9;18.6;2.3;3.0;2.0;6.0;6.8;5.7;5326;2431;3.5;-0.2;6757;3940;2816;3.4;3.2;3.8
14;A-U Alle economische activiteiten;1997;181552.0;;153756.0;;27796.0;;180027.0;5.6;6.4;5.3;34.5;29.2;34.2;20.2;17.1;20.0;2.3;3.1;2.0;3.0;3.8;2.8;5270;9000;3.2;2.5;6686;3904;2782;3.2;3.0;3.5
15;A-U Alle economische activiteiten;1998 1e kwartaal;45754.0;47568.0;36228.0;38073.0;9526.0;9495.0;45270.0;7.5;1.7;7.2;8.6;6.8;8.5;19.3;15.3;19.1;3.6;-2.0;3.3;2.3;-3.2;2.0;5332;2374;3.8;5.1;6762;3927;2836;4.0;3.2;5.1
16;A-U Alle economische activiteiten;1998 2e kwartaal;53956.0;48127.0;43946.0;38459.0;10010.0;9668.0;53415.0;6.8;1.1;6.6;9.9;8.0;9.8;24.1;19.6;23.9;2.9;-2.6;2.6;5.5;-0.2;5.2;5468;2239;3.9;1.3;6952;4032;2920;4.1;3.3;5.1
17;A-U Alle economische activiteiten;1998 3e kwartaal;46131.0;49114.0;36383.0;39164.0;9748.0;9950.0;45626.0;7.5;0.9;7.2;8.3;6.6;8.2;21.3;16.8;21.1;3.8;-2.6;3.5;4.2;-2.2;4.0;5541;2167;3.6;3.1;7053;4086;2967;3.7;3.0;4.7
18;A-U Alle economische activiteiten;1998 4e kwartaal;48750.0;49966.0;38772.0;39803.0;9978.0;10164.0;48186.0;6.9;0.4;6.7;8.8;7.0;8.7;19.4;15.5;19.2;3.3;-3.0;3.1;3.6;-2.7;3.4;5512;2509;3.5;3.2;7000;4056;2944;3.6;2.9;4.5
19;A-U Alle economische activiteiten;1998;194591.0;;155329.0;;39262.0;;192497.0;7.2;1.0;6.9;35.6;28.4;35.2;21.0;16.7;20.7;3.4;-2.6;3.1;3.9;-2.1;3.6;5464;9289;3.7;3.2;6943;4026;2917;3.8;3.1;4.8
20;A-U Alle economische activiteiten;1999 1e kwartaal;49268.0;51051.0;38880.0;40721.0;10388.0;10330.0;48761.0;7.7;7.3;7.7;8.9;7.1;8.8;20.3;16.0;20.1;4.2;3.8;4.2;5.2;4.9;5.3;5510;2429;3.3;2.3;7011;4041;2970;3.7;2.9;4.8
