ID;Perioden;NederlandHICP_1;EurozoneMUICP_2;EuropeseUnieEICP_3;JaarmutatieHICP_4;JaarmutatieMUICP_5;JaarmutatieEICP_6
102;2003 december;96.84;96.62;96.75;1.6;2.0;1.8
103;2003;97.18;95.81;95.95;2.2;2.1;2.0
104;2004 januari;97.33;96.45;96.51;1.5;1.9;1.8
105;2004 februari;97.89;96.62;96.69;1.3;1.6;1.5
106;2004 maart;98.69;97.29;97.28;1.2;1.7;1.5
107;2004 april;99.01;97.72;97.69;1.5;2.0;1.8
108;2004 mei;99.18;98.05;98.08;1.7;2.5;2.3
109;2004 juni;98.45;98.05;98.09;1.5;2.4;2.3
110;2004 juli;98.13;97.88;97.92;1.2;2.3;2.2
111;2004 augustus;98.29;98.05;98.06;1.2;2.3;2.1
112;2004 september;99.1;98.22;98.23;1.2;2.1;2.0
113;2004 oktober;99.26;98.56;98.57;1.5;2.4;2.2
114;2004 november;98.85;98.48;98.53;1.5;2.2;2.1
115;2004 december;98.05;98.9;98.92;1.2;2.4;2.2
116;2004;98.52;97.86;97.88;1.4;2.1;2.0
117;2005 januari;98.53;98.31;98.42;1.2;1.9;2.0
118;2005 februari;99.34;98.65;98.73;1.5;2.1;2.1
119;2005 maart;100.14;99.32;99.32;1.5;2.1;2.1
120;2005 april;100.3;99.75;99.73;1.3;2.1;2.1
121;2005 mei;100.22;100.0;100.0;1.0;2.0;2.0
122;2005 juni;99.9;100.08;100.08;1.5;2.1;2.0
123;2005 juli;99.58;100.0;100.02;1.5;2.2;2.1
124;2005 augustus;99.9;100.25;100.26;1.6;2.2;2.2
125;2005 september;100.78;100.76;100.71;1.7;2.6;2.5
126;2005 oktober;100.78;101.02;100.95;1.5;2.5;2.4
127;2005 november;100.46;100.76;100.75;1.6;2.3;2.3
128;2005 december;100.06;101.1;101.03;2.0;2.2;2.1
129;2005;100.0;100.0;100.0;1.5;2.2;2.2
130;2006 januari;100.28;100.66;100.64;1.8;2.4;2.3
131;2006 februari;100.78;100.95;100.93;1.4;2.3;2.2
132;2006 maart;101.58;101.53;101.41;1.4;2.2;2.1
133;2006 april;102.06;102.2;102.07;1.8;2.5;2.3
134;2006 mei;102.02;102.48;102.42;1.8;2.5;2.4
135;2006 juni;101.68;102.56;102.53;1.8;2.5;2.4
136;2006 juli;101.32;102.43;102.43;1.7;2.4;2.4
137;2006 augustus;101.81;102.52;102.6;1.9;2.3;2.3
138;2006 september;102.3;102.52;102.65;1.5;1.7;1.9
139;2006 oktober;102.12;102.6;102.74;1.3;1.6;1.8
140;2006 november;102.1;102.64;102.82;1.6;1.9;2.1
141;2006 december;101.75;103.04;103.2;1.7;1.9;2.1
