ID;UitkeringenInRelatieMetDeAOW;RegioS;Perioden;AantalBijstandsuitkeringen_1;LeefvormAlleenstaande_2;LeefvormAlleenstaandeOuder_3;LeefvormEchtPaar_4
0;Uitkeringen totaal;Nederland;2011 januari;350910.0;219040.0;77660.0;53240.0
1;Uitkeringen totaal;Nederland;2011 februari;353640.0;220930.0;78140.0;53570.0
2;Uitkeringen totaal;Nederland;2011 maart;356170.0;222750.0;78610.0;53790.0
3;Uitkeringen totaal;Nederland;2011 april;356700.0;223150.0;78770.0;53760.0
4;Uitkeringen totaal;Nederland;2011 mei;356810.0;223050.0;79060.0;53680.0
5;Uitkeringen totaal;Nederland;2011 juni;356400.0;222610.0;79140.0;53690.0
6;Uitkeringen totaal;Nederland;2011 juli;356060.0;222120.0;79250.0;53690.0
7;Uitkeringen totaal;Nederland;2011 augustus;355120.0;221440.0;79050.0;53470.0
8;Uitkeringen totaal;Nederland;2011 september;354470.0;220920.0;78530.0;53510.0
9;Uitkeringen totaal;Nederland;2011 oktober;354990.0;221290.0;78440.0;53640.0
10;Uitkeringen totaal;Nederland;2011 november;356740.0;222450.0;78740.0;53920.0
11;Uitkeringen totaal;Nederland;2011 december;359090.0;224260.0;78910.0;54310.0
12;Uitkeringen totaal;Nederland;2012 januari;358000.0;223310.0;77590.0;55870.0
13;Uitkeringen totaal;Nederland;2012 februari;358990.0;223570.0;77680.0;56450.0
14;Uitkeringen totaal;Nederland;2012 maart;359200.0;223520.0;77650.0;56700.0
15;Uitkeringen totaal;Nederland;2012 april;359530.0;223670.0;77610.0;56960.0
16;Uitkeringen totaal;Nederland;2012 mei;360490.0;224280.0;77900.0;57080.0
17;Uitkeringen totaal;Nederland;2012 juni;361050.0;224810.0;78170.0;56940.0
18;Uitkeringen totaal;Nederland;2012 juli;361570.0;225370.0;78200.0;56900.0
19;Uitkeringen totaal;Nederland;2012 augustus;361820.0;225840.0;78390.0;56460.0
20;Uitkeringen totaal;Nederland;2012 september;362290.0;226370.0;78490.0;56490.0
21;Uitkeringen totaal;Nederland;2012 oktober;364070.0;227830.0;78520.0;56850.0
22;Uitkeringen totaal;Nederland;2012 november;367220.0;230010.0;78980.0;57380.0
23;Uitkeringen totaal;Nederland;2012 december;370200.0;232280.0;79250.0;57840.0
24;Uitkeringen totaal;Nederland;2013 januari;374410.0;235710.0;79760.0;58380.0
25;Uitkeringen totaal;Nederland;2013 februari;378680.0;238850.0;80200.0;58970.0
26;Uitkeringen totaal;Nederland;2013 maart;382210.0;241330.0;80620.0;59470.0
27;Uitkeringen totaal;Nederland;2013 april;385700.0;244000.0;81320.0;59790.0
28;Uitkeringen totaal;Nederland;2013 mei;388090.0;245660.0;81870.0;59980.0
29;Uitkeringen totaal;Nederland;2013 juni;388740.0;246020.0;82090.0;60070.0
30;Uitkeringen totaal;Nederland;2013 juli;389910.0;246890.0;82350.0;60200.0
31;Uitkeringen totaal;Nederland;2013 augustus;389440.0;246600.0;82350.0;59920.0
32;Uitkeringen totaal;Nederland;2013 september;389660.0;246500.0;82320.0;59920.0
33;Uitkeringen totaal;Nederland;2013 oktober;392080.0;248230.0;82810.0;60550.0
34;Uitkeringen totaal;Nederland;2013 november;395080.0;250060.0;83400.0;61180.0
35;Uitkeringen totaal;Nederland;2013 december;398810.0;252710.0;83890.0;61820.0
36;Uitkeringen totaal;Nederland;2014 januari;403110.0;256090.0;84330.0;62340.0
37;Uitkeringen totaal;Nederland;2014 februari;406620.0;258520.0;84790.0;62950.0
38;Uitkeringen totaal;Nederland;2014 maart;409840.0;260630.0;85240.0;63280.0
39;Uitkeringen totaal;Nederland;2014 april;412650.0;262580.0;85980.0;63570.0
40;Uitkeringen totaal;Nederland;2014 mei;413980.0;263300.0;86490.0;63690.0
41;Uitkeringen totaal;Nederland;2014 juni;414230.0;263280.0;86790.0;63660.0
42;Uitkeringen totaal;Nederland;2014 juli;414780.0;263570.0;87170.0;63600.0
43;Uitkeringen totaal;Nederland;2014 augustus;413010.0;262380.0;86890.0;63300.0
44;Uitkeringen totaal;Nederland;2014 september;411450.0;261160.0;86620.0;62730.0
45;Uitkeringen totaal;Nederland;2014 oktober;412870.0;262450.0;86810.0;63050.0
46;Uitkeringen totaal;Nederland;2014 november;415300.0;264250.0;87060.0;63490.0
47;Uitkeringen totaal;Nederland;2014 december;417520.0;265990.0;87000.0;64100.0
48;Uitkeringen totaal;Nederland;2015 januari;419450.0;269180.0;85170.0;64620.0
49;Uitkeringen totaal;Nederland;2015 februari;421910.0;271270.0;85180.0;65150.0
50;Uitkeringen totaal;Nederland;2015 maart;424500.0;273170.0;85190.0;65560.0
51;Uitkeringen totaal;Nederland;2015 april;426120.0;274710.0;85170.0;65840.0
52;Uitkeringen totaal;Nederland;2015 mei;426500.0;275000.0;85080.0;65990.0
53;Uitkeringen totaal;Nederland;2015 juni;425220.0;274110.0;84790.0;65970.0
54;Uitkeringen totaal;Nederland;2015 juli;422200.0;271410.0;84440.0;65560.0
55;Uitkeringen totaal;Nederland;2015 augustus;420280.0;270230.0;84040.0;65490.0
