ID;BeroepsEnEigenVervoer;Vervoerstroom;MilieuklasseVanHetVoertuigEURONorm;Perioden;VervoerdLadinggewicht_1;Ladingtonkilometers_2;VoertuigkilometersBeladen_3;RittenBeladen_4
0;Beroeps- en eigen vervoer;Totaal;Totaal;2010;657702;76835;5681;47950
1;Beroeps- en eigen vervoer;Totaal;Totaal;2011;657859;75541;5798;49380
2;Beroeps- en eigen vervoer;Totaal;Totaal;2012;631705;70084;5443;47568
3;Beroeps- en eigen vervoer;Totaal;Totaal;2013;642050;72080;5498;49861
4;Beroeps- en eigen vervoer;Totaal;Totaal;2014;639692;72335;5662;51319
5;Beroeps- en eigen vervoer;Totaal;Totaal;2015;641440;68899;5567;53522
6;Beroeps- en eigen vervoer;Totaal;Totaal;2016;656417;67785;5463;54172
7;Beroeps- en eigen vervoer;Totaal;Totaal;2017;665992;67532;5328;52733
8;Beroeps- en eigen vervoer;Totaal;Totaal;2018;680169;68906;5440;53243
9;Beroeps- en eigen vervoer;Totaal;Totaal;2019;688739;68922;5370;53828
10;Beroeps- en eigen vervoer;Totaal;Totaal;2020;684241;67592;5369;55206
11;Beroeps- en eigen vervoer;Totaal;Totaal;2021;699323;69557;5591;57048
12;Beroeps- en eigen vervoer;Totaal;Totaal;2022;690726;65464;5289;58508
13;Beroeps- en eigen vervoer;Totaal;Totaal;2023;642195;62569;5141;55013
14;Beroeps- en eigen vervoer;Totaal;Euro 0;2010;1995;71;15;450
15;Beroeps- en eigen vervoer;Totaal;Euro 0;2011;1701;65;14;345
16;Beroeps- en eigen vervoer;Totaal;Euro 0;2012;1130;80;9;223
17;Beroeps- en eigen vervoer;Totaal;Euro 0;2013;651;26;7;185
18;Beroeps- en eigen vervoer;Totaal;Euro 0;2014;364;26;5;102
19;Beroeps- en eigen vervoer;Totaal;Euro 0;2015;294;13;3;88
20;Beroeps- en eigen vervoer;Totaal;Euro 0;2016;130;5;1;42
21;Beroeps- en eigen vervoer;Totaal;Euro 0;2017;35;2;1;10
22;Beroeps- en eigen vervoer;Totaal;Euro 0;2018;8;0;0;5
23;Beroeps- en eigen vervoer;Totaal;Euro 0;2019;7;0;0;1
24;Beroeps- en eigen vervoer;Totaal;Euro 0;2020;1;0;0;0
25;Beroeps- en eigen vervoer;Totaal;Euro 0;2021;2;0;0;1
26;Beroeps- en eigen vervoer;Totaal;Euro 0;2022;0;0;0;0
27;Beroeps- en eigen vervoer;Totaal;Euro 0;2023;0;0;0;0
28;Beroeps- en eigen vervoer;Totaal;Euro 1;2010;7079;321;41;807
29;Beroeps- en eigen vervoer;Totaal;Euro 1;2011;4556;240;27;547
30;Beroeps- en eigen vervoer;Totaal;Euro 1;2012;3357;163;22;392
31;Beroeps- en eigen vervoer;Totaal;Euro 1;2013;2364;112;16;352
32;Beroeps- en eigen vervoer;Totaal;Euro 1;2014;2593;115;15;327
33;Beroeps- en eigen vervoer;Totaal;Euro 1;2015;1137;40;8;201
34;Beroeps- en eigen vervoer;Totaal;Euro 1;2016;902;46;8;179
35;Beroeps- en eigen vervoer;Totaal;Euro 1;2017;449;24;6;120
36;Beroeps- en eigen vervoer;Totaal;Euro 1;2018;421;13;5;89
37;Beroeps- en eigen vervoer;Totaal;Euro 1;2019;235;12;2;33
38;Beroeps- en eigen vervoer;Totaal;Euro 1;2020;53;3;1;11
39;Beroeps- en eigen vervoer;Totaal;Euro 1;2021;1;0;0;0
40;Beroeps- en eigen vervoer;Totaal;Euro 1;2022;0;0;0;0
41;Beroeps- en eigen vervoer;Totaal;Euro 1;2023;0;0;0;0
42;Beroeps- en eigen vervoer;Totaal;Euro 2;2010;66617;3825;345;5502
43;Beroeps- en eigen vervoer;Totaal;Euro 2;2011;48686;2792;275;4542
44;Beroeps- en eigen vervoer;Totaal;Euro 2;2012;29663;1767;177;2919
45;Beroeps- en eigen vervoer;Totaal;Euro 2;2013;26238;1359;130;2534
46;Beroeps- en eigen vervoer;Totaal;Euro 2;2014;15872;867;92;1757
47;Beroeps- en eigen vervoer;Totaal;Euro 2;2015;12064;581;71;1462
48;Beroeps- en eigen vervoer;Totaal;Euro 2;2016;8816;415;49;1093
49;Beroeps- en eigen vervoer;Totaal;Euro 2;2017;6088;238;37;934
