ID;Eigendom;RegioS;Perioden;GemiddeldeBouwkostenPerWoning_1;GemiddeldeBouwkostenPerM_2;GemiddeldeBouwkostenPerM_3;GemiddeldeInhoudWoningen_4;GemiddeldeOppervlakteVanWoningen_5
0;Huurwoningen;Nederland;2012 januari - 2012 december;95;258;748;370;127
1;Huurwoningen;Nederland;2012 april - 2013 maart;94;259;755;365;125
2;Huurwoningen;Nederland;2012 juli - 2013 juni;92;266;777;346;118
3;Huurwoningen;Nederland;2012 oktober - 2013 september;92;265;777;346;118
4;Huurwoningen;Nederland;2013 januari - 2013 december;92;265;781;347;118
5;Huurwoningen;Nederland;2013 april - 2014 maart;91;251;733;362;124
6;Huurwoningen;Nederland;2013 juli - 2014 juni;89;234;681;383;131
7;Huurwoningen;Nederland;2013 oktober- 2014 september;85;236;688;361;124
8;Huurwoningen;Nederland;2014 januari - 2014 december;86;236;685;364;126
9;Huurwoningen;Nederland;2014 april - 2015 maart;87;242;703;358;123
10;Huurwoningen;Nederland;2014 juli - 2015 juni;84;249;725;336;115
11;Huurwoningen;Nederland;2014 oktober - 2015 september;86;248;721;348;120
12;Huurwoningen;Nederland;2015 januari - 2015 december;84;249;727;338;116
13;Huurwoningen;Nederland;2015 april - 2016 maart;82;252;738;327;112
14;Huurwoningen;Nederland;2015 juli - 2016 juni;85;251;732;340;117
15;Huurwoningen;Nederland;2015 oktober - 2016 september;82;255;745;322;110
16;Huurwoningen;Nederland;2016 januari - 2016 december;85;255;739;332;114
17;Huurwoningen;Nederland;2016 april - 2017 maart;85;260;752;325;112
18;Huurwoningen;Nederland;2016 juli - 2017 juni;88;264;765;335;116
19;Huurwoningen;Nederland;2016 oktober - 2017 september;86;267;774;323;111
20;Huurwoningen;Nederland;2017 januari - 2017 december;86;269;781;321;111
21;Huurwoningen;Nederland;2017 april - 2018 maart;89;274;796;324;111
22;Huurwoningen;Nederland;2017 juli - 2018 juni;87;274;790;319;111
23;Huurwoningen;Nederland;2017 oktober - 2018 september;96;280;804;342;119
24;Huurwoningen;Nederland;2018 januari - 2018 december;99;293;843;338;117
25;Huurwoningen;Nederland;2018 april - 2019 maart;103;300;869;345;119
26;Huurwoningen;Nederland;2018 juli - 2019 juni;105;304;884;344;119
27;Huurwoningen;Nederland;2018 oktober - 2019 september;105;306;888;344;119
28;Huurwoningen;Nederland;2019 januari - 2019 december;106;310;904;341;117
29;Huurwoningen;Nederland;2019 april - 2020 maart;106;311;901;341;118
30;Huurwoningen;Nederland;2019 juli - 2020 juni;110;318;926;347;119
31;Huurwoningen;Nederland;2019 oktober - 2020 september;112;324;940;345;119
32;Huurwoningen;Nederland;2020 januari - 2020 december;117;328;952;355;123
33;Huurwoningen;Nederland;2020 april - 2021 maart;118;328;944;361;125
34;Huurwoningen;Nederland;2020 juli - 2021 juni;115;326;933;352;123
35;Huurwoningen;Nederland;2020 oktober - 2021 september;118;325;929;365;128
36;Huurwoningen;Nederland;2021 januari - 2021 december;118;323;925;365;127
37;Huurwoningen;Nederland;2021 april - 2022 maart;114;326;935;351;122
38;Huurwoningen;Nederland;2021 juli - 2022 juni;117;336;969;347;121
39;Huurwoningen;Nederland;2021 oktober - 2022 september;119;344;1000;345;119
40;Huurwoningen;Nederland;2022 januari - 2022 december;126;361;1056;350;120
41;Huurwoningen;Nederland;2022 april - 2023 maart;130;378;1117;346;117
42;Huurwoningen;Nederland;2022 juli - 2023 juni;137;397;1177;345;116
43;Huurwoningen;Nederland;2022 oktober - 2023 september;137;407;1205;335;113
44;Huurwoningen;Nederland;2023 januari - 2023 december;133;428;1270;312;105
45;Huurwoningen;Nederland;2023 april - 2024 maart;136;436;1302;312;104
46;Huurwoningen;Nederland;2023 juli - 2024 juni;135;435;1307;309;103
47;Huurwoningen;Nederland;2023 oktober - 2024 september;133;437;1319;305;101
48;Huurwoningen;Nederland;2024 januari - 2024 december;139;452;1363;307;102
49;Huurwoningen;Noord-Nederland (LD);2012 januari - 2012 december;80;243;718;330;112
50;Huurwoningen;Noord-Nederland (LD);2012 april - 2013 maart;81;251;745;321;108
51;Huurwoningen;Noord-Nederland (LD);2012 juli - 2013 juni;80;253;744;317;108
52;Huurwoningen;Noord-Nederland (LD);2012 oktober - 2013 september;91;272;795;333;114
53;Huurwoningen;Noord-Nederland (LD);2013 januari - 2013 december;95;271;801;351;119
54;Huurwoningen;Noord-Nederland (LD);2013 april - 2014 maart;95;255;741;371;128
55;Huurwoningen;Noord-Nederland (LD);2013 juli - 2014 juni;92;255;752;362;123
56;Huurwoningen;Noord-Nederland (LD);2013 oktober- 2014 september;94;239;699;392;134
57;Huurwoningen;Noord-Nederland (LD);2014 januari - 2014 december;93;245;711;380;131
58;Huurwoningen;Noord-Nederland (LD);2014 april - 2015 maart;89;240;698;372;128
59;Huurwoningen;Noord-Nederland (LD);2014 juli - 2015 juni;95;252;725;378;131
60;Huurwoningen;Noord-Nederland (LD);2014 oktober - 2015 september;91;250;723;365;126
61;Huurwoningen;Noord-Nederland (LD);2015 januari - 2015 december;90;246;711;365;126
62;Huurwoningen;Noord-Nederland (LD);2015 april - 2016 maart;87;255;739;341;118
