ID;RegioS;Perioden;GemengdInkomenNetto_1;BeloningVanWerknemers_2;InkomenUitVermogenOntvangsten_3;InkomenUitVermogenBetaald_4;PrimairInkomenNetto_5;PrimairInkomenNetto_6;SocialeUitkeringenInGeld_7;OverigeInkomensoverdrachtenOntvangen_8;BelastingenOpInkomenEnVermogen_9;SocialePremies_10;OverigeInkomensoverdrachtenBetaald_11;BeschikbaarInkomenNetto_12;GemengdInkomenNetto_13;BeloningVanWerknemers_14;InkomenUitVermogenOntvangen_15;InkomenUitVermogenBetaald_16;PrimairInkomenNetto_17;PrimairInkomenNetto_18;SocialeUitkeringenInGeld_19;OverigeInkomensoverdrachtenOntvangen_20;BelastingenOpInkomenEnVermogen_21;SocialePremies_22;OverigeInkomensoverdrachtenBetaald_23;BeschikbaarInkomenNetto_24
0;Nederland;1995;29028;164178;35638;12554;216290;216290;66872;10405;27849;86129;11525;168064;1878;10620;2305;812;13991;13991;4326;673;1801;5571;746;10872
1;Nederland;1996;30013;170632;35947;11709;224883;224883;67444;11404;27945;87723;12814;175249;1933;10987;2315;754;14480;14480;4343;734;1799;5648;825;11284
2;Nederland;1997;33002;180079;38935;13267;238749;238749;68204;12755;26400;91699;13848;187761;2114;11536;2494;850;15294;15294;4369;817;1691;5874;887;12028
3;Nederland;1998;34758;192957;39848;15006;252557;252557;68817;13990;27225;95887;14864;197388;2213;12285;2537;955;16079;16079;4381;891;1733;6105;946;12567
4;Nederland;1999;36196;207960;43497;17399;270254;270254;70767;14787;28607;104339;16050;206812;2289;13152;2751;1100;17092;17092;4476;935;1809;6599;1015;13079
5;Nederland;2000;38812;225025;46845;21606;289076;289076;73627;15709;30746;112700;17193;217773;2437;14130;2942;1357;18152;18152;4623;986;1931;7077;1080;13674
6;Nederland;2001;34742;237660;44865;14873;302394;302394;76552;17114;32125;106313;19026;238596;2165;14811;2796;927;18845;18845;4771;1067;2002;6625;1186;14869
7;Nederland;2002;34306;249118;47728;15623;315529;315529;81413;19064;36357;113375;20795;245479;2124;15426;2955;967;19539;19539;5041;1181;2251;7021;1288;15201
8;Nederland;2003;34726;255528;44466;14799;319921;319921;85793;20584;35819;120887;23098;246494;2140;15749;2741;912;19717;19717;5288;1269;2208;7451;1424;15192
9;Nederland;2004;34520;258878;46207;15345;324260;324260;87969;21224;34302;125567;23999;249585;2120;15900;2838;942;19916;19916;5403;1304;2107;7712;1474;15329
10;Nederland;2005;34658;262825;49092;15148;331427;331427;89855;21134;39063;126372;25687;251294;2124;16105;3008;928;20308;20308;5506;1295;2394;7743;1574;15398
11;Nederland;2006;39820;271982;49798;20509;341091;341091;93099;12790;41676;129904;17413;257987;2436;16639;3046;1255;20867;20867;5695;782;2550;7947;1065;15783
12;Nederland;2007;44001;286214;55949;27642;358522;358522;95941;13144;45335;133979;18733;269560;2686;17472;3415;1687;21886;21886;5857;802;2767;8179;1144;16455
13;Nederland;2008;44352;301457;58098;30328;373579;373579;99457;13272;46240;148899;17691;273478;2697;18331;3533;1844;22716;22716;6048;807;2812;9054;1076;16629
14;Nederland;2009;31463;306005;49920;16451;370937;370937;104848;14092;52814;145400;19079;272584;1903;18512;3020;995;22440;22440;6343;852;3195;8796;1154;16490
15;Nederland;2010;28373;306038;47581;12799;369193;369193;109728;14802;54587;146019;19633;273484;1708;18419;2864;770;22220;22220;6604;891;3285;8788;1182;16460
16;Nederland;2011;32644;313295;50098;14876;381161;381161;114505;16226;53744;156343;20519;281286;1956;18768;3001;891;22833;22833;6859;972;3220;9366;1229;16850
17;Nederland;2012;29171;318029;50086;8343;388943;388943;117688;14984;50990;167331;20026;283268;1738;18953;2985;497;23180;23180;7014;893;3039;9972;1193;16882
18;Nederland;2013;31689;319999;48938;7098;393528;393528;121668;15578;50924;172008;21144;286698;1883;19014;2908;422;23384;23384;7230;926;3026;10221;1256;17036
19;Nederland;2014;35980;323285;49242;7015;401492;401492;122903;15613;53337;171892;21272;293507;2129;19128;2914;415;23756;23756;7272;924;3156;10171;1259;17367
20;Nederland;2015;38546;325153;49559;6070;407188;407188;123246;15384;59320;167756;21029;297713;2270;19150;2919;357;23982;23982;7259;906;3494;9880;1239;17534
21;Noord-Nederland;1995;3253;14310;3174;1109;19628;19628;7296;273;2131;7871;488;16707;2002;8806;1954;682;12079;12079;4490;168;1311;4844;300;10281
22;Noord-Nederland;1996;3363;14873;3202;1034;20403;20403;7358;299;2138;8017;543;17363;2062;9120;1963;634;12512;12512;4512;184;1311;4916;333;10647
23;Noord-Nederland;1997;3698;15696;3468;1172;21690;21690;7441;335;2020;8380;587;18479;2259;9586;2118;716;13247;13247;4544;205;1234;5118;358;11286
