ID;Geslacht;Leeftijd;RegioIndeling2015;Perioden;TotaleBevolking_1
0;Totaal mannen en vrouwen;Totaal;Nederland;2017;17086.9
1;Totaal mannen en vrouwen;Totaal;Nederland;2018;17194.9
2;Totaal mannen en vrouwen;Totaal;Nederland;2019;17273.1
3;Totaal mannen en vrouwen;Totaal;Nederland;2020;17337.6
4;Totaal mannen en vrouwen;Totaal;Nederland;2021;17399.5
5;Totaal mannen en vrouwen;Totaal;Nederland;2022;17458.9
6;Totaal mannen en vrouwen;Totaal;Nederland;2023;17514.4
7;Totaal mannen en vrouwen;Totaal;Nederland;2024;17566.4
8;Totaal mannen en vrouwen;Totaal;Nederland;2025;17616.1
9;Totaal mannen en vrouwen;Totaal;Nederland;2026;17664.1
10;Totaal mannen en vrouwen;Totaal;Nederland;2027;17710.0
11;Totaal mannen en vrouwen;Totaal;Nederland;2028;17753.8
12;Totaal mannen en vrouwen;Totaal;Nederland;2029;17796.1
13;Totaal mannen en vrouwen;Totaal;Nederland;2030;17836.8
14;Totaal mannen en vrouwen;Totaal;Nederland;2031;17875.7
15;Totaal mannen en vrouwen;Totaal;Nederland;2032;17912.6
16;Totaal mannen en vrouwen;Totaal;Nederland;2033;17947.3
17;Totaal mannen en vrouwen;Totaal;Nederland;2034;17979.4
18;Totaal mannen en vrouwen;Totaal;Nederland;2035;18008.6
19;Totaal mannen en vrouwen;Totaal;Nederland;2036;18034.9
20;Totaal mannen en vrouwen;Totaal;Nederland;2037;18058.0
21;Totaal mannen en vrouwen;Totaal;Nederland;2038;18077.8
22;Totaal mannen en vrouwen;Totaal;Nederland;2039;18094.4
23;Totaal mannen en vrouwen;Totaal;Nederland;2040;18108.0
24;Totaal mannen en vrouwen;Totaal;Groningen (PV);2017;591.0
25;Totaal mannen en vrouwen;Totaal;Groningen (PV);2018;595.1
26;Totaal mannen en vrouwen;Totaal;Groningen (PV);2019;595.6
27;Totaal mannen en vrouwen;Totaal;Groningen (PV);2020;595.3
28;Totaal mannen en vrouwen;Totaal;Groningen (PV);2021;595.4
29;Totaal mannen en vrouwen;Totaal;Groningen (PV);2022;595.5
30;Totaal mannen en vrouwen;Totaal;Groningen (PV);2023;595.3
