ID;Perioden;TotaalMotorvoertuigen_1;Personenauto_2;TotaalBedrijfsmotorvoertuigen_3;Bestelauto_4;VrachtautoExclTrekkerVoorOplegger_5;TrekkerVoorOplegger_6;SpeciaalVoertuig_7;Bus_8;Motorfiets_9;TotaalMotorvoertuigen_10;Personenauto_11;TotaalBedrijfsmotorvoertuigen_12;Bestelauto_13;VrachtautoExclTrekkerVoorOplegger_14;TrekkerVoorOplegger_15;SpeciaalVoertuig_16;Bus_17;Motorfiets_18
0;2007 januari;80962;68733;11201;9924;387;724;120;46;1028;184209;161509;16907;14804;932;772;186;213;5793
1;2007 februari;50057;41381;7807;6768;320;608;74;37;869;171703;149276;15883;13700;907;655;138;483;6544
2;2007 maart;62933;51310;8925;7441;416;931;83;54;2698;203963;172985;18320;16148;1020;715;228;209;12658
3;2007 1e kwartaal;193952;161424;27933;24133;1123;2263;277;137;4595;559875;483770;51110;44652;2859;2142;552;905;24995
4;2007 april;49277;39036;7874;6390;494;847;96;47;2367;179708;150941;15576;14010;723;549;141;153;13191
5;2007 mei;52462;42157;8377;6855;511;864;86;61;1928;195411;165856;16582;15038;747;585;126;86;12973
6;2007 juni;63521;52574;9101;7659;445;740;129;128;1846;208491;177894;17779;16071;809;637;170;92;12818
7;2007 2e kwartaal;165260;133767;25352;20904;1450;2451;311;236;6141;583610;494691;49937;45119;2279;1771;437;331;38982
8;2007 juli;48439;39168;7867;6594;518;563;93;99;1404;188802;161352;16966;14403;875;618;126;944;10484
9;2007 augustus;50641;41325;8000;6847;389;652;63;49;1316;183228;157588;15310;13691;769;654;115;81;10330
10;2007 september;49587;40645;7934;6356;486;947;81;64;1008;175842;150532;16539;15013;727;615;122;62;8771
11;2007 3e kwartaal;148667;121138;23801;19797;1393;2162;237;212;3728;547872;469472;48815;43107;2371;1887;363;1087;29585
12;2007 oktober;52245;42303;9077;7359;504;932;100;182;865;186504;161108;16877;15028;900;752;125;72;8519
13;2007 november;47373;38167;8620;6930;565;778;87;260;586;176839;154249;15992;14587;721;514;117;53;6598
14;2007 december;11838;8980;2515;1716;284;337;56;122;343;155525;135679;14442;12663;765;730;189;95;5404
15;2007 4e kwartaal;111456;89450;20212;16005;1353;2047;243;564;1794;518868;451036;47311;42278;2386;1996;431;220;20521
16;2007;619335;505779;97298;80839;5319;8923;1068;1149;16258;2210225;1898969;197173;175156;9895;7796;1783;2543;114083
17;2008 januari;81496;66356;13997;11804;688;1338;134;33;1143;193090;168199;18148;16130;989;790;175;64;6743
18;2008 februari;62241;50335;10099;8382;501;1092;108;16;1807;188190;160689;18132;16147;938;751;215;81;9369
19;2008 maart;61042;47212;11450;8137;724;2367;138;84;2380;189846;162264;17685;15792;888;640;226;139;9897
20;2008 1e kwartaal;204779;163903;35546;28323;1913;4797;380;133;5330;571126;491152;53965;48069;2815;2181;616;284;26009
21;2008 april;53394;42247;8813;7696;520;352;145;100;2334;193895;164516;17939;16034;918;648;240;99;11440
22;2008 mei;56629;45793;8720;7508;466;591;92;63;2116;191643;162192;15962;14421;755;626;95;65;13489
23;2008 juni;59645;48248;9609;8170;571;694;125;49;1788;188968;160398;16718;15062;715;730;131;80;11852
24;2008 2e kwartaal;169668;136288;27142;23374;1557;1637;362;212;6238;574506;487106;50619;45517;2388;2004;466;244;36781
25;2008 juli;49492;40074;7847;6458;540;692;113;44;1571;185642;157172;16905;15213;833;633;160;66;11565
26;2008 augustus;48136;39602;7228;6148;339;645;85;11;1306;172052;146007;15648;14089;686;674;132;67;10397
27;2008 september;50477;41283;8242;6554;494;1010;104;80;952;178466;152081;17153;15639;703;654;95;62;9232
28;2008 3e kwartaal;148105;120959;23317;19160;1373;2347;302;135;3829;536160;455260;49706;44941;2222;1961;387;195;31194
29;2008 oktober;51554;41900;8848;6894;701;949;148;156;806;188641;162328;18153;15924;1028;976;143;82;8160
30;2008 november;37166;29812;6881;5348;531;591;102;309;473;161698;140375;15073;13830;665;431;88;59;6250
31;2008 december;10005;7236;2491;1639;266;224;93;269;278;159632;138832;15493;13646;723;793;226;105;5307
32;2008 4e kwartaal;98725;78948;18220;13881;1498;1764;343;734;1557;509971;441535;48719;43400;2416;2200;457;246;19717
33;2008;621277;500098;104225;84738;6341;10545;1387;1214;16954;2191763;1875053;203009;181927;9841;8346;1926;969;113701
34;2009 januari;68530;56184;11353;9189;780;1162;173;49;993;185267;160884;18589;16387;1014;847;207;134;5794
35;2009 februari;41477;33958;6481;5049;490;775;148;19;1038;167915;145082;16366;14781;792;588;133;72;6467
36;2009 maart;43602;34532;6811;5293;539;732;145;102;2259;191083;160656;19121;17199;911;787;120;104;11306
37;2009 1e kwartaal;153609;124674;24645;19531;1809;2669;466;170;4290;544265;466622;54076;48367;2717;2222;460;310;23567
38;2009 april;38023;30277;5463;4168;495;569;114;117;2283;183076;152693;17028;15258;757;696;236;81;13355
39;2009 mei;37389;30850;4793;3864;388;386;126;29;1746;192486;162114;16780;15144;791;605;149;91;13592
40;2009 juni;42193;35492;5186;4260;427;366;122;11;1515;202919;172702;17571;15975;771;630;130;65;12646
41;2009 2e kwartaal;117605;96619;15442;12292;1310;1321;362;157;5544;578481;487509;51379;46377;2319;1931;515;237;39593
42;2009 juli;39386;33544;4612;3775;425;267;99;46;1230;194158;165142;17128;15416;817;662;162;71;11888
43;2009 augustus;32522;27829;3811;3068;314;190;87;152;882;166395;141310;14625;13145;811;520;94;55;10460
44;2009 september;40076;33663;5385;4125;473;552;107;128;1028;176120;149260;17381;15413;825;952;113;78;9479
45;2009 3e kwartaal;111984;95036;13808;10968;1212;1009;293;326;3140;536673;455712;49134;43974;2453;2134;369;204;31827
46;2009 oktober;40794;35690;4400;3890;251;187;64;8;704;186366;160028;17811;15988;898;727;138;60;8527
47;2009 november;31974;27356;4228;3423;246;217;69;273;390;162565;139241;16776;14985;880;709;168;34;6548
48;2009 december;9996;8033;1725;1227;122;88;61;227;238;161431;139736;16477;14625;918;636;200;98;5218
49;2009 4e kwartaal;82764;71079;10353;8540;619;492;194;508;1332;510362;439005;51064;45598;2696;2072;506;192;20293
50;2009;465962;387408;64248;51331;4950;5491;1315;1161;14306;2169781;1848848;205653;184316;10185;8359;1850;943;115280
51;2010 januari;70459;62798;7067;5987;372;589;96;23;594;169706;147880;17108;15266;929;697;148;68;4718
52;2010 februari;43093;37581;4820;4064;293;368;77;18;692;169253;146469;17137;15126;816;903;212;80;5647
53;2010 maart;53028;44753;6150;5151;386;470;87;56;2125;201099;169962;19513;17393;955;905;167;93;11624
54;2010 1e kwartaal;166580;145132;18037;15202;1051;1427;260;97;3411;540058;464311;53758;47785;2700;2505;527;241;21989
55;2010 april;44366;37546;4971;4027;315;449;95;85;1849;192826;161600;17707;15797;851;817;131;111;13519
56;2010 mei;42593;36830;4295;3531;317;329;86;32;1468;183486;153492;17082;14805;768;684;200;625;12912
57;2010 juni;57927;50683;5713;4819;370;391;81;52;1531;195132;164537;17679;15992;743;703;119;122;12916
58;2010 2e kwartaal;144886;125059;14979;12377;1002;1169;262;169;4848;571444;479629;52468;46594;2362;2204;450;858;39347
59;2010 juli;44279;38487;4589;3856;331;285;93;24;1203;181528;153961;16091;14345;833;761;104;48;11476
60;2010 augustus;41654;36522;4254;3585;256;251;49;113;878;174441;149402;15053;13566;698;592;129;68;9986
61;2010 september;51640;45544;5278;4323;305;553;76;21;818;184423;158887;16967;15391;708;696;110;62;8569
62;2010 3e kwartaal;137573;120553;14121;11764;892;1089;218;158;2899;540392;462250;48111;43302;2239;2049;343;178;30031
63;2010 oktober;49294;43575;5114;4154;328;537;79;16;605;196606;170462;18043;16455;777;644;119;48;8101
64;2010 november;42688;36921;5451;4657;273;412;79;30;316;176062;153531;16546;15073;712;576;131;54;5985
65;2010 december;13615;11393;2086;1462;172;196;40;216;136;171785;150828;17235;15330;883;798;165;59;3722
66;2010 4e kwartaal;105597;91889;12651;10273;773;1145;198;262;1057;544453;474821;51824;46858;2372;2018;415;161;17808
67;2010;554636;482633;59788;49616;3718;4830;938;686;12215;2196347;1881011;206161;184539;9673;8776;1735;1438;109175
68;2011 januari;84543;74787;9228;7779;450;873;90;36;528;181390;157811;17656;15651;864;685;300;156;5923
69;2011 februari;55735;49019;6062;5063;294;642;53;10;654;181168;156231;17592;15791;852;771;117;61;7345
70;2011 maart;65814;56601;7321;6083;337;694;119;88;1892;196012;165675;18298;16452;842;694;240;70;12039
71;2011 1e kwartaal;206092;180407;22611;18925;1081;2209;262;134;3074;558570;479717;53546;47894;2558;2150;657;287;25307
72;2011 april;55382;47637;6148;4779;405;854;86;24;1597;187213;156407;16833;15120;772;701;163;77;13973
73;2011 mei;57422;49806;6101;4989;415;583;73;41;1515;193592;163928;16560;15116;696;549;107;92;13104
74;2011 juni;57729;50499;5989;4902;324;657;72;34;1241;192209;164267;15988;14628;629;525;131;75;11954
75;2011 2e kwartaal;170533;147942;18238;14670;1144;2094;231;99;4353;573014;484602;49381;44864;2097;1775;401;244;39031
76;2011 juli;48213;42092;5095;4142;288;558;60;47;1026;190237;163230;16110;14452;759;691;113;95;10897
77;2011 augustus;44789;39062;4969;4104;282;514;57;12;758;179856;155269;14847;13487;638;502;133;87;9740
78;2011 september;50998;44382;5883;4595;327;865;69;27;733;180518;155981;15866;14333;734;603;124;72;8671
79;2011 3e kwartaal;144000;125536;15947;12841;897;1937;186;86;2517;550611;474480;46823;42272;2131;1796;370;254;29308
80;2011 oktober;50328;43635;6212;5036;355;709;73;39;481;177479;154212;15294;13739;719;623;158;55;7973
81;2011 november;47719;41082;6357;5412;295;546;52;52;280;169795;148036;15410;13933;691;562;152;72;6349
82;2011 december;19946;17244;2585;1786;178;329;62;230;117;170566;149560;15478;13902;749;590;178;59;5528
83;2011 4e kwartaal;117993;101961;15154;12234;828;1584;187;321;878;517840;451808;46182;41574;2159;1775;488;186;19850
84;2011;638618;555846;71950;58670;3950;7824;866;640;10822;2200035;1890607;195932;176604;8945;7496;1916;971;113496
85;2012 januari;80608;70170;9787;8395;392;913;71;16;651;186539;163470;16791;15108;785;652;156;90;6278
86;2012 februari;50747;43949;6187;5291;313;501;63;19;611;170631;149723;15533;13980;707;628;154;64;5375
87;2012 maart;61687;52333;7456;6116;409;798;68;65;1898;194017;162668;17539;15612;894;814;145;74;13810
88;2012 1e kwartaal;193042;166452;23430;19802;1114;2212;202;100;3160;551187;475861;49863;44700;2386;2094;455;228;25463
89;2012 april;47539;41032;5122;4205;290;510;59;58;1385;173791;147302;15322;13744;773;591;120;94;11167
90;2012 mei;54412;47758;5607;4613;315;576;67;36;1047;179489;152253;15565;14093;712;575;134;51;11671
91;2012 juni;83362;76116;6239;5295;286;566;73;19;1007;196318;167855;16492;14999;708;631;111;43;11971
92;2012 2e kwartaal;185313;164906;16968;14113;891;1652;199;113;3439;549598;467410;47379;42836;2193;1797;365;188;34809
93;2012 juli;36911;30917;5152;4285;321;464;63;19;842;197146;167441;18931;17671;664;489;74;33;10774
94;2012 augustus;39254;32996;5431;4535;233;595;48;20;827;172590;147831;14231;12959;541;573;89;69;10528
95;2012 september;37597;31951;4935;3828;220;828;52;7;711;169938;145927;14778;13393;623;578;99;85;9233
96;2012 3e kwartaal;113762;95864;15518;12648;774;1887;163;46;2380;539674;461199;47940;44023;1828;1640;262;187;30535
97;2012 oktober;32557;26775;5339;4353;293;614;70;9;443;176948;153499;15727;14188;645;662;177;55;7722
98;2012 november;35537;30268;4956;4086;270;492;66;42;313;164704;143483;14906;13465;646;596;136;63;6315
99;2012 december;21500;18214;3084;1512;193;855;50;474;202;148480;130030;13460;11642;723;570;151;374;4990
100;2012 4e kwartaal;89594;75257;13379;9951;756;1961;186;525;958;490132;427012;44093;39295;2014;1828;464;492;19027
