ID;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
0;46 Wholesale trade (no motor vehicles);2005 1st quarter;75.4;
1;46 Wholesale trade (no motor vehicles);2005 2nd quarter;77.5;
2;46 Wholesale trade (no motor vehicles);2005 3rd quarter;75.7;
3;46 Wholesale trade (no motor vehicles);2005 4th quarter;83.8;
4;46 Wholesale trade (no motor vehicles);2005;78.1;
5;46 Wholesale trade (no motor vehicles);2006 1st quarter;80.5;6.9
6;46 Wholesale trade (no motor vehicles);2006 2nd quarter;83.8;8.0
7;46 Wholesale trade (no motor vehicles);2006 3rd quarter;80.7;6.6
8;46 Wholesale trade (no motor vehicles);2006 4th quarter;88.3;5.4
9;46 Wholesale trade (no motor vehicles);2006;83.3;6.7
10;46 Wholesale trade (no motor vehicles);2007 1st quarter;88.0;9.2
11;46 Wholesale trade (no motor vehicles);2007 2nd quarter;91.7;9.5
12;46 Wholesale trade (no motor vehicles);2007 3rd quarter;89.4;10.8
13;46 Wholesale trade (no motor vehicles);2007 4th quarter;101.5;14.9
14;46 Wholesale trade (no motor vehicles);2007;92.6;11.2
15;46 Wholesale trade (no motor vehicles);2008 1st quarter;98.3;11.8
16;46 Wholesale trade (no motor vehicles);2008 2nd quarter;104.1;13.5
17;46 Wholesale trade (no motor vehicles);2008 3rd quarter;101.5;13.6
18;46 Wholesale trade (no motor vehicles);2008 4th quarter;99.3;-2.2
19;46 Wholesale trade (no motor vehicles);2008;100.8;8.8
20;46 Wholesale trade (no motor vehicles);2009 1st quarter;89.5;-9.0
21;46 Wholesale trade (no motor vehicles);2009 2nd quarter;91.2;-12.4
22;46 Wholesale trade (no motor vehicles);2009 3rd quarter;89.0;-12.3
23;46 Wholesale trade (no motor vehicles);2009 4th quarter;96.5;-2.8
24;46 Wholesale trade (no motor vehicles);2009;91.6;-9.2
25;46 Wholesale trade (no motor vehicles);2010 1st quarter;93.9;5.0
26;46 Wholesale trade (no motor vehicles);2010 2nd quarter;100.7;10.4
27;46 Wholesale trade (no motor vehicles);2010 3rd quarter;97.3;9.4
28;46 Wholesale trade (no motor vehicles);2010 4th quarter;108.1;11.9
29;46 Wholesale trade (no motor vehicles);2010;100.0;9.2
30;46 Wholesale trade (no motor vehicles);2011 1st quarter;106.9;13.8
31;46 Wholesale trade (no motor vehicles);2011 2nd quarter;109.6;8.8
32;46 Wholesale trade (no motor vehicles);2011 3rd quarter;106.5;9.4
33;46 Wholesale trade (no motor vehicles);2011 4th quarter;108.3;0.2
34;46 Wholesale trade (no motor vehicles);2011;107.8;7.8
35;46 Wholesale trade (no motor vehicles);2012 1st quarter;106.6;-0.3
36;46 Wholesale trade (no motor vehicles);2012 2nd quarter;107.5;-1.8
37;46 Wholesale trade (no motor vehicles);2012 3rd quarter;107.1;0.6
38;46 Wholesale trade (no motor vehicles);2012 4th quarter;108.7;0.4
39;46 Wholesale trade (no motor vehicles);2012;107.5;-0.3
40;46 Wholesale trade (no motor vehicles);2013 1st quarter;102.6;-3.8
41;46 Wholesale trade (no motor vehicles);2013 2nd quarter;105.0;-2.3
42;46 Wholesale trade (no motor vehicles);2013 3rd quarter;104.2;-2.7
43;46 Wholesale trade (no motor vehicles);2013 4th quarter;105.3;-3.2
44;46 Wholesale trade (no motor vehicles);2013;104.3;-3.0
45;46 Wholesale trade (no motor vehicles);2014 1st quarter;100.1;-2.5
46;46 Wholesale trade (no motor vehicles);2014 2nd quarter;103.6;-1.3
47;46 Wholesale trade (no motor vehicles);2014 3rd quarter;101.5;-2.6
48;46 Wholesale trade (no motor vehicles);2014 4th quarter;102.4;-2.8
49;46 Wholesale trade (no motor vehicles);2014;101.9;-2.3
50;46 Wholesale trade (no motor vehicles);2015 1st quarter;98.2;-1.9
51;46 Wholesale trade (no motor vehicles);2015 2nd quarter;103.0;-0.6
52;46 Wholesale trade (no motor vehicles);2015 3rd quarter;102.6;1.0
53;46 Wholesale trade (no motor vehicles);2015 4th quarter;105.2;2.8
54;46 Wholesale trade (no motor vehicles);2015;102.3;0.4
55;46 Wholesale trade (no motor vehicles);2016 1st quarter;99.2;1.0
56;46 Wholesale trade (no motor vehicles);2016 2nd quarter;105.4;2.3
57;46 Wholesale trade (no motor vehicles);2016 3rd quarter;105.8;3.1
58;46 Wholesale trade (no motor vehicles);2016 4th quarter;112.8;7.1
59;46 Wholesale trade (no motor vehicles);2016;105.8;3.4
60;46 Wholesale trade (no motor vehicles);2017 1st quarter;111.0;11.9
61;46 Wholesale trade (no motor vehicles);2017 2nd quarter;112.4;6.6
62;46 Wholesale trade (no motor vehicles);2017 3rd quarter;109.5;3.5
63;46 Wholesale trade (no motor vehicles);2017 4th quarter;116.0;2.9
64;46 Wholesale trade (no motor vehicles);2017;112.2;6.1
65;462-469 Wholesale;2005 1st quarter;75.3;
66;462-469 Wholesale;2005 2nd quarter;77.6;
67;462-469 Wholesale;2005 3rd quarter;75.7;
68;462-469 Wholesale;2005 4th quarter;84.0;
69;462-469 Wholesale;2005;78.1;
70;462-469 Wholesale;2006 1st quarter;80.6;7.0
71;462-469 Wholesale;2006 2nd quarter;83.8;8.0
72;462-469 Wholesale;2006 3rd quarter;80.7;6.5
73;462-469 Wholesale;2006 4th quarter;88.4;5.2
74;462-469 Wholesale;2006;83.4;6.7
75;462-469 Wholesale;2007 1st quarter;87.8;8.9
76;462-469 Wholesale;2007 2nd quarter;91.5;9.2
77;462-469 Wholesale;2007 3rd quarter;89.4;10.8
78;462-469 Wholesale;2007 4th quarter;101.6;15.0
79;462-469 Wholesale;2007;92.6;11.0
80;462-469 Wholesale;2008 1st quarter;98.3;12.0
81;462-469 Wholesale;2008 2nd quarter;104.1;13.8
82;462-469 Wholesale;2008 3rd quarter;101.4;13.5
83;462-469 Wholesale;2008 4th quarter;99.3;-2.2
84;462-469 Wholesale;2008;100.8;8.9
85;462-469 Wholesale;2009 1st quarter;89.2;-9.3
86;462-469 Wholesale;2009 2nd quarter;90.9;-12.7
87;462-469 Wholesale;2009 3rd quarter;88.8;-12.5
88;462-469 Wholesale;2009 4th quarter;96.4;-2.9
89;462-469 Wholesale;2009;91.3;-9.4
90;462-469 Wholesale;2010 1st quarter;94.0;5.4
91;462-469 Wholesale;2010 2nd quarter;100.6;10.7
92;462-469 Wholesale;2010 3rd quarter;97.2;9.5
93;462-469 Wholesale;2010 4th quarter;108.2;12.2
94;462-469 Wholesale;2010;100.0;9.5
95;462-469 Wholesale;2011 1st quarter;106.8;13.7
96;462-469 Wholesale;2011 2nd quarter;109.4;8.7
97;462-469 Wholesale;2011 3rd quarter;106.6;9.6
98;462-469 Wholesale;2011 4th quarter;108.2;0.1
99;462-469 Wholesale;2011;107.8;7.8
100;462-469 Wholesale;2012 1st quarter;106.6;-0.2
101;462-469 Wholesale;2012 2nd quarter;107.4;-1.8
102;462-469 Wholesale;2012 3rd quarter;107.1;0.5
103;462-469 Wholesale;2012 4th quarter;108.5;0.2
104;462-469 Wholesale;2012;107.4;-0.4
105;462-469 Wholesale;2013 1st quarter;102.5;-3.9
106;462-469 Wholesale;2013 2nd quarter;104.7;-2.5
107;462-469 Wholesale;2013 3rd quarter;103.9;-2.9
108;462-469 Wholesale;2013 4th quarter;104.8;-3.4
109;462-469 Wholesale;2013;104.0;-3.2
110;462-469 Wholesale;2014 1st quarter;99.6;-2.8
111;462-469 Wholesale;2014 2nd quarter;103.1;-1.6
112;462-469 Wholesale;2014 3rd quarter;100.9;-2.9
113;462-469 Wholesale;2014 4th quarter;101.5;-3.2
114;462-469 Wholesale;2014;101.3;-2.6
115;462-469 Wholesale;2015 1st quarter;97.4;-2.3
116;462-469 Wholesale;2015 2nd quarter;102.1;-1.0
117;462-469 Wholesale;2015 3rd quarter;101.8;0.8
118;462-469 Wholesale;2015 4th quarter;104.0;2.5
119;462-469 Wholesale;2015;101.3;0.0
120;462-469 Wholesale;2016 1st quarter;98.3;0.9
121;462-469 Wholesale;2016 2nd quarter;104.4;2.3
122;462-469 Wholesale;2016 3rd quarter;104.7;2.9
123;462-469 Wholesale;2016 4th quarter;111.6;7.3
124;462-469 Wholesale;2016;104.8;3.4
125;462-469 Wholesale;2017 1st quarter;110.0;11.9
126;462-469 Wholesale;2017 2nd quarter;111.3;6.6
127;462-469 Wholesale;2017 3rd quarter;108.5;3.5
128;462-469 Wholesale;2017 4th quarter;114.9;2.9
129;462-469 Wholesale;2017;111.1;6.1
130;462 Wholesale of agricultural products;2005 1st quarter;57.6;
131;462 Wholesale of agricultural products;2005 2nd quarter;55.8;
132;462 Wholesale of agricultural products;2005 3rd quarter;52.4;
133;462 Wholesale of agricultural products;2005 4th quarter;60.9;
134;462 Wholesale of agricultural products;2005;56.7;
135;462 Wholesale of agricultural products;2006 1st quarter;62.6;8.7
136;462 Wholesale of agricultural products;2006 2nd quarter;58.6;5.1
137;462 Wholesale of agricultural products;2006 3rd quarter;53.5;2.0
138;462 Wholesale of agricultural products;2006 4th quarter;60.4;-0.9
139;462 Wholesale of agricultural products;2006;58.8;3.7
140;462 Wholesale of agricultural products;2007 1st quarter;77.5;23.8
141;462 Wholesale of agricultural products;2007 2nd quarter;75.3;28.4
142;462 Wholesale of agricultural products;2007 3rd quarter;78.4;46.5
143;462 Wholesale of agricultural products;2007 4th quarter;104.8;73.6
144;462 Wholesale of agricultural products;2007;84.0;42.9
145;462 Wholesale of agricultural products;2008 1st quarter;103.9;34.1
146;462 Wholesale of agricultural products;2008 2nd quarter;100.9;34.1
147;462 Wholesale of agricultural products;2008 3rd quarter;113.7;45.1
148;462 Wholesale of agricultural products;2008 4th quarter;90.0;-14.1
149;462 Wholesale of agricultural products;2008;102.1;21.6
150;462 Wholesale of agricultural products;2009 1st quarter;96.9;-6.8
151;462 Wholesale of agricultural products;2009 2nd quarter;92.0;-8.8
152;462 Wholesale of agricultural products;2009 3rd quarter;84.5;-25.7
153;462 Wholesale of agricultural products;2009 4th quarter;90.9;1.0
154;462 Wholesale of agricultural products;2009;91.1;-10.8
155;462 Wholesale of agricultural products;2010 1st quarter;94.6;-2.4
156;462 Wholesale of agricultural products;2010 2nd quarter;99.3;7.9
157;462 Wholesale of agricultural products;2010 3rd quarter;96.1;13.7
158;462 Wholesale of agricultural products;2010 4th quarter;110.1;21.1
159;462 Wholesale of agricultural products;2010;100.0;9.8
160;462 Wholesale of agricultural products;2011 1st quarter;116.4;23.1
161;462 Wholesale of agricultural products;2011 2nd quarter;114.0;14.9
162;462 Wholesale of agricultural products;2011 3rd quarter;105.0;9.2
163;462 Wholesale of agricultural products;2011 4th quarter;112.5;2.2
164;462 Wholesale of agricultural products;2011;112.0;12.0
165;462 Wholesale of agricultural products;2012 1st quarter;121.6;4.4
166;462 Wholesale of agricultural products;2012 2nd quarter;131.5;15.4
167;462 Wholesale of agricultural products;2012 3rd quarter;127.8;21.8
168;462 Wholesale of agricultural products;2012 4th quarter;128.4;14.1
169;462 Wholesale of agricultural products;2012;127.3;13.7
170;462 Wholesale of agricultural products;2013 1st quarter;135.0;11.0
171;462 Wholesale of agricultural products;2013 2nd quarter;134.6;2.3
172;462 Wholesale of agricultural products;2013 3rd quarter;117.0;-8.5
173;462 Wholesale of agricultural products;2013 4th quarter;120.0;-6.5
174;462 Wholesale of agricultural products;2013;126.7;-0.5
175;462 Wholesale of agricultural products;2014 1st quarter;120.7;-10.6
176;462 Wholesale of agricultural products;2014 2nd quarter;124.6;-7.4
177;462 Wholesale of agricultural products;2014 3rd quarter;112.2;-4.1
178;462 Wholesale of agricultural products;2014 4th quarter;120.6;0.5
179;462 Wholesale of agricultural products;2014;119.5;-5.6
180;462 Wholesale of agricultural products;2015 1st quarter;127.6;5.7
181;462 Wholesale of agricultural products;2015 2nd quarter;124.3;-0.2
182;462 Wholesale of agricultural products;2015 3rd quarter;115.8;3.2
183;462 Wholesale of agricultural products;2015 4th quarter;128.2;6.3
184;462 Wholesale of agricultural products;2015;124.0;3.7
185;462 Wholesale of agricultural products;2016 1st quarter;125.2;-1.9
186;462 Wholesale of agricultural products;2016 2nd quarter;127.5;2.6
187;462 Wholesale of agricultural products;2016 3rd quarter;119.7;3.4
188;462 Wholesale of agricultural products;2016 4th quarter;137.3;7.1
189;462 Wholesale of agricultural products;2016;127.4;2.8
190;462 Wholesale of agricultural products;2017 1st quarter;133.7;6.8
191;462 Wholesale of agricultural products;2017 2nd quarter;128.1;0.4
192;462 Wholesale of agricultural products;2017 3rd quarter;113.5;-5.2
