ID;SIC2008;LegalForms;Periods;EmployersTotal_1;EmployersBirths_2;EmployersDeaths_3;PersonsEmployedInEmployerPopulation_4;EmployeesInEmployerPopulation_5;PersonsEmployedInEmployerBirths_6;EmployeesInEmployerBirths_7;PersonsEmployedInEmployerDeaths_8;EmployeesInEmployerDeaths_9
0;305700;Total legal forms all nationalities;2010;149.0;16.0;9.0;;;69.0;64.0;;
1;305700;Total legal forms all nationalities;2011;159.0;18.0;15.0;;8239.0;180.0;175.0;64.0;60.0
2;305700;Total legal forms all nationalities;2012;154.0;19.0;14.0;;8462.0;;;179.0;173.0
3;305700;Total legal forms all nationalities;2013;159.0;18.0;16.0;;10099.0;;;;
4;305700;Total legal forms all nationalities;2014;161.0;14.0;14.0;11086.0;11027.0;;;35.0;31.0
5;305700;Total legal forms all nationalities;2015;153.0;9.0;13.0;10940.0;10889.0;;;;
6;305700;Total legal forms all nationalities;2016;161.0;21.0;8.0;10314.0;10261.0;183.0;;;
7;305700;Total legal forms all nationalities;2017;164.0;14.0;12.0;8390.0;8344.0;18.0;16.0;;25.0
8;305700;Total legal forms all nationalities;2018;168.0;17.0;14.0;;;111.0;106.0;30.0;26.0
9;305700;Total legal forms all nationalities;2019;171.0;23.0;13.0;8293.0;8251.0;401.0;400.0;29.0;27.0
10;305700;Total legal forms all nationalities;2020;170.0;13.0;14.0;8164.0;8122.0;45.0;41.0;102.0;94.0
11;305700;Total legal forms all nationalities;2021;164.0;9.0;14.0;7505.0;7505.0;9.0;9.0;17.0;17.0
12;305700;Total legal forms all nationalities;2022;163.0;6.0;13.0;7677.0;7675.0;9.0;9.0;23.0;23.0
13;305700;Sole proprietorship;2010;3.0;1.0;1.0;;;;;;
14;305700;Sole proprietorship;2011;3.0;0.0;1.0;;;0.0;0.0;;
15;305700;Sole proprietorship;2012;4.0;2.0;2.0;;;;;;
16;305700;Sole proprietorship;2013;3.0;1.0;1.0;;;;;;
17;305700;Sole proprietorship;2014;2.0;0.0;1.0;;;0.0;0.0;;
18;305700;Sole proprietorship;2015;2.0;0.0;1.0;;;0.0;0.0;;
19;305700;Sole proprietorship;2016;1.0;0.0;0.0;;;0.0;0.0;0.0;0.0
20;305700;Sole proprietorship;2017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;305700;Sole proprietorship;2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;305700;Sole proprietorship;2019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;305700;Sole proprietorship;2020;1.0;1.0;0.0;;;;;0.0;0.0
24;305700;Sole proprietorship;2021;2.0;2.0;1.0;;;;;;
25;305700;Sole proprietorship;2022;2.0;1.0;0.0;;;;;0.0;0.0
26;305700;Limited liability enterprises;2010;132.0;15.0;7.0;;;;;;
27;305700;Limited liability enterprises;2011;141.0;15.0;14.0;7695.0;;;;;
28;305700;Limited liability enterprises;2012;133.0;14.0;9.0;;;;;;
29;305700;Limited liability enterprises;2013;140.0;16.0;10.0;;;;;;
30;305700;Limited liability enterprises;2014;147.0;12.0;12.0;;;;;;
31;305700;Limited liability enterprises;2015;141.0;9.0;12.0;10364.0;;;;;
32;305700;Limited liability enterprises;2016;145.0;16.0;7.0;9790.0;;;105.0;;
33;305700;Limited liability enterprises;2017;148.0;13.0;11.0;7952.0;;;;21.0;
34;305700;Limited liability enterprises;2018;154.0;17.0;12.0;;;111.0;106.0;;
35;305700;Limited liability enterprises;2019;149.0;11.0;10.0;;;;;;
36;305700;Limited liability enterprises;2020;149.0;11.0;9.0;;;;;;
37;305700;Limited liability enterprises;2021;143.0;6.0;5.0;7133.0;7133.0;;;;4.0
38;305700;Limited liability enterprises;2022;144.0;3.0;8.0;7318.0;7316.0;;;18.0;18.0
39;305700;Partnership, etc.;2010;14.0;0.0;1.0;;481.0;0.0;0.0;;
40;305700;Partnership, etc.;2011;15.0;3.0;0.0;;;;;0.0;0.0
41;305700;Partnership, etc.;2012;17.0;3.0;3.0;;;;;;
42;305700;Partnership, etc.;2013;16.0;1.0;5.0;713.0;;;;;
43;305700;Partnership, etc.;2014;12.0;2.0;1.0;;;;;;
44;305700;Partnership, etc.;2015;10.0;0.0;0.0;;;0.0;0.0;0.0;0.0
45;305700;Partnership, etc.;2016;15.0;5.0;1.0;;510.0;;;;
46;305700;Partnership, etc.;2017;16.0;1.0;1.0;438.0;;;;;
47;305700;Partnership, etc.;2018;14.0;0.0;2.0;;;0.0;0.0;;
48;305700;Partnership, etc.;2019;22.0;12.0;3.0;;;;;;
49;305700;Partnership, etc.;2020;20.0;1.0;5.0;;;;;;
50;305700;Partnership, etc.;2021;19.0;1.0;8.0;;;;;12.0;
51;305700;Partnership, etc.;2022;17.0;2.0;5.0;;;;;4.0;4.0
52;300002;Total legal forms all nationalities;2010;23281.0;1289.0;1744.0;730399.0;708455.0;11131.0;10295.0;16379.0;15068.0
53;300002;Total legal forms all nationalities;2011;23064.0;1564.0;1826.0;728959.0;707362.0;12067.0;10989.0;21361.0;19903.0
54;300002;Total legal forms all nationalities;2012;22691.0;1484.0;1870.0;722319.0;701591.0;14024.0;13025.0;19507.0;18043.0
55;300002;Total legal forms all nationalities;2013;22246.0;1314.0;1692.0;712345.0;692240.0;9068.0;8256.0;13350.0;12085.0
56;300002;Total legal forms all nationalities;2014;21893.0;1359.0;1495.0;705499.0;685801.0;10333.0;9425.0;16018.0;14926.0
57;300002;Total legal forms all nationalities;2015;21726.0;1297.0;1309.0;704374.0;685011.0;7306.0;6319.0;8492.0;7523.0
58;300002;Total legal forms all nationalities;2016;22047.0;1642.0;1294.0;714949.0;695501.0;7986.0;6826.0;13109.0;12138.0
59;300002;Total legal forms all nationalities;2017;22352.0;1559.0;1387.0;724652.0;705711.0;10654.0;9543.0;9064.0;7985.0
60;300002;Total legal forms all nationalities;2018;22425.0;1422.0;1445.0;741459.0;722319.0;7080.0;6061.0;10890.0;9786.0
61;300002;Total legal forms all nationalities;2019;23644.0;2598.0;1642.0;761289.0;742913.0;9206.0;8212.0;8304.0;7237.0
62;300002;Total legal forms all nationalities;2020;23639.0;1559.0;;758315.0;740206.0;6230.0;5257.0;;
63;300002;Total legal forms all nationalities;2021;;;;;;;;;
