ID;Geslacht;Herkomstgroepering;Onderwijssoort;Leeftijd;Huishoudgrootte;Perioden;AantalLeerlingenOnderzoekspopulatie_1;AantalVSVErsOnderzoekspopulatie_2;AantalNietVSVErsOnderzoekspopulatie_3;PercentageVSVErsOnderzoekspopulatie_4
0;Totaal mannen en vrouwen;0;0;0;Totaal huishoudgrootte;2004/'05;1300100.0;76150.0;1223960.0;5.9
1;Totaal mannen en vrouwen;0;0;0;Totaal huishoudgrootte;2005/'06;1399710.0;74510.0;1325190.0;5.3
2;Totaal mannen en vrouwen;0;0;0;Totaal huishoudgrootte;2006/'07;1419500.0;72610.0;1346900.0;5.1
3;Totaal mannen en vrouwen;0;0;0;Totaal huishoudgrootte;2007/'08;1434710.0;71480.0;1363230.0;5.0
4;Totaal mannen en vrouwen;0;0;0;Totaal huishoudgrootte;2008/'09;1435120.0;64270.0;1370860.0;4.5
5;Totaal mannen en vrouwen;0;0;0;1 tot 5 leden;2004/'05;1153780.0;69270.0;1084510.0;6.0
6;Totaal mannen en vrouwen;0;0;0;1 tot 5 leden;2005/'06;1248430.0;68040.0;1180390.0;5.5
7;Totaal mannen en vrouwen;0;0;0;1 tot 5 leden;2006/'07;1261600.0;65520.0;1196080.0;5.2
8;Totaal mannen en vrouwen;0;0;0;1 tot 5 leden;2007/'08;1286450.0;65600.0;1220860.0;5.1
9;Totaal mannen en vrouwen;0;0;0;1 tot 5 leden;2008/'09;1294150.0;59570.0;1234580.0;4.6
10;Totaal mannen en vrouwen;0;0;0;6 leden of meer;2004/'05;141170.0;6150.0;135020.0;4.4
11;Totaal mannen en vrouwen;0;0;0;6 leden of meer;2005/'06;144870.0;5560.0;139310.0;3.8
12;Totaal mannen en vrouwen;0;0;0;6 leden of meer;2006/'07;142800.0;5630.0;137170.0;3.9
13;Totaal mannen en vrouwen;0;0;0;6 leden of meer;2007/'08;144250.0;5630.0;138610.0;3.9
14;Totaal mannen en vrouwen;0;0;0;6 leden of meer;2008/'09;140880.0;4680.0;136200.0;3.3
15;Totaal mannen en vrouwen;0;0;0;Huishoudgrootte onbekend;2004/'05;5160.0;730.0;4430.0;14.2
16;Totaal mannen en vrouwen;0;0;0;Huishoudgrootte onbekend;2005/'06;6410.0;920.0;5490.0;14.3
17;Totaal mannen en vrouwen;0;0;0;Huishoudgrootte onbekend;2006/'07;15110.0;1460.0;13650.0;9.7
18;Totaal mannen en vrouwen;0;0;0;Huishoudgrootte onbekend;2007/'08;4010.0;250.0;3760.0;6.3
19;Totaal mannen en vrouwen;0;0;0;Huishoudgrootte onbekend;2008/'09;100.0;20.0;80.0;16.8
20;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Totaal huishoudgrootte;2004/'05;1211960.0;55060.0;1156900.0;4.5
21;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Totaal huishoudgrootte;2005/'06;1299580.0;53590.0;1245980.0;4.1
22;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Totaal huishoudgrootte;2006/'07;1313120.0;51980.0;1261140.0;4.0
23;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Totaal huishoudgrootte;2007/'08;1315100.0;48450.0;1266650.0;3.7
