ID;BedrijfstakkenBranchesSBI2008;RegioS;Perioden;OpenstaandeVacatures_1
0;A-U Alle economische activiteiten;Nederland;2011 1e kwartaal;135.5
1;A-U Alle economische activiteiten;Nederland;2011 2e kwartaal;143.6
2;A-U Alle economische activiteiten;Nederland;2011 3e kwartaal;130.6
3;A-U Alle economische activiteiten;Nederland;2011 4e kwartaal;133.8
4;A-U Alle economische activiteiten;Nederland;2012 1e kwartaal;118.1
5;A-U Alle economische activiteiten;Nederland;2012 2e kwartaal;116.1
6;A-U Alle economische activiteiten;Nederland;2012 3e kwartaal;105.9
7;A-U Alle economische activiteiten;Nederland;2012 4e kwartaal;94.9
8;A-U Alle economische activiteiten;Nederland;2013 1e kwartaal;97.1
9;A-U Alle economische activiteiten;Nederland;2013 2e kwartaal;96.7
10;A-U Alle economische activiteiten;Nederland;2013 3e kwartaal;93.7
11;A-U Alle economische activiteiten;Nederland;2013 4e kwartaal;91.0
12;A-U Alle economische activiteiten;Nederland;2014 1e kwartaal;105.7
13;A-U Alle economische activiteiten;Nederland;2014 2e kwartaal;112.9
14;A-U Alle economische activiteiten;Nederland;2014 3e kwartaal;112.1
15;A-U Alle economische activiteiten;Nederland;2014 4e kwartaal;112.9
16;A-U Alle economische activiteiten;Nederland;2015 1e kwartaal;127.0
17;A-U Alle economische activiteiten;Nederland;2015 2e kwartaal;136.5
18;A-U Alle economische activiteiten;Nederland;2015 3e kwartaal;130.9
19;A-U Alle economische activiteiten;Nederland;2015 4e kwartaal;136.3
20;A-U Alle economische activiteiten;Nederland;2016 1e kwartaal;153.0
21;A-U Alle economische activiteiten;Nederland;2016 2e kwartaal;161.8
22;A-U Alle economische activiteiten;Nederland;2016 3e kwartaal;159.1
23;A-U Alle economische activiteiten;Nederland;2016 4e kwartaal;163.4
24;A-U Alle economische activiteiten;Nederland;2017 1e kwartaal;188.5
25;A-U Alle economische activiteiten;Nederland;2017 2e kwartaal;212.8
26;A-U Alle economische activiteiten;Nederland;2017 3e kwartaal;210.1
27;A-U Alle economische activiteiten;Nederland;2017 4e kwartaal;218.6
28;A-U Alle economische activiteiten;Nederland;2018 1e kwartaal;237.8
29;A-U Alle economische activiteiten;Nederland;2018 2e kwartaal;260.6
30;A-U Alle economische activiteiten;Nederland;2018 3e kwartaal;258.3
31;A-U Alle economische activiteiten;Nederland;2018 4e kwartaal;254.9
32;A-U Alle economische activiteiten;Nederland;2019 1e kwartaal;278.9
33;A-U Alle economische activiteiten;Nederland;2019 2e kwartaal;293.8
34;A-U Alle economische activiteiten;Nederland;2019 3e kwartaal;283.8
35;A-U Alle economische activiteiten;Nederland;2019 4e kwartaal;281.2
36;A-U Alle economische activiteiten;Nederland;2020 1e kwartaal;221.7
37;A-U Alle economische activiteiten;Nederland;2020 2e kwartaal;200.4
38;A-U Alle economische activiteiten;Nederland;2020 3e kwartaal;215.6
39;A-U Alle economische activiteiten;Nederland;2020 4e kwartaal;213.7
40;A-U Alle economische activiteiten;Nederland;2021 1e kwartaal;248.5
41;A-U Alle economische activiteiten;Nederland;2021 2e kwartaal;333.6
42;A-U Alle economische activiteiten;Nederland;2021 3e kwartaal;376.3
43;A-U Alle economische activiteiten;Nederland;2021 4e kwartaal;376.4
44;A-U Alle economische activiteiten;Nederland;2022 1e kwartaal;448.2
45;A-U Alle economische activiteiten;Nederland;2022 2e kwartaal;479.8
46;A-U Alle economische activiteiten;Nederland;2022 3e kwartaal;451.9
47;A-U Alle economische activiteiten;Nederland;2022 4e kwartaal;418.9
48;A-U Alle economische activiteiten;Nederland;2023 1e kwartaal;432.9
49;A-U Alle economische activiteiten;Nederland;2023 2e kwartaal;441.2
50;A-U Alle economische activiteiten;Nederland;2023 3e kwartaal;416.8
51;A-U Alle economische activiteiten;Nederland;2023 4e kwartaal;389.2
52;A-U Alle economische activiteiten;Nederland;2024 1e kwartaal;413.0
53;A-U Alle economische activiteiten;Nederland;2024 2e kwartaal;418.9
54;A-U Alle economische activiteiten;Nederland;2024 3e kwartaal;396.4
55;A-U Alle economische activiteiten;Nederland;2024 4e kwartaal;383.8
56;A-U Alle economische activiteiten;Noord-Nederland (LD);2011 1e kwartaal;11.0
57;A-U Alle economische activiteiten;Noord-Nederland (LD);2011 2e kwartaal;11.3
58;A-U Alle economische activiteiten;Noord-Nederland (LD);2011 3e kwartaal;10.0
59;A-U Alle economische activiteiten;Noord-Nederland (LD);2011 4e kwartaal;10.3
60;A-U Alle economische activiteiten;Noord-Nederland (LD);2012 1e kwartaal;9.6
61;A-U Alle economische activiteiten;Noord-Nederland (LD);2012 2e kwartaal;8.8
62;A-U Alle economische activiteiten;Noord-Nederland (LD);2012 3e kwartaal;8.0
63;A-U Alle economische activiteiten;Noord-Nederland (LD);2012 4e kwartaal;7.1
64;A-U Alle economische activiteiten;Noord-Nederland (LD);2013 1e kwartaal;7.5
65;A-U Alle economische activiteiten;Noord-Nederland (LD);2013 2e kwartaal;7.6
66;A-U Alle economische activiteiten;Noord-Nederland (LD);2013 3e kwartaal;7.2
67;A-U Alle economische activiteiten;Noord-Nederland (LD);2013 4e kwartaal;7.2
68;A-U Alle economische activiteiten;Noord-Nederland (LD);2014 1e kwartaal;10.3
69;A-U Alle economische activiteiten;Noord-Nederland (LD);2014 2e kwartaal;11.0
70;A-U Alle economische activiteiten;Noord-Nederland (LD);2014 3e kwartaal;10.8
71;A-U Alle economische activiteiten;Noord-Nederland (LD);2014 4e kwartaal;10.8
72;A-U Alle economische activiteiten;Noord-Nederland (LD);2015 1e kwartaal;9.6
73;A-U Alle economische activiteiten;Noord-Nederland (LD);2015 2e kwartaal;10.2
74;A-U Alle economische activiteiten;Noord-Nederland (LD);2015 3e kwartaal;9.7
75;A-U Alle economische activiteiten;Noord-Nederland (LD);2015 4e kwartaal;9.9
76;A-U Alle economische activiteiten;Noord-Nederland (LD);2016 1e kwartaal;11.3
77;A-U Alle economische activiteiten;Noord-Nederland (LD);2016 2e kwartaal;12.2
78;A-U Alle economische activiteiten;Noord-Nederland (LD);2016 3e kwartaal;11.6
79;A-U Alle economische activiteiten;Noord-Nederland (LD);2016 4e kwartaal;12.2
80;A-U Alle economische activiteiten;Noord-Nederland (LD);2017 1e kwartaal;14.3
81;A-U Alle economische activiteiten;Noord-Nederland (LD);2017 2e kwartaal;16.2
82;A-U Alle economische activiteiten;Noord-Nederland (LD);2017 3e kwartaal;15.3
83;A-U Alle economische activiteiten;Noord-Nederland (LD);2017 4e kwartaal;15.8
84;A-U Alle economische activiteiten;Noord-Nederland (LD);2018 1e kwartaal;17.8
