ID;Perioden;TotaalPersonenInHuishoudens_1;TotaalPersonenInParticuliereHuish_2;ThuiswonendKind_3;Alleenstaand_4;Samenwonend_5;OuderInEenouderhuishouden_6;OverigLidHuishouden_7;PersonenInInstitutioneleHuishoudens_8;TotaalParticuliereHuishoudens_9;Eenpersoonshuishouden_10;TotaalMeerpersoonshuishoudens_11;Paar_12;Eenouderhuishouden_13;OverigHuishouden_14;TotaalParticuliereHuishoudens_15;Eenpersoonshuishouden_16;TotaalMeerpersoonshuishoudens_17;k_2Personen_18;k_3Personen_19;k_4Personen_20;k_5OfMeerPersonen_21;GemiddeldeHuishoudensgrootte_22;TotaalHuishoudensMetKinderen_23;k_1Kind_24;k_2Kinderen_25;k_3OfMeerKinderen_26;TotaalParenMetKinderen_27;k_1Kind_28;k_2Kinderen_29;k_3OfMeerKinderen_30;TotaalEenouderhuishoudens_31;k_1Kind_32;k_2Kinderen_33;k_3OfMeerKinderen_34;TotaalHuishoudensMetKinderen_35;JongsteKind0Tot3Jaar_36;JongsteKind3Tot6Jaar_37;JongsteKind6Tot12Jaar_38;JongsteKind12Tot18Jaar_39;JongsteKind18JaarOfOuder_40
0;2016;16974177;16733341;4569610;2918465;8437940;554282;253044;240836;7733844;2918483;4815361;4218971;554296;42094;7733844;2918483;4815361;2533868;931123;956292;394079;2.16;2574845;1105346;1071146;398353;2020549;761275;909946;349328;554296;344071;161200;49025;2574848;460184;311954;559759;563876;679075
1;2017;17087136;16843071;4582135;2971340;8472329;562136;255131;244065;7812020;2971332;4840688;4236160;562135;42393;7812020;2971332;4840688;2557232;939724;953256;390477;2.16;2581426;1116836;1069975;394614;2019291;767639;906397;345255;562135;349197;163578;49359;2581423;462865;307840;560094;564022;686602
2;2018;17195139;16950376;4597687;3017622;8508806;569242;257019;244763;7883855;3017624;4866231;4254402;569234;42595;7883855;3017624;4866231;2579204;948310;951291;387427;2.15;2589304;1128234;1069736;391337;2020070;774294;904037;341739;569234;353940;165699;49598;2589305;473636;302104;558407;557296;697862
3;2019;17273444;17031805;4609176;3051296;8538828;575236;257269;241639;7938592;3051303;4887289;4269414;575231;42644;7938592;3051303;4887289;2597176;956523;949151;384439;2.15;2596508;1139059;1069052;388399;2021277;781047;901628;338602;575231;358012;167424;49797;2596508;484755;301826;553785;548912;707230
4;2020;17337960;17099322;4619127;3077076;8566286;580164;256669;238638;7982955;3077075;4905880;4283145;580162;42573;7982955;3077075;4905880;2612044;965657;946939;381240;2.14;2604353;1151250;1067899;385202;2024191;789421;899352;335418;580162;361829;168547;49784;2604356;494576;301600;548832;542535;716813
5;2021;17399847;17162331;4624842;3105292;8591443;583879;256875;237516;8027479;3105288;4922191;4295717;583864;42610;8027479;3105288;4922191;2625456;973292;944783;378659;2.14;2610423;1161532;1066442;382450;2026559;796634;897169;332756;583864;364898;169273;49694;2610423;502856;309149;535144;538364;724910
6;2022;17459232;17221641;4627196;3135416;8614906;586506;257617;237591;8072071;3135399;4936672;4307451;586500;42721;8072071;3135399;4936672;2637963;979597;942655;376457;2.13;2614735;1170048;1064729;379955;2028235;802804;895041;330390;586500;367244;169688;49565;2614735;509107;317329;521125;538696;728478
7;2023;17514803;17276434;4627445;3166080;8636062;588225;258622;238369;8115135;3166072;4949063;4318031;588221;42811;8115135;3166072;4949063;2648846;984472;940912;374833;2.13;2617961;1176903;1063126;377933;2029740;807846;893348;328546;588221;369057;169778;49387;2617964;514542;323871;513411;537697;728443
8;2024;17566825;17327187;4626599;3196657;8654887;589287;259757;239638;8156341;3196651;4959690;4327445;589281;42964;8156341;3196651;4959690;2658273;987811;939742;373864;2.12;2620247;1181607;1062045;376590;2030966;811380;892238;327348;589281;370227;169807;49242;2620250;519249;329272;511952;534018;725759
9;2025;17616586;17375119;4625881;3226780;8671541;589938;260979;241467;8195622;3226779;4968843;4335772;589946;43125;8195622;3226779;4968843;2666662;990246;938758;373177;2.12;2621898;1185428;1060957;375513;2031952;814209;891330;326413;589946;371219;169627;49100;2621898;522973;333354;517376;527492;720703
10;2026;17664540;17420805;4625874;3256716;8685884;589987;262344;243735;8232935;3256724;4976211;4342943;589973;43295;8232935;3256724;4976211;2673487;990919;938680;373125;2.12;2622697;1186909;1060748;375042;2032724;815290;891353;326081;589973;371619;169395;48961;2622699;525763;337277;521443;520373;717843
11;2027;17710424;17464241;4626647;3286323;8697702;589791;263778;246183;8268387;3286323;4982064;4348849;589779;43436;8268387;3286323;4982064;2678364;990042;939864;373794;2.11;2623576;1186398;1061903;375275;2033797;814733;892649;326415;589779;371665;169254;48860;2623575;527833;341167;533137;504801;716637
12;2028;17754359;17505568;4628537;3315519;8706814;589421;265277;248791;8301880;3315516;4986364;4353401;589406;43557;8301880;3315516;4986364;2681317;988065;941967;375015;2.11;2624585;1184540;1063975;376064;2035179;813062;894861;327256;589406;371478;169114;48808;2624587;529405;344525;544808;489395;716454
13;2029;17796628;17545042;4631954;3343835;8713236;589209;266808;251586;8333351;3343832;4989519;4356615;589211;43693;8333351;3343832;4989519;2681869;985841;945019;376791;2.11;2626814;1182195;1067184;377432;2037603;810968;898010;328625;589211;371227;169174;48807;2626813;530566;347199;555035;480895;713118
14;2030;17837429;17582854;4637213;3371187;8717016;589057;268381;254575;8362524;3371169;4991355;4358507;589052;43796;8362524;3371169;4991355;2680748;983630;948253;378724;2.1;2629404;1179927;1070527;378950;2040352;808936;901316;330100;589052;370991;169211;48850;2629403;531105;348931;563969;479030;706368
15;2031;17876383;17618643;4644396;3396957;8718295;589068;269927;257740;8389043;3396968;4992075;4359143;589069;43863;8389043;3396968;4992075;2677952;981408;951909;380806;2.1;2632606;1177620;1074366;380619;2043537;806808;905031;331698;589069;370812;169335;48921;2632604;530958;350014;570951;484338;696343
16;2032;17913312;17652235;4653257;3421242;8717170;589103;271463;261077;8412835;3421230;4991605;4358589;589101;43915;8412835;3421230;4991605;2674243;978489;955859;383013;2.1;2635539;1174600;1078554;382385;2046438;803950;909071;333417;589101;370650;169483;48968;2635543;530193;350720;577057;488241;689332
17;2033;17947995;17683455;4663182;3444127;8713804;589384;272958;264540;8434358;3444130;4990228;4356899;589389;43940;8434358;3444130;4990228;2669270;976046;959840;385072;2.1;2639029;1172202;1082841;383988;2049640;801509;913145;334986;589389;370693;169696;49002;2639030;528668;351010;582082;499683;677587
18;2034;17980099;17712017;4673855;3465659;8708224;589876;274403;268082;8453604;3465653;4987951;4354115;589870;43966;8453604;3465653;4987951;2663026;973386;964289;387250;2.1;2642830;1169326;1087725;385778;2052960;798662;917643;336655;589870;370664;170082;49123;2642830;526619;351080;586140;511047;667944
19;2035;18009419;17737751;4684919;3486025;8700406;590583;275818;271668;8470798;3486026;4984772;4350203;590585;43984;8470798;3486026;4984772;2655620;970771;968856;389524;2.09;2647007;1166496;1092842;387668;2056422;795763;922255;338404;590585;370733;170587;49264;2647007;524128;350940;589314;520960;661665
20;2036;18035683;17760485;4695923;3505178;8690659;591544;277181;275198;8486065;3505177;4980888;4345330;591550;44008;8486065;3505177;4980888;2647258;968721;973365;391545;2.09;2651542;1164181;1098040;389316;2059992;793281;926805;339906;591550;370900;171235;49410;2651542;521259;350573;591599;529836;658275
21;2037;18058813;17780090;4706436;3523085;8679317;592763;278489;278723;8499486;3523078;4976408;4339657;592753;43998;8499486;3523078;4976408;2638242;967474;977470;393223;2.09;2656409;1162993;1102826;390589;2063656;791629;930950;341077;592753;371364;171876;49512;2656405;518115;349918;593280;537031;658061
22;2038;18078695;17796543;4716003;3539975;8666755;594018;279792;282152;8511371;3539973;4971398;4333379;594017;44002;8511371;3539973;4971398;2628565;967108;981096;394629;2.09;2661441;1162683;1107166;391590;2067424;790818;934608;341998;594017;371865;172558;49592;2661442;514863;348874;594505;543481;659719
23;2039;18095325;17809908;4724372;3555517;8653405;595584;281030;285417;8521801;3555514;4966287;4326700;595587;44000;8521801;3555514;4966287;2618299;967732;984409;395847;2.09;2667212;1163568;1111222;392423;2071625;790945;937928;342752;595587;372623;173294;49671;2667213;511739;347510;595442;549246;663276
24;2040;18108898;17820372;4731157;3569824;8639769;597400;282222;288526;8531150;3569830;4961320;4319886;597401;44033;8531150;3569830;4961320;2608038;969391;987105;396787;2.09;2673459;1165862;1114594;393004;2076058;792179;940610;343269;597401;373683;173984;49735;2673461;508874;345896;595993;554162;668536
25;2041;18119685;17828217;4736071;3583210;8626303;599215;283418;291468;8539654;3583215;4956439;4313149;599213;44077;8539654;3583215;4956439;2598523;971629;988980;397308;2.09;2679167;1168973;1117046;393148;2079954;794079;942471;343404;599213;374894;174575;49744;2679167;506238;344047;595926;558054;674902
26;2042;18127856;17833602;4738917;3595563;8613375;601175;284572;294254;8547566;3595561;4952005;4306689;601175;44141;8547566;3595561;4952005;2589954;974509;990079;397463;2.09;2684713;1173224;1118548;392944;2083538;796766;943544;343228;601175;376458;175004;49716;2684713;504059;342139;595307;561058;682150
27;2043;18133733;17836860;4739622;3607470;8601281;602713;285774;296873;8555052;3607464;4947588;4300642;602711;44235;8555052;3607464;4947588;2582561;977341;990416;397270;2.08;2688745;1177162;1119190;392393;2086034;799454;943844;342736;602711;377708;175346;49657;2688746;502203;340140;593848;563219;689336
28;2044;18137649;17838284;4738278;3618831;8590110;604117;286948;299365;8562354;3618835;4943519;4295053;604120;44346;8562354;3618835;4943519;2576117;980157;990294;396951;2.08;2692073;1181000;1119329;391743;2087953;802129;943680;342144;604120;378871;175649;49599;2692072;500914;338239;591736;564900;696283
