ID;AantalPersonen;Perioden;TotaalParticuliereHuishoudens_1;Eenpersoonshuishoudens_2;TotaalMeerpersoonshuishoudens_3;MeerpersoonshuishoudensZonderKinderen_4;MeerpersoonshuishoudensMetKinderen_5;NietGehuwdPaarZonderKinderen_6;NietGehuwdPaarMetKinderen_7;GehuwdPaarZonderKinderen_8;GehuwdPaarMetKinderen_9;Eenouderhuishouden_10;OverigHuishouden_11
0;Totaal;1995;6468682;2109149.0;4359533.0;1886794.0;2472739.0;418506.0;99610.0;1424616.0;2012375.0;360754.0;43672.0
1;Totaal;1996;6517807;2123782.0;4394025.0;1919610.0;2474415.0;441052.0;111837.0;1435447.0;1993803.0;368775.0;43111.0
2;Totaal;1997;6580943;2157561.0;4423382.0;1958645.0;2464737.0;459903.0;123291.0;1455587.0;1969798.0;371648.0;43155.0
3;Totaal;1998;6655891;2201317.0;4454574.0;1995267.0;2459307.0;475782.0;134052.0;1477038.0;1950151.0;375104.0;42447.0
4;Totaal;1999;6745411;2254631.0;4490780.0;2033473.0;2457307.0;486080.0;147545.0;1504022.0;1930135.0;379627.0;43371.0
5;Totaal;2000;6801008;2272219.0;4528789.0;2062123.0;2466666.0;494809.0;162770.0;1521063.0;1919579.0;384317.0;46251.0
6;Totaal;2001;6866954;2307075.0;4559879.0;2073831.0;2486048.0;495693.0;178392.0;1530722.0;1911305.0;396351.0;47416.0
7;Totaal;2002;6934263;2344903.0;4589360.0;2082747.0;2506613.0;499191.0;197099.0;1534892.0;1897823.0;411691.0;48664.0
8;Totaal;2003;6995724;2383580.0;4612144.0;2095156.0;2516988.0;500064.0;214136.0;1546656.0;1878728.0;424124.0;48436.0
9;Totaal;2004;7049280;2423950.0;4625330.0;2099479.0;2525851.0;495214.0;231508.0;1556343.0;1860371.0;433972.0;47922.0
10;Totaal;2005;7090965;2449378.0;4641587.0;2110295.0;2531292.0;498513.0;248543.0;1563808.0;1838625.0;444124.0;47974.0
11;Totaal;2006;7146088;2502084.0;4644004.0;2114857.0;2529147.0;495029.0;264160.0;1572152.0;1812617.0;452370.0;47676.0
12;Totaal;2007;7190543;2536891.0;4653652.0;2128727.0;2524925.0;496187.0;280872.0;1583956.0;1785172.0;458881.0;48584.0
13;Totaal;2008;7242202;2571014.0;4671188.0;2148277.0;2522911.0;501445.0;298577.0;1596319.0;1758630.0;465704.0;50513.0
14;Totaal;2009;7312579;2619394.0;4693185.0;2166972.0;2526213.0;505151.0;314566.0;1609418.0;1736738.0;474909.0;52403.0
15;Totaal;2010;7386144;2669516.0;4716628.0;2181514.0;2535114.0;505816.0;330523.0;1621618.0;1718341.0;486250.0;54080.0
16;Totaal;2011;7443801;2708251.0;4735550.0;2187823.0;2547727.0;514402.0;349609.0;1629522.0;1701846.0;496272.0;43899.0
17;Totaal;2012;7512824;2761764.0;4751060.0;2192158.0;2558902.0;511794.0;361168.0;1636677.0;1686840.0;510894.0;43687.0
18;Totaal;2013;7569371;2802182.0;4767189.0;2202863.0;2564326.0;517578.0;375165.0;1642311.0;1667583.0;521578.0;42974.0
19;Totaal;2014;7590228;2803852.0;4786376.0;2216508.0;2569868.0;528531.0;388460.0;1645639.0;1645538.0;535870.0;42338.0
20;Totaal;2015;7665198;2867797.0;4797401.0;2224618.0;2572783.0;531156.0;403515.0;1651379.0;1623979.0;545289.0;42083.0
21;Totaal;2016;7720787;2906334.0;4814453.0;2235783.0;2578670.0;540631.0;413443.0;1653323.0;1607801.0;557426.0;41829.0
22;Totaal;2017;7794075;2961228.0;4832847.0;2247191.0;2585656.0;548326.0;427276.0;1657377.0;1596256.0;562124.0;41488.0
23;Totaal;2018;7857914;2997617.0;4860297.0;2265409.0;2594888.0;562433.0;435215.0;1662594.0;1587254.0;572419.0;40382.0
24;Totaal;2019;7924691;3037622.0;4887069.0;2282297.0;2604772.0;575040.0;440959.0;1666646.0;1581707.0;582106.0;40611.0
25;Totaal;2020;7997800;3079778.0;4918022.0;2302921.0;2615101.0;589916.0;447284.0;1672389.0;1577842.0;589975.0;40616.0
26;Totaal;2021;8043443;3097117.0;4946326.0;2331454.0;2614872.0;620079.0;457644.0;1670305.0;1563357.0;593871.0;41070.0
27;Totaal;2022;8138591;3172564.0;4966027.0;2349821.0;2616206.0;633378.0;466083.0;1674618.0;1553715.0;596408.0;41825.0
28;Totaal;2023;8270244;3266042.0;5004202.0;2358933.0;2645269.0;638763.0;470189.0;1677643.0;1564447.0;610633.0;42527.0
29;Totaal;2024;8374404;3340560.0;5033844.0;2385910.0;2647934.0;651188.0;469618.0;1687670.0;1560260.0;618056.0;47052.0
30;Eenpersoonshuishouden;1995;2109149;2109149.0;;;;;;;;;
31;Eenpersoonshuishouden;1996;2123782;2123782.0;;;;;;;;;
32;Eenpersoonshuishouden;1997;2157561;2157561.0;;;;;;;;;
33;Eenpersoonshuishouden;1998;2201317;2201317.0;;;;;;;;;
34;Eenpersoonshuishouden;1999;2254631;2254631.0;;;;;;;;;
35;Eenpersoonshuishouden;2000;2272219;2272219.0;;;;;;;;;
36;Eenpersoonshuishouden;2001;2307075;2307075.0;;;;;;;;;
37;Eenpersoonshuishouden;2002;2344903;2344903.0;;;;;;;;;
38;Eenpersoonshuishouden;2003;2383580;2383580.0;;;;;;;;;
39;Eenpersoonshuishouden;2004;2423950;2423950.0;;;;;;;;;
40;Eenpersoonshuishouden;2005;2449378;2449378.0;;;;;;;;;
41;Eenpersoonshuishouden;2006;2502084;2502084.0;;;;;;;;;
42;Eenpersoonshuishouden;2007;2536891;2536891.0;;;;;;;;;
43;Eenpersoonshuishouden;2008;2571014;2571014.0;;;;;;;;;
