ID;Logiesvormen;Toeristengebieden;Perioden;AlleLanden_1;Nederland_2;Buitenland_3;AlleLanden_4;Nederland_5;Buitenland_6
0;Totaal logiesvormen;Nederland;1998;23688.0;14377.2;9310.8;76796.3;51828.1;24968.2
1;Totaal logiesvormen;Nederland;1999;25569.3;15688.3;9881.0;83297.9;55822.2;27475.7
2;Totaal logiesvormen;Nederland;2000;25876.4;15873.3;10003.1;82571.4;55310.3;27261.1
3;Totaal logiesvormen;Nederland;2001;25185.6;15685.7;9499.9;80474.7;54973.0;25501.7
4;Totaal logiesvormen;Nederland;2002;25164.3;15569.0;9595.3;82371.4;56003.7;26367.7
5;Totaal logiesvormen;Nederland;2003;24942.3;15761.6;9180.6;81205.9;55864.3;25341.5
6;Totaal logiesvormen;Nederland;2004;25667.4;16021.2;9646.2;80902.9;55518.4;25384.6
7;Totaal logiesvormen;Nederland;2005;26194.0;16182.1;10011.8;80160.7;54950.7;25210.0
8;Totaal logiesvormen;Nederland;2006;28503.3;17764.7;10738.6;83943.4;57056.8;26886.6
9;Totaal logiesvormen;Nederland;2007;30260.2;19252.3;11008.0;88267.0;60314.8;27952.2
10;Totaal logiesvormen;Nederland;2008;29102.1;18997.8;10104.3;84452.3;59184.7;25267.5
11;Totaal logiesvormen;Nederland;2009;28959.7;19039.0;9920.7;84516.1;59502.4;25013.7
12;Totaal logiesvormen;Nederland;2010;30008.3;19125.3;10883.1;84873.1;58073.3;26799.8
13;Totaal logiesvormen;Nederland;2011;30666.9;19367.4;11299.5;85368.5;57629.4;27739.1
14;Totaal logiesvormen;Nederland;2012;31312.9;19633.3;11679.6;84163.6;56265.2;27898.4
15;Totaal logiesvormen;Waddeneilanden (TR);1998;953.1;738.1;215.0;5302.8;3701.6;1601.1
16;Totaal logiesvormen;Waddeneilanden (TR);1999;1160.6;896.1;264.5;6229.5;4237.7;1991.8
17;Totaal logiesvormen;Waddeneilanden (TR);2000;1088.1;877.7;210.4;5395.0;3954.9;1440.1
18;Totaal logiesvormen;Waddeneilanden (TR);2001;1141.3;885.8;255.5;5548.2;4049.1;1499.1
19;Totaal logiesvormen;Waddeneilanden (TR);2002;1118.3;879.8;238.5;5664.5;4055.2;1609.3
20;Totaal logiesvormen;Waddeneilanden (TR);2003;1082.8;891.9;190.9;5528.0;4189.5;1338.6
21;Totaal logiesvormen;Waddeneilanden (TR);2004;1063.6;860.0;203.6;5324.4;3907.2;1417.2
22;Totaal logiesvormen;Waddeneilanden (TR);2005;1063.8;881.2;182.6;4900.4;3681.1;1219.3
23;Totaal logiesvormen;Waddeneilanden (TR);2006;1203.9;973.7;230.2;5146.4;3796.2;1350.1
24;Totaal logiesvormen;Waddeneilanden (TR);2007;1170.4;966.4;204.1;5255.1;3974.3;1280.7
25;Totaal logiesvormen;Waddeneilanden (TR);2008;1137.3;938.4;198.9;4980.9;3845.7;1135.2
26;Totaal logiesvormen;Waddeneilanden (TR);2009;1209.5;1001.7;207.9;5096.5;3962.3;1134.2
27;Totaal logiesvormen;Waddeneilanden (TR);2010;1209.5;1007.6;201.9;5137.2;3923.5;1213.7
28;Totaal logiesvormen;Waddeneilanden (TR);2011;1136.6;906.5;230.0;4631.1;3467.3;1163.8
29;Totaal logiesvormen;Waddeneilanden (TR);2012;1173.7;986.5;187.1;4718.1;3713.3;1004.8
30;Totaal logiesvormen;Noordzeebadplaatsen (TR);1998;3001.0;1792.0;1209.0;12180.9;6966.1;5214.8
31;Totaal logiesvormen;Noordzeebadplaatsen (TR);1999;3372.8;2045.1;1327.7;13351.4;7722.8;5628.6
32;Totaal logiesvormen;Noordzeebadplaatsen (TR);2000;3260.0;1977.8;1282.2;13148.1;7541.2;5606.9
33;Totaal logiesvormen;Noordzeebadplaatsen (TR);2001;3228.2;2094.4;1133.8;12973.2;8007.2;4966.0
34;Totaal logiesvormen;Noordzeebadplaatsen (TR);2002;2992.8;1810.2;1182.7;13212.7;7898.7;5314.0
35;Totaal logiesvormen;Noordzeebadplaatsen (TR);2003;3503.4;2098.3;1405.1;14237.2;8319.4;5917.8
36;Totaal logiesvormen;Noordzeebadplaatsen (TR);2004;3398.6;2066.0;1332.7;13591.8;8138.1;5453.7
37;Totaal logiesvormen;Noordzeebadplaatsen (TR);2005;3377.9;2157.9;1220.0;13106.1;8138.1;4967.9
38;Totaal logiesvormen;Noordzeebadplaatsen (TR);2006;3688.3;2335.6;1352.7;13823.5;8313.8;5509.7
39;Totaal logiesvormen;Noordzeebadplaatsen (TR);2007;3897.8;2472.3;1425.5;14917.6;9041.4;5876.2
40;Totaal logiesvormen;Noordzeebadplaatsen (TR);2008;3888.5;2545.4;1343.1;13867.1;8639.3;5227.7
41;Totaal logiesvormen;Noordzeebadplaatsen (TR);2009;3903.9;2529.8;1374.1;13996.9;8630.4;5366.6
42;Totaal logiesvormen;Noordzeebadplaatsen (TR);2010;3869.0;2377.1;1491.9;13954.3;8289.8;5664.5
43;Totaal logiesvormen;Noordzeebadplaatsen (TR);2011;3938.9;2447.8;1491.1;14158.7;8380.7;5778.0
44;Totaal logiesvormen;Noordzeebadplaatsen (TR);2012;3830.2;2343.0;1487.2;13182.1;7708.1;5474.0
45;Totaal logiesvormen;IJsselmeerkust (TR);1998;838.6;498.7;339.9;2972.5;1823.3;1149.2
46;Totaal logiesvormen;IJsselmeerkust (TR);1999;977.2;586.1;391.1;3511.1;2125.9;1385.2
47;Totaal logiesvormen;IJsselmeerkust (TR);2000;905.7;553.6;352.1;3196.3;2077.9;1118.4
48;Totaal logiesvormen;IJsselmeerkust (TR);2001;620.9;372.1;248.8;2137.1;1363.8;773.3
49;Totaal logiesvormen;IJsselmeerkust (TR);2002;869.0;560.7;308.3;3049.8;2013.2;1036.7
50;Totaal logiesvormen;IJsselmeerkust (TR);2003;905.7;590.3;315.4;3223.9;2080.0;1143.9
51;Totaal logiesvormen;IJsselmeerkust (TR);2004;840.2;550.9;289.2;2808.6;1803.6;1005.0
52;Totaal logiesvormen;IJsselmeerkust (TR);2005;841.9;578.6;263.3;2937.6;1987.6;950.0
53;Totaal logiesvormen;IJsselmeerkust (TR);2006;957.5;666.5;291.0;3194.8;2253.8;941.1
54;Totaal logiesvormen;IJsselmeerkust (TR);2007;991.9;684.7;307.3;3116.9;2141.3;975.6
55;Totaal logiesvormen;IJsselmeerkust (TR);2008;992.4;705.6;286.8;3139.0;2200.3;938.7
56;Totaal logiesvormen;IJsselmeerkust (TR);2009;1089.5;746.6;343.0;3563.6;2339.9;1223.7
57;Totaal logiesvormen;IJsselmeerkust (TR);2010;1098.2;800.3;298.0;3281.2;2325.2;955.9
58;Totaal logiesvormen;IJsselmeerkust (TR);2011;1056.2;780.7;275.5;3497.1;2506.3;990.8
59;Totaal logiesvormen;IJsselmeerkust (TR);2012;1354.0;997.7;356.4;3964.7;2742.9;1221.8
60;Totaal logiesvormen;Deltagebied (TR);1998;547.3;334.9;212.4;2246.3;1400.0;846.3
61;Totaal logiesvormen;Deltagebied (TR);1999;464.3;290.3;173.9;2019.1;1260.2;758.9
62;Totaal logiesvormen;Deltagebied (TR);2000;625.3;357.4;267.9;2492.1;1389.9;1102.2
63;Totaal logiesvormen;Deltagebied (TR);2001;622.8;369.9;252.9;2491.8;1412.5;1079.3
64;Totaal logiesvormen;Deltagebied (TR);2002;552.0;343.8;208.2;2360.1;1368.5;991.7
65;Totaal logiesvormen;Deltagebied (TR);2003;644.8;400.2;244.6;2814.3;1661.3;1153.0
66;Totaal logiesvormen;Deltagebied (TR);2004;676.7;436.9;239.9;2788.3;1786.5;1001.8
67;Totaal logiesvormen;Deltagebied (TR);2005;627.3;401.0;226.4;2743.4;1768.0;975.5
68;Totaal logiesvormen;Deltagebied (TR);2006;714.2;474.6;239.6;2902.1;1860.3;1041.8
69;Totaal logiesvormen;Deltagebied (TR);2007;822.5;547.7;274.8;3334.6;2162.9;1171.7
70;Totaal logiesvormen;Deltagebied (TR);2008;656.3;412.9;243.5;2701.1;1677.5;1023.6
71;Totaal logiesvormen;Deltagebied (TR);2009;669.1;448.8;220.2;2584.1;1683.8;900.3
72;Totaal logiesvormen;Deltagebied (TR);2010;706.1;478.3;227.9;2706.7;1767.7;939.0
73;Totaal logiesvormen;Deltagebied (TR);2011;733.0;457.5;275.5;2659.6;1521.1;1138.5
74;Totaal logiesvormen;Deltagebied (TR);2012;685.3;433.1;252.1;2331.2;1337.4;993.8
75;Totaal logiesvormen;Meren in Gron., Fr. en Noordw.-Ov. (TR);1998;421.8;331.1;90.6;1347.1;1036.0;311.0
76;Totaal logiesvormen;Meren in Gron., Fr. en Noordw.-Ov. (TR);1999;414.1;320.8;93.3;1358.9;1057.2;301.7
77;Totaal logiesvormen;Meren in Gron., Fr. en Noordw.-Ov. (TR);2000;355.3;282.4;72.9;1149.2;910.9;238.3
78;Totaal logiesvormen;Meren in Gron., Fr. en Noordw.-Ov. (TR);2001;471.9;374.0;98.0;1635.5;1283.1;352.3
79;Totaal logiesvormen;Meren in Gron., Fr. en Noordw.-Ov. (TR);2002;387.1;306.1;81.0;1271.8;985.6;286.2
80;Totaal logiesvormen;Meren in Gron., Fr. en Noordw.-Ov. (TR);2003;477.8;375.8;102.0;1475.9;1184.2;291.7
81;Totaal logiesvormen;Meren in Gron., Fr. en Noordw.-Ov. (TR);2004;435.3;342.7;92.5;1338.9;1076.8;262.2
82;Totaal logiesvormen;Meren in Gron., Fr. en Noordw.-Ov. (TR);2005;430.0;335.0;95.0;1399.6;1111.5;288.1
83;Totaal logiesvormen;Meren in Gron., Fr. en Noordw.-Ov. (TR);2006;467.7;375.0;92.7;1542.3;1257.2;285.1
84;Totaal logiesvormen;Meren in Gron., Fr. en Noordw.-Ov. (TR);2007;470.8;385.3;85.5;1326.2;1116.6;209.6
85;Totaal logiesvormen;Meren in Gron., Fr. en Noordw.-Ov. (TR);2008;489.9;418.8;71.1;1504.5;1299.4;205.1
86;Totaal logiesvormen;Meren in Gron., Fr. en Noordw.-Ov. (TR);2009;508.0;433.2;74.8;1582.9;1325.8;257.1
87;Totaal logiesvormen;Meren in Gron., Fr. en Noordw.-Ov. (TR);2010;469.9;396.2;73.8;1437.1;1196.1;241.0
88;Totaal logiesvormen;Meren in Gron., Fr. en Noordw.-Ov. (TR);2011;427.0;332.3;94.7;1156.8;914.5;242.2
89;Totaal logiesvormen;Meren in Gron., Fr. en Noordw.-Ov. (TR);2012;375.5;321.9;53.6;983.0;827.1;155.9
90;Totaal logiesvormen;Hollands-Utrechtse meren (TR);1998;263.7;130.9;132.8;549.3;267.3;282.0
91;Totaal logiesvormen;Hollands-Utrechtse meren (TR);1999;252.3;119.7;132.7;511.1;225.8;285.3
92;Totaal logiesvormen;Hollands-Utrechtse meren (TR);2000;286.4;139.6;146.8;601.0;274.0;327.0
93;Totaal logiesvormen;Hollands-Utrechtse meren (TR);2001;255.9;132.9;123.0;512.6;254.6;258.0
94;Totaal logiesvormen;Hollands-Utrechtse meren (TR);2002;260.4;142.5;118.0;525.3;306.7;218.6
95;Totaal logiesvormen;Hollands-Utrechtse meren (TR);2003;142.7;100.6;42.1;325.8;236.9;88.8
96;Totaal logiesvormen;Hollands-Utrechtse meren (TR);2004;149.9;94.4;55.6;326.0;213.7;112.4
97;Totaal logiesvormen;Hollands-Utrechtse meren (TR);2005;147.4;89.0;58.4;290.6;182.9;107.6
98;Totaal logiesvormen;Hollands-Utrechtse meren (TR);2006;190.1;116.3;73.8;344.9;220.3;124.6
99;Totaal logiesvormen;Hollands-Utrechtse meren (TR);2007;156.0;89.0;67.0;258.5;143.8;114.7
100;Totaal logiesvormen;Hollands-Utrechtse meren (TR);2008;150.7;92.7;58.0;282.4;176.1;106.3
101;Totaal logiesvormen;Hollands-Utrechtse meren (TR);2009;146.4;89.6;56.8;296.7;192.1;104.6
102;Totaal logiesvormen;Hollands-Utrechtse meren (TR);2010;111.2;61.7;49.5;243.8;166.8;77.1
103;Totaal logiesvormen;Hollands-Utrechtse meren (TR);2011;209.0;145.5;63.5;391.6;285.6;106.1
104;Totaal logiesvormen;Hollands-Utrechtse meren (TR);2012;172.3;117.2;55.0;323.2;227.7;95.5
105;Totaal logiesvormen;Utrechtse Heuvelrug en 't Gooi (TR);1998;483.3;364.3;119.0;1414.8;1152.4;262.5
106;Totaal logiesvormen;Utrechtse Heuvelrug en 't Gooi (TR);1999;524.9;402.1;122.8;1537.5;1209.0;328.4
107;Totaal logiesvormen;Utrechtse Heuvelrug en 't Gooi (TR);2000;505.5;382.3;123.2;1402.2;1103.1;299.1
108;Totaal logiesvormen;Utrechtse Heuvelrug en 't Gooi (TR);2001;479.4;347.3;132.0;1374.1;1069.4;304.7
109;Totaal logiesvormen;Utrechtse Heuvelrug en 't Gooi (TR);2002;494.7;369.3;125.3;1462.9;1179.8;283.1
110;Totaal logiesvormen;Utrechtse Heuvelrug en 't Gooi (TR);2003;447.0;357.8;89.2;1263.4;1042.2;221.2
111;Totaal logiesvormen;Utrechtse Heuvelrug en 't Gooi (TR);2004;519.7;415.6;104.1;1316.5;1094.3;222.1
112;Totaal logiesvormen;Utrechtse Heuvelrug en 't Gooi (TR);2005;590.4;450.2;140.2;1697.0;1398.3;298.7
113;Totaal logiesvormen;Utrechtse Heuvelrug en 't Gooi (TR);2006;622.4;479.3;143.1;1653.2;1368.6;284.6
114;Totaal logiesvormen;Utrechtse Heuvelrug en 't Gooi (TR);2007;640.0;493.4;146.6;1694.6;1394.2;300.4
115;Totaal logiesvormen;Utrechtse Heuvelrug en 't Gooi (TR);2008;693.4;574.1;119.3;1682.6;1416.9;265.7
