ID;Kenmerken;Perioden;TotaalHoeveelheidSlibAfgevoerd_1;LandbouwBodem_2;DiervoedersDestructiebedrijven_3;Composteren_4;Storten_5;Verbranden_6;OverigeBestemmingen_7;TotaalDrogeStofAfgevoerd_8;LandbouwBodem_9;DiervoedersDestructiebedrijven_10;Composteren_11;Storten_12;Verbranden_13;OverigeBestemmingen_14
54;C Industrie;1996;989797;414510;121400;57651;227345;77614;91279;217301;35515;17980;2857;110485;22049;28416
55;C Industrie;1997;831419;328490;133135;11959;190355;34176;133304;185972;27161;14014;2050;92841;3632;46275
56;C Industrie;1998;749315;231292;130497;9131;110244;100453;167697;173577;26274;16249;1166;43001;33498;53390
57;C Industrie;1999;724176;236152;104057;15684;111301;137052;119931;179396;25550;12453;2307;44230;45714;49143
58;C Industrie;2000;941251;301022;142655;7033;88181;175975;226385;185487;36127;20261;1109;25923;43674;58393
59;C Industrie;2001;923546;314484;115620;37297;64895;173772;217478;167313;27886;20601;9093;19543;46324;43866
60;C Industrie;2002;1088107;371358;102167;47734;109360;180145;277343;196086;38375;17531;9356;21060;42096;67669
61;C Industrie;2003;956280;309872;76432;37299;96586;137709;298383;171616;33696;11613;9761;16838;33372;66336
62;C Industrie;2004;921847;270673;32342;64984;59846;151373;342630;161537;26945;6511;14121;10488;30998;72474
63;C Industrie;2005;846050;317879;40098;49804;54515;135890;247864;149112;33223;6465;8325;10408;27297;63394
64;C Industrie;2006;689676;212580;26839;69182;23293;114651;243131;132835;25656;4079;8502;8947;29703;55950
65;C Industrie;2007;777103;214531;33063;89014;42490;123042;274963;156396;20466;4443;12204;16365;27747;75171
66;C Industrie;2008;1057131;233534;43459;72358;92473;179671;435636;136977;19903;6084;9623;11206;27120;63040
67;C Industrie;2009;941164;186308;37144;64996;97362;176153;379201;129611;17135;5198;9032;10655;26601;60991
68;D-E Energievoorziening en afvalbeheer;1993;56322;0;0;0;37171;19151;0;15570;0;0;0;12414;3156;0
69;D-E Energievoorziening en afvalbeheer;1994;65337;0;0;992;40993;23352;0;17331;0;0;59;13701;3571;0
70;D-E Energievoorziening en afvalbeheer;1995;67423;0;0;1015;48183;18225;0;18002;0;0;60;15135;2807;0
71;D-E Energievoorziening en afvalbeheer;1996;74841;0;0;1015;50526;21773;1527;20611;0;0;60;16853;3492;206
72;D-E Energievoorziening en afvalbeheer;1997;66458;0;0;1411;40202;24682;163;18417;0;0;82;14293;3974;68
73;D-E Energievoorziening en afvalbeheer;1998;68955;0;0;1411;55479;9036;3029;24341;0;0;82;21280;1810;1169
74;D-E Energievoorziening en afvalbeheer;1999;50760;0;0;0;34004;12182;4574;16297;0;0;0;11993;2739;1565
75;D-E Energievoorziening en afvalbeheer;2000;50211;0;0;0;35467;10481;4263;17108;0;0;0;13306;2344;1458
76;D-E Energievoorziening en afvalbeheer;2001;42965;0;0;55;35506;4773;2631;17085;0;0;33;14669;1130;1253
77;D-E Energievoorziening en afvalbeheer;2002;72129;0;0;10465;27522;33642;500;17245;0;0;5093;7832;4071;250
78;D-E Energievoorziening en afvalbeheer;2003;91737;0;0;465;21895;54781;14596;18301;0;0;93;8019;2966;7224
79;D-E Energievoorziening en afvalbeheer;2004;87519;0;0;465;16473;56985;13595;18492;0;0;93;7366;4985;6049
80;D-E Energievoorziening en afvalbeheer;2005;79255;0;0;787;11860;45501;21107;19892;0;0;157;6194;2874;10667
81;D-E Energievoorziening en afvalbeheer;2006;63555;0;0;3215;13845;24908;21587;22624;0;0;638;8244;3087;10656
82;D-E Energievoorziening en afvalbeheer;2007;56009;0;0;3537;16484;13504;22484;23384;0;0;678;9516;2517;10674
83;D-E Energievoorziening en afvalbeheer;2008;83743;0;0;3152;16853;9522;54216;33056;0;0;624;8569;1562;22302
84;D-E Energievoorziening en afvalbeheer;2009;88105;159;0;2426;22360;6692;56469;36192;48;0;525;10966;1074;23580
85;F Bouwnijverheid;1993;0;0;0;0;0;0;0;0;0;0;0;0;0;0
86;F Bouwnijverheid;1994;200;0;0;0;200;0;0;100;0;0;0;100;0;0
87;F Bouwnijverheid;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88;F Bouwnijverheid;1996;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;F Bouwnijverheid;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;F Bouwnijverheid;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0
91;F Bouwnijverheid;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0
92;F Bouwnijverheid;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93;F Bouwnijverheid;2001;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94;F Bouwnijverheid;2002;0;0;0;0;0;0;0;0;0;0;0;0;0;0
95;F Bouwnijverheid;2003;0;0;0;0;0;0;0;0;0;0;0;0;0;0
96;F Bouwnijverheid;2004;0;0;0;0;0;0;0;0;0;0;0;0;0;0
97;F Bouwnijverheid;2005;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;F Bouwnijverheid;2006;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;F Bouwnijverheid;2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100;F Bouwnijverheid;2008;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;F Bouwnijverheid;2009;964;0;0;0;0;0;964;58;0;0;0;0;0;58
102;G-U Dienstverlening;1993;11925;6100;0;3662;334;1240;589;1324;415;0;172;115;426;196
103;G-U Dienstverlening;1994;11269;5900;0;0;3671;1656;42;1162;405;0;0;245;510;2
104;G-U Dienstverlening;1995;12761;5362;0;0;279;1870;5250;1195;345;0;0;116;523;210
105;G-U Dienstverlening;1996;19051;1500;6639;0;2912;7400;599;3385;75;930;0;1561;787;33
106;G-U Dienstverlening;1997;15909;0;6882;0;2779;5745;503;3860;0;964;0;1342;1531;23
107;G-U Dienstverlening;1998;18191;215;6386;0;6248;4912;430;4721;97;894;0;2620;1095;15
108;G-U Dienstverlening;1999;15689;296;6322;0;2680;3768;2623;2571;18;885;0;634;587;447
109;G-U Dienstverlening;2000;18723;0;7655;0;541;4766;5761;3155;0;1072;0;160;862;1061
110;G-U Dienstverlening;2001;22414;2475;7800;145;628;6808;4559;3680;124;1092;20;216;1574;654
111;G-U Dienstverlening;2002;21828;892;8000;300;4641;4253;3743;4299;36;1120;42;1506;1040;555
112;G-U Dienstverlening;2003;30543;5273;8711;256;3802;2753;9748;6574;707;1220;36;1274;1219;2118
113;G-U Dienstverlening;2004;32563;4000;8000;0;6878;2448;11238;7358;800;1120;0;2016;1269;2153
114;G-U Dienstverlening;2005;29286;5497;7800;1667;5631;4114;4578;5648;480;1014;367;1710;1378;699
115;G-U Dienstverlening;2006;18986;110;0;0;12173;6479;224;5289;6;0;0;3959;1309;16
116;G-U Dienstverlening;2007;9150;110;0;0;1915;5780;1345;2259;6;0;0;651;1247;356
117;G-U Dienstverlening;2008;16003;0;0;0;111;8031;7862;2640;0;0;0;40;1153;1447
118;G-U Dienstverlening;2009;15906;0;0;0;2391;2792;10723;3524;0;0;0;157;708;2660
119;10-12 Voedings-, genotmiddelenind.;1993;669545;439832;88690;100484;12241;80;28218;48182;23017;16133;4630;4074;32;295
120;10-12 Voedings-, genotmiddelenind.;1994;605152;423598;76556;80093;11836;0;13069;44727;20840;13078;6227;3550;0;1033
121;10-12 Voedings-, genotmiddelenind.;1995;540618;325278;90059;28976;28404;5912;61990;39886;16314;13458;3717;4177;209;2010
122;10-12 Voedings-, genotmiddelenind.;1996;534908;299593;118502;57651;19424;3156;36583;44582;18773;17201;2857;3257;678;1817
123;10-12 Voedings-, genotmiddelenind.;1997;457003;251029;130566;10312;21624;2025;41448;37781;16547;13474;1331;3203;494;2732
124;10-12 Voedings-, genotmiddelenind.;1998;406273;181752;127191;9098;5413;13218;69601;40388;16078;15579;1164;834;2351;4382
125;10-12 Voedings-, genotmiddelenind.;1999;368043;178931;102675;15614;17850;19417;33556;38741;15346;12287;2306;3742;2790;2271
126;10-12 Voedings-, genotmiddelenind.;2000;627784;269262;141243;4772;30178;49281;133048;64284;26852;19783;626;4013;5048;7962
127;10-12 Voedings-, genotmiddelenind.;2001;640958;289350;115513;33857;21398;40974;139867;65931;20707;20563;8357;3192;4707;8405
128;10-12 Voedings-, genotmiddelenind.;2002;724413;312343;101876;43676;56562;71204;138752;69380;23479;17429;8416;5301;8157;6600
129;10-12 Voedings-, genotmiddelenind.;2003;612378;260315;76247;33507;51527;40904;149879;59524;20526;11548;8420;4103;4692;10235
130;10-12 Voedings-, genotmiddelenind.;2004;586047;238491;32342;59577;40159;47164;168314;53190;17718;6511;12007;1700;6408;8847
131;10-12 Voedings-, genotmiddelenind.;2005;548567;280849;40098;49804;31206;45185;101425;50683;22365;6465;8325;1149;4556;7823
132;10-12 Voedings-, genotmiddelenind.;2006;429353;175241;26839;69182;1873;32329;123889;45488;15785;4079;8502;307;5239;11576
133;10-12 Voedings-, genotmiddelenind.;2007;490809;178470;33063;86575;11520;25661;155521;46366;10104;4443;11748;1516;3726;14829
134;10-12 Voedings-, genotmiddelenind.;2008;734037;198939;43459;72119;10878;67535;341106;66580;12044;6084;9558;1405;9231;28258
135;10-12 Voedings-, genotmiddelenind.;2009;601123;156748;37144;58557;15131;66618;266926;57780;11032;5198;8574;1594;6362;25021
136;13-15 Textiel-, kleding-, lederindustrie;1993;18505;0;0;0;17506;999;0;5361;0;0;0;4787;574;0
137;13-15 Textiel-, kleding-, lederindustrie;1994;13438;0;0;0;12805;633;0;4294;0;0;0;3940;354;0
138;13-15 Textiel-, kleding-, lederindustrie;1995;7305;0;0;0;6657;648;0;2333;0;0;0;1954;379;0
139;13-15 Textiel-, kleding-, lederindustrie;1996;8353;0;0;0;7635;719;0;2701;0;0;0;2286;415;0
140;13-15 Textiel-, kleding-, lederindustrie;1997;6666;0;0;0;6030;637;0;2229;0;0;0;1905;323;0
141;13-15 Textiel-, kleding-, lederindustrie;1998;10280;0;0;0;9657;623;0;3445;0;0;0;3156;289;0
142;13-15 Textiel-, kleding-, lederindustrie;1999;11794;0;0;0;11216;578;0;4170;0;0;0;3899;271;0
143;13-15 Textiel-, kleding-, lederindustrie;2000;10193;0;0;0;9725;443;25;3681;0;0;0;3490;190;1
144;13-15 Textiel-, kleding-, lederindustrie;2001;15531;0;0;0;14777;564;190;5565;0;0;0;5224;286;55
145;13-15 Textiel-, kleding-, lederindustrie;2002;11490;0;0;0;10809;456;226;3912;0;0;0;3625;221;66
146;13-15 Textiel-, kleding-, lederindustrie;2003;11995;0;0;0;8193;384;3418;3352;0;0;0;2926;190;236
147;13-15 Textiel-, kleding-, lederindustrie;2004;9145;0;0;0;5325;529;3291;2269;0;0;0;1822;267;181
148;13-15 Textiel-, kleding-, lederindustrie;2005;11211;0;0;0;7438;584;3189;2751;0;0;0;2271;290;190
149;13-15 Textiel-, kleding-, lederindustrie;2006;9547;0;0;0;7529;299;1719;2980;0;0;0;2389;144;447
150;13-15 Textiel-, kleding-, lederindustrie;2007;12084;0;0;0;10398;815;870;4400;0;0;0;3730;450;221
151;13-15 Textiel-, kleding-, lederindustrie;2008;9682;0;0;0;8988;655;39;3084;0;0;0;2771;305;7
152;13-15 Textiel-, kleding-, lederindustrie;2009;7270;0;0;0;6430;679;162;2242;0;0;0;1858;326;58
153;16-18 Hout- en papierindustrie;1993;223194;3064;0;0;159927;35426;24777;91585;1228;0;0;66257;14141;9959
154;16-18 Hout- en papierindustrie;1994;216168;3760;0;285;155593;35326;21204;93744;1514;0;63;69582;14101;8485
155;16-18 Hout- en papierindustrie;1995;204724;15709;2;0;124295;50278;14440;98623;8379;1;0;59305;20094;10844
156;16-18 Hout- en papierindustrie;1996;201298;19134;0;0;108605;40773;32786;101073;8896;0;0;55247;16294;20637
157;16-18 Hout- en papierindustrie;1997;127387;9632;0;1614;46804;283;69053;65406;4273;0;717;25498;122;34797
158;16-18 Hout- en papierindustrie;1998;84474;10199;59;0;7528;35266;31422;46974;4353;21;0;6379;15855;20366
159;16-18 Hout- en papierindustrie;1999;103850;9770;59;0;3575;54074;36373;56429;3742;21;0;1910;26038;24718
160;16-18 Hout- en papierindustrie;2000;109702;7771;122;0;2816;60434;38559;56649;2992;43;0;1452;25571;26591
161;16-18 Hout- en papierindustrie;2001;106568;6934;108;0;4507;65536;29483;51482;2411;38;0;1189;31105;16739
162;16-18 Hout- en papierindustrie;2002;132571;5879;291;1418;7002;50857;67123;56349;1479;102;465;1102;22791;30410
163;16-18 Hout- en papierindustrie;2003;129234;1787;185;3792;1891;45276;76303;51241;947;65;1341;329;20235;28325
164;16-18 Hout- en papierindustrie;2004;141653;3839;0;5407;570;31762;100076;53233;1696;0;2114;248;14293;34882
165;16-18 Hout- en papierindustrie;2005;112430;3269;0;0;2764;28323;78074;45632;1249;0;0;692;12417;31274
166;16-18 Hout- en papierindustrie;2006;73179;3645;0;0;598;17873;51064;32616;1259;0;0;236;10531;20590
167;16-18 Hout- en papierindustrie;2007;81153;3002;0;2439;789;23999;50924;49222;1121;0;456;368;10771;36506
168;16-18 Hout- en papierindustrie;2008;66935;0;0;239;399;7890;58407;25623;0;0;65;181;443;24934
169;16-18 Hout- en papierindustrie;2009;60673;0;0;200;336;562;59575;21296;0;0;90;165;250;20790
170;19-21 Raffinaderijen en chemie;1993;220768;135398;1564;12984;43133;27004;685;44607;15003;515;2821;17112;8779;376
171;19-21 Raffinaderijen en chemie;1994;151269;81254;810;2781;42635;22233;1556;37487;13898;380;1512;17558;3980;160
172;19-21 Raffinaderijen en chemie;1995;129972;20563;3422;0;75399;27782;2806;41348;1417;812;0;34740;3931;448
173;19-21 Raffinaderijen en chemie;1996;134598;33633;2015;0;61302;29824;7824;41383;2098;557;0;31755;4075;2899
174;19-21 Raffinaderijen en chemie;1997;128918;12988;1750;33;76463;21922;15761;48110;1219;350;2;39962;2147;4430
175;19-21 Raffinaderijen en chemie;1998;145800;3340;2000;33;32466;49956;58005;52666;1199;400;2;12688;14410;23966
176;19-21 Raffinaderijen en chemie;1999;137644;11451;1323;70;19970;61662;43168;43959;1818;146;1;7801;16099;18095
177;19-21 Raffinaderijen en chemie;2000;147248;15879;1290;2261;15976;64985;46856;40821;2026;436;483;6044;12589;19244
178;19-21 Raffinaderijen en chemie;2001;120218;8894;0;3440;12084;57546;38254;29512;1807;0;736;4108;9657;13204
179;19-21 Raffinaderijen en chemie;2002;175062;43023;0;2639;11420;56074;61906;48795;7926;0;475;4864;10230;25300
180;19-21 Raffinaderijen en chemie;2003;154267;32882;0;0;7758;50519;63109;42510;6498;0;0;3414;8009;24589
181;19-21 Raffinaderijen en chemie;2004;145414;22036;0;0;3650;70816;48912;35126;3999;0;0;1791;9508;19828
182;19-21 Raffinaderijen en chemie;2005;137118;28037;0;0;3895;61230;43956;34636;6438;0;0;1919;9790;16490
183;19-21 Raffinaderijen en chemie;2006;144293;28530;0;0;5509;58382;51872;33696;5823;0;0;2340;12146;13388
184;19-21 Raffinaderijen en chemie;2007;147385;25330;0;0;4531;64651;52874;32187;5144;0;0;2351;11093;13599
185;19-21 Raffinaderijen en chemie;2008;167728;34595;0;0;6384;100616;26133;33211;7859;0;0;3275;15358;6720
186;19-21 Raffinaderijen en chemie;2009;182854;29560;0;6238;6332;103692;37033;36919;6103;0;368;3264;16387;10797
187;22-23 Kunststof-, bouwmateriaalindustrie;1993;8419;0;0;0;3932;325;4162;4362;0;0;0;962;112;3288
188;22-23 Kunststof-, bouwmateriaalindustrie;1994;5442;0;0;0;665;163;4614;3901;0;0;0;256;58;3587
189;22-23 Kunststof-, bouwmateriaalindustrie;1995;7275;0;0;0;2843;107;4324;4237;0;0;0;869;39;3329
190;22-23 Kunststof-, bouwmateriaalindustrie;1996;6606;0;0;0;4028;42;2535;3924;0;0;0;1952;29;1943
191;22-23 Kunststof-, bouwmateriaalindustrie;1997;9521;0;0;0;5246;45;4230;4913;0;0;0;1695;29;3189
192;22-23 Kunststof-, bouwmateriaalindustrie;1998;7051;0;0;0;2368;12;4671;4250;0;0;0;856;1;3392
193;22-23 Kunststof-, bouwmateriaalindustrie;1999;26155;0;0;0;21640;10;4505;16328;0;0;0;12961;1;3366
194;22-23 Kunststof-, bouwmateriaalindustrie;2000;5701;0;0;0;1296;10;4395;3567;0;0;0;409;1;3158
195;22-23 Kunststof-, bouwmateriaalindustrie;2001;6844;0;0;0;1593;0;5251;4318;0;0;0;514;0;3804
196;22-23 Kunststof-, bouwmateriaalindustrie;2002;7450;0;0;0;2694;0;4756;4241;0;0;0;813;0;3428
197;22-23 Kunststof-, bouwmateriaalindustrie;2003;3795;0;0;0;2388;0;1407;1713;0;0;0;734;0;979
198;22-23 Kunststof-, bouwmateriaalindustrie;2004;13017;0;0;0;2599;9;10410;9047;0;0;0;1303;3;7741
199;22-23 Kunststof-, bouwmateriaalindustrie;2005;11814;0;0;0;3364;41;8409;7799;0;0;0;1539;21;6239
200;22-23 Kunststof-, bouwmateriaalindustrie;2006;12589;0;0;0;1472;1676;9442;8871;0;0;0;564;1217;7091
201;22-23 Kunststof-, bouwmateriaalindustrie;2007;13332;0;0;0;1030;3046;9255;8665;0;0;0;351;1374;6941
202;22-23 Kunststof-, bouwmateriaalindustrie;2008;7006;0;0;0;2206;15;4784;2974;0;0;0;657;1;2316
203;22-23 Kunststof-, bouwmateriaalindustrie;2009;5546;0;0;0;2567;15;2965;1239;0;0;0;1098;1;140
204;24 Basismetaalindustrie;1993;44307;0;0;0;44204;37;66;6256;0;0;0;6216;16;24
205;24 Basismetaalindustrie;1994;23022;0;0;0;22954;4;64;2049;0;0;0;2024;1;24
206;24 Basismetaalindustrie;1995;16052;0;0;0;13514;2508;30;6933;0;0;0;6694;227;12
207;24 Basismetaalindustrie;1996;22713;0;0;0;20176;2508;30;13273;0;0;0;13034;227;12
208;24 Basismetaalindustrie;1997;19367;0;0;0;19342;0;25;12774;0;0;0;12764;0;10
209;24 Basismetaalindustrie;1998;22350;0;0;0;21005;38;1308;13653;0;0;0;13346;17;291
210;24 Basismetaalindustrie;1999;14154;0;0;0;12808;38;1308;8285;0;0;0;7978;17;291
211;24 Basismetaalindustrie;2000;12227;0;0;0;10677;27;1523;7396;0;0;0;6553;12;832
212;24 Basismetaalindustrie;2001;2704;0;0;0;1150;0;1554;1130;0;0;0;396;0;734
213;24 Basismetaalindustrie;2002;2257;0;0;0;733;0;1524;1033;0;0;0;300;0;733
214;24 Basismetaalindustrie;2003;2086;0;0;0;662;0;1424;1093;0;0;0;262;0;831
215;24 Basismetaalindustrie;2004;3473;0;0;0;2383;0;1089;1723;0;0;0;1375;0;348
216;24 Basismetaalindustrie;2005;3378;0;0;0;1775;0;1603;1298;0;0;0;1038;0;260
217;24 Basismetaalindustrie;2006;3480;0;0;0;1912;0;1568;1284;0;0;0;1086;0;198
218;24 Basismetaalindustrie;2007;2338;0;0;0;347;0;1991;656;0;0;0;216;0;440
219;24 Basismetaalindustrie;2008;2643;0;0;0;376;0;2267;696;0;0;0;230;0;466
220;24 Basismetaalindustrie;2009;1775;0;0;0;192;0;1583;441;0;0;0;117;0;325
221;25-30 Metaalelektro-industrie;1993;6853;0;0;0;5048;39;1766;2834;0;0;0;2292;22;520
222;25-30 Metaalelektro-industrie;1994;6836;8;0;0;4606;226;1996;2650;3;0;0;1987;106;554
223;25-30 Metaalelektro-industrie;1995;8391;0;0;0;5454;415;2523;3637;0;0;0;2670;239;728
224;25-30 Metaalelektro-industrie;1996;8199;0;0;0;5452;466;2281;3870;0;0;0;2833;254;783
225;25-30 Metaalelektro-industrie;1997;16145;0;0;0;13000;359;2786;8824;0;0;0;7524;184;1116
226;25-30 Metaalelektro-industrie;1998;23053;0;0;0;19117;1245;2691;6711;0;0;0;5209;509;993
227;25-30 Metaalelektro-industrie;1999;21951;0;0;0;19753;1178;1020;6230;0;0;0;5395;433;402
228;25-30 Metaalelektro-industrie;2000;9415;0;0;0;7358;782;1275;4443;0;0;0;3692;258;493
229;25-30 Metaalelektro-industrie;2001;12926;0;0;0;9371;1087;2468;6135;0;0;0;4914;362;859
230;25-30 Metaalelektro-industrie;2002;14321;0;0;0;9711;1554;3056;6612;0;0;0;4784;698;1131
231;25-30 Metaalelektro-industrie;2003;12899;0;0;0;9429;627;2844;6078;0;0;0;4690;248;1140
232;25-30 Metaalelektro-industrie;2004;7282;0;0;0;5145;1094;1043;3172;0;0;0;2241;520;411
233;25-30 Metaalelektro-industrie;2005;6299;0;0;0;4058;529;1711;2897;0;0;0;1791;224;882
234;25-30 Metaalelektro-industrie;2006;8740;0;0;0;4378;785;3578;5002;0;0;0;2013;329;2661
235;25-30 Metaalelektro-industrie;2007;17892;0;0;0;13853;510;3529;10672;0;0;0;7821;216;2635
236;25-30 Metaalelektro-industrie;2008;69045;0;0;0;63196;2949;2899;4766;0;0;0;2648;1778;340
237;25-30 Metaalelektro-industrie;2009;81843;0;0;0;66305;4579;10959;9628;0;0;0;2497;3271;3860
238;31-33 Overige industrie en reparatie;1993;27195;17300;0;0;1128;49;8718;2780;2076;0;0;196;39;468
239;31-33 Overige industrie en reparatie;1994;31882;20000;0;0;1408;53;10421;3180;2500;0;0;250;42;387
240;31-33 Overige industrie en reparatie;1995;42054;29678;0;0;917;68;11391;3795;3235;0;0;158;54;349
241;31-33 Overige industrie en reparatie;1996;73122;62150;883;0;724;125;9240;6496;5749;222;0;122;78;326
242;31-33 Overige industrie en reparatie;1997;66412;54841;819;0;1846;8904;3;5936;5122;190;0;290;333;1
243;31-33 Overige industrie en reparatie;1998;50033;36000;1247;0;12691;95;0;5491;4644;249;0;533;65;0
244;31-33 Overige industrie en reparatie;1999;40586;36000;0;0;4490;96;1;5254;4644;0;0;544;65;1
245;31-33 Overige industrie en reparatie;2000;18982;8110;0;0;10155;13;703;4647;4258;0;0;270;6;113
246;31-33 Overige industrie en reparatie;2001;17797;9306;0;0;14;8066;411;3241;2962;0;0;6;206;66
247;31-33 Overige industrie en reparatie;2002;20543;10113;0;0;10430;0;0;5764;5491;0;0;273;0;0
