ID;Kenmerken;Perioden;TotaalHoeveelheidSlibAfgevoerd_1;LandbouwBodem_2;DiervoedersDestructiebedrijven_3;Composteren_4;Storten_5;Verbranden_6;OverigeBestemmingen_7;TotaalDrogeStofAfgevoerd_8;LandbouwBodem_9;DiervoedersDestructiebedrijven_10;Composteren_11;Storten_12;Verbranden_13;OverigeBestemmingen_14
0;Totaal;1993;1287033;601694;90254;117130;324624;84350;68981;222860;41740;16648;7623;114425;27297;15127
1;Totaal;1994;1130015;534520;77366;84151;297366;83646;52966;210624;39160;13457;7860;113193;22722;14232
2;Totaal;1995;1036574;396590;93483;29991;305945;107811;102754;219988;29690;14271;3777;125819;28501;17929
3;Totaal;1996;1087328;419650;128039;58666;280783;106787;93405;241588;35881;18909;2917;128899;26328;28655
4;Totaal;1997;913786;328490;140017;13370;233336;64603;133970;208249;27161;14977;2132;108476;9137;46366
5;Totaal;1998;836460;231507;136883;10542;171971;114402;171156;202639;26371;17143;1248;66900;36403;54574
6;Totaal;1999;790625;236448;110379;15684;147985;153002;127127;198263;25568;13338;2307;56856;49040;51154
7;Totaal;2000;1010185;301022;150310;7033;124189;191222;236409;205750;36127;21333;1109;39389;46880;60912
8;Totaal;2001;988925;316959;123420;37497;101029;185352;224668;188079;28010;21693;9146;34428;49028;45773
9;Totaal;2002;1182064;372250;110167;58499;141522;218040;281586;217629;38411;18651;14491;30397;47206;68474
10;Totaal;2003;1078560;315145;85143;38019;122283;195243;322726;196491;34402;12833;9890;26131;37558;75678
11;Totaal;2004;1041929;274673;40342;65449;83197;210806;367462;187388;27745;7631;14214;19869;37252;80676
12;Totaal;2005;954591;323376;47898;52257;72006;185505;273549;174651;33703;7479;8849;18312;31549;74760
13;Totaal;2006;772217;212690;26839;72397;49312;146037;264941;160748;25661;4079;9139;21149;34099;66621
14;Totaal;2007;842262;214641;33063;92551;60889;142326;298793;182039;20471;4443;12882;26532;31511;86200
15;Totaal;2008;1156877;233534;43459;75509;109437;197223;497714;172673;19903;6084;10247;19815;29835;86789
16;Totaal;2009;1046138;186467;37144;67421;122112;185638;447356;169386;17182;5198;9557;21777;28382;87289
17;A Landbouw, bosbouw en visserij;1993;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;A Landbouw, bosbouw en visserij;1994;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;A Landbouw, bosbouw en visserij;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;A Landbouw, bosbouw en visserij;1996;3640;3640;0;0;0;0;0;291;291;0;0;0;0;0
21;A Landbouw, bosbouw en visserij;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;A Landbouw, bosbouw en visserij;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;A Landbouw, bosbouw en visserij;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;A Landbouw, bosbouw en visserij;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;A Landbouw, bosbouw en visserij;2001;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;A Landbouw, bosbouw en visserij;2002;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;A Landbouw, bosbouw en visserij;2003;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;A Landbouw, bosbouw en visserij;2004;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;A Landbouw, bosbouw en visserij;2005;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;A Landbouw, bosbouw en visserij;2006;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;A Landbouw, bosbouw en visserij;2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;A Landbouw, bosbouw en visserij;2008;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;A Landbouw, bosbouw en visserij;2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;B Delfstoffenwinning;1993;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;B Delfstoffenwinning;1994;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;B Delfstoffenwinning;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;B Delfstoffenwinning;1996;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;B Delfstoffenwinning;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;B Delfstoffenwinning;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;B Delfstoffenwinning;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;B Delfstoffenwinning;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;B Delfstoffenwinning;2001;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;B Delfstoffenwinning;2002;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44;B Delfstoffenwinning;2003;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;B Delfstoffenwinning;2004;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;B Delfstoffenwinning;2005;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;B Delfstoffenwinning;2006;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;B Delfstoffenwinning;2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;B Delfstoffenwinning;2008;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;B Delfstoffenwinning;2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;C Industrie;1993;1218786;595594;90254;113468;287119;63959;68392;205966;41325;16648;7451;101896;23715;14930
52;C Industrie;1994;1053209;528620;77366;83159;252502;58638;52924;192032;38755;13457;7802;99147;18642;14230
53;C Industrie;1995;956390;391228;93483;28976;257483;87716;97504;200792;29345;14271;3717;110568;25171;17719
