ID;ForecastInterval;Periods;TotalPopulation_1;k_0To20Years_2;k_20To65Years_3;k_65YearsAndOlder_4;k_0To20Years_5;k_20To65Years_6;k_65YearsAndOlder_7;TotalPressure_8;GreenPressure_9;GreyPressure_10;LiveBirths_11;TotalFertilityRate_12;Deaths_13;Total_14;Men_15;Women_16;Total_17;Men_18;Women_19;Immigration_20;EmigrationInclNetAdmCorr_21;NetMigrationInclNetAdmCorr_22
24;Forecast;2038;17960838.0;3889633.0;9345470.0;4725736.0;21.7;52.0;26.3;92.2;41.6;50.6;186194.0;1.75;191005.0;85.26;83.89;86.62;22.28;21.27;23.27;185109.0;168031.0;17078.0
25;Forecast;2039;17973106.0;3892000.0;9337387.0;4743720.0;21.7;52.0;26.4;92.5;41.7;50.8;185080.0;1.75;192532.0;85.42;84.04;86.78;22.4;21.39;23.4;185185.0;168135.0;17050.0
26;Forecast;2040;17982704.0;3891472.0;9338732.0;4752501.0;21.6;51.9;26.4;92.6;41.7;50.9;184095.0;1.75;193879.0;85.58;84.19;86.95;22.52;21.5;23.54;185273.0;168239.0;17034.0
27;Forecast;2041;17989956.0;3888835.0;9349634.0;4751487.0;21.6;52.0;26.4;92.4;41.6;50.8;183276.0;1.75;195043.0;85.74;84.35;87.11;22.65;21.62;23.66;185309.0;168361.0;16948.0
28;Forecast;2042;17995136.0;3884185.0;9363275.0;4747677.0;21.6;52.0;26.4;92.2;41.5;50.7;182669.0;1.75;196025.0;85.89;84.5;87.27;22.77;21.73;23.79;185374.0;168489.0;16885.0
29;Forecast;2043;17998666.0;3877785.0;9380438.0;4740443.0;21.5;52.1;26.3;91.9;41.3;50.5;182312.0;1.75;196843.0;86.05;84.65;87.43;22.89;21.85;23.92;185432.0;168653.0;16779.0
30;Forecast;2044;18000914.0;3870004.0;9396536.0;4734374.0;21.5;52.2;26.3;91.6;41.2;50.4;182230.0;1.75;197496.0;86.2;84.8;87.59;23.01;21.96;24.05;185504.0;168808.0;16696.0
31;Forecast;2045;18002344.0;3861419.0;9414152.0;4726772.0;21.4;52.3;26.3;91.2;41.0;50.2;182429.0;1.75;198037.0;86.35;84.94;87.74;23.12;22.07;24.17;185592.0;168963.0;16629.0
32;Forecast;2046;18003364.0;3852502.0;9426859.0;4724004.0;21.4;52.4;26.2;91.0;40.9;50.1;182888.0;1.75;198489.0;86.5;85.09;87.9;23.24;22.19;24.29;185698.0;169129.0;16569.0
33;Forecast;2047;18004332.0;3843559.0;9442893.0;4717880.0;21.3;52.4;26.2;90.7;40.7;50.0;183561.0;1.75;198947.0;86.65;85.24;88.05;23.36;22.3;24.41;185745.0;169295.0;16450.0
34;Forecast;2048;18005396.0;3834898.0;9464346.0;4706151.0;21.3;52.6;26.1;90.2;40.5;49.7;184397.0;1.75;199447.0;86.8;85.38;88.2;23.48;22.41;24.53;185850.0;169468.0;16382.0
