ID;Taakvelden;Jaren;Investeringen_1;TotaalKosten_2;Personeelskosten_3;TotaalKapitaallasten_4;Rente_5;Afschrijving_6;GesubsidieerdeKapitaallasten_7;Huren_8;Onderhoud_9;BelastingenEnVerzekeringen_10;EnergieEnWater_11;Chemicalien_12;Slibverwerking_13;Overig_14;TotaleKostenPerIEOntwerp_15;TotaleKostenPerIEAangevoerd_16;TotaleKostenPerIEGezuiverd_17
0;Totaal taakvelden;1981;124;250;29;162;90;42;29;0;15;0;30;3;10;2;12.0;17.0;20.0
1;Totaal taakvelden;1982;203;286;32;184;103;46;35;0;16;1;35;4;12;3;;;
2;Totaal taakvelden;1983;226;316;34;205;113;51;41;0;18;1;35;4;14;4;;;
3;Totaal taakvelden;1984;145;327;33;211;112;55;44;0;18;1;37;4;16;7;;;
4;Totaal taakvelden;1985;221;367;35;237;126;66;45;0;19;1;40;5;22;7;16.0;24.0;26.0
5;Totaal taakvelden;1986;148;373;37;244;127;73;44;0;21;1;32;5;24;7;;;
6;Totaal taakvelden;1987;263;390;39;252;126;81;45;0;25;1;32;6;29;6;;;
7;Totaal taakvelden;1988;171;431;42;282;129;103;51;0;26;1;32;7;35;6;;;
8;Totaal taakvelden;1989;189;446;39;292;139;93;59;0;27;1;33;8;42;6;;;
9;Totaal taakvelden;1990;206;479;43;305;144;99;62;0;31;1;34;9;50;6;20.0;27.0;29.0
10;Totaal taakvelden;1991;129;513;44;316;146;107;62;0;36;1;35;11;61;9;21.0;29.0;31.0
11;Totaal taakvelden;1992;229;558;48;343;151;131;61;0;40;1;36;13;66;12;23.0;32.0;33.0
12;Totaal taakvelden;1993;222;589;48;350;152;140;58;0;40;1;38;15;83;13;24.0;33.0;35.0
13;Totaal taakvelden;1994;233;613;52;343;149;135;59;0;41;1;41;14;107;14;25.0;34.0;36.0
14;Totaal taakvelden;1995;336;650;50;360;154;147;59;0;42;2;44;21;116;16;27.0;39.0;40.0
15;Totaal taakvelden;1996;426;689;53;368;150;162;56;22;41;2;45;25;113;20;28.0;39.0;41.0
16;Totaal taakvelden;1997;197;677;52;355;143;159;53;28;41;1;51;24;104;21;27.0;37.0;38.0
17;Totaal taakvelden;1998;232;692;56;353;139;161;53;40;40;1;51;25;103;22;28.0;39.0;41.0
