ID;AantalMaatwerkvoorzieningen;RegioS;Perioden;ClientenMetMaatwerkvoorzieningen_1;HuishoudensMetMaatwerkvoorzieningen_2;ClientenMetMaatwerkvoorzieningen_3;HuishoudensMetMaatwerkvoorzieningen_4
0;Totaal;Aa en Hunze;1e halfjaar 2024;1695.0;1530.0;66.0;129.0
1;Totaal;Aalsmeer;1e halfjaar 2024;1795.0;1645.0;54.0;111.0
2;Totaal;Aalten;1e halfjaar 2024;1945.0;1845.0;71.0;151.0
3;Totaal;Achtkarspelen;1e halfjaar 2024;1575.0;1490.0;56.0;120.0
4;Totaal;Alblasserdam;1e halfjaar 2024;1330.0;1250.0;66.0;144.0
5;Totaal;Albrandswaard;1e halfjaar 2024;1380.0;1245.0;52.0;111.0
6;Totaal;Alkmaar;1e halfjaar 2024;7065.0;6705.0;63.0;121.0
7;Totaal;Almelo;1e halfjaar 2024;5275.0;4975.0;71.0;142.0
8;Totaal;Almere;1e halfjaar 2024;8765.0;8380.0;39.0;85.0
9;Totaal;Alphen aan den Rijn;1e halfjaar 2024;3945.0;3780.0;34.0;72.0
10;Totaal;Alphen-Chaam;1e halfjaar 2024;580.0;535.0;55.0;118.0
11;Totaal;Altena;1e halfjaar 2024;3365.0;3105.0;58.0;126.0
12;Totaal;Ameland;1e halfjaar 2024;240.0;215.0;62.0;112.0
13;Totaal;Amersfoort;1e halfjaar 2024;9990.0;9125.0;62.0;122.0
14;Totaal;Amstelveen;1e halfjaar 2024;1060.0;1045.0;11.0;23.0
15;Totaal;Amsterdam;1e halfjaar 2024;64170.0;59450.0;69.0;114.0
16;Totaal;Apeldoorn;1e halfjaar 2024;13340.0;12375.0;79.0;155.0
17;Totaal;Arnhem;1e halfjaar 2024;12410.0;11770.0;74.0;133.0
18;Totaal;Assen;1e halfjaar 2024;5510.0;5215.0;79.0;152.0
19;Totaal;Asten;1e halfjaar 2024;1060.0;970.0;61.0;126.0
20;Totaal;Baarle-Nassau;1e halfjaar 2024;500.0;470.0;71.0;142.0
21;Totaal;Baarn;1e halfjaar 2024;1915.0;1735.0;76.0;142.0
22;Totaal;Barendrecht;1e halfjaar 2024;2750.0;2515.0;56.0;125.0
23;Totaal;Barneveld;1e halfjaar 2024;2685.0;2545.0;43.0;103.0
24;Totaal;Beek (L.);1e halfjaar 2024;1070.0;985.0;66.0;127.0
25;Totaal;Beekdaelen;1e halfjaar 2024;2560.0;2390.0;71.0;142.0
26;Totaal;Beesel;1e halfjaar 2024;930.0;870.0;70.0;142.0
