ID;Opdrachtgever;Functies;Perioden;TotaalGemaakteKostenGWW_1;KleinOnderhoud_2;Kapitaalswerken_3;TotaalInEigenBeheer_4;KleinOnderhoud_5;Kapitaalswerken_6;TotaalUitbesteed_7;KleinOnderhoud_8;Kapitaalswerken_9
0;Totaal opdrachtgevers;Totaal functies;1989 1e kwartaal;1098;337;761;403;196;208;695;142;553
1;Totaal opdrachtgevers;Totaal functies;1989 2e kwartaal;1452;436;1015;486;227;260;965;210;756
2;Totaal opdrachtgevers;Totaal functies;1989 3e kwartaal;1581;482;1098;496;250;245;1085;232;853
3;Totaal opdrachtgevers;Totaal functies;1989 4e kwartaal;1820;510;1310;500;235;265;1320;275;1045
4;Totaal opdrachtgevers;Totaal functies;1989;5950;1766;4185;1886;908;978;4064;858;3206
5;Totaal opdrachtgevers;Totaal functies;1990 1e kwartaal;1217;370;847;439;214;226;777;156;622
6;Totaal opdrachtgevers;Totaal functies;1990 2e kwartaal;1527;480;1046;489;253;236;1038;227;811
7;Totaal opdrachtgevers;Totaal functies;1990 3e kwartaal;1644;494;1149;496;238;259;1147;256;891
8;Totaal opdrachtgevers;Totaal functies;1990 4e kwartaal;2009;588;1421;575;268;307;1434;320;1114
9;Totaal opdrachtgevers;Totaal functies;1990;6396;1932;4464;2000;973;1027;4396;959;3437
10;Totaal opdrachtgevers;Totaal functies;1991 1e kwartaal;1170;387;783;429;216;213;741;171;570
11;Totaal opdrachtgevers;Totaal functies;1991 2e kwartaal;1759;488;1271;570;242;328;1189;247;943
12;Totaal opdrachtgevers;Totaal functies;1991 3e kwartaal;1731;530;1200;556;241;316;1174;290;885
13;Totaal opdrachtgevers;Totaal functies;1991 4e kwartaal;2018;604;1414;552;245;307;1465;358;1106
14;Totaal opdrachtgevers;Totaal functies;1991;6677;2009;4668;2108;944;1164;4570;1065;3504
15;Totaal opdrachtgevers;Totaal functies;1992 1e kwartaal;1328;400;928;480;226;253;849;173;675
16;Totaal opdrachtgevers;Totaal functies;1992 2e kwartaal;1693;473;1219;549;244;305;1144;229;914
17;Totaal opdrachtgevers;Totaal functies;1992 3e kwartaal;1772;523;1248;544;250;294;1227;273;954
18;Totaal opdrachtgevers;Totaal functies;1992 4e kwartaal;2274;652;1621;611;274;338;1663;379;1284
19;Totaal opdrachtgevers;Totaal functies;1992;7066;2049;5017;2184;994;1190;4882;1055;3828
20;Totaal opdrachtgevers;Totaal functies;1993 1e kwartaal;1389;433;955;487;244;243;901;189;712
21;Totaal opdrachtgevers;Totaal functies;1993 2e kwartaal;1793;525;1268;585;269;317;1208;256;951
22;Totaal opdrachtgevers;Totaal functies;1993 3e kwartaal;2011;581;1430;621;281;340;1391;300;1090
23;Totaal opdrachtgevers;Totaal functies;1993 4e kwartaal;2385;714;1670;645;297;348;1740;417;1323
24;Totaal opdrachtgevers;Totaal functies;1993;7577;2254;5324;2338;1091;1247;5239;1163;4076
25;Totaal opdrachtgevers;Totaal functies;1994 1e kwartaal;1389;447;942;506;250;256;883;197;685
26;Totaal opdrachtgevers;Totaal functies;1994 2e kwartaal;1825;542;1283;569;262;306;1257;280;977
27;Totaal opdrachtgevers;Totaal functies;1994 3e kwartaal;1927;596;1331;584;266;318;1343;329;1013
28;Totaal opdrachtgevers;Totaal functies;1994 4e kwartaal;2351;754;1597;623;308;316;1728;447;1281
29;Totaal opdrachtgevers;Totaal functies;1994;7492;2340;5153;2283;1087;1196;5210;1253;3957
30;Totaal opdrachtgevers;Totaal functies;1995 1e kwartaal;1438;461;977;460;229;231;977;232;746
31;Totaal opdrachtgevers;Totaal functies;1995 2e kwartaal;1758;560;1198;530;267;263;1228;293;935
32;Totaal opdrachtgevers;Totaal functies;1995 3e kwartaal;1908;597;1311;566;267;299;1342;330;1012
33;Totaal opdrachtgevers;Totaal functies;1995 4e kwartaal;2560;760;1800;673;285;389;1886;476;1411
34;Totaal opdrachtgevers;Totaal functies;1995;7663;2377;5286;2230;1048;1182;5434;1329;4104
35;Totaal opdrachtgevers;Totaal functies;1996 1e kwartaal;1380;444;936;421;212;209;959;232;727
36;Totaal opdrachtgevers;Totaal functies;1996 2e kwartaal;1964;574;1391;506;235;271;1459;339;1120
37;Totaal opdrachtgevers;Totaal functies;1996 3e kwartaal;2031;596;1434;514;233;280;1517;363;1154
38;Totaal opdrachtgevers;Totaal functies;1996 4e kwartaal;2611;789;1822;601;277;324;2010;512;1498
39;Totaal opdrachtgevers;Totaal functies;1996;7987;2404;5583;2041;957;1084;5945;1446;4500
40;Totaal opdrachtgevers;Totaal functies;1997 1e kwartaal;1388;470;918;346;180;167;1041;290;751
41;Totaal opdrachtgevers;Totaal functies;1997 2e kwartaal;2083;647;1437;521;231;290;1562;416;1146
42;Totaal opdrachtgevers;Totaal functies;1997 3e kwartaal;2112;718;1394;504;252;252;1609;466;1142
43;Totaal opdrachtgevers;Totaal functies;1997 4e kwartaal;2423;714;1709;610;243;367;1814;471;1343
44;Totaal opdrachtgevers;Totaal functies;1997;8006;2548;5458;1981;905;1075;6025;1643;4382
45;Totaal opdrachtgevers;Totaal functies;1998 1e kwartaal;1404;409;995;301;151;150;1103;259;844
46;Totaal opdrachtgevers;Totaal functies;1998 2e kwartaal;1930;598;1332;460;214;246;1470;384;1086
47;Totaal opdrachtgevers;Totaal functies;1998 3e kwartaal;2114;682;1432;445;223;222;1669;459;1210
48;Totaal opdrachtgevers;Totaal functies;1998 4e kwartaal;2462;795;1667;551;228;324;1911;568;1343
49;Totaal opdrachtgevers;Totaal functies;1998;7910;2485;5425;1757;815;942;6153;1670;4483
50;Totaal opdrachtgevers;Totaal functies;1999 1e kwartaal;1538;443;1095;352;157;195;1186;286;899
51;Totaal opdrachtgevers;Totaal functies;1999 2e kwartaal;2076;603;1473;457;198;259;1619;406;1214
52;Totaal opdrachtgevers;Totaal functies;1999 3e kwartaal;2368;643;1725;521;217;304;1846;427;1420
53;Totaal opdrachtgevers;Totaal functies;1999 4e kwartaal;2870;796;2074;658;258;400;2212;539;1674
54;Totaal opdrachtgevers;Totaal functies;1999;8851;2486;6366;1988;829;1159;6864;1657;5207
55;Totaal opdrachtgevers;Totaal functies;2000 1e kwartaal;1574;464;1110;387;189;198;1187;275;912
56;Totaal opdrachtgevers;Totaal functies;2000 2e kwartaal;2295;654;1641;534;268;265;1762;386;1376
57;Totaal opdrachtgevers;Totaal functies;2000 3e kwartaal;2778;744;2034;481;224;256;2298;520;1778
58;Totaal opdrachtgevers;Totaal functies;2000 4e kwartaal;3271;1012;2259;721;305;415;2551;707;1844
59;Totaal opdrachtgevers;Totaal functies;2000;9919;2874;7044;2121;987;1134;7797;1887;5910
60;Totaal opdrachtgevers;Totaal functies;2001 1e kwartaal;1831;487;1343;397;157;240;1433;330;1103
