ID;TypeMaatwerkvoorziening;RegioS;Perioden;WmoClienten_1;WmoClientenPer1000Inwoners_2
0;Totaal;Aa en Hunze;1e halfjaar 2019;1430.0;56.0
1;Totaal;Aa en Hunze;2e halfjaar 2019;1475.0;58.0
2;Totaal;Aa en Hunze;2019;1605.0;63.0
3;Totaal;Aa en Hunze;1e halfjaar 2020;1715.0;67.0
4;Totaal;Aa en Hunze;2e halfjaar 2020;1725.0;68.0
5;Totaal;Aa en Hunze;2020;1865.0;73.0
6;Totaal;Aa en Hunze;1e halfjaar 2021;1755.0;69.0
7;Totaal;Aa en Hunze;2e halfjaar 2021;1775.0;70.0
8;Totaal;Aa en Hunze;2021;1935.0;76.0
9;Totaal;Aa en Hunze;1e halfjaar 2022;1780.0;70.0
10;Totaal;Aa en Hunze;2e halfjaar 2022;1795.0;70.0
11;Totaal;Aa en Hunze;2022;1925.0;75.0
12;Totaal;Aa en Hunze;1e halfjaar 2023;1775.0;69.0
13;Totaal;Aa en Hunze;2e halfjaar 2023;1745.0;68.0
14;Totaal;Aa en Hunze;2023;1875.0;73.0
15;Totaal;Aalsmeer;1e halfjaar 2019;;
16;Totaal;Aalsmeer;2e halfjaar 2019;;
17;Totaal;Aalsmeer;2019;;
18;Totaal;Aalsmeer;1e halfjaar 2020;;
19;Totaal;Aalsmeer;2e halfjaar 2020;;
20;Totaal;Aalsmeer;2020;;
21;Totaal;Aalsmeer;1e halfjaar 2021;;
22;Totaal;Aalsmeer;2e halfjaar 2021;;
23;Totaal;Aalsmeer;2021;;
24;Totaal;Aalsmeer;1e halfjaar 2022;;
25;Totaal;Aalsmeer;2e halfjaar 2022;;
26;Totaal;Aalsmeer;2022;;
27;Totaal;Aalsmeer;1e halfjaar 2023;1695.0;51.0
28;Totaal;Aalsmeer;2e halfjaar 2023;1800.0;54.0
29;Totaal;Aalsmeer;2023;1855.0;56.0
30;Totaal;Aalten;1e halfjaar 2019;1530.0;57.0
31;Totaal;Aalten;2e halfjaar 2019;1635.0;61.0
32;Totaal;Aalten;2019;1745.0;65.0
33;Totaal;Aalten;1e halfjaar 2020;2010.0;74.0
34;Totaal;Aalten;2e halfjaar 2020;2010.0;74.0
35;Totaal;Aalten;2020;2140.0;79.0
36;Totaal;Aalten;1e halfjaar 2021;1995.0;74.0
37;Totaal;Aalten;2e halfjaar 2021;1925.0;71.0
38;Totaal;Aalten;2021;2170.0;80.0
39;Totaal;Aalten;1e halfjaar 2022;1910.0;70.0
40;Totaal;Aalten;2e halfjaar 2022;1925.0;71.0
41;Totaal;Aalten;2022;2065.0;76.0
42;Totaal;Aalten;1e halfjaar 2023;1930.0;71.0
43;Totaal;Aalten;2e halfjaar 2023;1920.0;70.0
44;Totaal;Aalten;2023;2080.0;76.0
45;Totaal;Achtkarspelen;1e halfjaar 2019;1725.0;62.0
46;Totaal;Achtkarspelen;2e halfjaar 2019;1790.0;64.0
47;Totaal;Achtkarspelen;2019;1930.0;69.0
