ID;Geslacht;Persoonskenmerken;Perioden;WerkzameBeroepsbevolking_1;TotaalWerkzaamOpWoonadres_2;Thuiswerkers_3;WerkzaamInEigenWoning_4;WerkzaamMetThuisAlsUitvalsbasis_5;WerkzaamInAparteRuimteOfGrondstuk_6;VastWerkadres_7;GeenVastWerkadres_8;LiggingWerkadresOnbekend_9;k_0Tot8Kilometer_10;k_8Tot18Kilometer_11;k_18Tot32Kilometer_12;k_32KilometerEnMeer_13;ReisafstandOnbekend_14;Auto_15;Fiets_16;BusTramMetro_17;Trein_18;TeVoet_19;OverigVervoermiddel_20;OnbekendVervoermiddel_21
0;Mannen en vrouwen;1;1996;6185.0;407.0;;;;;4906.0;614.0;258.0;2205.0;1236.0;802.0;626.0;1316.0;2753.0;1381.0;244.0;232.0;170.0;255.0;1150.0
1;Mannen en vrouwen;1;1997;6384.0;410.0;;;;;5069.0;636.0;269.0;2257.0;1268.0;820.0;677.0;1362.0;2778.0;1453.0;253.0;252.0;177.0;282.0;1187.0
2;Mannen en vrouwen;1;1998;6587.0;392.0;;;;;5290.0;649.0;256.0;2356.0;1298.0;875.0;704.0;1354.0;2931.0;1456.0;279.0;261.0;180.0;292.0;1189.0
3;Mannen en vrouwen;1;1999;6768.0;389.0;;;;;5470.0;641.0;268.0;2448.0;1342.0;886.0;730.0;1362.0;3051.0;1471.0;299.0;270.0;190.0;304.0;1184.0
4;Mannen en vrouwen;1;2000;6917.0;425.0;;;;;5549.0;662.0;281.0;2538.0;1381.0;897.0;697.0;1404.0;3118.0;1471.0;308.0;297.0;198.0;298.0;1227.0
5;Mannen en vrouwen;1;2001 voor revisie;7021.0;397.0;;;;;5678.0;696.0;251.0;2546.0;1399.0;922.0;720.0;1434.0;3202.0;1477.0;307.0;289.0;200.0;311.0;1236.0
6;Mannen en vrouwen;1;2001 na revisie;6935.0;422.0;;;;;5558.0;701.0;254.0;2523.0;1370.0;892.0;691.0;1459.0;3118.0;1460.0;294.0;283.0;199.0;315.0;1266.0
7;Mannen en vrouwen;1;2002;7010.0;446.0;;;;;5575.0;732.0;257.0;2519.0;1365.0;881.0;690.0;1555.0;3149.0;1475.0;314.0;255.0;173.0;318.0;1326.0
8;Mannen en vrouwen;1;2003;6968.0;446.0;;;;;5550.0;714.0;258.0;2514.0;1361.0;875.0;673.0;1545.0;3102.0;1509.0;276.0;264.0;194.0;297.0;1326.0
9;Mannen en vrouwen;1;2004;6941.0;471.0;;;;;5518.0;706.0;247.0;2444.0;1342.0;883.0;699.0;1573.0;3115.0;1458.0;279.0;272.0;176.0;306.0;1336.0
10;Mannen en vrouwen;1;2005;6973.0;456.0;;;;;5530.0;724.0;263.0;2332.0;1375.0;908.0;742.0;1617.0;3128.0;1461.0;261.0;286.0;176.0;302.0;1360.0
