ID;SoortTeler;RegioS;Perioden;BoomteeltEnVastePlantenTotaal_1;GewassenTotaal_2;BosEnHaagplantsoen_3;LaanEnParkbomenTotaal_4;Onderstammen_5;Spillen_6;Opzetters_7;Rozenstruiken_8;Sierconiferen_9;SierheestersEnKlimplantenTotaal_10;Buxus_11;Ericaceae_12;TrekEnBesheester_13;OverigeSierheestersEnKlimplanten_14;VastePlanten_15;VruchtbomenTotaal_16;Moerbomen_17;Onderstammen_18;OverigeVruchtbomen_19;TeeltwijzeTotaal_20;TeeltInDeVolleGrond_21;TeeltInPottenEnContainers_22;OnderGlasTotaal_23;Vermeerdering_24;VolledigeTeeltOnderGlas_25;BoomteeltEnVastePlantenTotaal_26;GewassenTotaal_27;BosEnHaagplantsoen_28;LaanEnParkbomenTotaal_29;Onderstammen_30;Spillen_31;Opzetters_32;Rozenstruiken_33;Sierconiferen_34;SierheestersEnKlimplantenTotaal_35;Buxus_36;Ericaceae_37;TrekEnBesheester_38;OverigeSierheestersEnKlimplanten_39;VastePlanten_40;VruchtbomenTotaal_41;Moerbomen_42;Onderstammen_43;OverigeVruchtbomen_44;TeeltwijzeTotaal_45;TeeltInDeVolleGrond_46;TeeltInPottenEnContainers_47;OnderGlasTotaal_48;Vermeerdering_49;VolledigeTeeltOnderGlas_50
0;Alle soorten telers;Nederland;2000;13010.0;12641.0;2287.0;3158.0;;;;612.0;2340.0;1787.0;;;;;1207.0;1251.0;;;;12641.0;11666.0;975.0;369.0;182.0;187.0;5201.0;5037.0;1026.0;739.0;;;;347.0;1830.0;1978.0;;;;;1278.0;363.0;;;;5037.0;4585.0;1403.0;1442.0;1107.0;608.0
1;Alle soorten telers;Nederland;2001;13048.0;12672.0;2363.0;3241.0;;;;510.0;2448.0;2015.0;;;;;1076.0;1018.0;;;;12672.0;11628.0;1044.0;376.0;183.0;194.0;4915.0;4751.0;952.0;712.0;;;;283.0;1705.0;1941.0;;;;;1157.0;320.0;;;;4751.0;4331.0;1365.0;1360.0;1052.0;570.0
2;Alle soorten telers;Nederland;2002;13791.0;13401.0;2326.0;3482.0;;;;491.0;2650.0;1949.0;;;;;1289.0;1214.0;;;;13401.0;12365.0;1036.0;390.0;199.0;190.0;4820.0;4676.0;932.0;706.0;;;;263.0;1623.0;1822.0;;;;;1172.0;312.0;;;;4676.0;4235.0;1331.0;1312.0;1026.0;547.0
3;Alle soorten telers;Nederland;2003;13530.0;13151.0;2384.0;3457.0;;;;486.0;2547.0;1893.0;;;;;1255.0;1128.0;;;;13151.0;12217.0;934.0;379.0;175.0;204.0;4601.0;4447.0;892.0;689.0;;;;231.0;1524.0;1758.0;;;;;1108.0;272.0;;;;4447.0;4065.0;1208.0;1305.0;1013.0;558.0
4;Alle soorten telers;Nederland;2004;14145.0;13749.0;2300.0;3592.0;;;;463.0;2732.0;2134.0;;;;;1385.0;1145.0;;;;13749.0;12622.0;1128.0;395.0;173.0;222.0;4470.0;4306.0;854.0;678.0;;;;215.0;1431.0;1729.0;;;;;1069.0;259.0;;;;4306.0;3899.0;1276.0;1299.0;995.0;580.0
5;Alle soorten telers;Nederland;2005;15009.0;14576.0;2640.0;3735.0;;;;509.0;2941.0;2179.0;;;;;1315.0;1257.0;;;;14576.0;13519.0;1056.0;433.0;195.0;238.0;4324.0;4145.0;862.0;669.0;;;;202.0;1367.0;1654.0;;;;;997.0;232.0;;;;4145.0;3743.0;1267.0;1282.0;999.0;548.0
6;Alle soorten telers;Nederland;2006;15748.0;15346.0;2605.0;3828.0;377.0;1012.0;2439.0;651.0;2723.0;2842.0;1017.0;48.0;225.0;1552.0;1278.0;1418.0;262.0;197.0;960.0;15346.0;14305.0;1041.0;403.0;162.0;240.0;4268.0;4129.0;839.0;590.0;240.0;273.0;296.0;206.0;1308.0;1945.0;745.0;77.0;176.0;1362.0;855.0;287.0;61.0;78.0;199.0;4129.0;3765.0;1202.0;1140.0;864.0;548.0
7;Alle soorten telers;Nederland;2007;16600.0;16185.0;2904.0;4249.0;378.0;1030.0;2841.0;577.0;2698.0;3114.0;1361.0;61.0;252.0;1441.0;1248.0;1394.0;301.0;208.0;885.0;16185.0;15232.0;952.0;416.0;170.0;246.0;4165.0;4009.0;873.0;577.0;240.0;291.0;285.0;177.0;1192.0;1878.0;848.0;93.0;179.0;1200.0;806.0;274.0;62.0;82.0;180.0;4009.0;3670.0;1130.0;1087.0;813.0;528.0
8;Alle soorten telers;Nederland;2008;17125.0;16720.0;2889.0;4445.0;385.0;914.0;3146.0;547.0;3040.0;3245.0;1392.0;84.0;279.0;1490.0;1228.0;1326.0;245.0;207.0;873.0;16720.0;15922.0;798.0;405.0;173.0;232.0;4034.0;3900.0;810.0;564.0;220.0;280.0;308.0;165.0;1153.0;1771.0;814.0;111.0;213.0;1068.0;730.0;239.0;54.0;69.0;165.0;3900.0;3643.0;913.0;957.0;722.0;467.0
9;Alle soorten telers;Nederland;2009;17572.0;17139.0;2760.0;4535.0;479.0;1055.0;3002.0;543.0;3151.0;3396.0;1482.0;99.0;234.0;1581.0;1298.0;1456.0;274.0;246.0;936.0;17139.0;16372.0;768.0;432.0;138.0;294.0;3897.0;3741.0;719.0;554.0;240.0;284.0;282.0;149.0;1096.0;1726.0;827.0;124.0;182.0;1049.0;728.0;221.0;51.0;72.0;142.0;3741.0;3538.0;719.0;910.0;638.0;499.0
10;Alle soorten telers;Noord-Nederland (LD);2000;605.0;593.0;193.0;41.0;;;;44.0;149.0;75.0;;;;;70.0;20.0;;;;593.0;553.0;39.0;12.0;7.0;5.0;284.0;275.0;71.0;37.0;;;;29.0;118.0;114.0;;;;;82.0;19.0;;;;275.0;247.0;81.0;61.0;49.0;29.0
11;Alle soorten telers;Noord-Nederland (LD);2001;642.0;634.0;171.0;39.0;;;;22.0;184.0;123.0;;;;;77.0;19.0;;;;634.0;587.0;48.0;8.0;3.0;4.0;257.0;249.0;66.0;34.0;;;;20.0;119.0;120.0;;;;;63.0;20.0;;;;249.0;225.0;76.0;56.0;45.0;24.0
12;Alle soorten telers;Noord-Nederland (LD);2002;604.0;595.0;159.0;37.0;;;;12.0;179.0;109.0;;;;;82.0;17.0;;;;595.0;549.0;46.0;9.0;6.0;3.0;232.0;228.0;62.0;32.0;;;;13.0;110.0;92.0;;;;;67.0;19.0;;;;228.0;199.0;74.0;49.0;39.0;22.0
