ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudensMet52WekenInkomen_1;PercentageHuishMetEenLaagInkomen_2
0;Nederland;Totaal particulier huishouden;6542.5;9.3
1;Nederland;Eenpersoonshuishouden;2075.1;13.7
2;Nederland;Paar zonder kinderen;2000.0;4.3
3;Nederland;Paar met kinderen;1892.4;6.3
4;Nederland;Eenoudergezin;320.3;30.7
5;Noord-Nederland (LD);Totaal particulier huishouden;684.4;9.8
6;Noord-Nederland (LD);Eenpersoonshuishouden;209.8;14.5
7;Noord-Nederland (LD);Paar zonder kinderen;229.3;4.8
8;Noord-Nederland (LD);Paar met kinderen;196.2;7.3
9;Noord-Nederland (LD);Eenoudergezin;26.8;34.5
10;Oost-Nederland (LD);Totaal particulier huishouden;1310.8;8.6
11;Oost-Nederland (LD);Eenpersoonshuishouden;366.5;13.0
12;Oost-Nederland (LD);Paar zonder kinderen;407.8;4.5
13;Oost-Nederland (LD);Paar met kinderen;424.8;6.2
14;Oost-Nederland (LD);Eenoudergezin;56.4;28.7
15;West-Nederland (LD);Totaal particulier huishouden;3142.9;9.8
16;West-Nederland (LD);Eenpersoonshuishouden;1107.0;13.8
17;West-Nederland (LD);Paar zonder kinderen;903.6;4.0
18;West-Nederland (LD);Paar met kinderen;833.8;6.5
19;West-Nederland (LD);Eenoudergezin;175.2;31.1
20;Zuid-Nederland (LD);Totaal particulier huishouden;1404.3;8.6
21;Zuid-Nederland (LD);Eenpersoonshuishouden;391.8;13.5
22;Zuid-Nederland (LD);Paar zonder kinderen;459.3;4.6
23;Zuid-Nederland (LD);Paar met kinderen;437.6;5.6
24;Zuid-Nederland (LD);Eenoudergezin;61.9;29.5
25;Groningen (PV);Totaal particulier huishouden;235.2;11.2
26;Groningen (PV);Eenpersoonshuishouden;80.7;16.0
27;Groningen (PV);Paar zonder kinderen;76.7;5.2
28;Groningen (PV);Paar met kinderen;60.3;7.7
29;Groningen (PV);Eenoudergezin;9.7;38.8
30;Friesland (PV);Totaal particulier huishouden;256.8;9.7
31;Friesland (PV);Eenpersoonshuishouden;77.2;14.5
32;Friesland (PV);Paar zonder kinderen;85.4;4.9
33;Friesland (PV);Paar met kinderen;76.6;7.2
34;Friesland (PV);Eenoudergezin;9.9;32.1
35;Drenthe (PV);Totaal particulier huishouden;192.4;8.4
36;Drenthe (PV);Eenpersoonshuishouden;51.9;12.2
37;Drenthe (PV);Paar zonder kinderen;67.2;4.2
38;Drenthe (PV);Paar met kinderen;59.3;6.8
39;Drenthe (PV);Eenoudergezin;7.2;31.7
40;Overijssel (PV);Totaal particulier huishouden;422.7;9.2
41;Overijssel (PV);Eenpersoonshuishouden;118.6;13.4
42;Overijssel (PV);Paar zonder kinderen;132.3;5.1
43;Overijssel (PV);Paar met kinderen;136.9;7.0
44;Overijssel (PV);Eenoudergezin;17.0;29.7
45;Flevoland (PV);Totaal particulier huishouden;131.5;9.5
46;Flevoland (PV);Eenpersoonshuishouden;33.0;14.1
47;Flevoland (PV);Paar zonder kinderen;38.3;3.8
48;Flevoland (PV);Paar met kinderen;46.6;7.0
49;Flevoland (PV);Eenoudergezin;7.7;32.7
50;Gelderland (PV);Totaal particulier huishouden;756.6;8.2
51;Gelderland (PV);Eenpersoonshuishouden;214.9;12.6
52;Gelderland (PV);Paar zonder kinderen;237.2;4.3
53;Gelderland (PV);Paar met kinderen;241.3;5.6
54;Gelderland (PV);Eenoudergezin;31.8;27.2
55;Utrecht (PV);Totaal particulier huishouden;461.4;7.8
56;Utrecht (PV);Eenpersoonshuishouden;152.0;11.5
57;Utrecht (PV);Paar zonder kinderen;136.1;3.4
58;Utrecht (PV);Paar met kinderen;135.3;5.6
59;Utrecht (PV);Eenoudergezin;20.3;25.8
60;Noord-Holland (PV);Totaal particulier huishouden;1106.7;10.4
61;Noord-Holland (PV);Eenpersoonshuishouden;419.9;14.5
62;Noord-Holland (PV);Paar zonder kinderen;306.8;4.0
63;Noord-Holland (PV);Paar met kinderen;270.9;6.8
64;Noord-Holland (PV);Eenoudergezin;65.5;30.9
65;Zuid-Holland (PV);Totaal particulier huishouden;1420.8;10.2
66;Zuid-Holland (PV);Eenpersoonshuishouden;489.4;14.1
67;Zuid-Holland (PV);Paar zonder kinderen;407.9;4.1
68;Zuid-Holland (PV);Paar met kinderen;383.0;6.8
69;Zuid-Holland (PV);Eenoudergezin;83.4;32.6
70;Zeeland (PV);Totaal particulier huishouden;154.0;8.1
71;Zeeland (PV);Eenpersoonshuishouden;45.7;13.0
72;Zeeland (PV);Paar zonder kinderen;52.9;3.8
73;Zeeland (PV);Paar met kinderen;44.7;5.3
74;Zeeland (PV);Eenoudergezin;6.0;30.6
75;Noord-Brabant (PV);Totaal particulier huishouden;944.7;8.1
76;Noord-Brabant (PV);Eenpersoonshuishouden;259.3;12.6
77;Noord-Brabant (PV);Paar zonder kinderen;308.4;4.2
78;Noord-Brabant (PV);Paar met kinderen;300.3;5.5
79;Noord-Brabant (PV);Eenoudergezin;40.2;28.8
80;Limburg (PV);Totaal particulier huishouden;459.6;9.7
81;Limburg (PV);Eenpersoonshuishouden;132.4;15.1
82;Limburg (PV);Paar zonder kinderen;150.9;5.3
83;Limburg (PV);Paar met kinderen;137.3;6.0
84;Limburg (PV);Eenoudergezin;21.6;30.8
85;Oost-Groningen (CR);Totaal particulier huishouden;64.2;10.4
86;Oost-Groningen (CR);Eenpersoonshuishouden;18.2;14.5
87;Oost-Groningen (CR);Paar zonder kinderen;22.8;6.5
88;Oost-Groningen (CR);Paar met kinderen;18.5;7.8
89;Oost-Groningen (CR);Eenoudergezin;2.5;35.8
90;Delfzijl en omgeving (CR);Totaal particulier huishouden;21.8;10.8
91;Delfzijl en omgeving (CR);Eenpersoonshuishouden;6.4;14.5
92;Delfzijl en omgeving (CR);Paar zonder kinderen;7.6;4.8
93;Delfzijl en omgeving (CR);Paar met kinderen;6.1;9.4
94;Delfzijl en omgeving (CR);Eenoudergezin;0.9;43.3
95;Overig Groningen (CR);Totaal particulier huishouden;149.1;11.6
96;Overig Groningen (CR);Eenpersoonshuishouden;56.1;16.7
97;Overig Groningen (CR);Paar zonder kinderen;46.3;4.7
98;Overig Groningen (CR);Paar met kinderen;35.8;7.4
99;Overig Groningen (CR);Eenoudergezin;6.3;39.4
100;Noord-Friesland (CR);Totaal particulier huishouden;132.2;10.0
101;Noord-Friesland (CR);Eenpersoonshuishouden;41.3;15.3
102;Noord-Friesland (CR);Paar zonder kinderen;42.6;4.9
103;Noord-Friesland (CR);Paar met kinderen;39.1;7.1
104;Noord-Friesland (CR);Eenoudergezin;5.2;32.0
105;Zuidwest-Friesland (CR);Totaal particulier huishouden;42.0;10.0
106;Zuidwest-Friesland (CR);Eenpersoonshuishouden;12.2;14.9
107;Zuidwest-Friesland (CR);Paar zonder kinderen;14.2;5.1
108;Zuidwest-Friesland (CR);Paar met kinderen;12.8;8.1
109;Zuidwest-Friesland (CR);Eenoudergezin;1.5;34.0
110;Zuidoost-Friesland (CR);Totaal particulier huishouden;82.7;8.9
111;Zuidoost-Friesland (CR);Eenpersoonshuishouden;23.7;13.0
112;Zuidoost-Friesland (CR);Paar zonder kinderen;28.5;4.7
113;Zuidoost-Friesland (CR);Paar met kinderen;24.8;7.0
114;Zuidoost-Friesland (CR);Eenoudergezin;3.2;31.5
115;Noord-Drenthe (CR);Totaal particulier huishouden;73.6;8.1
116;Noord-Drenthe (CR);Eenpersoonshuishouden;20.4;12.5
117;Noord-Drenthe (CR);Paar zonder kinderen;26.1;3.5
118;Noord-Drenthe (CR);Paar met kinderen;22.2;6.7
119;Noord-Drenthe (CR);Eenoudergezin;2.7;30.3
120;Zuidoost-Drenthe (CR);Totaal particulier huishouden;68.4;9.2
121;Zuidoost-Drenthe (CR);Eenpersoonshuishouden;17.7;13.2
122;Zuidoost-Drenthe (CR);Paar zonder kinderen;24.0;5.0
123;Zuidoost-Drenthe (CR);Paar met kinderen;21.2;7.3
124;Zuidoost-Drenthe (CR);Eenoudergezin;2.7;34.5
125;Zuidwest-Drenthe (CR);Totaal particulier huishouden;50.4;7.6
126;Zuidwest-Drenthe (CR);Eenpersoonshuishouden;13.7;10.4
127;Zuidwest-Drenthe (CR);Paar zonder kinderen;17.2;4.2
128;Zuidwest-Drenthe (CR);Paar met kinderen;15.8;6.3
129;Zuidwest-Drenthe (CR);Eenoudergezin;1.9;30.0
130;Noord-Overijssel (CR);Totaal particulier huishouden;129.5;8.3
131;Noord-Overijssel (CR);Eenpersoonshuishouden;36.3;12.2
132;Noord-Overijssel (CR);Paar zonder kinderen;39.8;4.5
133;Noord-Overijssel (CR);Paar met kinderen;43.8;6.6
134;Noord-Overijssel (CR);Eenoudergezin;5.0;26.2
135;Zuidwest-Overijssel (CR);Totaal particulier huishouden;57.5;9.0
136;Zuidwest-Overijssel (CR);Eenpersoonshuishouden;16.8;13.1
137;Zuidwest-Overijssel (CR);Paar zonder kinderen;18.3;4.3
138;Zuidwest-Overijssel (CR);Paar met kinderen;17.7;6.9
139;Zuidwest-Overijssel (CR);Eenoudergezin;2.2;30.9
140;Twente (CR);Totaal particulier huishouden;235.7;9.7
141;Twente (CR);Eenpersoonshuishouden;65.4;14.1
142;Twente (CR);Paar zonder kinderen;74.2;5.6
143;Twente (CR);Paar met kinderen;75.4;7.2
144;Twente (CR);Eenoudergezin;9.8;31.3
145;Veluwe (CR);Totaal particulier huishouden;239.8;7.4
146;Veluwe (CR);Eenpersoonshuishouden;65.3;11.5
147;Veluwe (CR);Paar zonder kinderen;73.5;3.8
148;Veluwe (CR);Paar met kinderen;80.9;5.4
149;Veluwe (CR);Eenoudergezin;10.0;24.7
150;Achterhoek (CR);Totaal particulier huishouden;149.1;8.0
151;Achterhoek (CR);Eenpersoonshuishouden;38.4;11.9
152;Achterhoek (CR);Paar zonder kinderen;49.9;4.6
153;Achterhoek (CR);Paar met kinderen;48.3;6.0
154;Achterhoek (CR);Eenoudergezin;5.4;28.2
155;Arnhem/Nijmegen (CR);Totaal particulier huishouden;282.4;9.2
156;Arnhem/Nijmegen (CR);Eenpersoonshuishouden;91.1;13.9
157;Arnhem/Nijmegen (CR);Paar zonder kinderen;87.8;4.6
158;Arnhem/Nijmegen (CR);Paar met kinderen;80.0;5.8
159;Arnhem/Nijmegen (CR);Eenoudergezin;12.8;29.4
