ID;Perioden;TotaalGemiddeldeBaanzoekduur_1;TotaalAvoOnderbouwVMBoEnMbo1_2;AvoOnderbouw_3;VMBoEnMbo1Economisch_4;VMBoEnMbo1Technisch_5;VMBoEnMbo1Verzorgend_6;TotaalHavoVwoMboInclOverige_7;HavoVwo_8;Mbo24Economisch_9;Mbo24Technisch_10;Mbo24Verzorgend_11;TotaalHboInclOverige_12;HboEconomisch_13;HboTechnisch_14;HboVerzorgend_15;TotaalWoInclOverige_16;WoEconomisch_17;WoTechnisch_18;WoVerzorgend_19
0;1991;7.0;5.2;9.9;4.1;4.1;5.5;7.2;7.7;7.9;5.8;7.5;8.3;6.1;10.9;8.7;;;;
1;1992;6.4;5.7;6.9;4.3;8.6;4.6;6.5;5.2;7.9;5.8;5.8;7.5;7.4;7.5;7.5;;;;
2;1993;7.7;6.4;8.6;5.0;7.0;8.6;8.0;6.7;8.3;8.0;8.0;8.5;6.4;7.6;10.4;;;;
3;1994;8.9;8.7;11.4;6.4;12.7;9.3;8.8;11.4;9.9;8.2;7.3;8.6;7.9;7.2;9.8;10.5;8.5;10.1;12.2
4;1995;10.6;10.3;10.0;9.4;12.1;12.1;10.5;11.6;10.5;8.5;12.1;10.8;10.5;10.0;11.4;11.2;10.8;11.8;11.1
5;1996;8.2;7.5;8.0;6.3;10.1;8.1;8.2;10.1;7.6;7.4;9.6;7.7;7.1;7.6;8.5;9.4;8.9;10.2;9.4
6;1997;6.3;5.8;5.8;5.6;5.6;6.6;6.7;8.1;6.7;5.9;7.2;5.8;4.8;5.0;7.3;6.2;5.3;5.4;7.4
7;1998;5.7;5.4;6.7;3.9;8.2;6.2;5.8;8.7;5.3;4.6;6.4;5.3;4.2;4.5;6.5;6.6;6.7;6.0;6.7
8;1999;5.2;5.0;4.1;4.1;7.8;5.8;5.3;7.6;5.1;3.5;5.9;5.4;5.0;5.6;5.6;4.7;5.6;4.7;4.1
9;2000;4.9;4.8;7.1;4.0;6.3;3.8;5.3;6.0;5.8;3.9;5.7;4.6;4.3;3.8;5.1;4.8;5.0;4.1;4.6
10;2001;4.7;3.8;4.3;2.4;5.3;4.6;4.8;6.4;4.2;4.3;5.1;4.8;5.3;6.2;3.7;7.2;5.6;4.5;8.7
