ID;Financieringsbronnen;Perioden;TotaalUitgavenAanActiviteiten_1;Preventie_2;Opsporing_3;Vervolging_4;Berechting_5;Tenuitvoerlegging_6;OndersteuningVanSlachtoffers_7;OndersteuningVanVerdachtenEnDaders_8;RechtskundigeDienstverlening_9;Schadeloosstelling_10;OverigeActiviteiten_11;TotaalUitgavenAlleAanbieders_12;OpenbaarMinisterieEnRechtspraak_13;DienstJustitieleInrichtingen_14;Politie_15;OverigeAanbiedersMinisterieVanVenJ_16;Politie_17;OverigeMinisteriesVanBZK_18;BijzondereOpsporingsdiensten_19;Douane_20;OverigeAanbiedersOverigeMinisteries_21;Jeugdzorg_22;ProvinciesEnGemeenten_23;Verzekeraars_24;RechtskundigeDienstverleners_25;BeveiligingsEnOpsporingsbedrijven_26;VerkoopBeveiligingsmaterialen_27
0;Totaal financieringsbronnen;2002;8526.2;4036.0;2138.6;502.3;184.9;1283.6;26.0;348.8;;;5.9;8526.2;609.5;1184.3;;426.3;3207.7;69.0;147.3;228.5;141.2;25.8;183.5;;236.5;1247.0;819.6
1;Totaal financieringsbronnen;2003;9109.5;4320.9;2245.9;546.3;199.5;1398.0;28.0;366.1;;;4.8;9109.5;657.9;1289.8;;431.6;3386.4;80.8;147.4;269.6;147.5;28.8;205.4;;257.8;1404.0;802.5
2;Totaal financieringsbronnen;2004;9487.7;4431.4;2243.0;599.7;213.7;1585.9;32.0;376.8;;;5.1;9487.7;731.0;1452.9;;404.8;3489.0;90.0;144.8;276.4;147.8;34.8;267.0;;260.4;1343.0;845.8
3;Totaal financieringsbronnen;2005;9818.2;4678.4;2267.9;593.5;243.4;1595.2;34.0;400.3;;;5.3;9818.2;759.4;1457.0;;434.9;3509.3;110.0;145.2;297.5;146.9;37.7;355.7;;280.0;1425.0;859.6
4;Totaal financieringsbronnen;2006;10450.8;4936.1;2421.4;590.0;259.0;1709.3;35.7;493.7;;;5.5;10450.8;779.2;1555.4;;475.5;3722.3;135.8;147.1;306.5;165.6;49.7;388.4;;350.6;1521.0;853.7
5;Totaal financieringsbronnen;2007;11119.7;5262.2;2534.8;619.2;275.9;1853.3;41.8;526.4;;;6.2;11119.7;820.9;1694.5;;517.5;3863.2;177.2;147.5;298.2;195.8;47.6;412.7;;369.7;1657.0;918.0
6;Totaal financieringsbronnen;2008;12031.3;5645.2;2758.3;669.4;290.7;2047.1;44.2;569.7;;;6.7;12031.3;861.6;1862.2;;629.6;4194.7;178.1;145.6;301.7;186.0;53.4;483.1;;386.0;1788.0;961.4
7;Totaal financieringsbronnen;2009;12827.7;5966.1;2937.7;714.1;307.7;2199.5;45.1;650.6;;;6.8;12827.7;918.9;1994.9;;692.2;4504.0;192.6;146.4;304.2;206.3;57.9;561.2;;441.3;1888.0;919.9
8;Totaal financieringsbronnen;2010;12880.5;5952.1;2931.8;714.5;316.1;2259.9;43.4;655.9;;;6.7;12880.5;931.8;2046.2;;706.0;4489.8;193.5;158.2;328.2;216.1;60.2;607.6;;443.5;1852.1;847.1
9;Totaal financieringsbronnen;2011;12954.9;5961.7;2894.5;751.7;321.8;2295.3;46.4;676.6;;;7.0;12954.9;962.8;2107.5;4432.7;701.0;;200.0;148.2;315.9;205.2;62.9;595.0;;453.7;1898.4;871.4
10;Totaal financieringsbronnen;2012;13062.7;6022.5;2937.3;750.6;318.9;2272.2;50.1;704.0;;;7.1;13062.7;955.9;2106.7;4530.8;707.0;;201.7;157.7;311.4;206.2;66.7;576.8;;463.3;1940.2;838.5
11;Totaal financieringsbronnen;2013;12850.7;5828.2;2751.9;662.1;343.7;2499.4;53.5;707.7;;;4.2;12850.7;921.8;2333.2;4221.6;689.4;;195.2;163.4;327.4;179.7;65.1;569.6;;467.9;1915.8;800.6
