ID;BedrijfstakkenBranches;Perioden;OprichtingenVanBedrijvenTotaal_1;AlsVanBedrijvenInBedrijfstak_2;AlsVanBedrijvenInNederland_3;OpheffingenVanBedrijvenTotaal_4;AlsVanBedrijvenInBedrijfstak_5;AlsVanBedrijvenInNederland_6;SomVanOprichtingenEnOpheffingen_7;AlsVanBedrijvenInBedrijfstak_8;AlsVanBedrijvenInNederland_9
0;Bedrijfstakken, totaal;1987;32600;;7.5;17000;;3.9;49600;;11.4
1;Bedrijfstakken, totaal;1988;34700;;7.7;18200;;4.0;52900;;11.7
2;Bedrijfstakken, totaal;1989;37200;;7.9;18200;;3.9;55300;;11.7
3;Bedrijfstakken, totaal;1990;38500;;7.8;18700;;3.8;57200;;11.6
4;Bedrijfstakken, totaal;1991;41800;;8.2;20000;;3.9;61800;;12.0
5;Bedrijfstakken, totaal;1992;46200;;8.6;23100;;4.3;69200;;12.9
6;Bedrijfstakken, totaal;1993;49200;;8.8;25800;;4.6;75000;;13.4
7;Bedrijfstakken, totaal;1994;50400;;8.6;26700;;4.6;77100;;13.2
8;Bedrijfstakken, totaal;1995;56100;;9.3;28600;;4.7;84700;;14.0
9;Bedrijfstakken, totaal;1996;56300;;9.0;28600;;4.6;84900;;13.6
10;Bedrijfstakken, totaal;1997;58300;;9.0;31400;;4.9;89800;;13.9
11;Bedrijfstakken, totaal;1998;60200;;9.0;33800;;5.1;94000;;14.1
12;Bedrijfstakken, totaal;1999;65700;;9.5;36400;;5.3;102000;;14.8
13;Bedrijfstakken, totaal;2000;74900;;10.4;39900;;5.6;114800;;16.0
14;Bedrijfstakken, totaal;2001;68000;;9.3;43800;;6.0;111800;;15.2
15;Bedrijfstakken, totaal;2002;61600;;8.3;44100;;5.9;105700;;14.2
16;Bedrijfstakken, totaal;2003;59000;;7.9;48300;;6.5;107300;;14.3
17;Bedrijfstakken, totaal;2004;67700;;9.0;47400;;6.3;115100;;15.4
18;Nijverheid;1987;5700;6.7;1.3;2900;3.4;0.7;8600;10.1;2.0
19;Nijverheid;1988;5900;6.7;1.3;3100;3.6;0.7;9000;10.3;2.0
20;Nijverheid;1989;6200;6.8;1.3;3100;3.4;0.7;9200;10.2;2.0
21;Nijverheid;1990;6500;6.9;1.3;3100;3.2;0.6;9600;10.2;1.9
22;Nijverheid;1991;6900;7.1;1.3;3300;3.4;0.6;10200;10.4;2.0
23;Nijverheid;1992;7100;7.0;1.3;3700;3.7;0.7;10800;10.7;2.0
24;Nijverheid;1993;7300;7.0;1.3;4200;4.0;0.7;11500;11.0;2.1
25;Nijverheid;1994;8100;7.5;1.4;4200;3.9;0.7;12300;11.4;2.1
26;Nijverheid;1995;9600;8.5;1.6;4200;3.7;0.7;13800;12.2;2.3
27;Nijverheid;1996;10000;8.5;1.6;4400;3.8;0.7;14300;12.3;2.3
28;Nijverheid;1997;10500;8.7;1.6;5100;4.2;0.8;15600;12.9;2.4
29;Nijverheid;1998;11400;9.0;1.7;5500;4.4;0.8;16900;13.4;2.5
30;Nijverheid;1999;12700;9.7;1.8;5900;4.5;0.9;18600;14.2;2.7
31;Nijverheid;2000;15400;11.1;2.1;6800;4.9;0.9;22200;16.0;3.1
32;Nijverheid;2001;14500;10.1;2.0;7600;5.3;1.0;22100;15.4;3.0
33;Nijverheid;2002;12300;8.4;1.7;8300;5.7;1.1;20600;14.1;2.8
34;Nijverheid;2003;10600;7.2;1.4;9600;6.6;1.3;20200;13.8;2.7
