ID;RegioS;Code_1;Naam_2;SorteringNaam_3;Code_4;Naam_5;Code_6;Naam_7;Code_8;Naam_9;Code_10;Naam_11;Code_12;Naam_13;Code_14;Naam_15;Code_16;Naam_17;Code_18;Naam_19;Code_20;Naam_21;Code_22;Naam_23;Code_24;Naam_25;Code_26;Naam_27;Code_28;Naam_29;Code_30;Naam_31;Code_32;Naam_33;Code_34;Naam_35;Code_36;Naam_37;Code_38;Naam_39;Code_40;Naam_41;Code_42;Naam_43;Code_44;Naam_45;Code_46;Omschrijving_47;Code_48;Naam_49;Inwonertal_50;Omgevingsadressendichtheid_51
0;Aa en Hunze;1680;Aa en Hunze                            ;Aa en Hunze                ;19;Assen           ;71;Drenthe                   ;7;Noord-Drenthe                      ;70;Noord-Drenthe                      ;700;Noord-Drenthe                              ;16;Overige gemeenten Drentse Veenkoloniën  ;7;GGD Drenthe                       ;2205;Drentse Veenkoloniën en Hondsrug        ;2;Veenkoloniën en Oldambt      ;1;Noord-Nederland; NL1;Noord-Nederland; NL13;Drenthe      ; NL131;Noord-Drenthe                      ;3;Drenthe                  ;22;Drenthe      ;5;Leeuwarden      ;3;Centraal Groningen     ;12;Groningse, Friese en Drentse zandgronden;7;Noord- en midden-Drenthe       ;0;                ;0;                ;4;20 000 - < 50 000 inwoners  ;5;Niet stedelijk      ;25507;259
1;738;738;Aalburg                                ;Aalburg                    ;2;Breda           ;1;Midden- en West-Brabant   ;34;Midden-Noord-Brabant               ;340;Midden-Noord-Brabant               ;3400;Midden-Noord-Brabant                       ;105;Land van Altena                         ;52;GGD West-Brabant                  ;3004;Oostelijke Langstraat                   ;10;Rivierengebied               ;4;Zuid-Nederland ; NL4;Zuid-Nederland ; NL41;Noord-Brabant; NL412;Midden-Noord-Brabant               ;20;Midden- en West-Brabant  ;30;Noord-Brabant;1;'s-Hertogenbosch;25;West Brabant           ;13;West- en Midden-Brabant                 ;35;Midden-Brabant                 ;0;                ;0;                ;3;10 000 - < 20 000 inwoners  ;5;Niet stedelijk      ;12222;289
2;358;358;Aalsmeer                               ;Aalsmeer                   ;13;Amsterdam       ;51;Amsterdam en omstreken    ;23;Groot-Amsterdam                    ;232;Overig Groot-Amsterdam             ;2323;Haarlemmermeer en omgeving                 ;62;Noordhollandse Meerlanden               ;35;GGD Amstelland,de Meerlanden      ;2703;Amstelland en Aalsmeer                  ;7;Westelijk Holland            ;3;West-Nederland ; NL3;West-Nederland ; NL32;Noord-Holland; NL326;Groot-Amsterdam                    ;13;Amsterdam-Amstelland     ;27;Noord-Holland;4;Amsterdam       ;20;Zuidelijk Noord-Holland;6;Hollands-Utrechtse meren                ;21;Agglomeratie Amsterdam         ;0;                ;0;                ;4;20 000 - < 50 000 inwoners  ;4;Weinig stedelijk    ;24145;672
3;197;197;Aalten                                 ;Aalten                     ;6;Zutphen         ;31;Noord- en Oost-Gelderland ;14;Achterhoek                         ;140;Achterhoek                         ;1400;Achterhoek                                 ;30;Overige gemeenten oostelijke Achterhoek ;14;GGD Gelre-IJssel                  ;2508;Achterhoek                              ;4;Oostelijk Veehouderijgebied  ;2;Oost-Nederland ; NL2;Oost-Nederland ; NL22;Gelderland   ; NL222;Achterhoek                         ;6;Noord- en Oost-Gelderland;25;Gelderland   ;2;Arnhem          ;12;Achterhoek             ;10;Achterhoek                              ;13;Oost-Gelderland                ;0;                ;0;                ;4;20 000 - < 50 000 inwoners  ;4;Weinig stedelijk    ;27476;694
4;480;480;Ter Aar                                ;Aar Ter                    ;9;'s-Gravenhage   ;16;Hollands-Midden           ;28;Oost-Zuid-Holland                  ;280;Oost-Zuid-Holland                  ;2800;Oost-Zuid-Holland                          ;72;Noordelijke Veenstreek in Zuid-Holland  ;37;GGD Zuid-Holland-Noord            ;2804;Westelijk Rijnland                      ;7;Westelijk Holland            ;3;West-Nederland ; NL3;West-Nederland ; NL33;Zuid-Holland ; NL334;Oost-Zuid-Holland                  ;16;Hollands Midden          ;28;Zuid-Holland ;3;'s-Gravenhage   ;21;Rijn-Gouwe             ;17;Overig Nederland                        ;27;Zuid-Holland-Oost              ;0;                ;0;                ;2;5 000 - < 10 000 inwoners   ;5;Niet stedelijk      ;8988;370
5;305;305;Abcoude                                ;Abcoude                    ;16;Utrecht         ;50;Utrechtsland              ;17;Utrecht                            ;170;Utrecht                            ;1701;Utrecht-West                               ;48;Vechtstreek en Plassengebied in Utrecht ;25;GGD Midden-Nederland-1            ;2602;Westelijk weidegebied in Utrecht        ;9;Hollands/Utrechts weidegebied;3;West-Nederland ; NL3;West-Nederland ; NL31;Utrecht      ; NL310;Utrecht                            ;9;Utrecht                  ;26;Utrecht      ;4;Amsterdam       ;20;Zuidelijk Noord-Holland;6;Hollands-Utrechtse meren                ;19;Utrecht                        ;0;                ;10;Amsterdam       ;2;5 000 - < 10 000 inwoners   ;4;Weinig stedelijk    ;8670;658
6;59;59;Achtkarspelen                          ;Achtkarspelen              ;17;Leeuwarden      ;23;Fryslân                   ;4;Noord-Friesland                    ;40;Noord-Friesland                    ;400;Noord-Friesland                            ;9;Fries Zandgebied                        ;72;GGD Fryslân                       ;2103;De Wouden                               ;3;Noordelijk Weidegebied       ;1;Noord-Nederland; NL1;Noord-Nederland; NL12;Friesland    ; NL121;Noord-Friesland                    ;2;Friesland                ;21;Friesland    ;5;Leeuwarden      ;4;Fryslân                ;17;Overig Nederland                        ;6;Friesland-oost                 ;0;                ;0;                ;4;20 000 - < 50 000 inwoners  ;5;Niet stedelijk      ;28223;371
7;482;482;Alblasserdam                           ;Alblasserdam               ;11;Dordrecht       ;10;Zuid-Holland-Zuid         ;30;Zuidoost-Zuid-Holland              ;300;Zuidoost Zuid-Holland              ;3002;Overig Zuidoost-Zuid-Holland               ;76;Industriegebied Alblasserwaard          ;48;GGD Regio Zuid-Holland-Zuid       ;2807;Alblasserwaard en Vijfherenlanden       ;9;Hollands/Utrechts weidegebied;3;West-Nederland ; NL3;West-Nederland ; NL33;Zuid-Holland ; NL336;Zuidoost-Zuid-Holland              ;18;Zuid-Holland-Zuid        ;28;Zuid-Holland ;3;'s-Gravenhage   ;23;Rijnmond               ;17;Overig Nederland                        ;30;Zuid-Holland-Zuid              ;0;                ;15;Dordrecht       ;3;10 000 - < 20 000 inwoners  ;3;Matig stedelijk     ;18426;1357
8;613;613;Albrandswaard                          ;Albrandswaard              ;10;Rotterdam       ;20;Rotterdam-Rijnmond        ;29;Groot-Rijnmond                     ;291;Rijnmond                           ;2910;Rijnmond                                   ;86;Westelijk IJsselmonde                   ;46;GGD Rotterdam Rijnmond            ;2802;Rotterdam en omgeving                   ;7;Westelijk Holland            ;3;West-Nederland ; NL3;West-Nederland ; NL33;Zuid-Holland ; NL335;Groot-Rijnmond                     ;17;Rotterdam-Rijnmond       ;28;Zuid-Holland ;3;'s-Gravenhage   ;23;Rijnmond               ;4;Deltagebied                             ;29;Rijnmond                       ;0;                ;14;Rotterdam       ;4;20 000 - < 50 000 inwoners  ;4;Weinig stedelijk    ;21059;902
9;483;483;Alkemade                               ;Alkemade                   ;9;'s-Gravenhage   ;16;Hollands-Midden           ;25;Agglomeratie Leiden en Bollenstreek;250;Agglomeratie Leiden en Bollenstreek;2500;Agglomeratie Leiden en Bollenstreek        ;72;Noordelijke Veenstreek in Zuid-Holland  ;37;GGD Zuid-Holland-Noord            ;2804;Westelijk Rijnland                      ;7;Westelijk Holland            ;3;West-Nederland ; NL3;West-Nederland ; NL33;Zuid-Holland ; NL331;Agglomeratie Leiden en Bollenstreek;16;Hollands Midden          ;28;Zuid-Holland ;3;'s-Gravenhage   ;21;Rijn-Gouwe             ;6;Hollands-Utrechtse meren                ;26;Zuid-Holland-Noord             ;0;                ;0;                ;3;10 000 - < 20 000 inwoners  ;4;Weinig stedelijk    ;14512;558
