ID;Verbruiksbestemming;Landen;CPA2008;Perioden;InvoerGoederenNaarEigendomsoverdracht_1
0;"Goedereninvoer; eigendomsoverdracht; tot";Totaal landen;A-U Alle goederen en diensten;2015;358829.0
1;"Goedereninvoer; eigendomsoverdracht; tot";Totaal landen;A-U Alle goederen en diensten;2016;360987.0
2;"Goedereninvoer; eigendomsoverdracht; tot";Totaal landen;A-U Alle goederen en diensten;2017;394689.0
3;"Goedereninvoer; eigendomsoverdracht; tot";Totaal landen;A-U Alle goederen en diensten;2018;419514.0
4;"Goedereninvoer; eigendomsoverdracht; tot";Totaal landen;A-U Alle goederen en diensten;2019;436059.0
5;"Goedereninvoer; eigendomsoverdracht; tot";Totaal landen;A-U Alle goederen en diensten;2020;402667.0
6;"Goedereninvoer; eigendomsoverdracht; tot";Totaal landen;A-U Alle goederen en diensten;2021;494997.0
7;"Goedereninvoer; eigendomsoverdracht; tot";Totaal landen;A-U Alle goederen en diensten;2022;635467.0
8;"Goedereninvoer; eigendomsoverdracht; tot";Totaal landen;A Land-en bosbouwpoducten;2015;19876.0
9;"Goedereninvoer; eigendomsoverdracht; tot";Totaal landen;A Land-en bosbouwpoducten;2016;21457.0
10;"Goedereninvoer; eigendomsoverdracht; tot";Totaal landen;A Land-en bosbouwpoducten;2017;22159.0
11;"Goedereninvoer; eigendomsoverdracht; tot";Totaal landen;A Land-en bosbouwpoducten;2018;22877.0
12;"Goedereninvoer; eigendomsoverdracht; tot";Totaal landen;A Land-en bosbouwpoducten;2019;23972.0
13;"Goedereninvoer; eigendomsoverdracht; tot";Totaal landen;A Land-en bosbouwpoducten;2020;24594.0
14;"Goedereninvoer; eigendomsoverdracht; tot";Totaal landen;A Land-en bosbouwpoducten;2021;26695.0
15;"Goedereninvoer; eigendomsoverdracht; tot";Totaal landen;A Land-en bosbouwpoducten;2022;29411.0
16;"Goedereninvoer; eigendomsoverdracht; tot";Totaal landen;01 Producten van de landbouw en de jacht;2015;18995.0
17;"Goedereninvoer; eigendomsoverdracht; tot";Totaal landen;01 Producten van de landbouw en de jacht;2016;20405.0
18;"Goedereninvoer; eigendomsoverdracht; tot";Totaal landen;01 Producten van de landbouw en de jacht;2017;21087.0
19;"Goedereninvoer; eigendomsoverdracht; tot";Totaal landen;01 Producten van de landbouw en de jacht;2018;21745.0
20;"Goedereninvoer; eigendomsoverdracht; tot";Totaal landen;01 Producten van de landbouw en de jacht;2019;22868.0
